pr_title,text,url,comment_index,commit_count_since_comment,total_comments,total_commits,comment_count_since_comment,created_at,closed_at,state,changefile,addline,deleteline,fileChanges
"Collocates initialization and decorator, describes the mocks in the ""api"" parameter","Yeah, its a special property. This line change makes the mocking not work on local.

You might have just checked that cards are showing on Storybook but that happens because the API is then going to Star Wars API hosted server.

On Chromatic Visual Regression dashboard I can see the breaking change but it's not reported as failing status check due to repo transfer. Let me check how to fix that.

https://www.chromatic.com/test?appId=5fe732c7dcf9270021051ab0&id=60547bb44297380021ce4592

<img width=""1401"" alt=""image"" src=""https://user-images.githubusercontent.com/15871340/112724788-fd91d480-8f3a-11eb-8521-46e320a285da.png"">
",https://github.com/mswjs/msw-storybook-addon/pull/22#discussion_r602729163,5,0,12,1,7,2021-03-19T10:17:38Z,2021-11-30T23:41:19Z,CLOSED,18.0,342.0,318.0,"ADDED:.prettierrc
MODIFIED:packages/docs/.storybook/preview.js
MODIFIED:packages/docs/src/demos/apollo/App.stories.js
MODIFIED:packages/docs/src/demos/apollo/App.test.js
MODIFIED:packages/docs/src/demos/axios/App.stories.js
MODIFIED:packages/docs/src/demos/axios/App.test.js
MODIFIED:packages/docs/src/demos/fetch/App.stories.js
MODIFIED:packages/docs/src/demos/fetch/App.test.js
MODIFIED:packages/docs/src/demos/react-query/App.stories.js
MODIFIED:packages/docs/src/demos/react-query/App.test.js
MODIFIED:packages/docs/src/demos/react-router-react-query/App.stories.js
MODIFIED:packages/docs/src/demos/urql/App.stories.js
MODIFIED:packages/docs/src/demos/urql/App.test.js
MODIFIED:packages/docs/src/guides/installation.stories.mdx
MODIFIED:packages/docs/src/guides/introduction.stories.mdx
MODIFIED:packages/msw-addon/README.md
MODIFIED:packages/msw-addon/package.json
MODIFIED:packages/msw-addon/src/mswDecorator.js"
Addon-a11y: Fix broken highlight result styles,"Indeed there's something weird here. @visualfanatic do you want me to look at the issue on dark background ?
https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=606f86dc15d25e00215c5857",https://github.com/storybookjs/storybook/pull/14528#issuecomment-818063376,2,0,8,1,6,2021-04-08T22:29:04Z,2022-06-30T20:07:10Z,CLOSED,1.0,1.0,2.0,MODIFIED:addons/a11y/src/highlight.ts
UI: Align text and icon in sidebar tree nodes,"Nice one @IgorSzyporyn! The error in the CI seems to be a yarn berry issue, not related to your changes at all. @gaetanmaisse have you seen this is other PRs?

I think the changes ended up misaligning items when they have an arrow, it's quite apparent on [Chromatic](https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=60b12afc2c7d0a0039e6807b):
![image](https://user-images.githubusercontent.com/1671563/120028488-0bc0a780-bff5-11eb-87c9-137166bb26bf.png)

For the inconsistency in the angular chromatic, @ThibaudAV I added a pr in #15081 to fix it",https://github.com/storybookjs/storybook/pull/15080#issuecomment-850596423,2,0,10,1,8,2021-05-28T17:25:29Z,2022-01-10T17:05:53Z,CLOSED,1.0,6.0,5.0,MODIFIED:lib/ui/src/components/sidebar/TreeNode.tsx
UI: Align text and icon in sidebar tree nodes,"> Nice one @IgorSzyporyn! The error in the CI seems to be a yarn berry issue, not related to your changes at all. @gaetanmaisse have you seen this is other PRs?
>
> I think the changes ended up misaligning items when they have an arrow, it's quite apparent on [Chromatic](https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=60b12afc2c7d0a0039e6807b):
> ![image](https://user-images.githubusercontent.com/1671563/120028488-0bc0a780-bff5-11eb-87c9-137166bb26bf.png)
>
> For the inconsistency in the angular chromatic, @ThibaudAV I added a pr in #15081 to fix it

teach me to check this myself - I do not like inconsistency :-)

Thanks @ThibaudAV ",https://github.com/storybookjs/storybook/pull/15080#issuecomment-850776321,4,0,10,1,6,2021-05-28T17:25:29Z,2022-01-10T17:05:53Z,CLOSED,1.0,6.0,5.0,MODIFIED:lib/ui/src/components/sidebar/TreeNode.tsx
UI: Align text and icon in sidebar tree nodes,"> Nice one @IgorSzyporyn! The error in the CI seems to be a yarn berry issue, not related to your changes at all. @gaetanmaisse have you seen this is other PRs?
>
> I think the changes ended up misaligning items when they have an arrow, it's quite apparent on [Chromatic](https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=60b12afc2c7d0a0039e6807b):
> ![image](https://user-images.githubusercontent.com/1671563/120028488-0bc0a780-bff5-11eb-87c9-137166bb26bf.png)
>
> For the inconsistency in the angular chromatic, @ThibaudAV I added a pr in #15081 to fix it

@yannbf when I flipped through chromatic, I noticed this discrepancy between snapshots and canvas:
![discrepancy](https://user-images.githubusercontent.com/17681528/123699531-025d7180-d825-11eb-8f57-c1ea2bd4bd04.gif)
Could this be an antialiasing issue within chromatic? I think @IgorSzyporyn's alignment is actually fine when looking at the canvas for that snapshot.",https://github.com/storybookjs/storybook/pull/15080#issuecomment-870014559,6,0,10,1,4,2021-05-28T17:25:29Z,2022-01-10T17:05:53Z,CLOSED,1.0,6.0,5.0,MODIFIED:lib/ui/src/components/sidebar/TreeNode.tsx
make Button pop,https://www.chromatic.com/test?appId=60aecfb195b0d7003bffa3a4&id=60aedb6995b0d7003b01bf18,https://github.com/nickooms/learnstorybook-design-system/pull/1#issuecomment-849190817,1,2,1,3,0,2021-05-26T23:24:06Z,2021-05-27T01:30:20Z,CLOSED,7.0,70039.0,18719.0,"ADDED:.env
MODIFIED:.github/workflows/chromatic.yml
MODIFIED:build-storybook.log
ADDED:package-lock.json
MODIFIED:src/Button.js
ADDED:src/Link.test.js
MODIFIED:yarn.lock"
fix(#2475): TextArea's input is smaller than the component's height property,Something has happened to label-align side https://www.chromatic.com/test?appId=5f0dd5ad2b5fc10022a2e320&id=618aea663e1709003a2a5522 it's right up against the field now,https://github.com/adobe/react-spectrum/pull/2515#issuecomment-966653132,10,40,40,40,30,2021-11-02T16:14:53Z,2022-08-08T20:13:03Z,CLOSED,7.0,196.0,18.0,"MODIFIED:packages/@adobe/spectrum-css-temp/components/fieldlabel/index.css
MODIFIED:packages/@react-spectrum/label/src/Field.tsx
MODIFIED:packages/@react-spectrum/label/test/Field.test.js
MODIFIED:packages/@react-spectrum/textfield/chromatic/TextArea.chromatic.js
MODIFIED:packages/@react-spectrum/textfield/src/TextArea.tsx
MODIFIED:packages/@react-spectrum/textfield/src/TextFieldBase.tsx
MODIFIED:packages/@react-spectrum/textfield/stories/TextArea.stories.js"
fix(#2475): TextArea's input is smaller than the component's height property,"> Something has happened to label-align side https://www.chromatic.com/test?appId=5f0dd5ad2b5fc10022a2e320&id=618aea663e1709003a2a5522 it's right up against the field now

See https://www.chromatic.com/build?appId=5f0dd5ad2b5fc10022a2e320&number=175 for chromatic fixes.",https://github.com/adobe/react-spectrum/pull/2515#issuecomment-966699322,13,40,40,40,27,2021-11-02T16:14:53Z,2022-08-08T20:13:03Z,CLOSED,7.0,196.0,18.0,"MODIFIED:packages/@adobe/spectrum-css-temp/components/fieldlabel/index.css
MODIFIED:packages/@react-spectrum/label/src/Field.tsx
MODIFIED:packages/@react-spectrum/label/test/Field.test.js
MODIFIED:packages/@react-spectrum/textfield/chromatic/TextArea.chromatic.js
MODIFIED:packages/@react-spectrum/textfield/src/TextArea.tsx
MODIFIED:packages/@react-spectrum/textfield/src/TextFieldBase.tsx
MODIFIED:packages/@react-spectrum/textfield/stories/TextArea.stories.js"
"[Draft] nimble-drawer: When opened, takes focus and focuses first focusable descendant (when modal=true)","Do you know what's up with [this diff](https://www.chromatic.com/test?appId=60e89457a987cf003efc0a5b&id=61e098c3bb1465003a73b7a0) in the Chromatic test for the non-matrix drawer story? It looks like there's a new 1px orange outline around/behind part of the drawer.

![image](https://user-images.githubusercontent.com/10500124/149546542-782fbc5e-8bd4-4b13-95d2-fa6a14823a90.png)
",https://github.com/ni/nimble/pull/260#discussion_r784963783,6,0,10,9,4,2022-01-13T21:11:32Z,2022-02-09T03:08:08Z,CLOSED,11.0,148.0,59.0,"MODIFIED:angular-workspace/projects/example-client-app/src/app/customapp/customapp.component.html
MODIFIED:angular-workspace/projects/example-client-app/src/app/customapp/customapp.component.scss
MODIFIED:angular-workspace/projects/example-client-app/src/app/nav-drawer/nav-drawer.component.html
MODIFIED:angular-workspace/projects/example-client-app/src/app/nav-drawer/nav-drawer.component.scss
MODIFIED:angular-workspace/projects/example-client-app/src/app/nav-drawer/nav-drawer.component.ts
ADDED:change/@ni-nimble-components-69db66e7-19ef-4c34-a598-30171f50a6e2.json
MODIFIED:packages/nimble-components/src/drawer/animations.ts
MODIFIED:packages/nimble-components/src/drawer/index.ts
MODIFIED:packages/nimble-components/src/drawer/styles.ts
MODIFIED:packages/nimble-components/src/drawer/tests/drawer-matrix.stories.ts
MODIFIED:packages/nimble-components/src/drawer/tests/drawer.spec.ts"
fix: Prevent icons from moving when clicked in ie11,"My suspicion was confirmed by our visual regression tests. It might be hard to see, but the icons are shifted:

https://www.chromatic.com/test?appId=5d854c26ba934e0020f5e98a&id=61e82d877b910d003adc7b2e

<img width=""85"" alt=""image"" src=""https://user-images.githubusercontent.com/338257/150177722-d179a3bc-74e1-406b-bceb-b72cfd677198.png"">
",https://github.com/Workday/canvas-kit/pull/1426#discussion_r787954027,2,0,4,1,2,2022-01-19T05:57:36Z,2022-01-19T19:42:45Z,CLOSED,2.0,2.0,0.0,"MODIFIED:modules/react/button/lib/parts/ButtonLabelIcon.tsx
MODIFIED:modules/react/icon/lib/Svg.tsx"
Specify vertical positioning of skip link,"@tobiasljungstrom Sorry for the long delay! 😞

It seems like the button in shown in this story, when it shouldn't:
https://www.chromatic.com/test?appId=5a375b97f4b14f0020b0cda3&id=632105a2ff4ffcc9270114e0

Is this something you could investigate?",https://github.com/storybookjs/storybook/pull/17756#issuecomment-1246339422,8,0,9,5,1,2022-03-18T15:00:57Z,2023-01-13T11:17:38Z,CLOSED,5.0,34.0,38.0,"MODIFIED:code/examples/angular-cli/src/app/app.component.spec.ts
MODIFIED:code/lib/core-common/src/utils/progress-reporting.ts
MODIFIED:code/lib/store/src/csf/testing-utils/types.ts
MODIFIED:code/lib/ui/src/components/sidebar/Heading.stories.tsx
MODIFIED:code/lib/ui/src/components/sidebar/Heading.tsx"
