repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
silverback-template,perf: pnpm and turborepo caching,https://github.com/AmazeeLabs/silverback-template/pull/22,2023-03-30T13:43:02Z,2023-03-31T16:35:58Z,0,33,MERGED
silverback-template,test(ui): use cloudinary images locally and placeholders in chromatic,https://github.com/AmazeeLabs/silverback-template/pull/21,2023-03-30T13:08:15Z,2023-03-30T13:30:09Z,0,1,MERGED
silverback-template,Turbosnap test,https://github.com/AmazeeLabs/silverback-template/pull/20,2023-03-30T08:00:54Z,2023-03-30T14:04:43Z,0,9,CLOSED
silverback-template,test(ui): enable interaction testing and add tests (and fixes) to header,https://github.com/AmazeeLabs/silverback-template/pull/18,2023-03-30T06:31:40Z,2023-03-30T07:53:59Z,0,4,MERGED
silverback-template,chore: remove renovate config,https://github.com/AmazeeLabs/silverback-template/pull/16,2023-03-29T13:07:44Z,2023-03-30T07:54:14Z,0,1,MERGED
silverback-template,Content page UI,https://github.com/AmazeeLabs/silverback-template/pull/15,2023-03-28T11:10:22Z,2023-03-29T06:48:29Z,0,8,MERGED
silverback-template,chore: remove env vars from CI as they match the defaults,https://github.com/AmazeeLabs/silverback-template/pull/78,2023-05-30T06:42:27Z,2023-05-30T06:43:01Z,0,1,MERGED
silverback-template,Improvements,https://github.com/AmazeeLabs/silverback-template/pull/77,2023-05-29T15:12:11Z,2023-05-29T15:16:55Z,0,4,MERGED
silverback-template,Interface translations,https://github.com/AmazeeLabs/silverback-template/pull/76,2023-05-27T07:04:21Z,2024-02-19T04:45:00Z,2,2,CLOSED
silverback-template,feat(gutenberg): emit scoped stylesheet for gutenberg,https://github.com/AmazeeLabs/silverback-template/pull/75,2023-05-26T07:51:18Z,2023-05-31T07:18:31Z,1,1,MERGED
silverback-template,Content-hub,https://github.com/AmazeeLabs/silverback-template/pull/74,2023-05-25T06:37:26Z,2023-06-01T12:44:06Z,9,21,MERGED
silverback-template,chore: lock react version,https://github.com/AmazeeLabs/silverback-template/pull/73,2023-05-24T08:35:52Z,2023-05-24T08:46:31Z,0,1,MERGED
silverback-template,DX improvements,https://github.com/AmazeeLabs/silverback-template/pull/72,2023-05-19T19:39:42Z,2023-05-19T20:31:19Z,0,5,MERGED
silverback-template,Strangler nitpicks,https://github.com/AmazeeLabs/silverback-template/pull/71,2023-05-17T11:44:00Z,2023-05-17T12:44:25Z,0,2,MERGED
silverback-template,feat: useLocation hook,https://github.com/AmazeeLabs/silverback-template/pull/70,2023-05-16T10:13:46Z,2023-05-16T10:48:22Z,0,2,MERGED
silverback-template,feat: strangler edge function,https://github.com/AmazeeLabs/silverback-template/pull/69,2023-05-11T11:03:04Z,2023-05-17T10:28:01Z,8,8,MERGED
silverback-template,fix: remove line-clamp as now part of default for tailwind,https://github.com/AmazeeLabs/silverback-template/pull/68,2023-05-10T14:58:02Z,2024-03-15T15:27:48Z,1,27,CLOSED
silverback-template,fix: add language dependency to useEffect hook,https://github.com/AmazeeLabs/silverback-template/pull/67,2023-05-10T12:48:52Z,2023-05-10T13:49:05Z,0,1,MERGED
silverback-template,fix: add check for pageContext before calling locale,https://github.com/AmazeeLabs/silverback-template/pull/66,2023-05-10T12:38:35Z,2023-05-10T13:47:49Z,2,1,CLOSED
silverback-template,chore: back to pnpm deploy,https://github.com/AmazeeLabs/silverback-template/pull/65,2023-05-08T14:03:55Z,2023-05-08T14:33:13Z,0,1,MERGED
silverback-template,ci: docker build check,https://github.com/AmazeeLabs/silverback-template/pull/63,2023-05-01T15:10:29Z,2023-05-01T15:20:52Z,1,2,CLOSED
silverback-template,Linkit,https://github.com/AmazeeLabs/silverback-template/pull/62,2023-05-01T07:31:56Z,2023-05-01T09:26:50Z,1,3,MERGED
silverback-template,chore: better content export,https://github.com/AmazeeLabs/silverback-template/pull/61,2023-04-28T15:45:12Z,2023-04-28T15:56:14Z,0,1,MERGED
silverback-template,chore: test forgotten_config_changes check,https://github.com/AmazeeLabs/silverback-template/pull/60,2023-04-28T13:58:51Z,2023-04-28T14:07:04Z,0,2,CLOSED
silverback-template,Misc,https://github.com/AmazeeLabs/silverback-template/pull/59,2023-04-28T11:58:57Z,2023-04-28T13:56:56Z,0,2,MERGED
silverback-template,Back to pnpm,https://github.com/AmazeeLabs/silverback-template/pull/58,2023-04-27T11:07:06Z,2023-04-28T11:38:33Z,1,8,MERGED
silverback-template,Advanced client components,https://github.com/AmazeeLabs/silverback-template/pull/57,2023-04-26T15:40:46Z,2023-04-26T15:56:08Z,0,4,MERGED
silverback-template,chore: update all dependencies,https://github.com/AmazeeLabs/silverback-template/pull/56,2023-04-26T15:01:24Z,2023-04-26T15:16:26Z,0,1,MERGED
silverback-template,test: add playwright test that verifies the image is displayed,https://github.com/AmazeeLabs/silverback-template/pull/55,2023-04-20T08:22:41Z,2023-04-20T08:22:53Z,0,1,MERGED
silverback-template,Lagoon/cloudinary,https://github.com/AmazeeLabs/silverback-template/pull/48,2023-04-19T19:44:41Z,2023-04-19T20:14:33Z,0,12,MERGED
silverback-template,GraphQL snapshot tests,https://github.com/AmazeeLabs/silverback-template/pull/47,2023-04-18T15:39:56Z,2023-04-18T15:52:18Z,1,2,MERGED
silverback-template,chore: less noise in content export,https://github.com/AmazeeLabs/silverback-template/pull/46,2023-04-18T09:46:00Z,2023-04-18T10:12:45Z,0,1,MERGED
silverback-template,chore: align dev scripts,https://github.com/AmazeeLabs/silverback-template/pull/45,2023-04-18T06:30:00Z,2023-04-18T09:15:58Z,0,1,MERGED
silverback-template,ci: set DENO_DIR,https://github.com/AmazeeLabs/silverback-template/pull/44,2023-04-17T06:44:13Z,2023-04-17T06:44:24Z,0,1,MERGED
silverback-template,chore: upgrade storybook 7 to stable,https://github.com/AmazeeLabs/silverback-template/pull/43,2023-04-16T19:13:26Z,2023-04-16T19:19:36Z,0,1,MERGED
silverback-template,Home- and 404 pages,https://github.com/AmazeeLabs/silverback-template/pull/42,2023-04-16T18:27:31Z,2023-04-16T18:55:15Z,0,8,MERGED
silverback-template,Lagoon feature branch environments,https://github.com/AmazeeLabs/silverback-template/pull/41,2023-04-15T14:50:07Z,2023-04-15T15:19:09Z,1,2,MERGED
silverback-template,Instant preview,https://github.com/AmazeeLabs/silverback-template/pull/40,2023-04-14T08:23:22Z,2023-04-15T15:19:30Z,1,17,MERGED
silverback-template,gutenberg_blocks Drupal module,https://github.com/AmazeeLabs/silverback-template/pull/39,2023-04-14T06:54:55Z,2023-04-21T06:51:58Z,0,8,MERGED
silverback-template,Fix client errors due to react-intl-rsc,https://github.com/AmazeeLabs/silverback-template/pull/38,2023-04-12T12:47:47Z,2023-04-12T13:09:41Z,0,1,MERGED
silverback-template,Turbo fixes,https://github.com/AmazeeLabs/silverback-template/pull/37,2023-04-12T11:06:51Z,2023-04-13T09:08:23Z,1,4,MERGED
silverback-template,test: check for logo visibility to surface client errors,https://github.com/AmazeeLabs/silverback-template/pull/36,2023-04-12T10:37:29Z,2023-04-12T14:30:47Z,0,5,MERGED
silverback-template,chore: do not run prep automatically,https://github.com/AmazeeLabs/silverback-template/pull/35,2023-04-12T09:28:53Z,2023-04-12T09:32:41Z,0,1,MERGED
silverback-template,GraphQL schema tests,https://github.com/AmazeeLabs/silverback-template/pull/33,2023-04-11T17:10:00Z,2023-04-12T09:15:05Z,1,1,CLOSED
silverback-template,test: add translations to header and footer,https://github.com/AmazeeLabs/silverback-template/pull/32,2023-04-11T14:19:27Z,2023-04-12T09:16:00Z,0,6,MERGED
silverback-template,chore: initial drupal-gatsby graphql integration,https://github.com/AmazeeLabs/silverback-template/pull/29,2023-04-06T16:23:17Z,2023-04-07T12:57:11Z,0,18,MERGED
silverback-template,feat: publisher container and monitor,https://github.com/AmazeeLabs/silverback-template/pull/27,2023-04-06T07:09:04Z,2023-04-06T07:50:08Z,0,5,MERGED
silverback-template,ci: switch back to standard node linker,https://github.com/AmazeeLabs/silverback-template/pull/26,2023-04-04T20:21:39Z,2023-04-05T05:37:29Z,1,1,CLOSED
silverback-template,Playwright,https://github.com/AmazeeLabs/silverback-template/pull/25,2023-04-04T08:57:46Z,2023-04-04T13:53:39Z,0,4,MERGED
