repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-toolkit,fix(action) revert previous fix,https://github.com/AxaFrance/react-toolkit/pull/335,2019-07-30T16:26:06Z,2019-07-30T16:35:08Z,0,6,MERGED
react-toolkit, fix(action) modifier can be extended,https://github.com/AxaFrance/react-toolkit/pull/333,2019-07-29T14:04:26Z,2019-07-30T15:37:14Z,0,5,MERGED
react-toolkit,Set properly slider position for input switch,https://github.com/AxaFrance/react-toolkit/pull/326,2019-07-19T16:26:26Z,2019-07-23T08:28:43Z,2,7,MERGED
react-toolkit,feat(restitution) add react components in order to display retitution,https://github.com/AxaFrance/react-toolkit/pull/317,2019-07-12T13:35:56Z,2019-07-23T08:25:59Z,15,14,MERGED
react-toolkit,fix: omit props and display errors,https://github.com/AxaFrance/react-toolkit/pull/309,2019-07-09T20:34:38Z,2019-07-10T06:47:43Z,0,1,MERGED
react-toolkit,feat: design for file input #305,https://github.com/AxaFrance/react-toolkit/pull/306,2019-07-05T09:50:04Z,2019-07-05T13:46:26Z,1,3,MERGED
react-toolkit,fix: issue #109 allow multiselect to be emptyed when value is set to unknown value,https://github.com/AxaFrance/react-toolkit/pull/300,2019-06-26T09:08:07Z,2019-07-09T12:45:09Z,1,2,MERGED
react-toolkit,Fix Npm version for storybook,https://github.com/AxaFrance/react-toolkit/pull/296,2019-06-22T20:25:35Z,2019-06-23T13:28:41Z,0,1,MERGED
react-toolkit,Fix Storybook,https://github.com/AxaFrance/react-toolkit/pull/288,2019-06-18T14:26:43Z,2019-06-19T09:16:45Z,0,1,MERGED
react-toolkit,fix : compilation error in modal + onchange call on Tabs,https://github.com/AxaFrance/react-toolkit/pull/283,2019-06-17T09:26:07Z,2019-06-17T15:00:14Z,0,1,MERGED
react-toolkit,refactor(all) remove recompose,https://github.com/AxaFrance/react-toolkit/pull/421,2019-10-26T09:04:12Z,2019-11-22T16:54:51Z,5,16,MERGED
react-toolkit,refactor(sonar) clean some sonar,https://github.com/AxaFrance/react-toolkit/pull/419,2019-10-24T13:37:10Z,2019-10-24T14:52:59Z,0,2,MERGED
react-toolkit,Feat/toggle checkbox,https://github.com/AxaFrance/react-toolkit/pull/405,2019-10-07T13:50:29Z,2019-10-07T14:18:21Z,0,2,MERGED
react-toolkit,fix(input select) : add prop to force display placeholder - #402,https://github.com/AxaFrance/react-toolkit/pull/403,2019-10-06T22:37:11Z,2019-10-07T07:25:30Z,0,1,MERGED
react-toolkit,"feat(design-system): add guidelines button, accordion, loader",https://github.com/AxaFrance/react-toolkit/pull/401,2019-10-06T20:41:06Z,2019-10-07T07:18:40Z,0,1,MERGED
react-toolkit,feat(home) add filters,https://github.com/AxaFrance/react-toolkit/pull/400,2019-10-04T15:51:20Z,2019-10-17T07:53:16Z,2,10,MERGED
react-toolkit,feat(demo) remove recompose,https://github.com/AxaFrance/react-toolkit/pull/398,2019-10-02T14:30:11Z,2019-10-03T09:27:57Z,0,5,MERGED
react-toolkit,refactor(react-toolkit-form-summary): migrate to TypeScript,https://github.com/AxaFrance/react-toolkit/pull/397,2019-10-02T09:03:59Z,2019-10-03T07:23:34Z,4,6,MERGED
