repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
prime-simplereport,Add prettier to linting job,https://github.com/CDCgov/prime-simplereport/pull/34,2020-10-30T16:34:03Z,2020-10-31T02:15:26Z,2,5,MERGED
prime-simplereport,Sundry hygiene issues,https://github.com/CDCgov/prime-simplereport/pull/33,2020-10-30T15:36:11Z,2020-10-30T17:39:34Z,0,2,MERGED
prime-simplereport,"Handles no devices, misc cleanup",https://github.com/CDCgov/prime-simplereport/pull/32,2020-10-29T05:59:19Z,2020-10-29T06:00:05Z,0,2,MERGED
prime-simplereport,Questions to be asked on test entry,https://github.com/CDCgov/prime-simplereport/pull/31,2020-10-29T04:20:09Z,2020-11-07T16:41:24Z,3,29,MERGED
prime-simplereport,Neilsharma date fix,https://github.com/CDCgov/prime-simplereport/pull/30,2020-10-28T22:47:30Z,2020-10-28T22:47:47Z,0,2,MERGED
prime-simplereport,create a modal and display good/bad patient results,https://github.com/CDCgov/prime-simplereport/pull/29,2020-10-28T15:27:53Z,2020-10-28T15:28:33Z,0,1,MERGED
prime-simplereport,Styles,https://github.com/CDCgov/prime-simplereport/pull/28,2020-10-28T06:26:06Z,2020-10-28T06:30:47Z,0,7,MERGED
prime-simplereport,Neilsharma patients page,https://github.com/CDCgov/prime-simplereport/pull/27,2020-10-27T21:08:09Z,2020-10-27T21:11:19Z,1,4,MERGED
prime-simplereport,Added draft of contribution guidelines.,https://github.com/CDCgov/prime-simplereport/pull/26,2020-10-27T19:44:08Z,2020-10-29T05:08:49Z,0,1,MERGED
prime-simplereport,Styles,https://github.com/CDCgov/prime-simplereport/pull/25,2020-10-27T18:05:05Z,2020-10-27T20:22:21Z,0,13,MERGED
prime-simplereport,"Globally replace ""staging"" with ""sandbox"".",https://github.com/CDCgov/prime-simplereport/pull/24,2020-10-27T17:56:57Z,2020-10-27T18:14:57Z,0,1,MERGED
prime-simplereport,Component library spike,https://github.com/CDCgov/prime-simplereport/pull/23,2020-10-27T15:47:08Z,2020-10-29T14:32:35Z,2,3,CLOSED
prime-simplereport,Display Test Results (aka test history),https://github.com/CDCgov/prime-simplereport/pull/22,2020-10-27T06:01:06Z,2020-10-27T20:22:03Z,0,13,MERGED
prime-simplereport,Neilsharma resolve conflicts,https://github.com/CDCgov/prime-simplereport/pull/21,2020-10-26T17:50:51Z,2020-10-26T18:24:19Z,2,5,MERGED
prime-simplereport,rebaseline with changes to #54,https://github.com/CDCgov/prime-simplereport/pull/20,2020-10-26T15:57:14Z,2020-10-26T15:57:23Z,0,1,MERGED
prime-simplereport,Added AOE Modal for each patient in queue,https://github.com/CDCgov/prime-simplereport/pull/19,2020-10-25T07:04:06Z,2020-10-25T07:06:36Z,0,3,MERGED
prime-simplereport,Queue - misc style updates,https://github.com/CDCgov/prime-simplereport/pull/18,2020-10-24T22:48:59Z,2020-10-25T05:56:55Z,0,2,MERGED
prime-simplereport,"fixed notification refresh bug, lots of misc refactors and fixes",https://github.com/CDCgov/prime-simplereport/pull/17,2020-10-24T20:45:52Z,2020-10-24T20:51:27Z,0,1,MERGED
prime-simplereport,UX around submitting patients in queue,https://github.com/CDCgov/prime-simplereport/pull/16,2020-10-24T05:50:35Z,2020-10-24T06:00:46Z,0,2,MERGED
prime-simplereport,Staging branch fake PR,https://github.com/CDCgov/prime-simplereport/pull/15,2020-10-23T17:33:06Z,2020-10-27T19:04:27Z,1,12,MERGED
prime-simplereport,Made staging deploy easier to distinguish from demo.,https://github.com/CDCgov/prime-simplereport/pull/14,2020-10-23T16:44:29Z,2020-10-24T18:49:17Z,3,5,MERGED
prime-simplereport,Save test result to redux,https://github.com/CDCgov/prime-simplereport/pull/13,2020-10-23T09:06:04Z,2020-10-23T18:01:42Z,0,7,MERGED
prime-simplereport,Fixed routing 404 issue in build,https://github.com/CDCgov/prime-simplereport/pull/12,2020-10-22T19:22:28Z,2020-10-22T19:36:10Z,1,1,MERGED
prime-simplereport,Branding tweaks,https://github.com/CDCgov/prime-simplereport/pull/11,2020-10-22T18:49:26Z,2020-10-22T19:56:54Z,0,2,MERGED
prime-simplereport,Queue alerts,https://github.com/CDCgov/prime-simplereport/pull/10,2020-10-21T22:25:13Z,2020-10-22T07:47:37Z,3,5,MERGED
prime-simplereport,Queue updates,https://github.com/CDCgov/prime-simplereport/pull/9,2020-10-21T11:52:12Z,2020-10-21T13:06:00Z,0,3,MERGED
prime-simplereport,Added a staging deployment to the autodeploy workflow.,https://github.com/CDCgov/prime-simplereport/pull/8,2020-10-20T17:03:32Z,2020-10-22T19:27:29Z,4,4,MERGED
prime-simplereport,added patient schema from csv-generator #64,https://github.com/CDCgov/prime-simplereport/pull/7,2020-10-20T14:08:19Z,2020-10-21T13:02:23Z,5,5,MERGED
