repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
mpdx-react,add notifications,https://github.com/CruGlobal/mpdx-react/pull/3,2020-10-13T19:17:33Z,2020-10-13T19:53:41Z,1,3,MERGED
mpdx-react,contacts,https://github.com/CruGlobal/mpdx-react/pull/2,2020-09-25T00:29:29Z,2020-10-04T23:12:44Z,1,36,CLOSED
mpdx-react,Tasks,https://github.com/CruGlobal/mpdx-react/pull/1,2020-09-04T04:56:40Z,2020-09-25T00:28:25Z,1,28,MERGED
mpdx-react,MPDX-6961: Improve theme,https://github.com/CruGlobal/mpdx-react/pull/49,2021-03-31T23:41:44Z,2021-04-23T22:40:32Z,4,13,MERGED
mpdx-react,MPDX-6975 : Contact details   contact details tab base,https://github.com/CruGlobal/mpdx-react/pull/48,2021-03-31T18:02:45Z,2021-04-06T20:30:21Z,20,21,MERGED
mpdx-react,MPDX-6958 Contact Task query,https://github.com/CruGlobal/mpdx-react/pull/47,2021-03-29T20:31:59Z,2021-03-29T20:36:09Z,1,3,MERGED
mpdx-react,MPDX-6930 Contact filters UI,https://github.com/CruGlobal/mpdx-react/pull/46,2021-03-29T15:56:51Z,2021-04-30T20:23:57Z,21,46,MERGED
mpdx-react,Move contact stories under Contacts,https://github.com/CruGlobal/mpdx-react/pull/45,2021-03-29T15:20:29Z,2021-03-29T17:19:51Z,1,3,MERGED
mpdx-react,Mpdx 6958 create use api constants hook,https://github.com/CruGlobal/mpdx-react/pull/44,2021-03-25T18:51:53Z,2021-03-29T18:35:24Z,7,16,MERGED
mpdx-react,MPDX-6952 : Frequency Contact Selector ,https://github.com/CruGlobal/mpdx-react/pull/43,2021-03-24T20:51:41Z,2021-03-25T17:25:11Z,2,3,CLOSED
mpdx-react,MPDX-6920: Fix Storybook Renders,https://github.com/CruGlobal/mpdx-react/pull/42,2021-03-24T15:46:38Z,2021-03-29T18:42:35Z,10,17,MERGED
mpdx-react,MPDX-6952 : Contact view status widget,https://github.com/CruGlobal/mpdx-react/pull/41,2021-03-23T21:30:31Z,2021-03-25T17:25:28Z,11,3,CLOSED
mpdx-react,MPDX-6944-Add-Delete-Button-Task-Detail-Drawer,https://github.com/CruGlobal/mpdx-react/pull/40,2021-03-22T21:13:49Z,2021-03-25T17:21:39Z,14,6,MERGED
