repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
crystal-components,Storybook & Chromatic - Reduce number of snapshots,https://github.com/Crystal-Creations-GbR/crystal-components/pull/71,2024-03-30T19:40:40Z,2024-03-30T23:16:52Z,1,2,MERGED
crystal-components,feat: add component `CConfirmDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/69,2024-03-28T23:35:53Z,2024-03-29T11:30:22Z,1,2,MERGED
crystal-components,feat: support `activator` slot and property in `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/68,2024-03-28T18:53:25Z,2024-03-28T23:41:52Z,1,1,MERGED
crystal-components,feat: add component`CMultiOptionButton`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/67,2024-03-28T14:10:14Z,2024-03-28T18:42:43Z,6,1,MERGED
crystal-components,fix: fix responsiveness of card actions,https://github.com/Crystal-Creations-GbR/crystal-components/pull/66,2024-03-28T12:28:07Z,2024-03-28T18:08:00Z,1,1,MERGED
crystal-components,Refactor navigation drawer and support/add various navigation items,https://github.com/Crystal-Creations-GbR/crystal-components/pull/65,2024-03-26T15:28:51Z,2024-03-28T18:06:49Z,6,6,MERGED
crystal-components,feat: add `color` property to `CCard` and `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/64,2024-03-25T22:05:53Z,2024-03-25T22:32:00Z,4,1,MERGED
crystal-components,Improve `CSettingsItem`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/63,2024-03-24T19:51:06Z,2024-03-24T20:03:09Z,1,2,MERGED
crystal-components,Improve `CNavigationDrawer`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/61,2024-03-21T13:06:21Z,2024-03-22T19:16:41Z,5,4,MERGED
crystal-components,lang: update translations from Crystal Creations weblate,https://github.com/Crystal-Creations-GbR/crystal-components/pull/60,2024-03-18T22:53:51Z,2024-03-18T23:02:57Z,1,1,MERGED
crystal-components,fix: align subtitle to center in `CSettingsItem`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/59,2024-03-18T18:04:00Z,2024-03-18T18:07:05Z,1,1,MERGED
crystal-components,fix: allow `undefined` as model-value for `c-password-input`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/58,2024-03-18T17:14:13Z,2024-03-18T18:06:51Z,1,1,MERGED
crystal-components,fix: remove `maxWidth` from `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/57,2024-03-18T09:41:22Z,2024-03-18T20:57:58Z,1,1,MERGED
crystal-components,fix: fix scrolling inside a `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/56,2024-03-16T22:58:34Z,2024-03-18T12:34:34Z,3,1,MERGED
crystal-components,feat: add `CPasswordInput`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/55,2024-03-16T22:15:01Z,2024-03-16T23:11:26Z,1,1,MERGED
crystal-components,feat: emit `close` event when the dialog is closed,https://github.com/Crystal-Creations-GbR/crystal-components/pull/54,2024-03-16T20:32:17Z,2024-03-16T20:33:28Z,1,1,MERGED
crystal-components,Improve `CCard` and `CCardDialog`,https://github.com/Crystal-Creations-GbR/crystal-components/pull/53,2024-03-14T15:54:36Z,2024-03-14T22:44:42Z,5,3,MERGED
crystal-components,refactor: add storybook helper functions,https://github.com/Crystal-Creations-GbR/crystal-components/pull/52,2024-03-13T11:26:40Z,2024-03-13T17:03:15Z,1,1,MERGED
