repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
web3-ui,Add generic type argument for useContract,https://github.com/Developer-DAO/web3-ui/pull/198,2021-12-31T13:32:31Z,2022-01-11T01:41:59Z,16,11,MERGED
web3-ui,Add keywords to package.json,https://github.com/Developer-DAO/web3-ui/pull/196,2021-12-31T12:17:17Z,2021-12-31T12:21:06Z,1,1,MERGED
web3-ui,Add docs for `hooks`,https://github.com/Developer-DAO/web3-ui/pull/192,2021-12-31T10:56:58Z,2021-12-31T11:54:04Z,3,7,MERGED
web3-ui,Add check for `context.connected` in `useContract` for readiness,https://github.com/Developer-DAO/web3-ui/pull/189,2021-12-29T16:53:29Z,2021-12-31T10:22:36Z,3,4,MERGED
web3-ui,Create a status indicator for useContract,https://github.com/Developer-DAO/web3-ui/pull/185,2021-12-29T14:28:26Z,2021-12-29T16:28:55Z,3,3,MERGED
web3-ui,Add package versions to readme,https://github.com/Developer-DAO/web3-ui/pull/184,2021-12-29T03:34:37Z,2021-12-29T03:46:53Z,1,1,MERGED
web3-ui,Setup nextjs demo page,https://github.com/Developer-DAO/web3-ui/pull/183,2021-12-29T00:02:29Z,2021-12-31T10:21:53Z,11,2,MERGED
web3-ui,Create test for useWallet,https://github.com/Developer-DAO/web3-ui/pull/180,2021-12-26T21:48:09Z,2021-12-27T05:38:59Z,7,3,MERGED
web3-ui,Add setup for individual READMEs and add README content for components,https://github.com/Developer-DAO/web3-ui/pull/170,2021-12-25T09:22:38Z,2021-12-25T09:26:44Z,1,1,MERGED
web3-ui,usePoller Hook,https://github.com/Developer-DAO/web3-ui/pull/168,2021-12-25T08:36:51Z,2022-01-05T09:27:47Z,10,7,MERGED
web3-ui,Export hooks from the core package,https://github.com/Developer-DAO/web3-ui/pull/166,2021-12-24T21:29:28Z,2021-12-24T21:37:15Z,1,2,MERGED
web3-ui,added null check for value prop,https://github.com/Developer-DAO/web3-ui/pull/164,2021-12-24T20:28:52Z,2021-12-24T20:49:34Z,2,2,MERGED
