repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
reactist,Popover: only render content when it is showing,https://github.com/Doist/reactist/pull/170,2019-07-18T06:47:36Z,2019-07-18T09:09:04Z,0,5,MERGED
reactist,Modal portal,https://github.com/Doist/reactist/pull/169,2019-07-03T03:03:03Z,2021-09-01T17:08:24Z,8,2,CLOSED
reactist,Add auto-scrolling to overflowing Modal.Body,https://github.com/Doist/reactist/pull/168,2019-07-02T08:07:15Z,2019-07-08T15:21:06Z,5,5,MERGED
reactist,Merge pull request #2 from Doist/dev,https://github.com/Doist/reactist/pull/167,2019-07-02T03:49:54Z,2019-07-02T03:51:32Z,0,1,CLOSED
reactist,Merge pull request #1 from Doist/dev,https://github.com/Doist/reactist/pull/166,2019-07-02T03:37:41Z,2019-07-02T03:39:07Z,0,1,CLOSED
reactist,allow Dropdown component render content lazily,https://github.com/Doist/reactist/pull/165,2019-06-20T07:58:24Z,2019-06-20T08:31:04Z,0,4,MERGED
reactist,Tooltip with portal (WIP),https://github.com/Doist/reactist/pull/178,2019-09-28T10:44:47Z,2020-03-11T05:22:43Z,1,2,CLOSED
reactist,Add test case for Tooltip component with passing simple text,https://github.com/Doist/reactist/pull/177,2019-09-12T19:59:56Z,2019-09-16T14:51:34Z,0,1,MERGED
reactist,Add test case with difference 1 day for TimeUtils,https://github.com/Doist/reactist/pull/176,2019-09-11T18:15:59Z,2019-12-18T22:50:45Z,0,1,CLOSED
reactist,Fix typos,https://github.com/Doist/reactist/pull/175,2019-09-11T18:12:29Z,2019-12-18T22:50:32Z,0,1,CLOSED
reactist,Fixed unsupported `display: initial` in IE11,https://github.com/Doist/reactist/pull/173,2019-08-19T12:43:52Z,2019-08-19T12:44:03Z,0,4,MERGED
reactist,Fix responsive modal,https://github.com/Doist/reactist/pull/172,2019-08-15T15:19:25Z,2019-08-15T15:19:33Z,0,5,MERGED
reactist,Popover: allow prop.content to be a function,https://github.com/Doist/reactist/pull/171,2019-08-01T08:01:52Z,2019-08-01T12:31:06Z,0,4,MERGED
