repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
lumen-labs,[WIP] list - update list component with react-window integration,https://github.com/EQWorks/lumen-labs/pull/30,2021-07-28T18:49:01Z,2021-09-14T13:29:44Z,0,1,CLOSED
lumen-labs,[G2M] text-field new input design changes & add textarea variant,https://github.com/EQWorks/lumen-labs/pull/27,2021-07-23T18:45:11Z,2021-07-28T12:08:04Z,5,2,MERGED
lumen-labs,issue template - updated text formatting and new section for icons used,https://github.com/EQWorks/lumen-labs/pull/26,2021-07-21T20:11:57Z,2021-07-21T20:26:14Z,0,1,MERGED
lumen-labs,"[G2M] switch, range-label & date-range components new color palette classname",https://github.com/EQWorks/lumen-labs/pull/24,2021-07-19T19:16:18Z,2021-08-06T20:32:08Z,2,6,MERGED
lumen-labs,[G2M] list - add list component + gridCols variant,https://github.com/EQWorks/lumen-labs/pull/23,2021-07-19T14:47:50Z,2021-07-20T16:27:53Z,2,2,MERGED
lumen-labs,[G2M] Buttons/colours,https://github.com/EQWorks/lumen-labs/pull/22,2021-07-16T19:30:29Z,2021-07-19T13:10:46Z,0,2,MERGED
lumen-labs,[G2M] Chip component & variants,https://github.com/EQWorks/lumen-labs/pull/21,2021-07-16T18:02:12Z,2021-07-21T16:10:12Z,18,12,MERGED
lumen-labs,Update issue templates - new design update templates,https://github.com/EQWorks/lumen-labs/pull/20,2021-07-16T17:55:52Z,2021-07-16T18:45:41Z,1,2,MERGED
lumen-labs,[G2M] Colours,https://github.com/EQWorks/lumen-labs/pull/18,2021-07-14T20:22:14Z,2021-07-14T21:58:42Z,2,1,MERGED
lumen-labs,[G2M] Shadows,https://github.com/EQWorks/lumen-labs/pull/17,2021-07-13T18:12:52Z,2021-07-14T20:23:13Z,0,2,MERGED
lumen-labs,[G2M] Accordion,https://github.com/EQWorks/lumen-labs/pull/16,2021-07-13T17:10:45Z,2021-07-14T20:22:57Z,3,8,MERGED
lumen-labs,[G2M] dateRange ,https://github.com/EQWorks/lumen-labs/pull/14,2021-07-12T14:23:01Z,2021-07-13T17:40:04Z,2,3,MERGED
lumen-labs,[G2M] Pagination - add pagination component with attachments,https://github.com/EQWorks/lumen-labs/pull/12,2021-07-07T20:28:00Z,2021-07-09T14:28:47Z,1,7,MERGED
lumen-labs,[G2M] slider - range slider base components with label variant,https://github.com/EQWorks/lumen-labs/pull/11,2021-07-02T16:44:02Z,2021-07-06T19:50:57Z,6,7,MERGED
lumen-labs,[G2M] Layout,https://github.com/EQWorks/lumen-labs/pull/10,2021-06-30T19:57:15Z,2021-07-05T10:38:57Z,2,4,MERGED
lumen-labs,[G2M] Cards,https://github.com/EQWorks/lumen-labs/pull/9,2021-06-25T17:27:32Z,2021-06-30T18:26:03Z,0,4,MERGED
lumen-labs,"[G2M] switch - add switch base component with round, rectangle & square variants",https://github.com/EQWorks/lumen-labs/pull/7,2021-06-23T16:01:57Z,2021-06-30T21:26:13Z,9,10,MERGED
lumen-labs,[G2M] devops - setup chromatic publish workflows,https://github.com/EQWorks/lumen-labs/pull/5,2021-06-21T17:40:36Z,2021-06-21T19:17:44Z,1,3,MERGED
lumen-labs,Chromatic/test,https://github.com/EQWorks/lumen-labs/pull/4,2021-06-21T16:30:35Z,2021-06-21T17:37:13Z,0,2,CLOSED
lumen-labs,[G2M] Loader,https://github.com/EQWorks/lumen-labs/pull/3,2021-06-17T23:05:45Z,2021-06-21T14:47:02Z,1,4,MERGED
lumen-labs,[G2M] Textfield,https://github.com/EQWorks/lumen-labs/pull/2,2021-06-15T21:20:33Z,2021-06-18T20:39:43Z,0,3,MERGED
lumen-labs,[G2M] Dialog,https://github.com/EQWorks/lumen-labs/pull/1,2021-06-15T20:03:36Z,2021-06-18T20:39:24Z,0,3,MERGED
lumen-labs,[G2M] Tooltip/error fix,https://github.com/EQWorks/lumen-labs/pull/60,2021-10-30T19:27:32Z,2021-11-05T19:50:13Z,0,2,MERGED
lumen-labs,[G2M] Accordion - point icon to the right when collapsed,https://github.com/EQWorks/lumen-labs/pull/59,2021-10-29T15:54:31Z,2021-10-29T16:38:12Z,3,1,MERGED
lumen-labs,[G2M] TextField - pass input as onSubmit event target,https://github.com/EQWorks/lumen-labs/pull/57,2021-10-26T14:56:27Z,2021-11-01T14:30:30Z,4,1,MERGED
lumen-labs,[G2M] dropdown - add multi select limit,https://github.com/EQWorks/lumen-labs/pull/56,2021-10-20T19:03:54Z,2021-10-20T20:24:20Z,2,3,MERGED
lumen-labs,[G2M] add Input base on delete prop,https://github.com/EQWorks/lumen-labs/pull/55,2021-10-01T20:44:13Z,2021-10-05T15:12:42Z,2,4,MERGED
lumen-labs,[G2M] modal - refactor structure,https://github.com/EQWorks/lumen-labs/pull/54,2021-09-23T14:46:28Z,2021-09-24T12:47:02Z,1,2,MERGED
lumen-labs,[G2M] - Tooltip Component,https://github.com/EQWorks/lumen-labs/pull/53,2021-09-16T15:36:40Z,2021-09-24T12:47:30Z,2,6,MERGED
lumen-labs,[G2M] Buttons/border radius,https://github.com/EQWorks/lumen-labs/pull/51,2021-09-14T16:43:50Z,2021-09-14T17:42:36Z,5,1,MERGED
lumen-labs,[G2M] list - separate list vs virtualized-list components,https://github.com/EQWorks/lumen-labs/pull/50,2021-09-14T16:09:57Z,2021-09-14T17:55:53Z,0,2,MERGED
lumen-labs,[G2M] - New modal design,https://github.com/EQWorks/lumen-labs/pull/49,2021-09-13T19:27:25Z,2021-09-14T17:20:15Z,0,5,MERGED
lumen-labs,[G2M] switch - fix layout styling issue,https://github.com/EQWorks/lumen-labs/pull/48,2021-09-10T18:15:42Z,2021-09-10T19:55:57Z,1,3,MERGED
lumen-labs,[G2M] dropdown - add auto complete variant & onClick select styling,https://github.com/EQWorks/lumen-labs/pull/47,2021-09-08T18:36:14Z,2021-09-20T17:22:11Z,8,4,MERGED
lumen-labs,[G2M] textfield - change disabled color,https://github.com/EQWorks/lumen-labs/pull/45,2021-08-31T15:18:34Z,2021-08-31T19:19:24Z,2,2,MERGED
lumen-labs,[G2M] add PurgeCSS whitelist in production for custom made color classes ,https://github.com/EQWorks/lumen-labs/pull/44,2021-08-30T15:04:10Z,2021-08-30T17:15:37Z,0,4,MERGED
lumen-labs,[DRAFT] Tailwind - add purge safelist pattern,https://github.com/EQWorks/lumen-labs/pull/43,2021-08-27T19:24:47Z,2021-08-30T15:02:33Z,0,3,CLOSED
lumen-labs,[G2M] Dropdown & Textfield - add delete button for input & select value ,https://github.com/EQWorks/lumen-labs/pull/42,2021-08-27T14:01:19Z,2021-08-30T14:59:11Z,0,2,MERGED
lumen-labs,dropdown - index classes for each item,https://github.com/EQWorks/lumen-labs/pull/41,2021-08-26T17:05:15Z,2021-08-26T17:13:36Z,1,1,MERGED
