repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-maps,[G2M] Custom geojson,https://github.com/EQWorks/react-maps/pull/22,2020-07-28T19:33:21Z,2020-08-11T18:41:36Z,0,6,MERGED
react-maps,Poi nebula draw,https://github.com/EQWorks/react-maps/pull/21,2020-07-24T22:29:10Z,2020-08-26T16:49:03Z,3,2,MERGED
react-maps,[G2M] Poi - implement poi polygons,https://github.com/EQWorks/react-maps/pull/20,2020-07-21T15:39:10Z,2020-07-22T12:23:08Z,4,2,MERGED
react-maps,[G2M] ReportWI Timeline/Date Data ,https://github.com/EQWorks/react-maps/pull/19,2020-07-20T23:27:08Z,2020-08-17T17:53:41Z,0,13,MERGED
react-maps,[G2M] devops - lint rules and github actions to enforce them,https://github.com/EQWorks/react-maps/pull/18,2020-07-20T20:37:02Z,2020-07-21T20:15:51Z,0,3,MERGED
react-maps,[G2M] Tooltip,https://github.com/EQWorks/react-maps/pull/17,2020-07-20T19:27:28Z,2020-08-14T13:00:12Z,0,10,MERGED
react-maps,[G2M] Legend,https://github.com/EQWorks/react-maps/pull/15,2020-07-20T16:21:43Z,2020-07-27T17:46:03Z,1,15,MERGED
react-maps,[G2M] Deck pois geojson,https://github.com/EQWorks/react-maps/pull/14,2020-07-16T17:52:57Z,2020-07-20T19:51:43Z,16,5,MERGED
react-maps,[G2M] Walk In Report,https://github.com/EQWorks/react-maps/pull/13,2020-07-13T21:41:45Z,2020-07-17T16:11:09Z,2,10,MERGED
react-maps,[G2M] Deck pois,https://github.com/EQWorks/react-maps/pull/12,2020-07-08T16:28:08Z,2020-07-16T21:20:46Z,10,9,MERGED
react-maps,deck - functioning story,https://github.com/EQWorks/react-maps/pull/2,2020-06-25T20:07:22Z,2020-07-20T18:11:47Z,0,2,CLOSED
react-maps,[WIP] Test - add preconfigured map to Kepler through addDataToMap,https://github.com/EQWorks/react-maps/pull/1,2020-06-17T21:11:53Z,2020-09-14T14:43:30Z,0,2,CLOSED
react-maps,PoiMap edit - edit points and polygons on map,https://github.com/EQWorks/react-maps/pull/36,2020-10-22T23:37:38Z,2020-10-27T20:08:16Z,5,4,MERGED
react-maps,Configurable Layers,https://github.com/EQWorks/react-maps/pull/35,2020-10-13T13:32:55Z,2022-01-21T23:49:29Z,0,1,CLOSED
react-maps,ML VWI Map,https://github.com/EQWorks/react-maps/pull/34,2020-10-02T18:24:19Z,2020-10-26T16:46:45Z,0,5,MERGED
react-maps,Poi-manage/activePOI,https://github.com/EQWorks/react-maps/pull/33,2020-09-30T20:02:50Z,2020-10-14T12:51:06Z,14,5,MERGED
react-maps,Poi maps - refactor state and functions,https://github.com/EQWorks/react-maps/pull/32,2020-09-24T20:23:52Z,2020-09-29T16:57:48Z,13,1,MERGED
react-maps,Locusml layer,https://github.com/EQWorks/react-maps/pull/31,2020-09-21T16:59:03Z,2022-01-21T23:49:16Z,1,12,CLOSED
react-maps,POI List Data,https://github.com/EQWorks/react-maps/pull/30,2020-08-31T19:03:13Z,2022-01-21T23:49:03Z,0,2,CLOSED
react-maps,[G2M] report - API call organizations,https://github.com/EQWorks/react-maps/pull/29,2020-08-28T20:56:52Z,2020-09-01T19:18:40Z,0,2,MERGED
react-maps,[G2M] tooltip - properly apply forwardRef for goober styled Tooltip,https://github.com/EQWorks/react-maps/pull/28,2020-08-27T14:14:34Z,2020-08-27T16:21:33Z,0,1,MERGED
react-maps,"Depcheck clean, size-limit setup, first publish",https://github.com/EQWorks/react-maps/pull/27,2020-08-26T20:56:33Z,2020-08-28T19:41:02Z,6,12,MERGED
react-maps,[G2M] README - setup information in README.md,https://github.com/EQWorks/react-maps/pull/26,2020-08-25T20:52:50Z,2020-08-25T22:12:50Z,3,1,MERGED
react-maps,[G2M] loader - render function as custom children for prompts,https://github.com/EQWorks/react-maps/pull/25,2020-08-12T18:36:14Z,2020-08-14T17:47:01Z,0,1,MERGED
react-maps,[G2M] HexagonMap - add basic hexagon map,https://github.com/EQWorks/react-maps/pull/24,2020-08-12T18:27:44Z,2020-08-17T16:44:12Z,1,10,MERGED
react-maps,[G2M] loader - preliminary data loader based on react-dropzone,https://github.com/EQWorks/react-maps/pull/23,2020-08-11T21:42:52Z,2020-08-12T14:17:29Z,2,2,MERGED
react-maps,[G2M] Fix github workflow token for npm publish job,https://github.com/EQWorks/react-maps/pull/45,2020-12-23T17:04:47Z,2020-12-23T17:18:57Z,1,2,MERGED
react-maps,[G2M] Devops - add scope to publish and changelog actions in workflows,https://github.com/EQWorks/react-maps/pull/44,2020-12-22T18:56:25Z,2020-12-23T16:33:21Z,2,1,MERGED
react-maps,[G2M] Storybook - include mapbox-gl.css; fix preview-head content,https://github.com/EQWorks/react-maps/pull/43,2020-12-22T16:59:36Z,2020-12-22T18:08:19Z,0,1,MERGED
react-maps,[G2M] POIMap - adjust to resizable map container; adjust styling; lint,https://github.com/EQWorks/react-maps/pull/42,2020-12-16T18:01:00Z,2020-12-22T00:35:44Z,3,9,MERGED
react-maps,"[G2M] POIMap - set style to layers, pitch & bearing to viewState",https://github.com/EQWorks/react-maps/pull/41,2020-12-08T00:20:22Z,2020-12-11T17:16:20Z,1,7,MERGED
react-maps,"[G2M] POIMap - add radius switch, refactor layer processing",https://github.com/EQWorks/react-maps/pull/39,2020-11-24T02:54:28Z,2020-12-02T14:07:31Z,1,18,MERGED
