repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
eAPD,extend user sessions on API activity,https://github.com/Enterprise-CMCS/eAPD/pull/1734,2019-07-26T18:58:06Z,2019-08-21T19:15:09Z,6,2,MERGED
eAPD,Scroll activities and form/review components into view when they're collapsed,https://github.com/Enterprise-CMCS/eAPD/pull/1733,2019-07-26T18:20:47Z,2019-08-21T17:14:57Z,7,3,MERGED
eAPD,Create a component to announce ARIA regions,https://github.com/Enterprise-CMCS/eAPD/pull/1731,2019-07-26T02:10:44Z,2019-08-01T15:55:55Z,11,23,MERGED
eAPD,"For the 4 territories we don't have images for, don't try to display images",https://github.com/Enterprise-CMCS/eAPD/pull/1730,2019-07-25T22:09:23Z,2019-07-30T19:34:27Z,4,5,MERGED
eAPD,"Fix alignment, spacing, and style of the ""no APDs"" message on the state dashboard",https://github.com/Enterprise-CMCS/eAPD/pull/1727,2019-07-24T14:24:28Z,2019-08-05T20:23:26Z,2,2,MERGED
eAPD,"Add spacing before ""forgot password"" message on the login screen",https://github.com/Enterprise-CMCS/eAPD/pull/1726,2019-07-24T14:12:30Z,2019-08-05T20:29:03Z,2,2,MERGED
eAPD,Add whitespace to the bottom of the dashboard,https://github.com/Enterprise-CMCS/eAPD/pull/1725,2019-07-24T13:55:46Z,2019-07-30T13:37:17Z,2,2,MERGED
eAPD,Add spacing to Medicaid director and office headers/legends,https://github.com/Enterprise-CMCS/eAPD/pull/1724,2019-07-24T13:49:07Z,2019-07-30T13:32:47Z,2,4,MERGED
eAPD,❌ 😁 🔘,https://github.com/Enterprise-CMCS/eAPD/pull/1723,2019-07-23T19:23:14Z,2019-07-26T15:36:34Z,2,5,MERGED
eAPD,Switch inputs in tables to Design System components,https://github.com/Enterprise-CMCS/eAPD/pull/1722,2019-07-23T19:13:12Z,2019-07-30T23:31:19Z,3,9,MERGED
eAPD,Keep the save button out of the footer,https://github.com/Enterprise-CMCS/eAPD/pull/1721,2019-07-23T15:12:24Z,2019-09-17T15:15:06Z,18,7,MERGED
eAPD,Make logout link text the same size as the manage account link text,https://github.com/Enterprise-CMCS/eAPD/pull/1720,2019-07-23T14:54:54Z,2019-07-26T15:30:39Z,3,3,MERGED
eAPD,Extend labels before activity overview rich textboxes to full width,https://github.com/Enterprise-CMCS/eAPD/pull/1719,2019-07-23T14:39:33Z,2019-07-26T15:26:33Z,2,2,MERGED
