repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
film-doms,FILMDOMS main bracnh <- develop branch 정기 머지 작업,https://github.com/FILMDOM-s/film-doms/pull/62,2023-03-31T09:19:21Z,2023-03-31T09:19:55Z,0,118,MERGED
film-doms,FILMDOMS #59 Largest Contentful Paint element에 대한 우선 로딩 적용,https://github.com/FILMDOM-s/film-doms/pull/61,2023-03-28T23:46:08Z,2023-03-29T11:43:01Z,0,1,MERGED
film-doms,FILMDOMS #56 스토리북 디자인 불일치 수정,https://github.com/FILMDOM-s/film-doms/pull/60,2023-03-28T23:39:04Z,2023-03-29T11:42:44Z,1,1,MERGED
film-doms,Feature/sihyeong #45 디자인 시안 변경에 따른 Critic Section 작업,https://github.com/FILMDOM-s/film-doms/pull/58,2023-03-27T23:40:25Z,2023-03-31T09:10:31Z,1,10,MERGED
film-doms,FILMDOMS #44 디자인 시안 변경에 따른 Notice Section 작업,https://github.com/FILMDOM-s/film-doms/pull/55,2023-03-26T06:13:29Z,2023-03-29T11:42:22Z,2,7,MERGED
film-doms,FILMDOMS #43 디자인 시안 변경에 따른 배너 작업,https://github.com/FILMDOM-s/film-doms/pull/54,2023-03-26T06:10:48Z,2023-03-28T14:09:58Z,1,7,MERGED
film-doms,FILMDOMS #43 디자인 시안 변경에 따른 배너 작업,https://github.com/FILMDOM-s/film-doms/pull/53,2023-03-26T06:07:55Z,2023-03-26T06:08:18Z,0,82,CLOSED
film-doms,FILMDOMS #40 디자인 시안 변경에 따른 헤더 작업,https://github.com/FILMDOM-s/film-doms/pull/52,2023-03-26T06:05:15Z,2023-03-28T14:07:16Z,2,7,MERGED
film-doms,FILMDOMS #40 디자인 시안 변경에 따른 헤더 작업,https://github.com/FILMDOM-s/film-doms/pull/51,2023-03-26T06:02:13Z,2023-03-26T06:02:52Z,0,81,CLOSED
film-doms,FILMDOMS #41 변경된 footer를 구현합니다,https://github.com/FILMDOM-s/film-doms/pull/50,2023-03-25T16:00:52Z,2023-03-26T06:37:26Z,1,9,MERGED
film-doms,FILMDOMS #42 [리뉴얼] Community Section,https://github.com/FILMDOM-s/film-doms/pull/49,2023-03-21T13:31:07Z,2023-03-23T12:44:13Z,2,13,MERGED
film-doms,FILMDOMS #38 #39 button의 icon을 props로 받도록 수정합니다,https://github.com/FILMDOM-s/film-doms/pull/48,2023-03-20T14:16:58Z,2023-03-21T23:01:13Z,4,4,MERGED
film-doms,"Revert ""FILMDOMS #39 스타일 가이드를 적용합니다""",https://github.com/FILMDOM-s/film-doms/pull/47,2023-03-20T13:46:57Z,2023-03-21T03:42:43Z,1,1,CLOSED
film-doms,FILMDOMS #39 스타일 가이드를 적용합니다,https://github.com/FILMDOM-s/film-doms/pull/46,2023-03-20T09:45:59Z,2023-03-20T13:46:29Z,4,21,MERGED
film-doms,Storybook playground,https://github.com/FILMDOM-s/film-doms/pull/37,2023-03-11T12:59:15Z,2023-03-20T06:24:02Z,6,22,MERGED
film-doms,FILMDOMS #31 production에서의 이미지 최적화를 위한 sharp 패키지 추가 및 VoidFuncion 리팩토링,https://github.com/FILMDOM-s/film-doms/pull/36,2023-03-05T07:47:04Z,2023-03-05T07:47:41Z,0,2,MERGED
film-doms,FILMDOMS #31 사이드 네비게이션 구현,https://github.com/FILMDOM-s/film-doms/pull/34,2023-03-02T04:26:52Z,2023-03-05T06:59:19Z,14,4,MERGED
film-doms,FILMDOMS: #30 msw의 warning을 해결합니다,https://github.com/FILMDOM-s/film-doms/pull/33,2023-02-28T10:43:37Z,2023-03-01T13:15:18Z,3,3,MERGED
film-doms,2023.02.28 정기 머지 작업: from develop to main,https://github.com/FILMDOM-s/film-doms/pull/32,2023-02-28T02:14:10Z,2023-02-28T02:16:32Z,0,93,MERGED
