repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
JabRefOnline,Convert resolver to class,https://github.com/JabRef/JabRefOnline/pull/159,2021-05-30T21:20:55Z,2021-07-17T14:58:47Z,1,11,MERGED
JabRefOnline,Add end2end testing,https://github.com/JabRef/JabRefOnline/pull/138,2021-05-26T21:39:02Z,2021-11-08T21:59:07Z,1,1,CLOSED
JabRefOnline,Mutations for forgot password,https://github.com/JabRef/JabRefOnline/pull/121,2021-05-21T16:33:17Z,2021-06-13T10:33:53Z,39,43,MERGED
JabRefOnline,Add session-store to express,https://github.com/JabRef/JabRefOnline/pull/120,2021-05-21T12:03:22Z,2021-06-11T18:58:22Z,2,7,MERGED
JabRefOnline,Mutations for forgot-password and add session store,https://github.com/JabRef/JabRefOnline/pull/118,2021-05-18T10:26:04Z,2021-05-18T12:40:49Z,1,4,CLOSED
JabRefOnline,Mutations for forgot-password operation,https://github.com/JabRef/JabRefOnline/pull/117,2021-05-18T09:32:26Z,2021-05-18T10:18:40Z,1,4,CLOSED
JabRefOnline,Put deployment into seperate workflow,https://github.com/JabRef/JabRefOnline/pull/116,2021-05-17T13:03:51Z,2021-05-17T13:06:56Z,0,2,MERGED
JabRefOnline,Add integration tests,https://github.com/JabRef/JabRefOnline/pull/108,2021-05-13T22:29:28Z,2021-05-14T11:47:13Z,0,7,MERGED
JabRefOnline,Bump @graphql-tools/schema from 8.0.0-alpha-6813e81f.0 to 8.0.0,https://github.com/JabRef/JabRefOnline/pull/311,2021-07-28T12:21:29Z,2021-07-28T12:29:46Z,0,3,MERGED
JabRefOnline,Run tests on all os and for node 16 as well,https://github.com/JabRef/JabRefOnline/pull/250,2021-07-07T21:06:14Z,2021-07-07T21:10:00Z,1,1,CLOSED
JabRefOnline,Remove explicit dependency on vue/composition api,https://github.com/JabRef/JabRefOnline/pull/245,2021-07-05T15:22:58Z,2021-07-05T19:09:41Z,0,2,MERGED
JabRefOnline,Use node-action's new cache function,https://github.com/JabRef/JabRefOnline/pull/228,2021-07-04T18:39:32Z,2021-07-04T18:49:10Z,0,1,MERGED
JabRefOnline,Also use lint rules that require type checks,https://github.com/JabRef/JabRefOnline/pull/227,2021-06-30T21:10:42Z,2021-07-01T18:33:15Z,1,3,MERGED
JabRefOnline,Add error handling,https://github.com/JabRef/JabRefOnline/pull/226,2021-06-29T01:59:09Z,2021-09-13T19:40:29Z,20,34,MERGED
JabRefOnline,Add linting for graphql files,https://github.com/JabRef/JabRefOnline/pull/166,2021-06-03T21:19:18Z,2021-07-01T15:44:45Z,0,5,MERGED
JabRefOnline,Add Gitpod integration,https://github.com/JabRef/JabRefOnline/pull/574,2021-10-22T20:54:31Z,2021-10-22T21:11:31Z,1,6,MERGED
JabRefOnline,Add VS Code tasks,https://github.com/JabRef/JabRefOnline/pull/560,2021-10-21T18:19:32Z,2021-10-21T18:23:30Z,0,1,MERGED
JabRefOnline,Fix seed command and add missing migration,https://github.com/JabRef/JabRefOnline/pull/559,2021-10-21T18:05:12Z,2021-10-21T18:18:42Z,0,1,MERGED
JabRefOnline,Fix client-side graphql type for dates,https://github.com/JabRef/JabRefOnline/pull/558,2021-10-21T18:03:40Z,2021-10-21T18:18:05Z,0,1,MERGED
JabRefOnline,Bind editor controls to graphql response,https://github.com/JabRef/JabRefOnline/pull/557,2021-10-21T18:01:43Z,2021-10-21T18:28:08Z,0,2,MERGED
JabRefOnline,Update pinia to 2.0.0 rc,https://github.com/JabRef/JabRefOnline/pull/540,2021-10-13T19:23:52Z,2021-10-13T19:49:11Z,0,2,MERGED
JabRefOnline,CI: Reactivate GraphQL validation,https://github.com/JabRef/JabRefOnline/pull/524,2021-10-10T12:21:46Z,2021-10-10T12:25:43Z,0,1,MERGED
JabRefOnline,Run dependabot Friday evening,https://github.com/JabRef/JabRefOnline/pull/523,2021-10-10T12:10:33Z,2021-10-10T12:18:14Z,0,1,MERGED
JabRefOnline,Enable Vite for development,https://github.com/JabRef/JabRefOnline/pull/481,2021-09-16T17:05:20Z,2021-09-16T17:11:08Z,0,1,MERGED
JabRefOnline,Nuxt-bridge,https://github.com/JabRef/JabRefOnline/pull/480,2021-09-16T09:31:06Z,2022-01-08T16:34:12Z,3,103,MERGED
JabRefOnline,Fix caching of current user,https://github.com/JabRef/JabRefOnline/pull/478,2021-09-14T18:48:28Z,2021-09-14T18:51:53Z,0,1,MERGED
JabRefOnline,Remove testing code from start page,https://github.com/JabRef/JabRefOnline/pull/477,2021-09-14T18:47:24Z,2021-09-14T18:51:01Z,0,1,MERGED
JabRefOnline,Add pagination for documents,https://github.com/JabRef/JabRefOnline/pull/476,2021-09-14T14:15:16Z,2021-10-31T16:06:40Z,8,32,MERGED
JabRefOnline,Fix seeding,https://github.com/JabRef/JabRefOnline/pull/465,2021-09-10T18:36:17Z,2021-09-10T18:52:34Z,0,1,MERGED
JabRefOnline,Add update functionality for journal articles,https://github.com/JabRef/JabRefOnline/pull/389,2021-08-22T22:27:38Z,2021-08-22T22:33:16Z,0,1,MERGED
JabRefOnline,Properly add journal articles to db,https://github.com/JabRef/JabRefOnline/pull/388,2021-08-22T10:21:32Z,2021-08-22T10:53:51Z,0,2,MERGED
JabRefOnline,Store page numbers as start + end tuple,https://github.com/JabRef/JabRefOnline/pull/387,2021-08-21T14:01:38Z,2021-08-21T14:11:06Z,0,1,MERGED
JabRefOnline,Add DOI as field,https://github.com/JabRef/JabRefOnline/pull/386,2021-08-21T13:42:54Z,2021-08-21T13:51:48Z,0,1,MERGED
JabRefOnline,Store jounal info in a structured way,https://github.com/JabRef/JabRefOnline/pull/385,2021-08-21T09:06:42Z,2021-08-21T09:23:56Z,0,1,MERGED
JabRefOnline,Use enum for document types,https://github.com/JabRef/JabRefOnline/pull/384,2021-08-20T17:24:57Z,2021-08-20T17:39:27Z,0,1,MERGED
JabRefOnline,Rework how the publication date is handled,https://github.com/JabRef/JabRefOnline/pull/383,2021-08-20T16:51:45Z,2021-08-20T16:55:39Z,0,1,MERGED
JabRefOnline,Store keywords as array in database,https://github.com/JabRef/JabRefOnline/pull/382,2021-08-20T14:25:16Z,2021-08-20T15:05:08Z,0,2,MERGED
JabRefOnline,first attempt at docker image,https://github.com/JabRef/JabRefOnline/pull/381,2021-08-19T19:45:18Z,2022-08-23T19:46:36Z,7,1,CLOSED
JabRefOnline,Change document input types,https://github.com/JabRef/JabRefOnline/pull/363,2021-08-12T22:29:41Z,2021-08-19T22:03:44Z,0,5,MERGED
JabRefOnline,CI: Publish storybook to chromatic,https://github.com/JabRef/JabRefOnline/pull/362,2021-08-11T20:12:52Z,2021-11-08T13:13:48Z,0,3,MERGED
JabRefOnline,Add storybook,https://github.com/JabRef/JabRefOnline/pull/361,2021-08-11T14:15:28Z,2021-08-11T14:32:27Z,0,2,MERGED
JabRefOnline,Migrate to gql-tag-operations,https://github.com/JabRef/JabRefOnline/pull/356,2021-08-09T11:22:23Z,2021-09-13T21:51:02Z,1,17,MERGED
