repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
perseus,Wonderblock-ify radio widget,https://github.com/Khan/perseus/pull/254,2022-05-31T21:07:20Z,2022-06-22T23:57:18Z,16,47,MERGED
perseus,Use more shared actions!,https://github.com/Khan/perseus/pull/253,2022-05-31T18:46:25Z,2022-06-01T20:55:18Z,4,9,MERGED
perseus,FEI-4401.3: Cypress coverage reporting,https://github.com/Khan/perseus/pull/252,2022-05-24T22:04:11Z,2022-05-25T20:12:14Z,7,23,MERGED
perseus,"Rename Gorgon -> PerseusLinter, NotGorgon -> TranslationLinter",https://github.com/Khan/perseus/pull/251,2022-05-24T18:08:37Z,2022-05-26T18:52:13Z,4,3,MERGED
perseus,"Use Khan/actions shared actions, removing our local versions",https://github.com/Khan/perseus/pull/250,2022-05-24T16:27:10Z,2022-06-01T16:20:54Z,6,5,MERGED
perseus,FEI-4401.2: Run Cypress on CI,https://github.com/Khan/perseus/pull/249,2022-05-24T15:35:59Z,2022-05-25T18:54:43Z,9,17,MERGED
perseus,Provide a more appropriate 'staticUrl' mock for storybook,https://github.com/Khan/perseus/pull/248,2022-05-23T22:25:59Z,2022-05-25T20:19:09Z,4,3,MERGED
perseus,FEI-4401.1: Port cypress config from webapp,https://github.com/Khan/perseus/pull/247,2022-05-23T22:13:54Z,2022-05-25T18:30:51Z,8,6,MERGED
perseus,Access math-input .less directly to enable better storybook integration,https://github.com/Khan/perseus/pull/246,2022-05-23T18:35:40Z,2022-05-24T15:45:07Z,5,5,MERGED
perseus,Update Readme with storybook details,https://github.com/Khan/perseus/pull/245,2022-05-23T18:22:19Z,2022-05-23T18:24:09Z,4,1,MERGED
perseus,Prebuild CSS for storybooks,https://github.com/Khan/perseus/pull/244,2022-05-23T18:17:51Z,2022-05-23T18:23:35Z,4,1,MERGED
perseus,Set requirement for node 16,https://github.com/Khan/perseus/pull/243,2022-05-23T18:09:38Z,2022-05-23T18:14:09Z,4,2,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/242,2022-05-20T16:24:16Z,2022-05-26T18:58:20Z,3,1,MERGED
perseus,Add NOTIFIED file so that gerald will stop silently failing,https://github.com/Khan/perseus/pull/241,2022-05-19T19:07:21Z,2022-05-20T16:22:00Z,4,2,MERGED
perseus,FEI-4465: Move Gorgon and PerseusError into their own packages,https://github.com/Khan/perseus/pull/240,2022-05-18T19:00:48Z,2022-05-18T21:05:00Z,5,5,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/239,2022-05-18T16:49:05Z,2022-05-18T21:13:27Z,2,1,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/238,2022-05-17T15:16:00Z,2022-05-17T15:27:06Z,2,1,MERGED
perseus,[🔥AUDIT🔥] Fix release workflow by building packages before building storybook,https://github.com/Khan/perseus/pull/237,2022-05-17T15:12:54Z,2022-05-17T15:13:27Z,2,1,MERGED
perseus,Readmes for perseus & perseus-editor,https://github.com/Khan/perseus/pull/236,2022-05-16T19:47:46Z,2022-05-18T16:46:30Z,5,7,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/235,2022-05-13T18:45:08Z,2022-05-13T21:03:07Z,2,1,MERGED
perseus,Add missing peer/dev deps to package.json files,https://github.com/Khan/perseus/pull/234,2022-05-13T18:26:28Z,2022-05-13T20:50:04Z,4,2,MERGED
perseus,"Add a CONTRIBUTING.md, for completeness",https://github.com/Khan/perseus/pull/233,2022-05-13T17:10:58Z,2022-05-13T18:44:26Z,3,3,MERGED
perseus,Set up storybook->gh pages on release,https://github.com/Khan/perseus/pull/232,2022-05-13T16:59:39Z,2022-05-16T19:49:15Z,5,2,MERGED
perseus,[🔥AUDIT🔥] Add perseus-build-settings as a dev dep to packages that were misisng it,https://github.com/Khan/perseus/pull/231,2022-05-13T15:06:18Z,2022-05-13T15:12:44Z,3,1,MERGED
perseus,[🔥AUDIT🔥] Move the changeset into its own job,https://github.com/Khan/perseus/pull/230,2022-05-13T14:33:38Z,2022-05-13T14:57:00Z,2,5,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/229,2022-05-13T14:23:50Z,2022-05-13T15:21:50Z,2,1,MERGED
perseus,Disable terser rollup plugin,https://github.com/Khan/perseus/pull/228,2022-05-12T22:32:32Z,2022-05-13T14:21:53Z,3,3,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/227,2022-05-12T19:25:03Z,2022-05-12T20:48:45Z,2,1,MERGED
perseus,Trim down InitialRequestUrl to only required fields,https://github.com/Khan/perseus/pull/226,2022-05-12T18:58:47Z,2022-05-12T19:24:20Z,4,2,MERGED
perseus,Don't re-export Perseus from @khanacademy/perseus-editor,https://github.com/Khan/perseus/pull/225,2022-05-12T18:07:33Z,2022-05-12T20:36:10Z,4,1,MERGED
perseus,enable flow and lint in kas,https://github.com/Khan/perseus/pull/224,2022-05-11T20:42:41Z,2022-05-11T22:28:39Z,5,3,MERGED
perseus,FEI-4549: Pass a preview URL to load instead of content,https://github.com/Khan/perseus/pull/223,2022-05-11T19:54:42Z,2022-05-11T22:05:36Z,3,2,MERGED
perseus,Add storybook!,https://github.com/Khan/perseus/pull/222,2022-05-11T17:28:53Z,2022-05-11T20:48:48Z,8,5,MERGED
perseus,Tidying up on Dropdown widget,https://github.com/Khan/perseus/pull/221,2022-05-11T16:54:31Z,2022-05-13T17:01:50Z,3,3,MERGED
perseus,Wonderblock-ify Definition widget,https://github.com/Khan/perseus/pull/220,2022-05-10T20:23:03Z,2022-05-24T19:07:22Z,8,8,MERGED
perseus,Return correct type from custom `parse` functions,https://github.com/Khan/perseus/pull/219,2022-05-10T16:43:51Z,2022-05-16T23:40:01Z,8,10,MERGED
perseus,Package.json cleanup,https://github.com/Khan/perseus/pull/218,2022-05-09T18:22:01Z,2022-05-09T22:47:41Z,8,6,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/217,2022-05-09T16:53:17Z,2022-05-11T22:30:52Z,2,1,MERGED
perseus,Export VideoData (used by PerseusDependencies),https://github.com/Khan/perseus/pull/216,2022-05-09T16:49:04Z,2022-05-09T16:52:33Z,2,2,MERGED
perseus,Fix Flow types in math-input,https://github.com/Khan/perseus/pull/215,2022-05-09T15:55:39Z,2022-05-09T16:37:33Z,6,1,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/214,2022-05-06T16:56:14Z,2022-05-09T16:45:39Z,2,1,MERGED
perseus,[🔥AUDIT🔥] Add .changeset file to bump perseus version after #207,https://github.com/Khan/perseus/pull/213,2022-05-06T15:28:35Z,2022-05-06T15:31:29Z,2,1,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/212,2022-05-06T15:21:39Z,2022-05-06T15:51:50Z,2,1,MERGED
perseus,Check each PR for changeset and block if missing,https://github.com/Khan/perseus/pull/211,2022-05-06T00:45:30Z,2022-05-06T16:55:04Z,5,16,MERGED
perseus,Make simple-markdown public and add .changeset file,https://github.com/Khan/perseus/pull/210,2022-05-05T22:32:29Z,2022-05-06T15:20:59Z,4,1,MERGED
perseus,Fix failing simple-markdown tests,https://github.com/Khan/perseus/pull/209,2022-05-05T22:12:26Z,2022-05-05T22:22:52Z,4,2,MERGED
perseus,Fix misc Flow errors,https://github.com/Khan/perseus/pull/208,2022-05-05T21:25:19Z,2022-05-05T22:23:31Z,2,2,MERGED
perseus,Make all external deps explicit,https://github.com/Khan/perseus/pull/207,2022-05-05T19:46:00Z,2022-05-05T21:32:08Z,5,4,MERGED
perseus,Remove Typescript types and comment types,https://github.com/Khan/perseus/pull/206,2022-05-05T17:41:21Z,2022-05-05T19:18:20Z,2,3,MERGED
perseus,Fix coverage uploading in node-ci-main.yml,https://github.com/Khan/perseus/pull/205,2022-05-05T15:54:24Z,2022-05-05T16:11:57Z,3,1,MERGED
perseus,[🔥AUDIT🔥] Make 'kas' package public,https://github.com/Khan/perseus/pull/204,2022-05-05T15:26:45Z,2022-05-05T15:29:07Z,3,1,MERGED
perseus,Version Packages,https://github.com/Khan/perseus/pull/203,2022-05-05T15:18:56Z,2022-05-05T16:00:27Z,2,3,MERGED
perseus,Regenerate icons using new convert.js,https://github.com/Khan/perseus/pull/202,2022-05-04T22:13:32Z,2023-04-18T23:42:24Z,2,7,CLOSED
perseus,Rewrite convert.py to JS and add SVG optimization and prettier formatting,https://github.com/Khan/perseus/pull/201,2022-05-04T22:04:09Z,2023-12-04T18:07:02Z,12,11,CLOSED
perseus,LP-11626: Extract strings from all packages,https://github.com/Khan/perseus/pull/200,2022-05-04T21:42:29Z,2022-05-04T22:39:46Z,3,3,MERGED
perseus,Ensure that have a module mapper entries for all packages in our jest config,https://github.com/Khan/perseus/pull/199,2022-05-04T20:33:02Z,2022-05-04T21:52:10Z,4,2,MERGED
perseus,LP-11644: Replace local copy of i18n.js with wonder-blocks-i18n,https://github.com/Khan/perseus/pull/198,2022-05-04T19:43:15Z,2022-05-04T21:50:00Z,2,1,MERGED
