repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
wonder-blocks,[fix:dropdown]WB-637 - Fix testID on ActionMenu,https://github.com/Khan/wonder-blocks/pull/461,2019-07-31T16:50:59Z,2019-07-31T17:04:48Z,7,2,MERGED
wonder-blocks,[feature:modal] WB-636 Add testId prop to modal elements,https://github.com/Khan/wonder-blocks/pull/460,2019-07-30T20:09:03Z,2019-07-31T16:17:43Z,10,4,MERGED
wonder-blocks,Update to Flow 0.104.0,https://github.com/Khan/wonder-blocks/pull/459,2019-07-30T16:26:57Z,2019-07-30T18:09:30Z,2,1,MERGED
wonder-blocks,WB-591: Add detailed documentation for Timing package,https://github.com/Khan/wonder-blocks/pull/458,2019-07-30T16:09:10Z,2019-07-30T18:41:14Z,8,7,MERGED
wonder-blocks,"[feature:dropdown] WB-632 - Add controlled mode to ActionMenu, SingleSelect and MultiSelect",https://github.com/Khan/wonder-blocks/pull/457,2019-07-26T22:44:03Z,2019-07-30T00:59:16Z,23,6,MERGED
wonder-blocks,[feat:dropdown] WB-633: Fix controlled mode in Dropdown,https://github.com/Khan/wonder-blocks/pull/456,2019-07-26T15:54:59Z,2019-07-26T20:23:49Z,5,2,MERGED
wonder-blocks,[internal:popover] Make popover package available for publishing,https://github.com/Khan/wonder-blocks/pull/455,2019-07-23T13:11:21Z,2019-07-24T13:15:15Z,2,2,MERGED
wonder-blocks,WB-599 feat(internal): Update docs to use import instead of require,https://github.com/Khan/wonder-blocks/pull/454,2019-07-22T12:53:52Z,2019-07-22T16:41:49Z,10,2,MERGED
wonder-blocks,"[fix:popover, modal] WB-628 fix(internal): Render Modal and Popover examples correctly",https://github.com/Khan/wonder-blocks/pull/453,2019-07-19T01:33:27Z,2019-07-22T16:46:33Z,6,2,MERGED
wonder-blocks,[feature:internal] WB-618: Implement Noto in Wonder Blocks,https://github.com/Khan/wonder-blocks/pull/452,2019-07-16T16:44:39Z,2019-07-18T20:16:12Z,4,8,MERGED
wonder-blocks,[feature:dropdown] WB-625: New(MultiSelect) - Added ‘implicitAllEnabled’ prop,https://github.com/Khan/wonder-blocks/pull/451,2019-07-15T15:56:38Z,2019-07-16T15:16:45Z,4,3,MERGED
wonder-blocks,Add dependabot badge,https://github.com/Khan/wonder-blocks/pull/450,2019-07-13T23:24:45Z,2019-07-18T13:48:21Z,3,1,CLOSED
wonder-blocks,WB-623: Implement single select OptionItems in Dropdown ,https://github.com/Khan/wonder-blocks/pull/448,2019-07-11T22:58:10Z,2019-07-15T17:01:26Z,12,6,MERGED
wonder-blocks,WB-558 Upgrade to the most recent version of Styleguidist,https://github.com/Khan/wonder-blocks/pull/447,2019-07-10T17:02:29Z,2019-07-11T16:59:43Z,5,3,MERGED
wonder-blocks,Refactor link to implement Clickable,https://github.com/Khan/wonder-blocks/pull/446,2019-07-08T23:22:38Z,2019-07-11T15:30:37Z,5,1,CLOSED
wonder-blocks,Refactor Button to implement Clickable,https://github.com/Khan/wonder-blocks/pull/445,2019-07-08T21:15:55Z,2019-07-11T15:30:44Z,14,10,CLOSED
wonder-blocks,Refactor Icon-Button to implement Clickable,https://github.com/Khan/wonder-blocks/pull/444,2019-07-02T22:14:19Z,2019-07-11T15:30:27Z,5,10,CLOSED
wonder-blocks,4/4 [feature:popover] WB-606: Add Focus management and accessibility,https://github.com/Khan/wonder-blocks/pull/443,2019-07-02T13:50:35Z,2019-07-16T00:52:56Z,16,13,MERGED
wonder-blocks,"WB-409: add aria-invalid, remove aria-checked",https://github.com/Khan/wonder-blocks/pull/442,2019-06-28T22:27:21Z,2019-07-02T18:19:40Z,3,3,MERGED
wonder-blocks,[fix:breadcrumbs] WB-562 WB-600: Breadcrumbs fixes > aria-current and testId,https://github.com/Khan/wonder-blocks/pull/441,2019-06-28T18:12:30Z,2019-07-02T15:17:44Z,6,2,MERGED
wonder-blocks,3/4 [feature:popover] WB-605: Implement Popover,https://github.com/Khan/wonder-blocks/pull/440,2019-06-27T21:27:17Z,2019-07-16T00:55:03Z,64,9,MERGED
wonder-blocks,[core:feature] Implement ClickableState type,https://github.com/Khan/wonder-blocks/pull/439,2019-06-26T18:06:52Z,2019-06-27T19:39:22Z,6,5,MERGED
wonder-blocks,WB-444: Update Placeholder in SingleSelect,https://github.com/Khan/wonder-blocks/pull/438,2019-06-26T17:26:09Z,2019-06-26T18:19:34Z,3,2,MERGED
wonder-blocks,Export Dropdown,https://github.com/Khan/wonder-blocks/pull/437,2019-06-25T22:38:28Z,2019-06-25T22:49:04Z,2,2,MERGED
