repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
pickRAP-FE,🚀 Deploy : CI/CD 작성,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/4,2022-10-29T16:26:29Z,2022-10-29T16:28:31Z,1,4,MERGED
pickRAP-FE,🚨 Hotfix: QA 1차 반영,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/37,2022-11-25T18:19:35Z,2022-11-25T18:19:57Z,1,2,MERGED
pickRAP-FE,:bug: Fix: QA 버그 수정 진행 (1) & iOS 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/36,2022-11-25T18:17:01Z,2022-11-25T18:17:18Z,1,1,MERGED
pickRAP-FE,🚨 Hotfix: QA 반영 및 버그 수정,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/35,2022-11-25T12:50:22Z,2022-11-25T13:20:37Z,1,2,MERGED
pickRAP-FE,🔖 Release: MVP 배포,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/33,2022-11-24T23:42:52Z,2022-11-25T13:26:57Z,1,30,MERGED
pickRAP-FE,✨ Feat: 매거진 페이지 MVP,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/32,2022-11-24T23:38:47Z,2022-11-24T23:40:56Z,1,6,MERGED
pickRAP-FE,💄Design : QR 배너 삽입,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/31,2022-11-24T14:17:18Z,2022-11-24T14:19:35Z,1,2,MERGED
pickRAP-FE,✨ Feat: 매거진 페이지 UI & 상태 관리,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/29,2022-11-24T11:19:03Z,2022-11-24T11:24:28Z,1,14,MERGED
pickRAP-FE,🔖 Release: 로그인/회원가입 & 스크랩,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/27,2022-11-22T04:36:37Z,2022-11-22T04:38:06Z,1,92,MERGED
pickRAP-FE,✨ Feat: 스크랩 페이지 API 연동,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/26,2022-11-20T22:08:53Z,2022-11-20T22:11:09Z,1,18,MERGED
pickRAP-FE,"✨ Feat: Magazine List, Modal 컴포넌트",https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/25,2022-11-17T17:40:59Z,2022-11-17T17:57:28Z,1,4,MERGED
pickRAP-FE,Feat/18,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/23,2022-11-16T18:11:25Z,2022-11-17T12:43:50Z,2,8,MERGED
pickRAP-FE,✨ Feat: 스크랩 페이지 UI 제작,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/22,2022-11-16T16:28:49Z,2022-11-16T17:24:59Z,1,9,MERGED
pickRAP-FE,✨ Feat: 공통 컴포넌트 개발 및 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/17,2022-11-14T19:04:39Z,2022-11-14T19:31:26Z,1,17,MERGED
pickRAP-FE,✨ Feat : 인증 로직 및 공통 컴포넌트 개발,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/14,2022-11-06T18:36:45Z,2022-11-09T09:07:01Z,1,19,MERGED
pickRAP-FE,💄 Design : 글로벌 스타일 설정,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/9,2022-11-03T19:15:42Z,2022-11-03T19:17:46Z,1,5,MERGED
pickRAP-FE,✨Feat : 폴더 구조 & 인터페이스 설계,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/8,2022-11-03T05:54:34Z,2022-11-03T06:10:27Z,1,4,MERGED
pickRAP-FE,Feat: 추천매거진 API 연결,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/59,2023-03-17T11:20:33Z,2023-03-17T11:22:59Z,1,2,MERGED
pickRAP-FE,:lipstick: Design: 탐색 페이지 추천 매거진 조회 UI 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/58,2023-03-06T07:38:35Z,2023-03-09T13:19:29Z,1,1,MERGED
pickRAP-FE,"🐛 인증, 매거진 qa",https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/57,2023-03-05T17:22:47Z,2023-03-14T09:23:39Z,2,9,MERGED
pickRAP-FE,Design: 탐색페이지 검색 시 UI 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/56,2023-03-03T13:49:54Z,2023-03-04T17:13:28Z,1,2,MERGED
pickRAP-FE,:lipstick: QA: UXUI 변경,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/55,2023-02-22T11:40:01Z,2023-03-01T10:17:26Z,1,10,MERGED
pickRAP-FE,Fix: QA 스크랩 관련 요소 수정,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/54,2023-02-13T09:52:40Z,2023-03-01T10:21:43Z,1,10,MERGED
pickRAP-FE,Fix: QA 매거진 관련 요소 수정,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/53,2023-02-09T10:16:51Z,2023-03-01T10:24:15Z,1,15,MERGED
pickRAP-FE,QA: UXUI 텍스트 변경,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/52,2023-02-09T04:53:27Z,2023-02-09T04:55:12Z,1,3,MERGED
pickRAP-FE,✨ Feat: 퍼스널 무드 기능,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/51,2023-02-07T12:05:39Z,2023-02-08T06:17:37Z,3,5,MERGED
pickRAP-FE,✨ Feat: 텍스트 분석 기능 ,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/50,2023-02-06T08:58:05Z,2023-02-08T04:23:31Z,3,5,MERGED
pickRAP-FE,Design/Feat: 재방문 콘텐츠 UI/API 연결,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/49,2023-02-05T16:41:06Z,2023-02-08T13:58:07Z,2,10,MERGED
pickRAP-FE,Design/Feat: 도넛차트 추가 UI 스타일링/모아보기 후 재검색 기능,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/48,2023-02-05T13:26:41Z,2023-02-09T02:37:20Z,7,15,MERGED
pickRAP-FE,🐛 Fix : 소셜 로그인 redirect domain url 변경,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/47,2023-02-05T10:05:03Z,2023-02-05T10:09:13Z,1,1,MERGED
pickRAP-FE,"Feat: 내 스크랩 분석 UI스타일링, API 호출 ",https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/46,2023-01-30T11:13:22Z,2023-01-31T03:20:58Z,1,11,MERGED
pickRAP-FE,💄 Design: 해시태그 분석페이지 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/45,2023-01-23T11:31:52Z,2023-01-25T04:50:56Z,1,8,MERGED
pickRAP-FE,✨ Feat : 비디오/PDF 콘텐츠 렌더링 & 클릭 시 전체화면,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/44,2023-01-15T17:27:09Z,2023-01-19T13:46:16Z,4,5,MERGED
pickRAP-FE,:sparkles: Feat: 스크랩/카테고리 삭제 기능,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/43,2023-01-12T12:53:33Z,2023-01-22T13:21:46Z,6,15,MERGED
pickRAP-FE,:lipstick: 매거진 페이지 삭제 UI 스타일링/삭제 기능 제작,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/42,2023-01-10T15:08:21Z,2023-01-19T13:46:57Z,8,11,MERGED
pickRAP-FE,Design: 매거진 첫 페이지 프로필 UI 스타일링,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/41,2023-01-07T15:00:15Z,2023-01-09T15:54:42Z,3,5,MERGED
pickRAP-FE,:bug: Fix: reissue api 무한 요청 수정,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/40,2023-01-05T17:17:32Z,2023-01-07T21:14:30Z,3,1,MERGED
pickRAP-FE,:sparkles: Feat: 스크랩 상세 페이지 하이퍼링크,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/39,2023-01-05T17:03:20Z,2023-01-07T21:14:08Z,2,1,MERGED
pickRAP-FE,Feat: 매거진 관리 : 삭제 기능,https://github.com/Kusitms-26th-Ohttention/pickRAP-FE/pull/38,2023-01-03T16:49:52Z,2023-01-10T03:08:49Z,10,15,MERGED
