repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
pluto,Version Packages,https://github.com/Localitos/pluto/pull/169,2022-10-31T20:57:04Z,2022-10-31T21:01:43Z,1,1,MERGED
pluto,fix(components): set the line-height in badge,https://github.com/Localitos/pluto/pull/168,2022-10-31T20:37:06Z,2022-10-31T20:55:55Z,2,2,MERGED
pluto,feat(components): add search input component,https://github.com/Localitos/pluto/pull/165,2022-10-31T18:18:29Z,2022-10-31T19:19:15Z,3,3,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/164,2022-10-31T17:07:04Z,2022-10-31T19:24:28Z,1,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/162,2022-10-31T09:35:05Z,2022-10-31T10:33:17Z,1,1,MERGED
pluto,feat(components): add type datetime-local to input type,https://github.com/Localitos/pluto/pull/161,2022-10-31T08:19:58Z,2022-10-31T09:33:57Z,3,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/160,2022-10-28T19:38:50Z,2022-10-28T19:43:42Z,1,1,MERGED
pluto,feat(components): add input leading and trailing icons,https://github.com/Localitos/pluto/pull/159,2022-10-28T19:13:58Z,2022-10-31T17:05:54Z,4,2,MERGED
pluto,feat(design-tokens): add design tokens package,https://github.com/Localitos/pluto/pull/158,2022-10-28T16:51:32Z,2022-10-28T19:37:12Z,3,5,MERGED
pluto,feat(components): add progressbar component,https://github.com/Localitos/pluto/pull/157,2022-10-28T14:37:57Z,2022-11-02T09:53:28Z,5,1,MERGED
pluto,fix(components): adjust small button sizes,https://github.com/Localitos/pluto/pull/156,2022-10-28T12:24:17Z,2022-10-28T12:46:33Z,2,1,MERGED
pluto,feat(components): add button text variant,https://github.com/Localitos/pluto/pull/155,2022-10-28T11:55:21Z,2022-10-31T09:45:28Z,3,6,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/153,2022-10-27T22:02:11Z,2022-10-28T15:33:26Z,1,1,MERGED
pluto,fix(components): update callout padding,https://github.com/Localitos/pluto/pull/152,2022-10-27T07:56:10Z,2022-10-27T12:53:59Z,2,1,MERGED
pluto,feat(components): add input and input box components,https://github.com/Localitos/pluto/pull/151,2022-10-26T18:40:02Z,2022-10-28T14:22:24Z,9,2,MERGED
pluto,feat(components): allow breakpoints in heading size,https://github.com/Localitos/pluto/pull/150,2022-10-26T15:53:22Z,2022-10-27T07:02:09Z,2,1,MERGED
pluto,fix: chromatic action on PR,https://github.com/Localitos/pluto/pull/149,2022-10-26T14:08:46Z,2022-10-27T15:37:23Z,2,1,CLOSED
pluto,feat(components): add color to heading component,https://github.com/Localitos/pluto/pull/148,2022-10-26T07:45:34Z,2022-10-26T11:36:09Z,2,1,MERGED
pluto,feat(components): add list,https://github.com/Localitos/pluto/pull/147,2022-10-26T07:22:58Z,2022-10-27T13:47:19Z,10,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/130,2022-10-25T17:05:22Z,2022-10-27T13:56:45Z,1,1,MERGED
pluto,feat(components): add sticky header and top props to table header,https://github.com/Localitos/pluto/pull/129,2022-10-25T13:39:23Z,2022-10-25T17:04:09Z,5,5,MERGED
pluto,feat(components): add anchor list,https://github.com/Localitos/pluto/pull/128,2022-10-25T12:26:03Z,2022-10-25T15:52:44Z,3,1,CLOSED
pluto,feat(components): add checkbox component,https://github.com/Localitos/pluto/pull/127,2022-10-25T11:02:21Z,2022-10-27T22:01:03Z,21,16,MERGED
pluto,feat(components): add badge,https://github.com/Localitos/pluto/pull/126,2022-10-24T12:47:55Z,2022-10-27T12:58:07Z,14,1,MERGED
pluto,feat(theme): add new background color tokens,https://github.com/Localitos/pluto/pull/125,2022-10-24T12:18:45Z,2022-10-24T13:15:30Z,2,2,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/124,2022-10-24T09:53:15Z,2022-10-24T13:41:13Z,1,1,MERGED
pluto,fix(components): fix Callout types and remove role,https://github.com/Localitos/pluto/pull/123,2022-10-24T07:15:14Z,2022-10-24T13:11:47Z,4,2,MERGED
pluto,fix(components): make anchor component public,https://github.com/Localitos/pluto/pull/122,2022-10-24T07:10:27Z,2022-10-24T09:51:45Z,2,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/121,2022-10-21T16:35:17Z,2022-10-21T16:59:24Z,1,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/120,2022-10-21T15:52:36Z,2022-10-21T15:58:38Z,1,1,MERGED
pluto,feat(components): add RichText component,https://github.com/Localitos/pluto/pull/119,2022-10-21T14:55:44Z,2022-10-21T16:47:30Z,3,1,MERGED
pluto,feat(components): add anchor,https://github.com/Localitos/pluto/pull/118,2022-10-21T14:35:32Z,2022-10-21T15:51:26Z,3,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/117,2022-10-21T08:14:42Z,2022-10-21T08:19:55Z,1,1,MERGED
pluto,fix: update theme peer dependecies version,https://github.com/Localitos/pluto/pull/116,2022-10-20T17:49:54Z,2022-10-21T08:13:40Z,2,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/115,2022-10-20T17:01:44Z,2022-10-20T17:06:12Z,1,1,MERGED
pluto,fix: update components peer dependecies react version,https://github.com/Localitos/pluto/pull/114,2022-10-20T16:53:51Z,2022-10-20T17:00:11Z,2,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/113,2022-10-20T15:22:24Z,2022-10-20T15:26:46Z,1,1,MERGED
pluto,chore: move deps to peer and dev deps,https://github.com/Localitos/pluto/pull/112,2022-10-20T15:16:27Z,2022-10-20T15:21:04Z,2,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/111,2022-10-20T14:09:40Z,2022-10-20T14:26:50Z,1,1,MERGED
pluto,chore: use react 17,https://github.com/Localitos/pluto/pull/110,2022-10-19T20:30:26Z,2022-10-20T14:08:29Z,6,2,MERGED
pluto,fix: update github PR checks action by using GITHUB_OUTPUT env file,https://github.com/Localitos/pluto/pull/109,2022-10-19T17:26:12Z,2022-10-19T18:28:16Z,2,1,CLOSED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/101,2022-10-18T18:49:56Z,2022-10-19T20:13:25Z,1,1,MERGED
pluto,feat: add icon to primary button,https://github.com/Localitos/pluto/pull/100,2022-10-18T15:26:44Z,2022-10-19T13:09:51Z,6,2,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/99,2022-10-18T13:13:25Z,2022-10-18T13:35:52Z,1,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/98,2022-10-18T12:56:53Z,2022-10-18T13:09:10Z,1,1,CLOSED
pluto,feat(components): add table component,https://github.com/Localitos/pluto/pull/97,2022-10-17T20:00:03Z,2022-10-18T18:48:36Z,4,4,MERGED
pluto,feat(components): add callout,https://github.com/Localitos/pluto/pull/96,2022-10-17T12:14:47Z,2022-10-18T12:55:42Z,11,2,MERGED
pluto,chore: update readme with theme provider info,https://github.com/Localitos/pluto/pull/95,2022-10-14T16:01:44Z,2022-10-14T18:45:17Z,2,1,MERGED
pluto,feat(components): add icon component,https://github.com/Localitos/pluto/pull/94,2022-10-14T15:44:52Z,2022-10-17T15:21:10Z,2,2,MERGED
pluto,feat(components): add avatar,https://github.com/Localitos/pluto/pull/93,2022-10-14T15:13:15Z,2022-10-21T16:33:50Z,6,2,MERGED
pluto,feat(components): add button component,https://github.com/Localitos/pluto/pull/92,2022-10-13T15:10:38Z,2022-10-17T16:50:06Z,4,2,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/91,2022-10-12T15:49:55Z,2022-10-17T20:07:35Z,1,1,MERGED
pluto,feat(components): add heading component,https://github.com/Localitos/pluto/pull/82,2022-10-11T19:59:23Z,2022-10-12T16:49:50Z,2,2,MERGED
pluto,feat(components): add paragraph component,https://github.com/Localitos/pluto/pull/81,2022-10-07T13:31:50Z,2022-10-12T15:48:42Z,2,4,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/80,2022-10-07T12:53:25Z,2022-10-07T12:59:47Z,1,1,MERGED
pluto,fix(theme): added types to export and correct peerDeps,https://github.com/Localitos/pluto/pull/79,2022-10-06T22:08:51Z,2022-10-07T12:52:16Z,2,2,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/78,2022-10-06T14:59:03Z,2022-10-06T15:03:03Z,1,1,MERGED
pluto,chore(theme): export createGlobalStyle from xStyled,https://github.com/Localitos/pluto/pull/77,2022-10-06T14:51:49Z,2022-10-06T14:57:40Z,2,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/76,2022-10-06T14:14:10Z,2022-10-06T14:23:40Z,1,1,MERGED
pluto,fix(theme): convert theme to use xStyle library,https://github.com/Localitos/pluto/pull/63,2022-10-04T21:33:52Z,2022-10-06T14:12:45Z,3,2,MERGED
pluto,Fix/styled system emotion,https://github.com/Localitos/pluto/pull/62,2022-09-30T19:28:35Z,2022-10-06T14:52:28Z,4,4,CLOSED
pluto,fix: avoid running danger for dependabot and draft PRs,https://github.com/Localitos/pluto/pull/60,2022-09-29T12:02:44Z,2022-09-29T12:54:05Z,2,1,MERGED
pluto,fix: update if conditional on vrt action,https://github.com/Localitos/pluto/pull/59,2022-09-29T10:41:09Z,2022-09-29T10:45:41Z,2,1,MERGED
pluto,fix: dependabot,https://github.com/Localitos/pluto/pull/58,2022-09-29T10:14:39Z,2022-09-29T10:31:05Z,3,2,MERGED
pluto,fix: dependabot name on vrt action,https://github.com/Localitos/pluto/pull/56,2022-09-28T21:35:50Z,2022-09-28T22:24:45Z,2,1,MERGED
pluto,chore: avoid running vrt on dependabot prs,https://github.com/Localitos/pluto/pull/55,2022-09-28T17:19:40Z,2022-09-28T21:27:17Z,2,1,MERGED
pluto,chore: remove netlify from build,https://github.com/Localitos/pluto/pull/54,2022-09-28T16:27:14Z,2022-09-28T17:09:44Z,2,2,MERGED
pluto,chore: add condition to remove dependabot from vrt,https://github.com/Localitos/pluto/pull/53,2022-09-28T16:21:17Z,2022-09-28T16:30:24Z,3,1,MERGED
pluto,fix: dependabot pattern on vrt action,https://github.com/Localitos/pluto/pull/52,2022-09-28T15:45:47Z,2022-09-28T15:51:13Z,3,1,MERGED
pluto,chore: update readme,https://github.com/Localitos/pluto/pull/51,2022-09-28T15:36:33Z,2022-09-28T15:37:14Z,3,1,CLOSED
pluto,chore: remove dependabot branchs from visual regression tests action,https://github.com/Localitos/pluto/pull/50,2022-09-28T10:12:26Z,2022-09-28T15:27:00Z,3,1,MERGED
pluto,chore: add dangerjs,https://github.com/Localitos/pluto/pull/39,2022-09-26T10:55:39Z,2022-09-28T21:48:03Z,12,6,MERGED
pluto,chore: add dependabot config,https://github.com/Localitos/pluto/pull/38,2022-09-23T15:37:24Z,2022-09-23T15:45:04Z,3,1,MERGED
pluto,feat: setup github action workflow for chromatic,https://github.com/Localitos/pluto/pull/37,2022-09-23T09:24:58Z,2022-09-23T09:25:40Z,3,1,CLOSED
pluto,"chore: update turborepo, change scripts",https://github.com/Localitos/pluto/pull/36,2022-09-22T18:58:44Z,2022-09-23T15:29:01Z,3,2,MERGED
pluto,build: send a message to Slack after publishing,https://github.com/Localitos/pluto/pull/35,2022-09-22T08:55:19Z,2022-09-23T08:37:18Z,4,2,MERGED
pluto,chore: clean up storybook and use docs,https://github.com/Localitos/pluto/pull/34,2022-09-21T19:59:04Z,2022-09-22T18:24:39Z,3,2,MERGED
pluto,chore: add font section to readme,https://github.com/Localitos/pluto/pull/33,2022-09-21T18:49:33Z,2022-09-22T16:36:44Z,3,1,MERGED
pluto,Version Packages,https://github.com/Localitos/pluto/pull/32,2022-09-21T16:53:08Z,2022-09-21T16:58:52Z,2,1,MERGED
pluto,feat: add github action to assign owner to PR,https://github.com/Localitos/pluto/pull/30,2022-09-21T13:03:49Z,2022-09-21T14:42:14Z,3,1,MERGED
pluto,fix: change org from localyze to pluto,https://github.com/Localitos/pluto/pull/29,2022-09-21T11:09:46Z,2022-09-21T14:38:18Z,3,1,CLOSED
pluto,feat(components): add text primitive component,https://github.com/Localitos/pluto/pull/28,2022-09-20T19:05:07Z,2022-09-21T16:51:48Z,4,4,MERGED
pluto,fix: add commit message to release,https://github.com/Localitos/pluto/pull/27,2022-09-20T18:00:35Z,2022-09-20T18:04:57Z,3,1,MERGED
