repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
UT-Registration-Plus,Update todo.md,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/9,2019-07-28T16:49:18Z,2019-08-04T21:07:51Z,0,3,MERGED
UT-Registration-Plus,fixed manifest naming issue,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/13,2019-10-22T00:55:37Z,2019-10-22T00:57:57Z,0,1,MERGED
UT-Registration-Plus,third time is a charm... fixing footer positioning on popup,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/12,2019-08-14T04:00:26Z,2019-08-14T15:14:06Z,0,3,MERGED
UT-Registration-Plus,Popup autocloses if user clicks outside the element. Cleaned up some styling.,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/11,2019-08-13T23:57:26Z,2019-08-13T23:59:25Z,0,4,MERGED
UT-Registration-Plus,"Positioning of footer bar fixed to stay at the bottom. Updated import-export UI. If user opens one popup (import/export or search), other open popups close to prevent overlap.",https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/10,2019-08-06T02:12:42Z,2019-08-09T20:04:20Z,0,2,MERGED
UT-Registration-Plus,Update todo list,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/14,2019-11-28T23:20:39Z,2019-11-30T21:34:14Z,0,1,MERGED
UT-Registration-Plus,Added feature to search by course code,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/15,2020-04-22T23:23:46Z,2020-08-24T01:53:34Z,0,1,MERGED
UT-Registration-Plus,Adding push notification support for UT Registration Plus,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/16,2020-08-08T06:46:43Z,2024-02-02T20:09:20Z,0,22,CLOSED
UT-Registration-Plus,Multi-semester courses' hours are now correctly calculated,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/19,2021-10-17T01:29:36Z,2021-10-17T20:16:41Z,1,2,MERGED
UT-Registration-Plus,Fix Syllabi link url,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/17,2021-10-17T00:13:27Z,2021-10-17T00:15:10Z,0,1,MERGED
UT-Registration-Plus,typo in infinite scroll,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/27,2021-12-16T17:27:30Z,2021-12-17T04:03:06Z,0,1,MERGED
UT-Registration-Plus,use #30 instead -- this pr was formerly [updated grade distributions],https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/26,2021-12-16T04:56:49Z,2022-04-12T15:31:16Z,0,1,CLOSED
UT-Registration-Plus,fixes #23 - next page prefetching,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/24,2021-11-12T08:26:42Z,2021-11-12T13:42:09Z,0,1,MERGED
UT-Registration-Plus,"fixed ""Add to UT R+"" button",https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/22,2021-11-12T05:24:10Z,2021-11-12T13:43:51Z,0,3,MERGED
UT-Registration-Plus,Utrp links update (solves #28 and #29),https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/31,2022-04-12T16:32:52Z,2024-02-02T20:08:39Z,1,5,CLOSED
UT-Registration-Plus,Utrp ece grade distributions,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/30,2022-04-12T15:30:24Z,2024-02-02T20:09:03Z,0,3,CLOSED
UT-Registration-Plus,Names are now displayed correctly in options page,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/35,2022-07-26T20:53:41Z,2022-08-24T18:25:54Z,0,1,MERGED
UT-Registration-Plus,Move up and move down buttons,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/32,2022-07-10T19:20:08Z,2022-10-27T16:49:25Z,1,8,CLOSED
UT-Registration-Plus,feat: manifest v3,https://github.com/Longhorn-Developers/UT-Registration-Plus/pull/39,2022-08-27T20:56:50Z,2024-09-29T02:20:12Z,9,43,CLOSED
