repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
matico,Editor,https://github.com/Matico-Platform/matico/pull/13,2021-12-01T21:31:03Z,2021-12-01T21:31:46Z,0,84,MERGED
matico,Further filters,https://github.com/Matico-Platform/matico/pull/9,2021-11-19T20:23:12Z,2021-11-27T17:33:22Z,1,42,MERGED
matico,Redux migration,https://github.com/Matico-Platform/matico/pull/8,2021-11-16T20:02:29Z,2021-11-16T20:04:41Z,1,20,MERGED
matico,WIP CSV Dataset,https://github.com/Matico-Platform/matico/pull/7,2021-11-09T19:39:54Z,2021-11-16T20:04:20Z,2,16,MERGED
matico,Widgets,https://github.com/Matico-Platform/matico/pull/5,2021-11-03T20:37:27Z,2021-11-03T20:37:35Z,1,9,MERGED
matico,Container Panes,https://github.com/Matico-Platform/matico/pull/93,2022-03-29T14:15:49Z,2022-05-31T19:37:48Z,3,20,MERGED
matico,Invalidation and PostgisQueryRunner refactor,https://github.com/Matico-Platform/matico/pull/92,2022-03-28T15:27:38Z,2022-03-28T15:27:43Z,0,2,MERGED
matico,Missing dep,https://github.com/Matico-Platform/matico/pull/83,2022-03-10T19:32:51Z,2022-03-10T19:32:57Z,0,1,MERGED
matico,Cached tiles,https://github.com/Matico-Platform/matico/pull/82,2022-03-09T21:45:20Z,2022-03-10T18:47:51Z,0,2,MERGED
matico,Actix 4,https://github.com/Matico-Platform/matico/pull/81,2022-03-09T16:44:01Z,2022-03-09T16:44:51Z,0,5,MERGED
matico,Refactor Spec Update Actions and add Hook,https://github.com/Matico-Platform/matico/pull/79,2022-03-06T14:47:03Z,2022-03-10T18:47:36Z,10,12,MERGED
matico,Categorical style,https://github.com/Matico-Platform/matico/pull/78,2022-03-05T00:31:51Z,2022-03-05T05:43:47Z,0,5,MERGED
matico,Expand mapping layer Options,https://github.com/Matico-Platform/matico/pull/77,2022-03-05T00:19:47Z,2022-03-05T00:27:29Z,0,3,MERGED
matico,Socrata Dataset Provider,https://github.com/Matico-Platform/matico/pull/76,2022-03-04T16:38:09Z,2022-03-04T16:38:14Z,0,4,MERGED
matico,Refactor Grommet and UI Dev,https://github.com/Matico-Platform/matico/pull/75,2022-03-04T04:20:32Z,2022-03-04T17:17:15Z,1,14,MERGED
matico,Sections,https://github.com/Matico-Platform/matico/pull/69,2022-02-27T17:08:53Z,2022-02-27T17:09:13Z,0,3,MERGED
matico,Lots of new and more relevant README files,https://github.com/Matico-Platform/matico/pull/68,2022-02-27T15:33:05Z,2022-02-27T15:34:03Z,0,1,MERGED
matico,Controls Controls,https://github.com/Matico-Platform/matico/pull/67,2022-02-25T22:18:07Z,2022-02-27T15:30:40Z,0,2,MERGED
matico,Updates for Data-driven style modal,https://github.com/Matico-Platform/matico/pull/66,2022-02-25T22:05:17Z,2022-02-27T15:30:50Z,0,2,MERGED
matico,Uploader Mime-type for Windows and MacOS,https://github.com/Matico-Platform/matico/pull/65,2022-02-25T21:16:20Z,2022-02-25T22:18:34Z,0,4,MERGED
matico,More table fixes,https://github.com/Matico-Platform/matico/pull/64,2022-02-25T16:47:24Z,2022-02-25T16:47:28Z,0,2,MERGED
matico,UI Quality of Life,https://github.com/Matico-Platform/matico/pull/63,2022-02-25T14:39:32Z,2022-02-25T15:29:14Z,0,8,MERGED
matico,Notifier id optimization,https://github.com/Matico-Platform/matico/pull/48,2022-02-24T00:18:59Z,2022-02-24T00:19:04Z,0,3,MERGED
matico,Attempting to standardize url's in dev and prod,https://github.com/Matico-Platform/matico/pull/45,2022-02-22T16:25:29Z,2022-02-22T16:25:34Z,0,1,MERGED
matico,Rasters,https://github.com/Matico-Platform/matico/pull/43,2022-02-17T21:47:50Z,2022-02-17T21:47:59Z,0,5,MERGED
matico,Component spectrum,https://github.com/Matico-Platform/matico/pull/42,2022-02-17T21:47:12Z,2022-02-17T21:47:23Z,0,26,MERGED
matico,UI Fixes (Mostly Editor Panes),https://github.com/Matico-Platform/matico/pull/41,2022-02-17T13:59:27Z,2022-02-17T14:36:34Z,0,4,MERGED
matico,Charting,https://github.com/Matico-Platform/matico/pull/40,2022-02-16T20:18:27Z,2022-02-16T20:18:59Z,0,2,MERGED
matico,Feature editing,https://github.com/Matico-Platform/matico/pull/38,2022-02-11T21:02:37Z,2022-02-11T21:02:41Z,0,4,MERGED
matico,Api screen,https://github.com/Matico-Platform/matico/pull/36,2022-02-07T19:38:48Z,2022-02-07T20:21:08Z,0,4,MERGED
matico,Remote dataset,https://github.com/Matico-Platform/matico/pull/35,2022-01-31T22:35:57Z,2022-01-31T22:36:02Z,0,4,MERGED
matico,Charting,https://github.com/Matico-Platform/matico/pull/33,2022-01-31T16:50:44Z,2022-01-31T22:37:23Z,0,4,MERGED
matico,Move to using next-optimized-images in admin,https://github.com/Matico-Platform/matico/pull/32,2022-01-19T15:05:28Z,2022-01-19T15:05:34Z,0,1,MERGED
matico,Landing page for logged out users,https://github.com/Matico-Platform/matico/pull/31,2022-01-18T20:53:54Z,2022-01-18T20:54:01Z,0,1,MERGED
matico,Server cleanup,https://github.com/Matico-Platform/matico/pull/30,2022-01-18T19:07:40Z,2022-01-18T19:07:45Z,0,4,MERGED
matico,Server cleanup,https://github.com/Matico-Platform/matico/pull/29,2022-01-18T17:17:15Z,2022-01-18T17:17:20Z,0,2,MERGED
matico,Better permissions,https://github.com/Matico-Platform/matico/pull/28,2022-01-18T17:00:04Z,2022-01-18T17:00:09Z,0,2,MERGED
matico,Sync api,https://github.com/Matico-Platform/matico/pull/15,2022-01-18T04:27:31Z,2022-01-18T04:27:36Z,0,7,MERGED
matico,Render deploy,https://github.com/Matico-Platform/matico/pull/14,2022-01-12T22:33:06Z,2022-01-18T04:26:22Z,0,22,MERGED
matico,Analysis templates - Rust based template for analysis nodes ,https://github.com/Matico-Platform/matico/pull/107,2022-05-23T10:36:20Z,2022-06-13T19:09:47Z,0,20,MERGED
matico,Dataset page refresh fix,https://github.com/Matico-Platform/matico/pull/104,2022-04-21T18:57:39Z,2022-04-21T18:57:45Z,0,9,MERGED
matico,Data fetching refactor,https://github.com/Matico-Platform/matico/pull/103,2022-04-19T14:10:38Z,2022-04-19T14:10:48Z,0,5,MERGED
matico,Adding console_subscriber for Tokio for remote debug and performance monitoring,https://github.com/Matico-Platform/matico/pull/102,2022-04-11T17:18:00Z,2022-04-11T17:18:06Z,0,1,MERGED
matico,Performance tweak to only calculate column stats when column tab is open,https://github.com/Matico-Platform/matico/pull/101,2022-04-11T17:15:25Z,2022-04-11T17:15:34Z,0,1,MERGED
matico,User scopes,https://github.com/Matico-Platform/matico/pull/100,2022-04-06T18:45:44Z,2022-04-06T18:47:46Z,0,2,MERGED
matico,Fix for dataset view,https://github.com/Matico-Platform/matico/pull/99,2022-04-06T16:10:09Z,2022-04-06T16:10:15Z,0,6,MERGED
matico,Better shape file preview,https://github.com/Matico-Platform/matico/pull/98,2022-04-01T18:38:46Z,2022-04-01T18:38:50Z,0,1,MERGED
matico,Drag and drop,https://github.com/Matico-Platform/matico/pull/97,2022-04-01T14:23:40Z,2022-07-28T17:41:30Z,0,2,CLOSED
matico,Shp file loader,https://github.com/Matico-Platform/matico/pull/96,2022-04-01T14:22:27Z,2022-04-01T14:22:32Z,0,3,MERGED
matico,Adding basic dataset viewer to editor,https://github.com/Matico-Platform/matico/pull/95,2022-04-01T14:20:56Z,2022-04-01T14:21:01Z,0,1,MERGED
matico,Switching pi chart to use Matico Charts and making it work,https://github.com/Matico-Platform/matico/pull/155,2022-07-29T16:05:51Z,2022-07-29T16:06:20Z,0,1,MERGED
matico,Using new components for all panes. We are not including controls her…,https://github.com/Matico-Platform/matico/pull/154,2022-07-28T21:22:38Z,2022-07-28T21:22:48Z,0,1,MERGED
matico,Adding more sophisticated controls to Linear layout,https://github.com/Matico-Platform/matico/pull/153,2022-07-28T15:35:18Z,2022-07-28T15:42:11Z,0,1,MERGED
matico,Errors,https://github.com/Matico-Platform/matico/pull/152,2022-07-28T13:45:50Z,2022-07-28T13:46:05Z,0,7,MERGED
matico,Adding selection tools to maps,https://github.com/Matico-Platform/matico/pull/150,2022-07-27T16:09:31Z,2022-07-27T16:09:39Z,0,1,MERGED
matico,Map controls and interleving,https://github.com/Matico-Platform/matico/pull/149,2022-07-26T14:52:22Z,2022-07-27T13:12:35Z,0,5,MERGED
matico,Polars compute,https://github.com/Matico-Platform/matico/pull/147,2022-07-21T16:04:00Z,2022-07-21T16:04:06Z,0,4,MERGED
matico,Postgeoda jenks,https://github.com/Matico-Platform/matico/pull/145,2022-07-12T19:28:04Z,2022-07-13T19:09:24Z,1,15,MERGED
matico,Spec refactor UI merge,https://github.com/Matico-Platform/matico/pull/144,2022-07-01T18:27:14Z,2022-07-01T18:27:27Z,0,78,MERGED
matico,Better legend,https://github.com/Matico-Platform/matico/pull/140,2022-06-16T00:41:33Z,2022-06-16T13:22:42Z,2,4,MERGED
matico,Adding build step for compute modules,https://github.com/Matico-Platform/matico/pull/136,2022-06-14T21:03:37Z,2022-06-14T21:04:07Z,0,2,MERGED
matico,Adding build step for compute modules,https://github.com/Matico-Platform/matico/pull/135,2022-06-14T19:41:21Z,2022-06-14T19:42:07Z,0,2,MERGED
matico,Compute docker fix,https://github.com/Matico-Platform/matico/pull/121,2022-06-14T16:41:55Z,2022-06-14T16:43:16Z,0,2,MERGED
matico,Fix data upload preview on osx,https://github.com/Matico-Platform/matico/pull/120,2022-06-14T16:28:47Z,2022-06-14T16:42:18Z,0,1,MERGED
matico,Removing some extra console.logs,https://github.com/Matico-Platform/matico/pull/116,2022-06-13T20:29:27Z,2022-06-14T16:42:08Z,0,1,MERGED
matico,Transform UI Updates and Pane Grid Structure,https://github.com/Matico-Platform/matico/pull/206,2022-10-25T15:20:01Z,2022-10-30T05:25:13Z,4,18,MERGED
matico,Bug fixes,https://github.com/Matico-Platform/matico/pull/205,2022-10-18T21:25:35Z,2022-10-18T21:32:44Z,1,10,MERGED
matico,Tweaking assert statement to account for bin number edge case,https://github.com/Matico-Platform/matico/pull/204,2022-10-13T21:15:25Z,2022-10-13T21:15:57Z,1,1,MERGED
matico,Data prep,https://github.com/Matico-Platform/matico/pull/203,2022-10-13T21:13:11Z,2022-10-13T21:13:23Z,1,5,MERGED
