repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
documentcloud-frontend,Basic auth working with Squarelet,https://github.com/MuckRock/documentcloud-frontend/pull/1,2019-10-03T13:45:20Z,2019-10-04T18:28:40Z,1,1,MERGED
documentcloud-frontend,Update Help “test-help-page”,https://github.com/MuckRock/documentcloud-frontend/pull/12,2020-02-24T21:42:01Z,2021-04-21T14:38:40Z,0,1,CLOSED
documentcloud-frontend,Create Help “test-help-page”,https://github.com/MuckRock/documentcloud-frontend/pull/11,2020-02-24T21:25:59Z,2020-02-24T21:26:51Z,0,1,MERGED
documentcloud-frontend,New viewer testing,https://github.com/MuckRock/documentcloud-frontend/pull/53,2020-05-21T16:47:44Z,2020-07-23T15:25:56Z,0,95,MERGED
documentcloud-frontend,Search,https://github.com/MuckRock/documentcloud-frontend/pull/52,2020-05-19T17:05:50Z,2020-05-20T19:03:26Z,2,4,MERGED
documentcloud-frontend,Access changes,https://github.com/MuckRock/documentcloud-frontend/pull/34,2020-04-08T18:19:30Z,2020-04-08T21:22:33Z,0,7,MERGED
documentcloud-frontend,Update Doc “search”,https://github.com/MuckRock/documentcloud-frontend/pull/63,2020-06-16T19:11:42Z,2020-06-16T19:12:13Z,0,1,MERGED
documentcloud-frontend,Create Doc “search”,https://github.com/MuckRock/documentcloud-frontend/pull/62,2020-06-16T05:27:43Z,2020-06-16T05:28:13Z,0,1,MERGED
documentcloud-frontend,Update Doc “test”,https://github.com/MuckRock/documentcloud-frontend/pull/61,2020-06-16T05:26:29Z,2020-06-16T05:27:21Z,0,1,CLOSED
documentcloud-frontend,Update Doc “test”,https://github.com/MuckRock/documentcloud-frontend/pull/60,2020-06-16T05:20:20Z,2020-06-16T05:20:40Z,0,1,MERGED
documentcloud-frontend,Create Help “test-2”,https://github.com/MuckRock/documentcloud-frontend/pull/59,2020-06-15T21:16:48Z,2021-04-21T14:38:26Z,0,1,CLOSED
documentcloud-frontend,Create Help “test-page”,https://github.com/MuckRock/documentcloud-frontend/pull/58,2020-06-15T20:30:16Z,2020-06-15T20:30:31Z,0,1,MERGED
documentcloud-frontend,add plus to link filters,https://github.com/MuckRock/documentcloud-frontend/pull/81,2021-03-29T20:57:16Z,2021-05-07T15:42:45Z,0,3,MERGED
documentcloud-frontend,Add the Source to document sidebar,https://github.com/MuckRock/documentcloud-frontend/pull/79,2021-03-15T02:10:04Z,2021-05-07T15:42:45Z,1,1,MERGED
documentcloud-frontend,Redirect legacy project URLs,https://github.com/MuckRock/documentcloud-frontend/pull/72,2021-02-23T21:12:27Z,2021-02-25T15:16:35Z,0,3,MERGED
documentcloud-frontend,add redirects for all projects,https://github.com/MuckRock/documentcloud-frontend/pull/71,2021-02-16T21:40:08Z,2021-04-21T14:48:20Z,0,1,CLOSED
documentcloud-frontend,Page modification,https://github.com/MuckRock/documentcloud-frontend/pull/70,2021-02-04T20:11:35Z,2021-04-20T13:19:09Z,0,22,MERGED
documentcloud-frontend,initial front end for publish at,https://github.com/MuckRock/documentcloud-frontend/pull/69,2021-01-20T21:18:20Z,2021-01-26T18:45:29Z,12,4,MERGED
documentcloud-frontend,init i18n,https://github.com/MuckRock/documentcloud-frontend/pull/84,2021-05-17T19:30:10Z,2021-05-17T19:59:35Z,0,1,MERGED
documentcloud-frontend,Change ownership,https://github.com/MuckRock/documentcloud-frontend/pull/83,2021-05-10T17:33:43Z,2021-05-11T18:38:10Z,0,12,MERGED
documentcloud-frontend,explicitly turn highlighting on in frontend,https://github.com/MuckRock/documentcloud-frontend/pull/82,2021-04-06T17:21:52Z,2021-04-21T14:35:57Z,0,1,MERGED
documentcloud-frontend,"enable dev mode, addons SCSS cleanup",https://github.com/MuckRock/documentcloud-frontend/pull/95,2022-03-05T12:33:04Z,2022-03-14T17:33:49Z,0,3,CLOSED
documentcloud-frontend,Webpack4 addon status,https://github.com/MuckRock/documentcloud-frontend/pull/94,2022-02-28T14:23:12Z,2022-03-05T12:34:00Z,4,21,CLOSED
documentcloud-frontend,Webpack5 addons status (post-staging),https://github.com/MuckRock/documentcloud-frontend/pull/93,2022-02-28T13:10:46Z,2022-03-14T17:33:29Z,0,24,CLOSED
documentcloud-frontend,Addon status,https://github.com/MuckRock/documentcloud-frontend/pull/92,2022-02-24T14:16:46Z,2022-03-14T17:34:02Z,1,2,CLOSED
documentcloud-frontend,Webpack5 addons status,https://github.com/MuckRock/documentcloud-frontend/pull/91,2022-02-24T12:26:34Z,2022-02-25T20:30:43Z,1,17,MERGED
documentcloud-frontend,add status support for add-ons,https://github.com/MuckRock/documentcloud-frontend/pull/90,2022-02-23T21:05:10Z,2022-02-24T14:14:08Z,0,4,MERGED
documentcloud-frontend,Initial Work toward Webpack 5 with Svue,https://github.com/MuckRock/documentcloud-frontend/pull/89,2022-02-22T09:17:21Z,2022-03-14T17:34:13Z,6,11,CLOSED
documentcloud-frontend,Verify button call to action,https://github.com/MuckRock/documentcloud-frontend/pull/88,2022-02-07T15:37:34Z,2022-03-09T21:08:54Z,1,1,MERGED
documentcloud-frontend,"WIP:demo addons fri, needs better id,param fields",https://github.com/MuckRock/documentcloud-frontend/pull/87,2022-02-04T08:30:41Z,2022-03-14T17:34:36Z,17,6,CLOSED
documentcloud-frontend,Rotate page i18n,https://github.com/MuckRock/documentcloud-frontend/pull/86,2022-01-24T19:23:15Z,2022-01-28T16:05:42Z,2,2,MERGED
documentcloud-frontend,Fix draggable so no highlight when unverified,https://github.com/MuckRock/documentcloud-frontend/pull/85,2022-01-24T19:12:29Z,2022-01-28T16:05:43Z,0,1,MERGED
documentcloud-frontend,Add a delay prop to ProgressiveImage,https://github.com/MuckRock/documentcloud-frontend/pull/96,2022-04-05T14:24:47Z,2022-04-05T15:15:21Z,0,1,MERGED
documentcloud-frontend,Update Makefile to use docker<space>compose,https://github.com/MuckRock/documentcloud-frontend/pull/99,2022-07-14T22:32:55Z,2022-10-07T13:18:28Z,0,1,CLOSED
documentcloud-frontend,Organizational changes,https://github.com/MuckRock/documentcloud-frontend/pull/98,2022-07-11T21:47:35Z,2022-07-12T20:27:25Z,1,3,MERGED
documentcloud-frontend,Correct command require privilege escalation,https://github.com/MuckRock/documentcloud-frontend/pull/97,2022-07-11T20:29:36Z,2022-07-11T20:32:13Z,0,1,MERGED
documentcloud-frontend,Add robots meta tag if the document has hideFromGoogle set.,https://github.com/MuckRock/documentcloud-frontend/pull/100,2022-10-06T21:11:38Z,2022-12-01T14:45:47Z,4,8,CLOSED
documentcloud-frontend,Updating access setting string,https://github.com/MuckRock/documentcloud-frontend/pull/104,2022-12-07T20:22:01Z,2022-12-08T18:31:10Z,0,1,MERGED
documentcloud-frontend,Build fix,https://github.com/MuckRock/documentcloud-frontend/pull/103,2022-12-01T19:13:13Z,2022-12-01T19:13:25Z,0,2,MERGED
documentcloud-frontend,update axios and remove hugo. Rebase master onto this branch.,https://github.com/MuckRock/documentcloud-frontend/pull/102,2022-12-01T16:07:48Z,2022-12-01T16:08:09Z,0,1,MERGED
documentcloud-frontend,Avoid google indexing tests,https://github.com/MuckRock/documentcloud-frontend/pull/101,2022-11-18T15:53:58Z,2022-12-01T14:46:41Z,2,37,MERGED
documentcloud-frontend,Show OCR options to non-premium users,https://github.com/MuckRock/documentcloud-frontend/pull/119,2023-03-30T14:16:39Z,2023-04-10T18:11:28Z,5,10,MERGED
