repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
anet,"Fix intermittent ""yarn run test-jest"" failures",https://github.com/NCI-Agency/anet/pull/2055,2019-07-30T09:34:29Z,2019-07-30T12:33:28Z,1,1,MERGED
anet,Bump some webdriverio/@wdio devDependencies,https://github.com/NCI-Agency/anet/pull/2054,2019-07-29T08:45:02Z,2019-07-29T09:28:06Z,1,1,MERGED
anet,Address repeated loadData calls by keeping a reference count during page render,https://github.com/NCI-Agency/anet/pull/2053,2019-07-29T07:55:46Z,2019-07-29T10:56:40Z,1,1,MERGED
anet,NCI-Agency/anet#1811: Fix lint warnings,https://github.com/NCI-Agency/anet/pull/2037,2019-07-25T14:51:46Z,2019-07-27T15:01:50Z,1,1,MERGED
anet,Change the default view for showing report collections,https://github.com/NCI-Agency/anet/pull/2033,2019-07-22T14:18:07Z,2019-07-22T22:28:32Z,1,1,MERGED
anet,Add batching to the search queries,https://github.com/NCI-Agency/anet/pull/2032,2019-07-19T14:46:38Z,2019-07-31T16:12:39Z,2,21,MERGED
anet,Use the local timezone on BrowserStack,https://github.com/NCI-Agency/anet/pull/2031,2019-07-19T10:05:50Z,2019-07-19T10:32:09Z,1,1,MERGED
anet,Bump some webdriverio/@wdio devDependencies,https://github.com/NCI-Agency/anet/pull/2030,2019-07-19T09:33:50Z,2019-07-19T10:09:51Z,1,1,MERGED
anet,Bump dropwizard from 1.3.12 to 1.3.13,https://github.com/NCI-Agency/anet/pull/2029,2019-07-19T09:20:54Z,2019-07-19T10:06:08Z,1,1,MERGED
anet,Add indexes for all foreign keys and columns used in ORDER BY clauses,https://github.com/NCI-Agency/anet/pull/2008,2019-07-18T14:39:12Z,2019-07-22T10:43:57Z,1,4,MERGED
anet,Bump some @babel devDependencies,https://github.com/NCI-Agency/anet/pull/2007,2019-07-18T08:31:34Z,2019-07-18T08:57:00Z,4,1,MERGED
anet,Gh 1705 batch searches,https://github.com/NCI-Agency/anet/pull/2006,2019-07-18T08:31:00Z,2019-07-18T08:31:10Z,0,16,CLOSED
anet,Bump some webdriverio/@wdio devDependencies,https://github.com/NCI-Agency/anet/pull/2005,2019-07-15T14:09:28Z,2019-07-15T15:08:15Z,1,1,MERGED
anet,Honour Liskov substitution principle in equals(),https://github.com/NCI-Agency/anet/pull/1977,2019-07-11T08:05:46Z,2019-07-18T07:57:09Z,1,1,MERGED
anet,GH-1811 editor add links,https://github.com/NCI-Agency/anet/pull/1973,2019-07-09T15:19:16Z,2019-07-25T07:40:36Z,1,37,MERGED
anet,Update dev-setup documentation,https://github.com/NCI-Agency/anet/pull/1970,2019-07-09T13:58:39Z,2019-08-08T13:25:23Z,2,1,MERGED
anet,Address some Checkstyle warnings,https://github.com/NCI-Agency/anet/pull/1962,2019-07-09T09:35:11Z,2019-07-10T14:40:57Z,1,2,MERGED
anet,Bump some eslint devDependencies,https://github.com/NCI-Agency/anet/pull/1961,2019-07-09T09:22:42Z,2019-07-09T10:42:59Z,1,1,MERGED
anet,Bump @fullcalendar dependencies,https://github.com/NCI-Agency/anet/pull/1960,2019-07-09T07:00:25Z,2019-07-09T08:20:56Z,1,1,MERGED
anet,Bump @blueprintjs dependencies,https://github.com/NCI-Agency/anet/pull/1959,2019-07-09T06:55:13Z,2019-07-09T08:55:51Z,0,1,CLOSED
anet,Bump some babel devDependencies,https://github.com/NCI-Agency/anet/pull/1957,2019-07-08T13:19:55Z,2019-07-08T14:31:36Z,1,1,MERGED
anet,Bump some webdriverio/@wdio devDependencies,https://github.com/NCI-Agency/anet/pull/1956,2019-07-08T12:35:37Z,2019-07-08T13:17:36Z,1,1,MERGED
anet,Fix text in editor being duplicated,https://github.com/NCI-Agency/anet/pull/1955,2019-07-08T11:54:00Z,2019-07-09T08:25:04Z,2,2,MERGED
anet,Fix search,https://github.com/NCI-Agency/anet/pull/1948,2019-07-05T09:28:17Z,2019-07-05T14:19:13Z,1,11,MERGED
anet,Upgrade Gradle,https://github.com/NCI-Agency/anet/pull/1923,2019-07-02T10:01:23Z,2019-07-02T12:35:16Z,1,3,MERGED
anet,Address Javascript eslint warnings,https://github.com/NCI-Agency/anet/pull/1922,2019-07-02T07:31:28Z,2019-07-02T11:25:51Z,1,22,MERGED
anet,"Upgrade graphql-cli, graphiql and graphql",https://github.com/NCI-Agency/anet/pull/1921,2019-07-02T07:23:33Z,2019-07-02T09:19:30Z,1,2,MERGED
anet,Add a configurable assets bundle,https://github.com/NCI-Agency/anet/pull/1920,2019-07-01T18:00:42Z,2019-07-02T12:09:38Z,4,3,MERGED
anet,Add NVG and KML output,https://github.com/NCI-Agency/anet/pull/1918,2019-06-27T16:05:59Z,2019-07-03T16:54:43Z,3,10,MERGED
anet,Make React refs more strict,https://github.com/NCI-Agency/anet/pull/1915,2019-06-26T13:37:29Z,2019-06-27T17:20:31Z,1,2,MERGED
