repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
polaris-viz,Basic line chart,https://github.com/Shopify/polaris-viz/pull/29,2020-03-24T03:32:20Z,2020-04-03T14:06:41Z,10,3,MERGED
polaris-viz,❌ remove shrink-ray,https://github.com/Shopify/polaris-viz/pull/28,2020-03-05T00:31:37Z,2020-03-05T22:24:18Z,0,1,MERGED
polaris-viz,⬆️update to shrink-ray 2.0,https://github.com/Shopify/polaris-viz/pull/26,2020-03-04T21:02:00Z,2020-03-05T00:27:50Z,2,1,CLOSED
polaris-viz,Unpin React dependency version,https://github.com/Shopify/polaris-viz/pull/23,2020-02-25T17:44:05Z,2020-02-25T19:18:15Z,0,1,MERGED
polaris-viz,WIP linechart,https://github.com/Shopify/polaris-viz/pull/22,2020-02-24T03:29:44Z,2020-03-13T23:45:07Z,0,2,CLOSED
polaris-viz,Fix dependencies,https://github.com/Shopify/polaris-viz/pull/21,2020-02-04T20:33:56Z,2020-02-04T20:52:00Z,0,1,MERGED
polaris-viz,Update Changelog for v0.0.3,https://github.com/Shopify/polaris-viz/pull/20,2020-02-04T18:13:06Z,2020-02-04T18:17:25Z,0,1,MERGED
polaris-viz,Use sass and esnext,https://github.com/Shopify/polaris-viz/pull/18,2020-02-01T20:10:48Z,2020-02-04T14:28:36Z,6,1,MERGED
polaris-viz,Add PR template,https://github.com/Shopify/polaris-viz/pull/17,2020-02-01T19:52:36Z,2020-02-01T19:55:00Z,0,1,MERGED
polaris-viz,Use esnext and sass,https://github.com/Shopify/polaris-viz/pull/16,2020-02-01T19:44:17Z,2020-02-01T20:02:27Z,0,2,CLOSED
polaris-viz,Add ✨Sparkline ✨,https://github.com/Shopify/polaris-viz/pull/15,2020-01-29T16:14:29Z,2020-02-14T16:39:18Z,15,1,MERGED
polaris-viz,Add Sparkline component,https://github.com/Shopify/polaris-viz/pull/14,2020-01-24T23:01:54Z,2020-01-31T18:36:34Z,0,1,CLOSED
polaris-viz,Fix margin,https://github.com/Shopify/polaris-viz/pull/13,2020-01-23T21:54:05Z,2020-01-23T21:55:38Z,0,1,MERGED
polaris-viz,Use .esnext files,https://github.com/Shopify/polaris-viz/pull/12,2020-01-21T18:01:45Z,2020-02-05T16:22:24Z,0,8,CLOSED
polaris-viz,Add more stuff,https://github.com/Shopify/polaris-viz/pull/11,2020-01-17T20:35:10Z,2020-05-29T14:21:46Z,27,4,CLOSED
polaris-viz,Add documentation for stacked bar component,https://github.com/Shopify/polaris-viz/pull/10,2020-01-15T16:41:50Z,2020-01-16T20:33:06Z,0,1,MERGED
polaris-viz,Add matchers,https://github.com/Shopify/polaris-viz/pull/9,2020-01-14T19:38:09Z,2020-01-15T14:40:01Z,0,1,MERGED
polaris-viz,Add normalized stacked chart,https://github.com/Shopify/polaris-viz/pull/7,2020-01-13T19:19:02Z,2020-01-15T14:17:26Z,19,1,MERGED
polaris-viz,"Normalized stacked bar, with emotion",https://github.com/Shopify/polaris-viz/pull/6,2020-01-10T22:54:06Z,2020-01-13T21:11:45Z,0,3,CLOSED
polaris-viz,"Use Emotion, remove Sass",https://github.com/Shopify/polaris-viz/pull/5,2020-01-10T22:23:54Z,2020-01-13T14:52:18Z,0,1,MERGED
polaris-viz,Add CI via Github Actions,https://github.com/Shopify/polaris-viz/pull/4,2020-01-10T15:40:55Z,2020-01-10T16:19:33Z,0,3,MERGED
polaris-viz,NormalizedStackedBar component,https://github.com/Shopify/polaris-viz/pull/3,2020-01-08T22:45:27Z,2020-01-13T21:11:50Z,0,2,CLOSED
polaris-viz,Add license and readme,https://github.com/Shopify/polaris-viz/pull/2,2020-01-08T16:36:54Z,2020-01-08T16:37:13Z,0,1,MERGED
polaris-viz,Clean up repo,https://github.com/Shopify/polaris-viz/pull/1,2020-01-08T15:19:48Z,2020-01-10T18:09:18Z,0,1,CLOSED
polaris-viz,Skip tick labels without values,https://github.com/Shopify/polaris-viz/pull/51,2020-05-29T17:36:44Z,2020-06-01T23:27:55Z,0,1,MERGED
polaris-viz,Only show chart once container has been measured,https://github.com/Shopify/polaris-viz/pull/50,2020-05-29T16:11:44Z,2020-06-01T14:31:00Z,0,1,MERGED
polaris-viz,Line chart improve tooltip position,https://github.com/Shopify/polaris-viz/pull/48,2020-05-28T18:18:58Z,2020-05-29T16:07:35Z,5,3,MERGED
polaris-viz,Improve tooltip bounds,https://github.com/Shopify/polaris-viz/pull/47,2020-05-26T23:09:41Z,2020-05-29T16:08:07Z,3,1,CLOSED
polaris-viz,Line chart tests,https://github.com/Shopify/polaris-viz/pull/46,2020-05-20T17:31:21Z,2020-05-26T20:45:24Z,0,8,MERGED
polaris-viz,Use series-specific y-value formatter when provided,https://github.com/Shopify/polaris-viz/pull/45,2020-05-19T21:54:11Z,2020-05-20T19:57:45Z,1,1,MERGED
polaris-viz,Line chart docs,https://github.com/Shopify/polaris-viz/pull/44,2020-05-19T16:38:59Z,2020-05-20T00:48:41Z,2,1,MERGED
polaris-viz,Line chart use window size,https://github.com/Shopify/polaris-viz/pull/43,2020-05-11T22:09:53Z,2020-05-13T05:28:11Z,0,1,MERGED
polaris-viz,Line chart legends,https://github.com/Shopify/polaris-viz/pull/40,2020-05-11T21:13:05Z,2020-05-18T18:46:22Z,5,4,MERGED
polaris-viz,"Use ""strict"" without exceptions",https://github.com/Shopify/polaris-viz/pull/39,2020-04-14T03:07:31Z,2020-04-15T13:31:43Z,0,1,MERGED
polaris-viz,Line chart crosshair and points,https://github.com/Shopify/polaris-viz/pull/38,2020-04-13T18:09:25Z,2020-04-13T21:29:42Z,1,1,MERGED
polaris-viz,Use DOMRect for chart dimensions,https://github.com/Shopify/polaris-viz/pull/37,2020-04-13T17:48:53Z,2020-04-13T18:05:30Z,0,1,MERGED
polaris-viz,Line chart tooltips,https://github.com/Shopify/polaris-viz/pull/36,2020-04-10T02:56:47Z,2020-04-15T13:32:26Z,2,2,MERGED
polaris-viz,Line chart release,https://github.com/Shopify/polaris-viz/pull/35,2020-04-03T16:55:26Z,2020-06-06T01:10:15Z,0,30,MERGED
polaris-viz,Remove React from depedencies,https://github.com/Shopify/polaris-viz/pull/34,2020-04-03T11:57:01Z,2020-04-03T14:01:17Z,0,1,MERGED
polaris-viz,showArea → includeArea,https://github.com/Shopify/polaris-viz/pull/33,2020-04-02T05:44:23Z,2020-04-02T13:06:08Z,0,1,MERGED
polaris-viz,Put useWindowSize in shared hooks directory,https://github.com/Shopify/polaris-viz/pull/32,2020-04-02T05:39:24Z,2020-04-02T13:05:50Z,0,1,MERGED
polaris-viz,[Sparkline] Fix resize,https://github.com/Shopify/polaris-viz/pull/92,2020-07-31T15:16:13Z,2020-08-05T13:37:48Z,1,1,MERGED
polaris-viz,[Line chart] Fix label cutoff,https://github.com/Shopify/polaris-viz/pull/90,2020-07-30T20:16:41Z,2020-08-05T13:46:41Z,1,1,MERGED
polaris-viz,Fix changelog,https://github.com/Shopify/polaris-viz/pull/86,2020-07-27T17:21:26Z,2020-07-27T18:39:05Z,0,1,MERGED
polaris-viz,[GroupedBarChart] Final tweaks,https://github.com/Shopify/polaris-viz/pull/85,2020-07-22T14:49:39Z,2020-07-27T16:14:09Z,2,3,MERGED
polaris-viz,[Grouped bar] Release,https://github.com/Shopify/polaris-viz/pull/83,2020-07-16T16:26:14Z,2020-07-27T17:15:19Z,0,1,MERGED
