repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
swapr-dapp,Remove Uniswap v1,https://github.com/SwaprHQ/swapr-dapp/pull/12,2020-07-31T13:43:43Z,2020-07-31T13:43:50Z,0,2,MERGED
swapr-dapp,V0.1.0,https://github.com/SwaprHQ/swapr-dapp/pull/11,2020-07-12T15:36:27Z,2020-07-12T15:45:04Z,0,4,MERGED
swapr-dapp,dxswap-dapp v0.1.0,https://github.com/SwaprHQ/swapr-dapp/pull/10,2020-07-01T13:20:46Z,2020-07-12T15:43:47Z,0,15,MERGED
swapr-dapp,Fix DXswapRouter import utils,https://github.com/SwaprHQ/swapr-dapp/pull/9,2020-07-01T13:16:07Z,2020-07-01T13:16:34Z,0,1,MERGED
swapr-dapp,Add DXD token on kovan,https://github.com/SwaprHQ/swapr-dapp/pull/8,2020-06-27T14:54:03Z,2020-06-27T14:54:23Z,0,1,MERGED
swapr-dapp,Add dxswap stack,https://github.com/SwaprHQ/swapr-dapp/pull/7,2020-06-27T14:30:57Z,2020-06-27T14:49:59Z,0,7,MERGED
swapr-dapp,Dxswap styles,https://github.com/SwaprHQ/swapr-dapp/pull/6,2020-06-16T13:11:17Z,2020-06-16T13:11:25Z,0,2,MERGED
swapr-dapp,Update v2 branch from uniswap-frontend:v2,https://github.com/SwaprHQ/swapr-dapp/pull/5,2020-06-15T12:24:50Z,2020-06-15T12:25:05Z,0,226,MERGED
swapr-dapp,Partially implement new swap and add liquidity box,https://github.com/SwaprHQ/swapr-dapp/pull/62,2020-10-30T13:51:21Z,2020-11-04T10:36:44Z,0,7,MERGED
swapr-dapp,Allow the user to add custom base tokens,https://github.com/SwaprHQ/swapr-dapp/pull/61,2020-10-29T18:18:16Z,2021-04-08T20:00:03Z,0,6,CLOSED
swapr-dapp,Change expert mode emoji to :sunglasses: trade like a boss,https://github.com/SwaprHQ/swapr-dapp/pull/60,2020-10-29T13:47:04Z,2020-10-29T14:06:52Z,0,1,MERGED
swapr-dapp,New token picker,https://github.com/SwaprHQ/swapr-dapp/pull/59,2020-10-29T13:32:58Z,2020-10-29T16:06:36Z,0,6,MERGED
swapr-dapp,Pool view UI changes,https://github.com/SwaprHQ/swapr-dapp/pull/57,2020-10-28T20:48:00Z,2020-10-29T13:34:43Z,1,3,MERGED
swapr-dapp,UI header and navigation for DXswap,https://github.com/SwaprHQ/swapr-dapp/pull/56,2020-10-28T19:40:05Z,2020-10-29T13:28:59Z,6,12,MERGED
swapr-dapp,fix(pool): Remove endless loading of pools for account with no liquidity,https://github.com/SwaprHQ/swapr-dapp/pull/53,2020-10-27T00:29:34Z,2020-10-27T00:29:41Z,0,1,MERGED
swapr-dapp,fix(pools): Fix to load right pair on pool view refresh,https://github.com/SwaprHQ/swapr-dapp/pull/52,2020-10-27T00:01:35Z,2020-10-27T00:02:00Z,0,1,MERGED
swapr-dapp,Fix issues 46 47 48 50,https://github.com/SwaprHQ/swapr-dapp/pull/51,2020-10-26T17:19:47Z,2020-10-26T19:37:15Z,0,4,MERGED
swapr-dapp,v0.4.0,https://github.com/SwaprHQ/swapr-dapp/pull/45,2020-10-22T22:53:32Z,2020-12-09T21:58:09Z,4,163,CLOSED
swapr-dapp,WIP: implement DXdao token list fetching from the token registry,https://github.com/SwaprHQ/swapr-dapp/pull/44,2020-10-19T19:09:54Z,2020-10-21T21:59:57Z,0,4,MERGED
swapr-dapp,Upstream sync,https://github.com/SwaprHQ/swapr-dapp/pull/30,2020-09-30T13:26:28Z,2020-09-30T13:53:39Z,1,135,CLOSED
swapr-dapp,v0.2.0,https://github.com/SwaprHQ/swapr-dapp/pull/17,2020-08-19T16:05:57Z,2020-10-22T14:55:54Z,1,175,MERGED
swapr-dapp,Refactor before v0.2.0 release,https://github.com/SwaprHQ/swapr-dapp/pull/16,2020-08-18T14:39:59Z,2020-08-19T13:49:56Z,0,13,MERGED
swapr-dapp,Merge uniswap interface,https://github.com/SwaprHQ/swapr-dapp/pull/15,2020-08-12T16:28:15Z,2020-08-12T16:28:26Z,0,94,MERGED
swapr-dapp,Sdk dynamic fees sync,https://github.com/SwaprHQ/swapr-dapp/pull/14,2020-08-04T20:33:18Z,2020-08-12T12:56:53Z,0,14,MERGED
swapr-dapp,Update sdk with dynamic fees,https://github.com/SwaprHQ/swapr-dapp/pull/13,2020-08-04T13:41:45Z,2020-08-12T12:57:28Z,1,3,CLOSED
swapr-dapp,Bugfixes,https://github.com/SwaprHQ/swapr-dapp/pull/166,2020-12-30T13:41:26Z,2020-12-30T17:57:54Z,1,16,MERGED
swapr-dapp,Feature/governance mockup,https://github.com/SwaprHQ/swapr-dapp/pull/159,2020-12-21T14:57:11Z,2021-01-07T16:07:51Z,0,9,CLOSED
swapr-dapp,governance main ,https://github.com/SwaprHQ/swapr-dapp/pull/154,2020-12-16T11:20:11Z,2020-12-21T14:53:06Z,5,9,CLOSED
swapr-dapp,Bugfixes,https://github.com/SwaprHQ/swapr-dapp/pull/152,2020-12-14T16:57:28Z,2020-12-24T13:09:46Z,1,14,MERGED
