repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
quiet,Make registrar fail faster (moved from waggle repo),https://github.com/TryQuiet/quiet/pull/27,2021-12-28T14:06:45Z,2021-12-29T12:32:10Z,0,1,MERGED
quiet,fix waggle tests,https://github.com/TryQuiet/quiet/pull/26,2021-12-28T13:50:40Z,2021-12-29T12:40:41Z,0,2,MERGED
quiet,Ci/building project,https://github.com/TryQuiet/quiet/pull/25,2021-12-28T07:54:33Z,2021-12-28T12:34:07Z,3,7,MERGED
quiet,Fixes to workflows,https://github.com/TryQuiet/quiet/pull/24,2021-12-27T15:57:55Z,2021-12-28T07:24:38Z,0,3,MERGED
quiet,Hide/channel actions menu,https://github.com/TryQuiet/quiet/pull/22,2021-12-27T08:11:54Z,2021-12-28T09:34:10Z,0,5,MERGED
quiet,Changed 'invite a friend' to 'add members'. Removed 'account' tab and…,https://github.com/TryQuiet/quiet/pull/20,2021-12-23T15:26:22Z,2021-12-28T09:24:04Z,1,5,MERGED
quiet,Fixed anchor,https://github.com/TryQuiet/quiet/pull/19,2021-12-23T14:39:15Z,2021-12-27T12:51:03Z,0,1,MERGED
quiet,Remove/channel description,https://github.com/TryQuiet/quiet/pull/18,2021-12-23T12:17:58Z,2021-12-23T13:49:18Z,0,3,MERGED
quiet,Commented out DM section in sidebar,https://github.com/TryQuiet/quiet/pull/17,2021-12-23T12:07:52Z,2021-12-23T13:49:08Z,0,2,MERGED
quiet,Added top padding in sidebar,https://github.com/TryQuiet/quiet/pull/16,2021-12-23T11:55:16Z,2021-12-23T13:48:50Z,0,1,MERGED
quiet,Moved changes from old repo,https://github.com/TryQuiet/quiet/pull/15,2021-12-22T16:08:26Z,2022-01-10T17:53:16Z,2,8,MERGED
quiet,Provided absolute paths in workflows trigger,https://github.com/TryQuiet/quiet/pull/12,2021-12-21T15:29:32Z,2021-12-21T15:42:49Z,0,5,MERGED
quiet,Fix/typescript,https://github.com/TryQuiet/quiet/pull/11,2021-12-21T15:12:16Z,2021-12-21T15:22:45Z,0,5,MERGED
quiet,waggle workflow,https://github.com/TryQuiet/quiet/pull/10,2021-12-21T14:03:47Z,2022-01-05T13:55:24Z,0,19,MERGED
quiet,Add e2e tests as monorepo package,https://github.com/TryQuiet/quiet/pull/7,2021-12-20T13:11:24Z,2022-01-04T13:56:51Z,2,17,MERGED
quiet,fix on windows notification app name,https://github.com/TryQuiet/quiet/pull/410,2022-03-31T12:06:02Z,2022-04-01T14:54:27Z,0,1,MERGED
quiet,Feature/two player e2e tests,https://github.com/TryQuiet/quiet/pull/407,2022-03-30T09:13:53Z,2022-04-11T15:36:01Z,7,39,MERGED
quiet,do not display notification from unknown user,https://github.com/TryQuiet/quiet/pull/406,2022-03-29T15:55:04Z,2022-03-30T11:53:47Z,1,2,MERGED
quiet,Set proper version on electron-builder and node in before-build CI ac…,https://github.com/TryQuiet/quiet/pull/403,2022-03-28T15:49:28Z,2022-04-04T08:35:03Z,0,53,MERGED
quiet,remove restart waggle proces and retry lauch community and ipc.render…,https://github.com/TryQuiet/quiet/pull/402,2022-03-28T14:11:08Z,2022-03-28T15:47:03Z,0,1,MERGED
quiet,Moved messages slice to channels entities,https://github.com/TryQuiet/quiet/pull/401,2022-03-28T13:46:57Z,2022-04-01T13:39:49Z,0,19,MERGED
quiet,fix restart waggle proces and retry lauch community,https://github.com/TryQuiet/quiet/pull/399,2022-03-28T12:02:27Z,2022-03-28T14:06:47Z,0,2,CLOSED
quiet,Tests for verificating and filtering out messages,https://github.com/TryQuiet/quiet/pull/395,2022-03-25T13:57:03Z,2022-04-15T10:38:56Z,1,2,CLOSED
quiet,Electron/merge master,https://github.com/TryQuiet/quiet/pull/392,2022-03-25T11:48:41Z,2022-03-28T12:37:43Z,8,212,MERGED
quiet,Feature/dogfooding script,https://github.com/TryQuiet/quiet/pull/388,2022-03-24T17:31:23Z,2022-04-11T15:36:03Z,0,5,MERGED
quiet,add socketio pinginterval,https://github.com/TryQuiet/quiet/pull/387,2022-03-24T17:22:03Z,2022-03-24T17:43:41Z,1,2,MERGED
quiet,Prepare Docker container with mobile development environment,https://github.com/TryQuiet/quiet/pull/378,2022-03-22T15:10:39Z,2022-07-26T15:54:24Z,1,8,CLOSED
quiet,Test for rendering IdentityPanel without a community name,https://github.com/TryQuiet/quiet/pull/370,2022-03-21T09:27:51Z,2022-03-21T11:24:35Z,0,1,MERGED
quiet,Fixed duplication of messages displaying,https://github.com/TryQuiet/quiet/pull/365,2022-03-18T11:26:30Z,2022-03-18T14:59:50Z,1,2,MERGED
quiet,Corrected if statement,https://github.com/TryQuiet/quiet/pull/359,2022-03-18T08:08:19Z,2022-03-18T08:10:20Z,0,1,MERGED
quiet,add notification test case 'do not display notification when the mess…,https://github.com/TryQuiet/quiet/pull/358,2022-03-17T18:11:00Z,2022-03-18T15:05:27Z,0,1,MERGED
quiet,fix integrations test,https://github.com/TryQuiet/quiet/pull/357,2022-03-17T17:24:02Z,2022-03-18T16:02:40Z,0,1,MERGED
quiet,Bring back cookie auth on ios,https://github.com/TryQuiet/quiet/pull/353,2022-03-17T12:24:02Z,2022-03-24T16:14:54Z,0,1,MERGED
quiet,Changed error message,https://github.com/TryQuiet/quiet/pull/352,2022-03-17T10:53:05Z,2022-03-22T15:11:27Z,0,1,MERGED
quiet,improved scroll behavior,https://github.com/TryQuiet/quiet/pull/351,2022-03-17T10:34:50Z,2022-03-17T15:22:43Z,1,3,MERGED
quiet,restored default datadir for build,https://github.com/TryQuiet/quiet/pull/350,2022-03-17T08:13:47Z,2022-03-17T09:54:53Z,0,1,MERGED
quiet,allow auto updater for windows and macos,https://github.com/TryQuiet/quiet/pull/349,2022-03-17T08:10:18Z,2022-03-17T09:55:03Z,0,1,MERGED
quiet,Mobile/switch to upstream nodejs mobile react native,https://github.com/TryQuiet/quiet/pull/348,2022-03-16T16:52:31Z,2022-03-17T09:14:16Z,0,4,MERGED
quiet,Show join community modal after connecting websocket,https://github.com/TryQuiet/quiet/pull/345,2022-03-16T13:22:19Z,2022-03-16T16:39:46Z,0,1,MERGED
quiet,Fix/top scroll,https://github.com/TryQuiet/quiet/pull/344,2022-03-16T12:11:12Z,2022-03-17T12:03:40Z,0,17,CLOSED
quiet,Improve reliability of capitalizing letter,https://github.com/TryQuiet/quiet/pull/343,2022-03-16T12:00:05Z,2022-03-16T16:36:32Z,1,1,MERGED
quiet,Fix/add resolutions for ipfs core types,https://github.com/TryQuiet/quiet/pull/341,2022-03-16T11:21:50Z,2022-03-16T16:36:50Z,0,3,MERGED
quiet,set minimum character in inuot names on 1,https://github.com/TryQuiet/quiet/pull/340,2022-03-15T18:04:58Z,2022-03-16T18:32:21Z,1,3,MERGED
quiet,Add common dragable area on top of the window,https://github.com/TryQuiet/quiet/pull/332,2022-03-15T16:01:46Z,2022-03-16T16:37:12Z,1,2,MERGED
quiet,Capitalizing community on display,https://github.com/TryQuiet/quiet/pull/331,2022-03-15T15:18:00Z,2022-03-15T16:04:59Z,0,2,MERGED
quiet,do not notify for messages sent with timestamps before the time it ca…,https://github.com/TryQuiet/quiet/pull/330,2022-03-15T14:16:13Z,2022-03-15T17:36:46Z,0,1,MERGED
quiet,Fix format message display date method,https://github.com/TryQuiet/quiet/pull/329,2022-03-15T14:12:21Z,2022-03-15T16:05:34Z,0,1,MERGED
quiet,Feature/save logs to file,https://github.com/TryQuiet/quiet/pull/327,2022-03-14T23:35:06Z,2022-03-21T16:35:40Z,1,19,MERGED
quiet,Fix/components visibility on init,https://github.com/TryQuiet/quiet/pull/326,2022-03-14T17:32:07Z,2022-03-15T16:05:53Z,3,5,MERGED
quiet,README update,https://github.com/TryQuiet/quiet/pull/325,2022-03-14T11:17:15Z,2022-03-15T10:29:03Z,1,1,MERGED
quiet,Mobile/join community,https://github.com/TryQuiet/quiet/pull/323,2022-03-14T10:12:17Z,2022-03-15T12:21:42Z,1,10,MERGED
quiet,Fix release workflow for windows,https://github.com/TryQuiet/quiet/pull/318,2022-03-11T15:43:29Z,2022-03-11T17:54:09Z,0,1,MERGED
quiet,Feature/support multiple quiet instances,https://github.com/TryQuiet/quiet/pull/315,2022-03-10T16:47:26Z,2022-03-11T12:29:07Z,1,7,MERGED
