repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
optimistic-oracle-dapp-v2,feat: update oracle data from transaction receipts,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/64,2023-03-31T17:33:29Z,2023-04-03T12:31:33Z,8,1,MERGED
optimistic-oracle-dapp-v2,feat: project specific metadata,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/63,2023-03-31T13:21:50Z,2023-04-03T07:36:30Z,4,13,MERGED
optimistic-oracle-dapp-v2,improve: refac request/assertion types to have more partial vals,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/62,2023-03-30T18:25:57Z,2023-03-31T11:21:29Z,5,1,MERGED
optimistic-oracle-dapp-v2,improve: refac organization to include web3 logic,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/61,2023-03-30T17:12:46Z,2023-03-31T12:10:30Z,3,2,MERGED
optimistic-oracle-dapp-v2,feat: sort queries by date,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/60,2023-03-30T12:46:25Z,2023-03-31T08:18:29Z,2,2,MERGED
optimistic-oracle-dapp-v2,fix: wrong entries and double counting in filters,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/59,2023-03-30T09:49:54Z,2023-03-31T08:18:13Z,8,7,MERGED
optimistic-oracle-dapp-v2,feat: wire up more information section,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/58,2023-03-29T13:13:47Z,2023-03-29T13:49:15Z,7,8,MERGED
optimistic-oracle-dapp-v2,fix: switching between different tabs clears filters,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/57,2023-03-28T14:40:18Z,2023-03-29T07:26:47Z,2,5,MERGED
optimistic-oracle-dapp-v2,fix: compare time as ms,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/56,2023-03-28T13:17:22Z,2023-03-28T16:41:28Z,2,1,MERGED
optimistic-oracle-dapp-v2,feat: add vote ticker function,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/55,2023-03-28T13:01:02Z,2023-03-31T11:47:55Z,3,2,MERGED
optimistic-oracle-dapp-v2,fix: use correct timestamp for expiry,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/54,2023-03-27T16:07:37Z,2023-03-28T12:09:29Z,2,1,MERGED
optimistic-oracle-dapp-v2,feat: allow action button to connect and switch chains,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/53,2023-03-24T16:10:40Z,2023-03-28T12:07:34Z,2,1,MERGED
optimistic-oracle-dapp-v2,fix: pagination odd number of entries,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/52,2023-03-23T12:25:39Z,2023-03-28T06:44:36Z,2,10,MERGED
optimistic-oracle-dapp-v2,feat: add url query links in navbar,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/51,2023-03-21T18:29:04Z,2023-03-23T13:09:50Z,7,1,MERGED
optimistic-oracle-dapp-v2,feat: wire in transaction notifications,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/50,2023-03-21T16:11:35Z,2023-03-22T16:02:04Z,4,7,MERGED
optimistic-oracle-dapp-v2,feat: vote notification system copied in,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/49,2023-03-21T15:19:08Z,2023-03-22T12:18:14Z,2,11,MERGED
optimistic-oracle-dapp-v2,feat: add skinny oo contract interactions,https://github.com/UMAprotocol/optimistic-oracle-dapp-v2/pull/48,2023-03-21T13:37:39Z,2023-03-22T16:25:26Z,3,2,MERGED
