repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
deliberation-empirica,Experiment walkthrough cypress test,https://github.com/Watts-Lab/deliberation-empirica/pull/57,2022-05-26T23:11:45Z,2022-05-27T01:03:05Z,0,8,MERGED
deliberation-empirica,Send Exit Survey Results to Empirca,https://github.com/Watts-Lab/deliberation-empirica/pull/56,2022-05-26T23:07:51Z,2022-05-27T12:39:59Z,4,8,MERGED
deliberation-empirica,account for tiny url regex,https://github.com/Watts-Lab/deliberation-empirica/pull/55,2022-05-26T20:57:59Z,2022-05-27T14:49:03Z,0,1,MERGED
deliberation-empirica,Update Discussion.jsx,https://github.com/Watts-Lab/deliberation-empirica/pull/52,2022-05-26T14:08:16Z,2022-05-27T16:24:46Z,0,2,MERGED
deliberation-empirica,trying to fix ngrok,https://github.com/Watts-Lab/deliberation-empirica/pull/51,2022-05-26T12:32:02Z,2022-05-26T12:53:20Z,0,4,MERGED
deliberation-empirica,Containerize ngrok,https://github.com/Watts-Lab/deliberation-empirica/pull/50,2022-05-25T21:39:57Z,2022-05-26T17:25:24Z,0,11,MERGED
deliberation-empirica,topic markdown ,https://github.com/Watts-Lab/deliberation-empirica/pull/49,2022-05-25T19:51:58Z,2022-05-26T18:00:17Z,6,6,MERGED
deliberation-empirica,Added duration as a treatment factor,https://github.com/Watts-Lab/deliberation-empirica/pull/48,2022-05-25T19:10:36Z,2022-05-25T22:37:02Z,4,3,MERGED
deliberation-empirica,Kimberly cypress set up,https://github.com/Watts-Lab/deliberation-empirica/pull/47,2022-05-25T18:46:50Z,2022-05-25T18:49:11Z,0,17,MERGED
deliberation-empirica,Origin/becca moving components highlevel,https://github.com/Watts-Lab/deliberation-empirica/pull/46,2022-05-25T16:58:23Z,2022-05-25T17:48:58Z,0,6,MERGED
deliberation-empirica,"cleaning up .empirica, readme changes",https://github.com/Watts-Lab/deliberation-empirica/pull/43,2022-05-25T01:06:46Z,2022-05-25T20:50:58Z,0,8,MERGED
deliberation-empirica,Cypress set up,https://github.com/Watts-Lab/deliberation-empirica/pull/41,2022-05-24T20:37:55Z,2022-05-25T18:45:04Z,3,15,CLOSED
deliberation-empirica,Update VideoCall.jsx,https://github.com/Watts-Lab/deliberation-empirica/pull/40,2022-05-24T13:30:08Z,2022-05-25T17:41:54Z,2,1,MERGED
deliberation-empirica,Bug fix/display exit survey,https://github.com/Watts-Lab/deliberation-empirica/pull/39,2022-05-23T16:25:46Z,2022-05-25T23:04:09Z,4,7,MERGED
deliberation-empirica,Dockerize,https://github.com/Watts-Lab/deliberation-empirica/pull/29,2022-05-20T21:30:17Z,2022-05-20T21:30:24Z,0,4,MERGED
deliberation-empirica,Dockerize,https://github.com/Watts-Lab/deliberation-empirica/pull/28,2022-05-20T20:51:02Z,2022-05-20T20:52:09Z,0,2,MERGED
deliberation-empirica,Added the section for a new deploy.,https://github.com/Watts-Lab/deliberation-empirica/pull/25,2022-05-09T19:42:26Z,2022-05-09T20:24:37Z,0,2,CLOSED
deliberation-empirica,Dockerize,https://github.com/Watts-Lab/deliberation-empirica/pull/22,2022-05-09T17:33:27Z,2022-05-09T18:19:35Z,0,11,MERGED
deliberation-empirica,Fixed import bugs on using wrapper,https://github.com/Watts-Lab/deliberation-empirica/pull/15,2022-04-28T20:11:21Z,2022-05-25T00:53:52Z,1,1,CLOSED
deliberation-empirica,fixed alert scroll,https://github.com/Watts-Lab/deliberation-empirica/pull/237,2022-07-28T15:48:23Z,2022-07-28T16:13:40Z,1,1,MERGED
deliberation-empirica,Icon Fix + Recording Url Update,https://github.com/Watts-Lab/deliberation-empirica/pull/236,2022-07-27T15:19:18Z,2022-08-01T18:15:00Z,1,4,MERGED
deliberation-empirica,Origin/ultimate styling makover,https://github.com/Watts-Lab/deliberation-empirica/pull/235,2022-07-27T12:59:41Z,2022-07-28T15:34:46Z,2,6,MERGED
deliberation-empirica,Update to trigger on pr approve,https://github.com/Watts-Lab/deliberation-empirica/pull/234,2022-07-26T19:54:26Z,2022-08-01T18:35:40Z,8,13,MERGED
deliberation-empirica,change mturk id to name for demo,https://github.com/Watts-Lab/deliberation-empirica/pull/233,2022-07-26T15:52:27Z,2022-07-26T16:00:05Z,1,1,MERGED
deliberation-empirica,hack dockerfile to overcome build error,https://github.com/Watts-Lab/deliberation-empirica/pull/232,2022-07-26T14:11:38Z,2022-07-26T14:12:02Z,0,1,MERGED
deliberation-empirica,Add Video Consent Intro for Beta,https://github.com/Watts-Lab/deliberation-empirica/pull/230,2022-07-26T03:43:21Z,2022-07-26T13:24:58Z,1,2,MERGED
deliberation-empirica,Update Discussion.jsx,https://github.com/Watts-Lab/deliberation-empirica/pull/229,2022-07-25T20:09:18Z,2022-07-25T20:18:15Z,1,1,MERGED
deliberation-empirica,Pull score function from surveys repo for team viability survey,https://github.com/Watts-Lab/deliberation-empirica/pull/228,2022-07-25T17:17:41Z,2022-08-06T15:19:16Z,7,13,CLOSED
deliberation-empirica,Skylar-Alerts,https://github.com/Watts-Lab/deliberation-empirica/pull/227,2022-07-25T16:07:19Z,2022-07-25T19:21:12Z,3,6,MERGED
deliberation-empirica,Automate Version Update,https://github.com/Watts-Lab/deliberation-empirica/pull/226,2022-07-25T14:52:17Z,2022-07-25T17:28:12Z,1,1,MERGED
deliberation-empirica,new display logics,https://github.com/Watts-Lab/deliberation-empirica/pull/225,2022-07-25T13:36:03Z,2022-07-25T19:00:49Z,1,3,MERGED
deliberation-empirica,Weekend debugging,https://github.com/Watts-Lab/deliberation-empirica/pull/224,2022-07-24T03:02:10Z,2022-07-24T18:41:23Z,1,4,MERGED
deliberation-empirica,Bug Fix,https://github.com/Watts-Lab/deliberation-empirica/pull/221,2022-07-22T16:18:36Z,2022-07-22T16:19:15Z,0,1,MERGED
deliberation-empirica,Skylar alert updates,https://github.com/Watts-Lab/deliberation-empirica/pull/220,2022-07-22T15:27:58Z,2022-07-25T13:42:51Z,2,5,CLOSED
deliberation-empirica,Alan axios fix,https://github.com/Watts-Lab/deliberation-empirica/pull/219,2022-07-22T15:20:11Z,2022-07-22T15:33:51Z,0,2,MERGED
deliberation-empirica,Add count of players waiting to lobby,https://github.com/Watts-Lab/deliberation-empirica/pull/218,2022-07-22T14:36:12Z,2022-07-22T15:00:28Z,1,1,MERGED
deliberation-empirica,Added Training Video Stage,https://github.com/Watts-Lab/deliberation-empirica/pull/216,2022-07-20T22:44:14Z,2022-07-22T11:04:23Z,2,8,MERGED
deliberation-empirica,Origin/notify button with name,https://github.com/Watts-Lab/deliberation-empirica/pull/214,2022-07-20T16:05:41Z,2022-07-20T19:32:07Z,1,5,MERGED
deliberation-empirica,Origin/profile formatting,https://github.com/Watts-Lab/deliberation-empirica/pull/213,2022-07-20T13:59:23Z,2022-07-20T16:14:00Z,2,11,MERGED
deliberation-empirica,Remove Elephant Button in Production,https://github.com/Watts-Lab/deliberation-empirica/pull/212,2022-07-19T19:10:32Z,2022-07-22T13:33:25Z,3,7,MERGED
deliberation-empirica,Stop payment in exit steps and no games,https://github.com/Watts-Lab/deliberation-empirica/pull/211,2022-07-19T15:51:52Z,2022-07-21T02:45:39Z,1,13,MERGED
deliberation-empirica,Origin/get to know you stage,https://github.com/Watts-Lab/deliberation-empirica/pull/209,2022-07-18T19:22:22Z,2022-07-20T16:11:08Z,2,4,CLOSED
deliberation-empirica,Update team_viability.json,https://github.com/Watts-Lab/deliberation-empirica/pull/208,2022-07-18T16:37:01Z,2022-07-22T10:58:00Z,3,1,CLOSED
deliberation-empirica,fix video check name,https://github.com/Watts-Lab/deliberation-empirica/pull/190,2022-07-15T17:29:25Z,2022-07-20T02:24:30Z,1,3,MERGED
deliberation-empirica,add final payment to player,https://github.com/Watts-Lab/deliberation-empirica/pull/188,2022-07-15T15:25:51Z,2022-07-15T16:39:03Z,1,2,MERGED
deliberation-empirica,notify button change,https://github.com/Watts-Lab/deliberation-empirica/pull/187,2022-07-15T14:08:50Z,2022-07-15T17:03:19Z,1,9,MERGED
deliberation-empirica,Video format changes,https://github.com/Watts-Lab/deliberation-empirica/pull/186,2022-07-15T13:46:02Z,2022-07-15T14:49:41Z,1,16,MERGED
deliberation-empirica,Update variable names for tajriba,https://github.com/Watts-Lab/deliberation-empirica/pull/185,2022-07-14T19:05:44Z,2022-07-15T16:26:08Z,2,5,MERGED
deliberation-empirica,Fix payment display,https://github.com/Watts-Lab/deliberation-empirica/pull/184,2022-07-14T19:04:12Z,2022-07-15T14:25:54Z,6,10,MERGED
deliberation-empirica,Cypress test multiple players,https://github.com/Watts-Lab/deliberation-empirica/pull/183,2022-07-14T16:19:19Z,2022-07-20T01:56:55Z,5,9,MERGED
deliberation-empirica,Update CheckUnderstanding.jsx,https://github.com/Watts-Lab/deliberation-empirica/pull/182,2022-07-14T14:53:07Z,2022-07-15T13:14:27Z,1,1,MERGED
deliberation-empirica,Update push_data.sh,https://github.com/Watts-Lab/deliberation-empirica/pull/180,2022-07-13T17:33:59Z,2022-07-13T17:34:10Z,0,1,MERGED
deliberation-empirica,Fix TV and QC Surveys rendering and add Sentry Logs,https://github.com/Watts-Lab/deliberation-empirica/pull/179,2022-07-13T15:32:31Z,2022-07-15T14:49:43Z,4,10,MERGED
deliberation-empirica,Update entrypoint.sh,https://github.com/Watts-Lab/deliberation-empirica/pull/178,2022-07-13T02:37:32Z,2022-07-13T02:45:01Z,1,2,MERGED
deliberation-empirica,fix cron,https://github.com/Watts-Lab/deliberation-empirica/pull/177,2022-07-13T01:46:07Z,2022-07-13T01:46:13Z,0,1,MERGED
deliberation-empirica,Update Dockerfile,https://github.com/Watts-Lab/deliberation-empirica/pull/176,2022-07-13T01:14:48Z,2022-07-13T01:14:55Z,0,1,MERGED
deliberation-empirica,add launch cron to entrypoint,https://github.com/Watts-Lab/deliberation-empirica/pull/175,2022-07-12T18:43:30Z,2022-07-12T18:44:05Z,0,1,MERGED
deliberation-empirica,Add player ids to game start and end logs,https://github.com/Watts-Lab/deliberation-empirica/pull/174,2022-07-12T17:56:23Z,2022-07-15T16:40:08Z,2,5,MERGED
deliberation-empirica,Delete double declaration of player and round,https://github.com/Watts-Lab/deliberation-empirica/pull/173,2022-07-12T17:46:11Z,2022-07-12T17:48:39Z,0,1,MERGED
deliberation-empirica,Update CheckUnderstanding.jsx,https://github.com/Watts-Lab/deliberation-empirica/pull/171,2022-07-12T14:27:36Z,2022-07-13T18:57:16Z,1,3,MERGED
deliberation-empirica,Fix data extraction,https://github.com/Watts-Lab/deliberation-empirica/pull/170,2022-07-12T12:53:36Z,2022-07-12T18:13:46Z,1,7,MERGED
deliberation-empirica,Alan eyeson integration,https://github.com/Watts-Lab/deliberation-empirica/pull/166,2022-07-11T20:00:12Z,2022-07-21T20:11:30Z,8,30,MERGED
deliberation-empirica,Update treatments.yaml,https://github.com/Watts-Lab/deliberation-empirica/pull/151,2022-07-11T16:26:51Z,2022-07-11T16:27:35Z,0,1,MERGED
deliberation-empirica,affective polarization survey,https://github.com/Watts-Lab/deliberation-empirica/pull/150,2022-07-11T15:58:03Z,2023-03-28T15:29:52Z,1,1,CLOSED
deliberation-empirica,Kimberly log game start end,https://github.com/Watts-Lab/deliberation-empirica/pull/149,2022-07-11T15:47:52Z,2022-07-12T17:35:39Z,1,3,MERGED
deliberation-empirica,James push data,https://github.com/Watts-Lab/deliberation-empirica/pull/148,2022-07-10T13:52:32Z,2022-07-11T01:22:55Z,1,5,MERGED
deliberation-empirica,Skylar-discussion-survey,https://github.com/Watts-Lab/deliberation-empirica/pull/147,2022-07-08T01:56:24Z,2022-07-21T15:06:12Z,3,3,CLOSED
deliberation-empirica,Kimberly update topic survey options,https://github.com/Watts-Lab/deliberation-empirica/pull/146,2022-07-07T17:08:11Z,2022-07-11T16:06:27Z,2,12,MERGED
deliberation-empirica,Skylar topic survey stage,https://github.com/Watts-Lab/deliberation-empirica/pull/145,2022-07-05T15:20:04Z,2022-07-11T16:06:25Z,2,27,MERGED
deliberation-empirica,Fetch surveys in new batch,https://github.com/Watts-Lab/deliberation-empirica/pull/141,2022-06-30T18:59:45Z,2022-07-05T17:49:19Z,4,11,MERGED
deliberation-empirica,add payment calculations to callbacks,https://github.com/Watts-Lab/deliberation-empirica/pull/140,2022-06-30T17:18:56Z,2022-07-07T15:49:56Z,1,15,MERGED
deliberation-empirica,Create exit step that immediately goes to the next page,https://github.com/Watts-Lab/deliberation-empirica/pull/139,2022-06-29T17:18:16Z,2022-07-15T15:54:57Z,3,1,CLOSED
deliberation-empirica,Update cypress tests discussion page,https://github.com/Watts-Lab/deliberation-empirica/pull/138,2022-06-27T15:25:07Z,2022-06-27T16:35:37Z,1,2,MERGED
deliberation-empirica,James upgrade empirica,https://github.com/Watts-Lab/deliberation-empirica/pull/131,2022-06-24T13:47:23Z,2022-06-24T14:04:55Z,1,6,MERGED
