repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
react-spectrum,Semantic elements and slots rfcs,https://github.com/adobe/react-spectrum/pull/40,2019-10-31T02:54:47Z,2019-12-03T19:01:03Z,20,6,MERGED
react-spectrum,Fix incorrect package.json and add additional linting,https://github.com/adobe/react-spectrum/pull/39,2019-10-30T22:15:33Z,2019-10-30T22:33:16Z,2,1,MERGED
react-spectrum,Fix #628 [Accessibility] SearchField: update v3 tests to match v2 changes,https://github.com/adobe/react-spectrum/pull/38,2019-10-30T21:33:00Z,2019-11-01T16:03:54Z,5,2,MERGED
react-spectrum,On hold - V3 splitview followup,https://github.com/adobe/react-spectrum/pull/37,2019-10-30T02:17:34Z,2020-10-14T00:45:05Z,8,21,CLOSED
react-spectrum,Update codeowners,https://github.com/adobe/react-spectrum/pull/36,2019-10-29T21:06:26Z,2019-10-29T22:00:26Z,2,1,MERGED
react-spectrum,Removing v2 stuff (tooltip) from TextField,https://github.com/adobe/react-spectrum/pull/35,2019-10-29T18:48:05Z,2019-10-30T19:24:10Z,5,3,MERGED
react-spectrum,[CSS is WIP] RSP-1151: NumberField,https://github.com/adobe/react-spectrum/pull/34,2019-10-29T16:07:05Z,2019-11-26T23:36:59Z,23,22,MERGED
react-spectrum,[WIP] RSP-1124 : TooltipV3-Placements/Variants/Click,https://github.com/adobe/react-spectrum/pull/33,2019-10-29T07:00:41Z,2019-11-05T22:40:29Z,27,18,CLOSED
react-spectrum,V3 toast component,https://github.com/adobe/react-spectrum/pull/32,2019-10-25T23:50:22Z,2019-11-12T01:37:32Z,37,19,MERGED
react-spectrum,Initial implementation of collections API and Tree,https://github.com/adobe/react-spectrum/pull/31,2019-10-25T22:16:26Z,2019-11-04T23:07:15Z,25,19,MERGED
react-spectrum,Api Docs - Part 1,https://github.com/adobe/react-spectrum/pull/30,2019-10-25T21:21:45Z,2019-10-30T22:55:36Z,6,4,MERGED
react-spectrum,RSP-1329 Define Accessibility Spec for Toast,https://github.com/adobe/react-spectrum/pull/29,2019-10-25T14:22:28Z,2019-11-12T00:42:29Z,11,5,MERGED
react-spectrum,updating package versions to inlcude alpha,https://github.com/adobe/react-spectrum/pull/28,2019-10-24T22:50:33Z,2019-10-25T22:53:17Z,3,2,MERGED
react-spectrum,RSP-1134: Breadcrumbs component,https://github.com/adobe/react-spectrum/pull/27,2019-10-24T17:58:50Z,2019-10-29T21:58:21Z,23,8,MERGED
react-spectrum,RSP-1331 Define Accessibility Spec for Breadcrumbs,https://github.com/adobe/react-spectrum/pull/26,2019-10-23T15:29:11Z,2019-10-29T17:49:40Z,10,4,MERGED
react-spectrum,RSP-1305 Define Accessibility Spec for MenuTrigger,https://github.com/adobe/react-spectrum/pull/25,2019-10-22T18:54:15Z,2019-11-06T21:18:27Z,6,4,MERGED
react-spectrum,RSP-1141: Link component,https://github.com/adobe/react-spectrum/pull/24,2019-10-18T14:43:04Z,2019-10-23T23:35:25Z,14,6,MERGED
react-spectrum,V3 illustrated message,https://github.com/adobe/react-spectrum/pull/23,2019-10-17T03:55:58Z,2019-10-24T01:10:31Z,14,5,MERGED
react-spectrum,Merge from v2 repo,https://github.com/adobe/react-spectrum/pull/22,2019-10-16T21:34:54Z,2019-10-16T23:36:32Z,8,34,MERGED
react-spectrum,RSP-1123 : Tooltip Base Implementation ,https://github.com/adobe/react-spectrum/pull/21,2019-10-16T01:18:21Z,2019-10-21T20:33:06Z,15,17,MERGED
react-spectrum,next -> master,https://github.com/adobe/react-spectrum/pull/20,2019-10-15T21:12:56Z,2019-10-15T22:00:55Z,2,2,MERGED
react-spectrum,Reduced to one icon size for workflow icons,https://github.com/adobe/react-spectrum/pull/18,2019-10-10T18:44:41Z,2019-10-10T22:54:02Z,2,1,MERGED
react-spectrum,Parcel build and publish workflow,https://github.com/adobe/react-spectrum/pull/17,2019-10-09T18:58:10Z,2019-10-15T19:29:09Z,6,28,MERGED
react-spectrum,RSP-1306 v3 [Accessibility][Spec] Select,https://github.com/adobe/react-spectrum/pull/16,2019-10-07T21:49:20Z,2019-10-15T21:28:02Z,3,1,MERGED
react-spectrum,Update to 1.0.0 icons on npm,https://github.com/adobe/react-spectrum/pull/15,2019-10-04T23:23:26Z,2019-10-05T01:03:48Z,2,4,MERGED
react-spectrum,RSP-1312 [Accessibility][Spec] Menu,https://github.com/adobe/react-spectrum/pull/14,2019-10-04T19:48:53Z,2019-10-12T00:04:43Z,8,3,MERGED
react-spectrum,[ONHOLD] RSP-1322: State hooks for selection and multi selection,https://github.com/adobe/react-spectrum/pull/13,2019-10-04T15:14:18Z,2019-11-22T01:38:03Z,29,3,CLOSED
react-spectrum,Chromatic: change the key to reflect new app,https://github.com/adobe/react-spectrum/pull/12,2019-10-02T18:26:07Z,2019-10-02T20:37:53Z,2,1,MERGED
react-spectrum,Fixing github test action so it doesn't fail on commits w/o PRs,https://github.com/adobe/react-spectrum/pull/11,2019-09-26T23:03:35Z,2019-09-27T16:56:09Z,1,2,MERGED
react-spectrum,RSP-1129: Tag and TagGroup component,https://github.com/adobe/react-spectrum/pull/10,2019-09-26T18:15:08Z,2019-10-29T21:49:11Z,75,13,MERGED
react-spectrum,RSP-1127|RSP-1128: ProgressCircle and ProgressBar,https://github.com/adobe/react-spectrum/pull/9,2019-09-25T19:55:20Z,2019-10-17T15:32:57Z,59,25,MERGED
react-spectrum,Changing test trigger to pull_requests only,https://github.com/adobe/react-spectrum/pull/8,2019-09-24T19:13:19Z,2019-09-26T22:19:25Z,3,9,CLOSED
react-spectrum,Publish workflow,https://github.com/adobe/react-spectrum/pull/7,2019-09-21T00:44:06Z,2019-10-10T01:31:42Z,3,43,CLOSED
react-spectrum,Mock test of package patch,https://github.com/adobe/react-spectrum/pull/6,2019-09-21T00:10:19Z,2019-09-21T00:10:33Z,0,1,MERGED
react-spectrum,Test deploy branch 1 to 2,https://github.com/adobe/react-spectrum/pull/5,2019-09-20T23:01:05Z,2019-09-20T23:02:07Z,2,4,MERGED
react-spectrum,Adding checkout steps to deploy job for lerna,https://github.com/adobe/react-spectrum/pull/4,2019-09-20T21:41:51Z,2019-09-20T21:42:15Z,3,1,MERGED
react-spectrum,Test first publish from branch 1 to branch 2,https://github.com/adobe/react-spectrum/pull/3,2019-09-20T21:24:35Z,2019-09-20T21:31:54Z,2,66,MERGED
react-spectrum,Component css packages,https://github.com/adobe/react-spectrum/pull/2,2019-09-19T20:49:59Z,2019-11-13T01:07:49Z,7,18,CLOSED
react-spectrum,Remove v2,https://github.com/adobe/react-spectrum/pull/1,2019-09-16T23:11:46Z,2019-09-24T01:10:48Z,6,25,MERGED
react-spectrum,RSP-1387|RSP-1393: Improve Breadcrumbs auto collapse behavior,https://github.com/adobe/react-spectrum/pull/148,2019-12-25T14:57:52Z,2020-02-01T01:41:46Z,16,10,MERGED
react-spectrum,Cleaning readme,https://github.com/adobe/react-spectrum/pull/147,2019-12-20T22:35:46Z,2019-12-20T22:42:55Z,1,1,MERGED
react-spectrum,Update README for v3,https://github.com/adobe/react-spectrum/pull/146,2019-12-20T21:18:46Z,2019-12-20T22:17:07Z,3,3,MERGED
react-spectrum,"Revert ""Revert ""[RSP-1366][Hover Behavior]+ [isDisabled & RTL] (#112)""""",https://github.com/adobe/react-spectrum/pull/145,2019-12-20T20:38:21Z,2020-01-30T19:53:20Z,2,1,CLOSED
react-spectrum,"Revert ""[RSP-1366][Hover Behavior]+ [isDisabled & RTL] (#112)""",https://github.com/adobe/react-spectrum/pull/144,2019-12-20T20:15:20Z,2019-12-20T20:20:20Z,0,1,MERGED
react-spectrum,Api review,https://github.com/adobe/react-spectrum/pull/143,2019-12-20T19:30:00Z,2019-12-20T20:46:30Z,8,13,MERGED
react-spectrum,Fix type imports,https://github.com/adobe/react-spectrum/pull/142,2019-12-20T01:13:06Z,2019-12-20T01:35:18Z,3,3,MERGED
react-spectrum,[RSP-1459] Don't use <label> element for progressbar/meter/radiogroup labels,https://github.com/adobe/react-spectrum/pull/141,2019-12-19T23:29:13Z,2019-12-19T23:55:26Z,2,1,MERGED
react-spectrum,Bump package versions to RC for release,https://github.com/adobe/react-spectrum/pull/140,2019-12-19T22:08:31Z,2019-12-20T00:23:01Z,9,5,MERGED
react-spectrum,Adjust search padding for large scale,https://github.com/adobe/react-spectrum/pull/139,2019-12-19T03:40:34Z,2019-12-19T03:46:36Z,1,2,MERGED
react-spectrum,[RSP-1462] Decrease margin size for vert align fix,https://github.com/adobe/react-spectrum/pull/138,2019-12-19T00:17:06Z,2019-12-19T01:04:50Z,1,1,MERGED
react-spectrum,[RSP-1463] Fix textField Ellipsis Bug,https://github.com/adobe/react-spectrum/pull/137,2019-12-19T00:06:47Z,2019-12-19T01:06:09Z,4,3,CLOSED
react-spectrum,Testing session bug fixes,https://github.com/adobe/react-spectrum/pull/136,2019-12-18T23:55:38Z,2019-12-19T00:57:27Z,4,8,MERGED
react-spectrum,(RSP-1460) Adjusting search css to match decorated textfield icon positioning,https://github.com/adobe/react-spectrum/pull/135,2019-12-18T23:52:15Z,2019-12-19T01:05:19Z,4,3,MERGED
react-spectrum,Fix Search Icon during hover,https://github.com/adobe/react-spectrum/pull/134,2019-12-18T23:35:46Z,2019-12-19T00:29:41Z,1,1,MERGED
react-spectrum,Add rtl and autofocus chromatic options,https://github.com/adobe/react-spectrum/pull/133,2019-12-18T22:19:14Z,2020-05-22T19:06:35Z,7,6,CLOSED
react-spectrum,Fix layout of provider stories,https://github.com/adobe/react-spectrum/pull/132,2019-12-18T18:05:19Z,2019-12-18T20:58:19Z,2,1,MERGED
react-spectrum,RSP-1438 [Accessibility] fix keyboard navigation in useSelectableCollection,https://github.com/adobe/react-spectrum/pull/131,2019-12-18T16:29:32Z,2020-01-16T00:45:06Z,2,3,MERGED
react-spectrum,[RSP-1320] Single Tooltip Concept + some refactoring & tests,https://github.com/adobe/react-spectrum/pull/130,2019-12-18T06:32:41Z,2020-01-08T22:40:01Z,13,16,CLOSED
