repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
spectrum-css,Fix security vulnerabilities by removed 2 packages and updated 7 pack…,https://github.com/adobe/spectrum-css/pull/222,2019-07-16T00:21:44Z,2019-07-17T17:17:00Z,1,1,MERGED
spectrum-css,Fix security vulnerabilities by removed 2 packages and updated 7 packages,https://github.com/adobe/spectrum-css/pull/221,2019-07-16T00:03:03Z,2019-07-16T00:06:29Z,0,2,CLOSED
spectrum-css,Fixed #219 Checkbox icons appear the wrong color when checkbox import…,https://github.com/adobe/spectrum-css/pull/220,2019-07-15T23:50:20Z,2019-08-08T15:44:34Z,2,8,CLOSED
spectrum-css,Fix #215 [Accessibility] StepList should include interactive example with links,https://github.com/adobe/spectrum-css/pull/217,2019-07-10T17:34:19Z,2019-10-01T19:20:14Z,4,3,MERGED
spectrum-css,"WIP: Halo focus: button, switch, radio, checkbox",https://github.com/adobe/spectrum-css/pull/211,2019-06-25T18:26:20Z,2020-03-03T19:22:11Z,6,6,CLOSED
spectrum-css,Add npm audit to travis-ci script and show build status on README,https://github.com/adobe/spectrum-css/pull/208,2019-06-20T17:01:48Z,2019-06-21T15:29:40Z,1,2,MERGED
spectrum-css,Fixed #205 Remove gulp-watch and upgrade to browser-sync@2.26.7,https://github.com/adobe/spectrum-css/pull/206,2019-06-19T22:33:23Z,2019-06-21T15:23:18Z,0,1,MERGED
spectrum-css,Vertical Rule,https://github.com/adobe/spectrum-css/pull/201,2019-06-06T15:31:24Z,2019-06-06T22:29:07Z,3,5,MERGED
spectrum-css,Form: labelsAbove,https://github.com/adobe/spectrum-css/pull/200,2019-06-06T15:21:32Z,2019-06-06T21:46:56Z,1,2,MERGED
spectrum-css,Fix vertical alignment of Button text,https://github.com/adobe/spectrum-css/pull/197,2019-06-04T16:32:26Z,2019-06-05T17:05:29Z,1,1,MERGED
spectrum-css,fix: removing section margin and fixing responsive image (SDS-3250),https://github.com/adobe/spectrum-css/pull/380,2019-10-31T23:19:22Z,2019-11-01T16:33:18Z,0,1,MERGED
spectrum-css,docs: remove guidelines link for platform support,https://github.com/adobe/spectrum-css/pull/379,2019-10-31T22:30:20Z,2019-11-01T16:33:59Z,0,1,MERGED
spectrum-css,fix: opening View Guielines link in new window (SDS-3251),https://github.com/adobe/spectrum-css/pull/378,2019-10-31T21:46:38Z,2019-11-01T16:34:53Z,0,1,MERGED
spectrum-css,Update /site/README.md,https://github.com/adobe/spectrum-css/pull/377,2019-10-31T17:44:41Z,2019-10-31T18:57:49Z,0,1,MERGED
spectrum-css,Update README.md,https://github.com/adobe/spectrum-css/pull/375,2019-10-31T17:25:51Z,2019-10-31T17:35:31Z,1,1,CLOSED
spectrum-css,"docs: add Rating enhancement to show focus, closes #249",https://github.com/adobe/spectrum-css/pull/373,2019-10-30T22:02:20Z,2019-11-06T19:16:53Z,4,1,MERGED
spectrum-css,docs(readme): fix broken url workflow icons,https://github.com/adobe/spectrum-css/pull/371,2019-10-30T20:26:57Z,2019-10-31T17:38:40Z,3,1,MERGED
spectrum-css,Fix Github to GitHub,https://github.com/adobe/spectrum-css/pull/369,2019-10-30T05:16:54Z,2019-10-30T14:54:33Z,1,1,MERGED
spectrum-css,fix(test): test-builder sub module,https://github.com/adobe/spectrum-css/pull/367,2019-10-29T00:31:28Z,2019-10-29T20:36:58Z,0,1,MERGED
spectrum-css,fix: exclude adobe products icons and third-party logo icons,https://github.com/adobe/spectrum-css/pull/366,2019-10-28T20:37:42Z,2020-09-25T21:42:53Z,5,3,CLOSED
spectrum-css,docs: fix dev site Dropdown enhancements in IE 11,https://github.com/adobe/spectrum-css/pull/365,2019-10-28T19:53:06Z,2019-10-28T19:55:16Z,0,1,MERGED
spectrum-css,Visual regression testing optimization,https://github.com/adobe/spectrum-css/pull/364,2019-10-26T16:58:25Z,2019-10-28T22:22:41Z,0,6,MERGED
spectrum-css,SDS 3087 - Adding Apache 2.0 headers to new NextJS.,https://github.com/adobe/spectrum-css/pull/363,2019-10-26T03:34:33Z,2019-11-01T17:40:00Z,1,4,MERGED
spectrum-css,Doc search text overlapping #359,https://github.com/adobe/spectrum-css/pull/362,2019-10-23T20:41:35Z,2019-10-28T15:31:20Z,1,1,CLOSED
spectrum-css,docs: fix dialog presentation on docs page,https://github.com/adobe/spectrum-css/pull/361,2019-10-23T20:25:22Z,2019-10-23T20:28:39Z,1,1,MERGED
spectrum-css,Fix some spelling errors.,https://github.com/adobe/spectrum-css/pull/360,2019-10-23T18:43:00Z,2019-10-23T19:49:56Z,2,1,MERGED
spectrum-css,docs: don't have typekit fix in there twice,https://github.com/adobe/spectrum-css/pull/357,2019-10-23T00:31:03Z,2019-10-23T00:44:43Z,0,1,MERGED
spectrum-css,"fix: revert Checkbox/Radio/Switch color change, fixes #355",https://github.com/adobe/spectrum-css/pull/356,2019-10-22T19:10:43Z,2019-10-23T21:50:52Z,2,1,MERGED
spectrum-css,Update card.yml,https://github.com/adobe/spectrum-css/pull/353,2019-10-22T17:40:19Z,2019-10-22T18:12:12Z,1,1,MERGED
spectrum-css,docs: fix switcher wrapping on small screens,https://github.com/adobe/spectrum-css/pull/352,2019-10-22T16:49:57Z,2019-10-23T19:50:50Z,0,1,MERGED
spectrum-css,"fix: sidebar width is too small to fit ""Spectrum CSS"" in large scale",https://github.com/adobe/spectrum-css/pull/351,2019-10-21T23:23:16Z,2019-10-21T23:26:22Z,0,1,MERGED
spectrum-css,docs: fix detail table styling,https://github.com/adobe/spectrum-css/pull/350,2019-10-21T22:42:21Z,2019-11-01T18:04:51Z,1,1,MERGED
spectrum-css,"docs: add support for redirecting to old docs, generic redirects",https://github.com/adobe/spectrum-css/pull/348,2019-10-21T21:52:23Z,2019-10-21T23:10:30Z,0,1,MERGED
spectrum-css,docs: fix FOUT if Typekit times out,https://github.com/adobe/spectrum-css/pull/347,2019-10-21T21:35:43Z,2019-10-21T23:12:29Z,0,1,MERGED
spectrum-css,Nextjs,https://github.com/adobe/spectrum-css/pull/346,2019-10-21T18:22:33Z,2019-10-21T18:27:40Z,0,95,MERGED
spectrum-css,"fix: preprocess percentage values and convert them to floats, fixes #340",https://github.com/adobe/spectrum-css/pull/345,2019-10-21T18:17:17Z,2019-10-24T17:30:36Z,2,1,MERGED
spectrum-css,"fix: add missing variables to -unique files, closes #336",https://github.com/adobe/spectrum-css/pull/344,2019-10-21T17:29:50Z,2019-10-24T17:33:33Z,1,1,MERGED
spectrum-css,fix(vulnerabilities): https-proxy-agent@2.2.2 => https-proxy-agent@^3.0.0,https://github.com/adobe/spectrum-css/pull/343,2019-10-19T04:21:28Z,2019-10-19T04:58:54Z,0,1,MERGED
spectrum-css,Added table of contents for easier navigation,https://github.com/adobe/spectrum-css/pull/339,2019-10-16T18:14:23Z,2019-10-16T18:21:39Z,1,1,CLOSED
spectrum-css,Update README.md,https://github.com/adobe/spectrum-css/pull/338,2019-10-16T16:21:23Z,2019-10-16T17:12:27Z,1,1,CLOSED
spectrum-css,docs: adding Spectrum Website slug for components (SDS-2623),https://github.com/adobe/spectrum-css/pull/337,2019-10-15T22:25:08Z,2019-10-17T06:31:26Z,0,1,MERGED
spectrum-css,Update README.md,https://github.com/adobe/spectrum-css/pull/334,2019-10-15T15:59:12Z,2019-10-15T19:01:02Z,1,1,CLOSED
spectrum-css,Update CODE_OF_CONDUCT.md,https://github.com/adobe/spectrum-css/pull/333,2019-10-15T01:48:17Z,2019-10-15T19:01:42Z,2,1,CLOSED
spectrum-css,feat: adding Spectrum Website slug for components (SDS-2623),https://github.com/adobe/spectrum-css/pull/332,2019-10-15T01:23:27Z,2019-10-15T22:25:30Z,3,4,CLOSED
spectrum-css,Add menu icon class,https://github.com/adobe/spectrum-css/pull/331,2019-10-14T20:45:02Z,2019-10-29T20:46:09Z,3,3,MERGED
spectrum-css,Update README.md,https://github.com/adobe/spectrum-css/pull/330,2019-10-14T17:47:23Z,2019-10-15T19:07:58Z,1,1,CLOSED
spectrum-css,Actionbar popover width fixed,https://github.com/adobe/spectrum-css/pull/329,2019-10-14T07:37:31Z,2019-11-06T19:00:09Z,4,3,MERGED
spectrum-css,Legacy readme,https://github.com/adobe/spectrum-css/pull/328,2019-10-12T19:29:41Z,2019-10-16T18:20:39Z,2,3,CLOSED
spectrum-css,Guidelines,https://github.com/adobe/spectrum-css/pull/327,2019-10-12T19:13:54Z,2019-10-16T18:20:42Z,4,2,CLOSED
spectrum-css,Fixed Some typos,https://github.com/adobe/spectrum-css/pull/326,2019-10-12T19:10:07Z,2019-10-15T19:15:34Z,1,2,CLOSED
spectrum-css,Corrected the readme.md,https://github.com/adobe/spectrum-css/pull/325,2019-10-12T17:54:07Z,2019-10-16T18:20:47Z,2,1,CLOSED
spectrum-css,Rating - Adds container around icons for visible keyboard focus,https://github.com/adobe/spectrum-css/pull/324,2019-10-11T21:52:42Z,2019-10-30T21:31:29Z,4,4,CLOSED
spectrum-css,Generate search index,https://github.com/adobe/spectrum-css/pull/322,2019-10-09T20:46:17Z,2019-10-09T20:46:36Z,0,28,CLOSED
spectrum-css,test: increase misMatchThreshold to 0.11 for typography and typography-international testing scenarios,https://github.com/adobe/spectrum-css/pull/321,2019-10-09T03:16:50Z,2019-10-09T17:31:29Z,0,3,MERGED
spectrum-css,HAcktoberfest-updatd docker inst. instr.,https://github.com/adobe/spectrum-css/pull/320,2019-10-08T20:30:01Z,2019-10-15T19:24:58Z,2,1,CLOSED
spectrum-css,Fixed typo in README.md,https://github.com/adobe/spectrum-css/pull/318,2019-10-08T11:49:27Z,2019-10-08T17:20:29Z,1,1,MERGED
spectrum-css,docs: update Adobe logo,https://github.com/adobe/spectrum-css/pull/317,2019-10-07T18:48:59Z,2019-10-08T00:21:04Z,2,3,MERGED
spectrum-css,feat: update DNA to 5.21,https://github.com/adobe/spectrum-css/pull/316,2019-10-07T18:27:18Z,2019-10-08T00:22:05Z,1,1,MERGED
spectrum-css,"fix: fix Calendar title wrapping/alignment, related to #269",https://github.com/adobe/spectrum-css/pull/315,2019-10-07T18:22:58Z,2019-10-08T00:20:25Z,4,4,MERGED
spectrum-css,Update README.md,https://github.com/adobe/spectrum-css/pull/314,2019-10-06T14:07:28Z,2019-10-07T14:45:10Z,1,1,CLOSED
spectrum-css,Add missing punctuation ,https://github.com/adobe/spectrum-css/pull/313,2019-10-04T19:18:30Z,2019-10-15T19:16:54Z,7,13,CLOSED
spectrum-css,Updated CODE_OF_CONDUCT.md,https://github.com/adobe/spectrum-css/pull/312,2019-10-04T16:54:24Z,2019-10-04T17:48:41Z,9,2,MERGED
spectrum-css,Update README.md - typo fixes,https://github.com/adobe/spectrum-css/pull/311,2019-10-04T16:41:08Z,2019-10-04T17:32:26Z,0,1,MERGED
spectrum-css,WIP Update index.css removing remaining !important(s),https://github.com/adobe/spectrum-css/pull/309,2019-10-03T21:20:17Z,2019-12-10T17:37:32Z,6,12,CLOSED
spectrum-css,"docs: update week labels to single character, fixes #294",https://github.com/adobe/spectrum-css/pull/308,2019-10-03T08:17:32Z,2019-10-03T18:07:32Z,1,1,MERGED
