repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
engineer-plusplus,Features/signup,https://github.com/amatech-repo/engineer-plusplus/pull/40,2023-04-29T06:18:05Z,2023-04-29T06:24:44Z,0,11,MERGED
engineer-plusplus,Features/detaii page,https://github.com/amatech-repo/engineer-plusplus/pull/39,2023-04-29T05:01:47Z,2023-04-29T05:07:58Z,0,3,MERGED
engineer-plusplus,Feature/dashboard material list,https://github.com/amatech-repo/engineer-plusplus/pull/38,2023-04-29T04:38:19Z,2023-04-29T05:04:25Z,0,5,MERGED
engineer-plusplus,Feature/charts,https://github.com/amatech-repo/engineer-plusplus/pull/37,2023-04-29T04:11:53Z,2023-04-29T04:12:12Z,0,4,MERGED
engineer-plusplus,feat: カテゴリ別に教材を表示,https://github.com/amatech-repo/engineer-plusplus/pull/36,2023-04-29T04:06:30Z,2023-04-29T04:08:06Z,0,1,MERGED
engineer-plusplus,命名の変更やモックデータからの移行,https://github.com/amatech-repo/engineer-plusplus/pull/35,2023-04-29T02:28:31Z,2023-04-29T02:44:44Z,1,2,MERGED
engineer-plusplus,Features/googleauth,https://github.com/amatech-repo/engineer-plusplus/pull/34,2023-04-28T23:03:56Z,2023-04-29T06:48:30Z,0,7,CLOSED
engineer-plusplus,Feature/material list,https://github.com/amatech-repo/engineer-plusplus/pull/33,2023-04-28T22:58:46Z,2023-04-29T00:40:45Z,4,3,MERGED
engineer-plusplus,Feature/material register page,https://github.com/amatech-repo/engineer-plusplus/pull/32,2023-04-28T21:21:53Z,2023-04-28T21:43:12Z,1,7,MERGED
engineer-plusplus,feat: 質問投稿にバリデーションを追加,https://github.com/amatech-repo/engineer-plusplus/pull/31,2023-04-28T21:09:24Z,2023-04-28T21:09:30Z,0,1,MERGED
engineer-plusplus,Features/get material for post question,https://github.com/amatech-repo/engineer-plusplus/pull/30,2023-04-28T18:30:13Z,2023-04-28T20:33:34Z,0,6,MERGED
engineer-plusplus,タイマー機能の追加,https://github.com/amatech-repo/engineer-plusplus/pull/29,2023-04-28T17:44:57Z,2023-04-28T17:48:09Z,0,15,MERGED
engineer-plusplus,"Revert ""Merge pull request #26 from amatech-repo/revert-25-features/a…",https://github.com/amatech-repo/engineer-plusplus/pull/28,2023-04-28T16:52:08Z,2023-04-28T16:52:14Z,0,1,MERGED
engineer-plusplus,refactor: 軽微な修正,https://github.com/amatech-repo/engineer-plusplus/pull/27,2023-04-28T16:40:26Z,2023-04-28T16:57:01Z,0,3,MERGED
engineer-plusplus,"Revert ""質問詳細ページ/質問一覧取得/回答取得機能/回答機能を実装""",https://github.com/amatech-repo/engineer-plusplus/pull/26,2023-04-28T16:36:01Z,2023-04-28T16:37:00Z,0,1,MERGED
engineer-plusplus,質問詳細ページ/質問一覧取得/回答取得機能/回答機能を実装,https://github.com/amatech-repo/engineer-plusplus/pull/25,2023-04-28T15:00:07Z,2023-04-28T16:34:34Z,1,5,MERGED
engineer-plusplus,質問詳細と質問投稿機能とUIを追加,https://github.com/amatech-repo/engineer-plusplus/pull/24,2023-04-28T14:12:03Z,2023-04-28T15:03:20Z,0,4,CLOSED
engineer-plusplus,Features/qestions logic firestore,https://github.com/amatech-repo/engineer-plusplus/pull/23,2023-04-28T10:03:03Z,2023-04-28T10:07:48Z,0,3,MERGED
engineer-plusplus,Features/register,https://github.com/amatech-repo/engineer-plusplus/pull/22,2023-04-28T06:48:04Z,2023-04-28T20:06:28Z,1,18,CLOSED
engineer-plusplus,feat: カードごとに詳細画面に遷移するためのリンクでラップ,https://github.com/amatech-repo/engineer-plusplus/pull/21,2023-04-28T05:35:18Z,2023-04-28T10:13:49Z,0,2,MERGED
engineer-plusplus,教材追加画面の機能追加と修正,https://github.com/amatech-repo/engineer-plusplus/pull/19,2023-04-28T03:49:51Z,2023-04-28T04:49:19Z,0,25,MERGED
engineer-plusplus,Feature/question,https://github.com/amatech-repo/engineer-plusplus/pull/18,2023-04-27T05:00:53Z,2023-04-27T05:13:42Z,1,4,MERGED
engineer-plusplus,Features/questions UI,https://github.com/amatech-repo/engineer-plusplus/pull/17,2023-04-27T03:42:15Z,2023-04-28T04:49:17Z,1,49,MERGED
engineer-plusplus,chore: firebase setting,https://github.com/amatech-repo/engineer-plusplus/pull/16,2023-04-26T17:58:46Z,2023-08-31T15:49:07Z,1,1,CLOSED
engineer-plusplus,refactor: 型定義を追加,https://github.com/amatech-repo/engineer-plusplus/pull/15,2023-04-26T16:47:18Z,2023-04-26T17:57:23Z,1,1,MERGED
engineer-plusplus,Features/auth provider setting,https://github.com/amatech-repo/engineer-plusplus/pull/14,2023-04-26T15:47:27Z,2023-04-26T16:32:10Z,1,2,MERGED
engineer-plusplus,Features/material registration page,https://github.com/amatech-repo/engineer-plusplus/pull/13,2023-04-25T18:07:02Z,2023-04-25T18:25:59Z,0,26,MERGED
engineer-plusplus,Features/material details/chart,https://github.com/amatech-repo/engineer-plusplus/pull/11,2023-04-25T15:21:07Z,2023-04-25T15:21:32Z,0,14,MERGED
engineer-plusplus,Feature/firebase,https://github.com/amatech-repo/engineer-plusplus/pull/10,2023-04-25T00:28:04Z,2023-04-25T04:40:38Z,0,23,MERGED
engineer-plusplus,Features/dashboard,https://github.com/amatech-repo/engineer-plusplus/pull/9,2023-04-23T13:32:59Z,2023-04-24T06:55:18Z,3,14,MERGED
engineer-plusplus,chore: update .env,https://github.com/amatech-repo/engineer-plusplus/pull/8,2023-04-23T13:28:04Z,2023-04-23T13:28:10Z,0,1,MERGED
engineer-plusplus,chore: chromaticをインストール,https://github.com/amatech-repo/engineer-plusplus/pull/7,2023-04-23T13:26:20Z,2023-04-23T13:26:29Z,0,1,MERGED
engineer-plusplus,feat: layoutを作成,https://github.com/amatech-repo/engineer-plusplus/pull/6,2023-04-23T08:05:13Z,2023-04-23T08:05:20Z,0,1,MERGED
engineer-plusplus,Features/navigation,https://github.com/amatech-repo/engineer-plusplus/pull/5,2023-04-23T06:53:06Z,2023-04-23T06:53:14Z,0,5,MERGED
engineer-plusplus,doc: add stack,https://github.com/amatech-repo/engineer-plusplus/pull/4,2023-04-22T16:55:48Z,2023-04-22T16:55:57Z,0,1,MERGED
engineer-plusplus,feat: 各ページのtemplateを追加,https://github.com/amatech-repo/engineer-plusplus/pull/3,2023-04-22T16:33:00Z,2023-04-22T16:33:18Z,0,1,MERGED
engineer-plusplus,再環境構築,https://github.com/amatech-repo/engineer-plusplus/pull/2,2023-04-22T14:06:00Z,2023-04-22T14:06:54Z,0,4,MERGED
engineer-plusplus,フロントエンドの環境構築,https://github.com/amatech-repo/engineer-plusplus/pull/1,2023-04-22T13:34:35Z,2023-04-22T13:34:48Z,0,2,MERGED
