repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
space-kit,Card component,https://github.com/apollographql/space-kit/pull/40,2019-07-31T20:54:02Z,2019-08-06T17:45:44Z,24,9,MERGED
space-kit,Fix storybook,https://github.com/apollographql/space-kit/pull/39,2019-07-31T17:26:36Z,2019-07-31T18:29:27Z,0,5,MERGED
space-kit,"Move from ""Space Kit"" to top-level namespacing",https://github.com/apollographql/space-kit/pull/38,2019-07-31T13:06:00Z,2019-07-31T21:57:30Z,0,2,MERGED
space-kit,[WIP] Working on fixing netlify,https://github.com/apollographql/space-kit/pull/37,2019-07-30T21:13:05Z,2019-08-02T19:00:23Z,0,1,CLOSED
space-kit,[WIP] Fix storybook builds in Netlify,https://github.com/apollographql/space-kit/pull/36,2019-07-30T18:50:54Z,2019-08-02T19:00:11Z,0,19,CLOSED
space-kit,Export `colors` as a constant,https://github.com/apollographql/space-kit/pull/35,2019-07-30T15:47:15Z,2019-08-02T19:24:30Z,1,2,MERGED
space-kit,AP-703: Write integration tests (AP-780),https://github.com/apollographql/space-kit/pull/34,2019-07-29T20:10:21Z,2019-09-04T17:59:49Z,3,6,MERGED
space-kit,Make Icon weight configurable,https://github.com/apollographql/space-kit/pull/33,2019-07-29T19:56:21Z,2019-08-01T15:45:16Z,1,3,MERGED
space-kit,[AP-539] Table Additions,https://github.com/apollographql/space-kit/pull/32,2019-07-29T18:35:48Z,2019-08-05T20:45:19Z,9,4,MERGED
space-kit,Move all the files to live under paths,https://github.com/apollographql/space-kit/pull/31,2019-07-26T19:55:46Z,2019-07-30T16:49:00Z,1,3,MERGED
space-kit,Remove tsconfig.tsbuildinfo from build,https://github.com/apollographql/space-kit/pull/30,2019-07-26T18:05:58Z,2019-07-26T18:07:31Z,0,2,MERGED
space-kit,RFC: Set up CI,https://github.com/apollographql/space-kit/pull/29,2019-07-26T16:08:14Z,2019-07-30T15:30:00Z,1,4,MERGED
space-kit,[WIP] Set up CI,https://github.com/apollographql/space-kit/pull/28,2019-07-26T16:07:45Z,2019-07-26T16:07:57Z,0,3,CLOSED
space-kit,Convert all remaining files to TypeScript,https://github.com/apollographql/space-kit/pull/27,2019-07-26T15:49:51Z,2019-07-26T19:45:06Z,0,4,MERGED
space-kit,AP-543 Refactor button implementation,https://github.com/apollographql/space-kit/pull/26,2019-07-25T17:08:19Z,2019-07-26T17:52:43Z,7,14,MERGED
space-kit,Correct buttons being consumed externally,https://github.com/apollographql/space-kit/pull/25,2019-07-24T17:23:14Z,2019-07-24T19:23:25Z,0,6,MERGED
space-kit,remove EmotionWrapper from Button,https://github.com/apollographql/space-kit/pull/24,2019-07-24T14:41:32Z,2019-07-24T16:01:33Z,2,1,MERGED
space-kit,AP-543 Allow custom emotion css injection point,https://github.com/apollographql/space-kit/pull/23,2019-07-23T19:03:38Z,2019-07-23T19:15:20Z,2,2,MERGED
space-kit,AP-545: Modals,https://github.com/apollographql/space-kit/pull/22,2019-07-22T19:27:02Z,2019-07-26T17:36:00Z,3,6,MERGED
space-kit,Edit to Table Component,https://github.com/apollographql/space-kit/pull/21,2019-07-19T18:46:34Z,2019-07-22T20:05:47Z,4,6,MERGED
space-kit,Update Icons.story.jsx,https://github.com/apollographql/space-kit/pull/20,2019-07-19T17:19:31Z,2019-07-19T17:23:37Z,0,1,MERGED
space-kit,Update Icon story to use util components for consistency across stories in Storybook,https://github.com/apollographql/space-kit/pull/19,2019-07-19T01:34:58Z,2019-07-19T01:35:16Z,0,3,MERGED
space-kit,Partial proposed changes to AP-543: Create buttons,https://github.com/apollographql/space-kit/pull/18,2019-07-18T18:33:22Z,2019-07-22T13:48:20Z,1,3,MERGED
space-kit,docs: fix typo,https://github.com/apollographql/space-kit/pull/17,2019-07-03T08:51:43Z,2019-07-08T23:53:07Z,1,1,MERGED
space-kit,AP-546: Tables POC,https://github.com/apollographql/space-kit/pull/16,2019-07-02T19:55:24Z,2019-07-17T21:36:07Z,1,2,MERGED
space-kit,Release v0.2.0,https://github.com/apollographql/space-kit/pull/15,2019-07-02T15:16:25Z,2019-07-02T15:16:48Z,0,1,MERGED
space-kit,AP-543: Create buttons,https://github.com/apollographql/space-kit/pull/14,2019-07-01T20:18:34Z,2019-07-23T16:37:26Z,25,13,MERGED
space-kit,AP-542 Fix icon transpilation,https://github.com/apollographql/space-kit/pull/13,2019-06-29T14:37:30Z,2019-07-01T19:25:19Z,0,2,MERGED
space-kit,AP-542 Clean up directories and refactor to TypeScript,https://github.com/apollographql/space-kit/pull/12,2019-06-28T15:11:39Z,2019-06-29T12:33:20Z,0,3,MERGED
space-kit,Add apollo logo,https://github.com/apollographql/space-kit/pull/11,2019-06-27T17:29:26Z,2019-06-27T21:46:18Z,1,5,MERGED
space-kit,Use TypeScript for colors,https://github.com/apollographql/space-kit/pull/10,2019-06-27T14:43:59Z,2019-06-27T14:58:02Z,1,1,CLOSED
space-kit,AP-542: Implement Typography,https://github.com/apollographql/space-kit/pull/8,2019-06-27T11:50:44Z,2019-07-02T15:11:56Z,3,6,MERGED
space-kit,AP-567 Add Space Kit Icons,https://github.com/apollographql/space-kit/pull/7,2019-06-20T15:50:46Z,2019-06-27T14:28:54Z,12,31,MERGED
space-kit,AP-786 ✨ add illustrations,https://github.com/apollographql/space-kit/pull/131,2019-10-15T19:04:31Z,2019-11-18T16:44:28Z,1,2,MERGED
space-kit,AP-786 ✨ add illustrations,https://github.com/apollographql/space-kit/pull/130,2019-10-15T19:03:00Z,2019-10-15T19:05:02Z,1,1,CLOSED
space-kit,AP-815 📚 improve documentation for `as` prop in `Button`,https://github.com/apollographql/space-kit/pull/129,2019-10-11T15:22:21Z,2019-10-11T15:35:34Z,1,1,MERGED
space-kit,AP-1071 Write docs on how to use `npm link` with consuming libraries,https://github.com/apollographql/space-kit/pull/128,2019-10-03T16:24:26Z,2019-10-03T16:54:38Z,1,2,MERGED
space-kit,Fix changelog configuration for adding jira links,https://github.com/apollographql/space-kit/pull/127,2019-10-03T16:22:56Z,2019-10-03T16:32:29Z,1,1,MERGED
space-kit,Add framer-motion as peer-dep; animate modal AP-812,https://github.com/apollographql/space-kit/pull/126,2019-10-03T16:06:44Z,2019-10-03T16:35:51Z,2,2,MERGED
space-kit,AP-1011 Stop wrapping long text in Buttons,https://github.com/apollographql/space-kit/pull/125,2019-10-02T18:53:02Z,2019-10-02T23:14:26Z,1,2,MERGED
space-kit,Update auto to add Jira links,https://github.com/apollographql/space-kit/pull/124,2019-10-02T18:49:48Z,2019-10-02T18:55:10Z,2,1,MERGED
space-kit,Upgrade storybook to production v5.2.1,https://github.com/apollographql/space-kit/pull/123,2019-10-02T17:34:03Z,2019-10-02T18:39:52Z,1,1,MERGED
space-kit,AP-919 Stop propagation of clicks when disabled using input as,https://github.com/apollographql/space-kit/pull/122,2019-10-02T00:10:20Z,2019-10-03T00:18:20Z,2,3,MERGED
space-kit,Add copy icon,https://github.com/apollographql/space-kit/pull/121,2019-09-24T04:18:21Z,2019-09-24T18:15:16Z,1,1,MERGED
space-kit,Increase modal max height and center contents,https://github.com/apollographql/space-kit/pull/120,2019-09-18T23:31:54Z,2019-09-18T23:39:11Z,1,1,MERGED
space-kit,Remove renovate,https://github.com/apollographql/space-kit/pull/119,2019-09-18T17:27:12Z,2019-09-18T18:03:34Z,1,2,MERGED
space-kit,AP-829 converted main.workflow to Actions V2 yml files,https://github.com/apollographql/space-kit/pull/106,2019-09-17T15:14:08Z,2019-09-18T11:44:59Z,2,3,MERGED
space-kit,AP-704 Setup and configure renovate,https://github.com/apollographql/space-kit/pull/105,2019-09-17T14:42:12Z,2019-09-18T11:50:39Z,2,3,MERGED
space-kit,Add the layout-module icon,https://github.com/apollographql/space-kit/pull/104,2019-09-11T22:47:19Z,2019-09-11T23:16:53Z,1,2,MERGED
space-kit,Add `className` prop to Modals,https://github.com/apollographql/space-kit/pull/103,2019-09-11T16:49:54Z,2019-09-12T17:04:13Z,1,1,MERGED
space-kit,test: update chromatic ci run settings,https://github.com/apollographql/space-kit/pull/102,2019-09-11T15:37:10Z,2019-09-11T17:28:26Z,2,1,MERGED
space-kit,[WIP] fix(modal): Stop modal from closing unexpectedly,https://github.com/apollographql/space-kit/pull/100,2019-09-10T19:56:29Z,2020-02-13T15:48:13Z,2,1,CLOSED
space-kit,Add Chromatic visual testing,https://github.com/apollographql/space-kit/pull/99,2019-09-10T19:03:49Z,2019-09-10T20:57:33Z,1,2,MERGED
space-kit,Document `Button as={}`,https://github.com/apollographql/space-kit/pull/98,2019-09-10T18:42:13Z,2019-09-11T19:58:59Z,3,2,MERGED
space-kit,AP-801 Show appropriate cursor for `Button`'s `loading` and `disabled` states,https://github.com/apollographql/space-kit/pull/97,2019-09-09T17:27:41Z,2019-09-09T18:06:49Z,4,2,MERGED
space-kit,AP-808 Add `as` prop to `Modal`,https://github.com/apollographql/space-kit/pull/96,2019-09-07T21:47:48Z,2019-09-08T13:37:35Z,2,1,MERGED
