repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ember-appuniversum,Bugfix/input field value,https://github.com/appuniversum/ember-appuniversum/pull/7,2020-03-31T16:17:37Z,2020-03-31T16:33:53Z,0,2,MERGED
ember-appuniversum,Bugfix/input field value,https://github.com/appuniversum/ember-appuniversum/pull/6,2020-03-31T16:15:21Z,2020-03-31T16:16:47Z,1,2,CLOSED
ember-appuniversum,Upgrade/appuniversum,https://github.com/appuniversum/ember-appuniversum/pull/5,2020-03-30T14:26:40Z,2020-03-31T08:13:27Z,0,2,MERGED
ember-appuniversum,Feature/form improvements,https://github.com/appuniversum/ember-appuniversum/pull/4,2020-03-26T11:45:49Z,2020-03-27T10:07:34Z,0,17,MERGED
ember-appuniversum,Bugfix/container mobile behaviour,https://github.com/appuniversum/ember-appuniversum/pull/3,2020-03-24T10:57:34Z,2020-03-24T14:01:12Z,0,2,CLOSED
ember-appuniversum,Feature/form improvements,https://github.com/appuniversum/ember-appuniversum/pull/1,2020-03-19T14:08:31Z,2020-03-19T14:59:40Z,6,3,MERGED
ember-appuniversum,Feature/new components,https://github.com/appuniversum/ember-appuniversum/pull/23,2020-04-29T16:11:56Z,2020-05-08T12:55:01Z,0,7,MERGED
ember-appuniversum,Feature/badge icon,https://github.com/appuniversum/ember-appuniversum/pull/21,2020-04-16T13:02:20Z,2020-05-13T08:16:02Z,2,17,MERGED
ember-appuniversum,Upgrade to appuniversum 0.0.7,https://github.com/appuniversum/ember-appuniversum/pull/20,2020-04-13T14:38:23Z,2020-04-13T15:07:47Z,1,2,MERGED
ember-appuniversum,Feature/buttons,https://github.com/appuniversum/ember-appuniversum/pull/19,2020-04-10T15:50:18Z,2020-04-14T14:45:03Z,1,25,MERGED
ember-appuniversum,Feature/dropdown,https://github.com/appuniversum/ember-appuniversum/pull/15,2020-04-09T13:50:04Z,2020-04-10T11:01:12Z,0,6,MERGED
ember-appuniversum,"add autoprefixer addon, define browserlist",https://github.com/appuniversum/ember-appuniversum/pull/14,2020-04-09T13:30:41Z,2020-04-09T15:47:54Z,0,1,MERGED
ember-appuniversum,"fix documentation header dropdown position, fixes #8",https://github.com/appuniversum/ember-appuniversum/pull/13,2020-04-09T13:19:15Z,2020-04-09T15:48:08Z,0,1,MERGED
ember-appuniversum,Fix/header improvements,https://github.com/appuniversum/ember-appuniversum/pull/12,2020-04-09T10:07:37Z,2020-04-09T12:24:31Z,0,5,MERGED
ember-appuniversum,Feature/svg icons,https://github.com/appuniversum/ember-appuniversum/pull/11,2020-04-06T16:29:49Z,2020-04-09T12:17:44Z,0,20,MERGED
ember-appuniversum,Feature/form improvements,https://github.com/appuniversum/ember-appuniversum/pull/10,2020-04-02T16:35:23Z,2020-04-03T07:43:57Z,1,12,MERGED
