repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
palette,Updates modal to allow for updates prop changes,https://github.com/artsy/palette/pull/554,2019-07-31T16:16:08Z,2019-07-31T22:04:29Z,10,5,MERGED
palette,Update Component Spec template to include web Zeplin link,https://github.com/artsy/palette/pull/553,2019-07-29T17:11:47Z,2019-07-30T14:28:44Z,4,1,MERGED
palette,Updates button to not always render longestText,https://github.com/artsy/palette/pull/548,2019-07-26T18:42:04Z,2019-07-29T15:19:36Z,4,3,MERGED
palette,Modal improvements,https://github.com/artsy/palette/pull/547,2019-07-25T19:41:16Z,2019-07-26T15:39:16Z,12,8,MERGED
palette,PURCHASE-1361 Fixes button breaking viewport,https://github.com/artsy/palette/pull/546,2019-07-25T17:23:27Z,2019-07-31T21:06:11Z,4,4,MERGED
palette,Adds WIP to modal,https://github.com/artsy/palette/pull/545,2019-07-24T18:42:34Z,2019-07-24T18:55:10Z,2,1,MERGED
palette,Upgrade styled-components@4.3.2,https://github.com/artsy/palette/pull/543,2019-07-23T19:52:35Z,2019-07-23T22:54:15Z,2,1,MERGED
palette,Minor chart fixes,https://github.com/artsy/palette/pull/542,2019-07-22T16:33:54Z,2019-07-22T17:52:03Z,3,3,MERGED
palette,Bar chart zero state,https://github.com/artsy/palette/pull/541,2019-07-19T21:44:53Z,2019-07-22T17:02:26Z,3,2,MERGED
palette,PURCHASE-1019 - Adds modal component,https://github.com/artsy/palette/pull/540,2019-07-19T16:59:51Z,2019-07-23T19:09:25Z,16,3,MERGED
palette,Add close icon ios version,https://github.com/artsy/palette/pull/538,2019-07-12T16:28:55Z,2019-07-13T08:50:14Z,3,1,MERGED
palette,noOutline button color,https://github.com/artsy/palette/pull/537,2019-07-11T15:59:59Z,2019-07-23T13:54:13Z,2,2,MERGED
palette,Adds longestText prop to Button component,https://github.com/artsy/palette/pull/536,2019-07-10T20:38:35Z,2019-07-11T13:41:21Z,5,3,MERGED
palette,Adds ArrowRightIcon.ios,https://github.com/artsy/palette/pull/534,2019-07-08T22:26:57Z,2019-07-09T15:14:15Z,2,1,MERGED
palette,[PURCHASE-1226] Partner card follow button goes off screen if the partner name is too long,https://github.com/artsy/palette/pull/533,2019-07-08T17:13:16Z,2019-07-08T17:30:49Z,3,2,MERGED
palette,Fixes justify on Tabs,https://github.com/artsy/palette/pull/532,2019-07-03T18:02:25Z,2019-07-03T19:43:45Z,2,1,MERGED
palette,Update to process docs,https://github.com/artsy/palette/pull/531,2019-07-02T22:23:53Z,2019-07-12T16:33:17Z,3,2,MERGED
palette,Fixes Spring bug and updates Inline to remove padding and height,https://github.com/artsy/palette/pull/530,2019-07-02T18:52:41Z,2019-07-24T19:32:24Z,5,4,MERGED
palette,Adds 100%  width to TabsPadding,https://github.com/artsy/palette/pull/529,2019-07-01T19:47:48Z,2019-07-01T21:57:01Z,2,1,MERGED
palette,Updates iOS font names,https://github.com/artsy/palette/pull/527,2019-06-26T18:17:49Z,2019-06-27T16:22:32Z,2,1,MERGED
palette,Adds padding to small button,https://github.com/artsy/palette/pull/526,2019-06-25T18:11:21Z,2019-06-26T14:13:25Z,2,2,MERGED
palette,Button small padding,https://github.com/artsy/palette/pull/525,2019-06-25T17:41:36Z,2019-06-25T17:41:45Z,0,9,CLOSED
palette,Adds note about Zeppelin plugin,https://github.com/artsy/palette/pull/524,2019-06-24T15:53:31Z,2019-06-24T17:06:57Z,2,1,MERGED
palette,Add prop to make button full width,https://github.com/artsy/palette/pull/523,2019-06-20T21:57:07Z,2019-06-21T17:47:04Z,3,2,MERGED
palette,Fix docs,https://github.com/artsy/palette/pull/522,2019-06-19T23:56:07Z,2019-06-19T23:56:14Z,2,1,MERGED
palette,[WIP] Upgrade styled-system v5,https://github.com/artsy/palette/pull/521,2019-06-19T23:35:53Z,2019-10-18T19:12:32Z,3,5,CLOSED
palette,Fixes typo,https://github.com/artsy/palette/pull/520,2019-06-19T21:17:58Z,2019-06-19T21:42:19Z,3,1,MERGED
palette,Fix donut chart animation bug,https://github.com/artsy/palette/pull/519,2019-06-19T18:29:11Z,2019-06-19T19:20:33Z,5,1,MERGED
palette,Add support for React Native component preview,https://github.com/artsy/palette/pull/518,2019-06-17T21:18:41Z,2019-10-18T19:11:29Z,8,9,CLOSED
palette,Adds LineChart props type export,https://github.com/artsy/palette/pull/517,2019-06-17T17:08:47Z,2019-06-17T17:20:02Z,2,1,MERGED
palette,Fix import path,https://github.com/artsy/palette/pull/516,2019-06-15T20:17:29Z,2019-06-15T20:22:05Z,3,1,MERGED
palette,Button & Spinner Component for React Native,https://github.com/artsy/palette/pull/515,2019-06-15T05:09:16Z,2019-06-15T07:00:09Z,5,6,MERGED
palette,Always allow scroll on tabs,https://github.com/artsy/palette/pull/514,2019-06-13T20:49:27Z,2019-06-14T17:52:51Z,5,1,CLOSED
palette,Adds repos consuming palette to readme,https://github.com/artsy/palette/pull/513,2019-06-13T19:14:02Z,2019-06-15T20:04:49Z,2,1,MERGED
palette,Moves luxon to dependency,https://github.com/artsy/palette/pull/512,2019-06-13T18:52:23Z,2019-06-13T19:50:35Z,4,1,MERGED
palette,[Lib] Upgrade react-spring@8.0.23,https://github.com/artsy/palette/pull/511,2019-06-12T23:51:42Z,2019-06-13T00:22:36Z,4,1,MERGED
palette,Add pointer-event: none to tooltip content,https://github.com/artsy/palette/pull/510,2019-06-11T20:51:48Z,2019-06-11T20:55:03Z,3,1,MERGED
