repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
compiled,test: use externalized helpers,https://github.com/atlassian-labs/compiled/pull/25,2019-12-23T09:30:40Z,2019-12-27T00:47:14Z,2,2,MERGED
compiled,chore: add vscode debug config for jest,https://github.com/atlassian-labs/compiled/pull/24,2019-12-22T10:31:57Z,2019-12-22T12:13:45Z,0,1,MERGED
compiled,Fix imported module (work in progress),https://github.com/atlassian-labs/compiled/pull/22,2019-12-21T09:16:02Z,2019-12-28T12:39:55Z,0,8,MERGED
compiled,Add CI scripts,https://github.com/atlassian-labs/compiled/pull/21,2019-12-20T13:36:45Z,2019-12-20T23:19:40Z,1,2,MERGED
compiled,test: improve performance of createFullTransform util,https://github.com/atlassian-labs/compiled/pull/20,2019-12-20T13:06:46Z,2019-12-21T10:21:15Z,12,6,MERGED
compiled,feat(css-prop): adds support for objects in template literals,https://github.com/atlassian-labs/compiled/pull/19,2019-12-19T05:55:22Z,2019-12-19T23:28:04Z,3,1,MERGED
compiled,Adds scenarios to css-prop transformer test cases,https://github.com/atlassian-labs/compiled/pull/3,2019-12-18T00:51:30Z,2019-12-18T01:43:56Z,0,2,MERGED
compiled,Adds babel plugin support,https://github.com/atlassian-labs/compiled/pull/85,2020-03-31T21:19:02Z,2020-03-31T21:54:58Z,0,2,MERGED
compiled,fix(styled): always pass the entire expression from a styled function,https://github.com/atlassian-labs/compiled/pull/82,2020-03-30T21:27:40Z,2020-03-31T08:04:04Z,0,3,MERGED
compiled,chore: create website package,https://github.com/atlassian-labs/compiled/pull/75,2020-03-20T22:32:44Z,2020-03-22T10:10:21Z,1,3,CLOSED
compiled,Adds small runtime to move compiled styles to the head,https://github.com/atlassian-labs/compiled/pull/72,2020-03-14T00:14:12Z,2020-03-16T04:24:44Z,3,7,MERGED
compiled,Set repository ownership acc. to OSS program,https://github.com/atlassian-labs/compiled/pull/70,2020-02-17T22:45:54Z,2020-02-18T02:42:04Z,0,2,MERGED
compiled,Implements css hashing for class name generation,https://github.com/atlassian-labs/compiled/pull/63,2020-01-26T02:01:38Z,2020-01-26T02:57:03Z,0,1,MERGED
compiled,Convert to monorepo,https://github.com/atlassian-labs/compiled/pull/56,2020-01-18T22:16:41Z,2020-01-20T01:15:44Z,0,15,MERGED
compiled,feat(jest-matcher): allow multiple properties assertion,https://github.com/atlassian-labs/compiled/pull/54,2020-01-15T21:58:38Z,2020-01-16T08:21:34Z,3,2,MERGED
compiled,feat: enables simple function declarations to be compiled,https://github.com/atlassian-labs/compiled/pull/51,2020-01-12T03:51:31Z,2020-01-16T09:00:50Z,0,8,MERGED
compiled,chore(transformer): point to source instead of dist,https://github.com/atlassian-labs/compiled/pull/32,2020-01-07T11:20:15Z,2020-01-08T13:33:41Z,0,1,MERGED
compiled,feat: support className prop when using css prop,https://github.com/atlassian-labs/compiled/pull/30,2020-01-03T06:34:12Z,2020-01-06T02:56:57Z,6,1,MERGED
compiled,chore: update to newest ts-transformer-testing-library for :zap:,https://github.com/atlassian-labs/compiled/pull/27,2020-01-01T12:21:34Z,2020-01-01T22:54:05Z,3,1,MERGED
compiled,fix: unbreak ts-loader compat by avoiding node mutations,https://github.com/atlassian-labs/compiled/pull/26,2020-01-01T10:55:16Z,2020-01-01T11:20:34Z,1,1,MERGED
compiled,feat: honour browserslist options via config/env vars,https://github.com/atlassian-labs/compiled/pull/211,2020-05-31T09:29:17Z,2020-05-31T10:39:04Z,2,2,MERGED
compiled,chore(css-transform): replace postcss selector parsing with official library,https://github.com/atlassian-labs/compiled/pull/210,2020-05-30T23:00:26Z,2020-06-01T07:17:55Z,8,3,MERGED
compiled,Fix interpolations that are delimited by spaces being picked up as suffixes ,https://github.com/atlassian-labs/compiled/pull/209,2020-05-28T23:09:45Z,2020-05-29T00:00:50Z,0,4,MERGED
compiled,205 fix template literal,https://github.com/atlassian-labs/compiled/pull/206,2020-05-27T10:41:49Z,2020-05-27T10:48:20Z,0,2,MERGED
compiled,fix: short circuits css variable expressions to an empty string that have a prefix or suffix,https://github.com/atlassian-labs/compiled/pull/204,2020-05-26T23:08:48Z,2020-05-27T00:35:44Z,0,1,MERGED
compiled,chore: runs new prettier config over everything,https://github.com/atlassian-labs/compiled/pull/203,2020-05-26T22:32:00Z,2020-05-26T22:35:02Z,0,1,MERGED
compiled,fix: fixes css prop transform from passing through defined props,https://github.com/atlassian-labs/compiled/pull/202,2020-05-26T22:25:48Z,2020-05-26T22:28:59Z,0,1,MERGED
compiled,fix: turns off normalize charset cssnano plugin,https://github.com/atlassian-labs/compiled/pull/201,2020-05-26T12:26:07Z,2020-05-26T12:31:52Z,0,1,MERGED
