repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
overdrive,Feature/input prefix suffix,https://github.com/autoguru-au/overdrive/pull/142,2019-07-30T23:52:42Z,2019-07-30T23:53:29Z,1,19,CLOSED
overdrive,fix(Bullet): Dot margin is relative to current fontsize,https://github.com/autoguru-au/overdrive/pull/141,2019-07-30T02:04:49Z,2019-07-30T05:24:42Z,1,1,MERGED
overdrive,feat(InputBase): Introduce prefix/suffic Icon props,https://github.com/autoguru-au/overdrive/pull/140,2019-07-29T23:20:40Z,2019-07-30T23:46:12Z,8,18,MERGED
overdrive,feat(Button): New and improved buttons,https://github.com/autoguru-au/overdrive/pull/138,2019-07-26T05:03:32Z,2019-07-28T22:52:26Z,5,1,MERGED
overdrive,feat(TextLink): Hover states with inset shadow instead,https://github.com/autoguru-au/overdrive/pull/137,2019-07-25T00:30:41Z,2019-07-25T00:53:00Z,1,1,MERGED
overdrive,feat: SizeScales aligned to designer feedback,https://github.com/autoguru-au/overdrive/pull/136,2019-07-24T05:34:09Z,2019-07-24T06:20:56Z,1,1,MERGED
overdrive,fix(BulletList): Increase density to align with parent li,https://github.com/autoguru-au/overdrive/pull/134,2019-07-23T04:57:16Z,2019-07-23T22:42:52Z,1,1,MERGED
overdrive,feat(Actions): Init impl of the Actions component,https://github.com/autoguru-au/overdrive/pull/133,2019-07-23T04:35:04Z,2019-07-23T22:46:21Z,3,1,MERGED
overdrive,feat(TextLink): Init impl of a TextLink component,https://github.com/autoguru-au/overdrive/pull/132,2019-07-23T02:54:25Z,2019-07-23T22:55:29Z,2,1,MERGED
overdrive,fix(ModalBase): Backdrop taps now trigger on small viewports,https://github.com/autoguru-au/overdrive/pull/128,2019-07-17T04:20:17Z,2019-07-17T04:37:05Z,2,1,MERGED
overdrive,feat(Button): Adds explicit colours for button states,https://github.com/autoguru-au/overdrive/pull/125,2019-07-11T23:26:46Z,2019-07-12T00:21:33Z,1,1,MERGED
overdrive,feat: Replaces opacity from disabled checkable with text colour,https://github.com/autoguru-au/overdrive/pull/124,2019-07-10T02:32:19Z,2019-07-10T03:05:35Z,1,1,MERGED
overdrive,feat(Stepper): Impl keyboard accessibility,https://github.com/autoguru-au/overdrive/pull/122,2019-07-08T00:28:31Z,2019-07-08T00:41:21Z,1,1,MERGED
overdrive,chore: Unit-test framework migration to testing-library,https://github.com/autoguru-au/overdrive/pull/120,2019-07-04T06:32:57Z,2019-07-15T05:47:20Z,12,1,MERGED
overdrive,feat(Icons): Icons are typed and components rationalized,https://github.com/autoguru-au/overdrive/pull/119,2019-07-04T01:01:11Z,2019-07-04T06:07:54Z,1,1,MERGED
overdrive,fix(InputBase): Clear date no longer breaks ui,https://github.com/autoguru-au/overdrive/pull/110,2019-06-20T07:19:34Z,2019-06-21T00:22:32Z,1,1,MERGED
overdrive,feat: Adds component child support to checkboxes and radios,https://github.com/autoguru-au/overdrive/pull/108,2019-06-14T05:50:04Z,2019-06-17T01:29:37Z,2,5,MERGED
overdrive,feat(Tooltip): Impl a new tooltip component,https://github.com/autoguru-au/overdrive/pull/105,2019-06-10T07:26:55Z,2019-06-12T05:35:02Z,1,1,MERGED
overdrive,chore: Introduce eslint into the project,https://github.com/autoguru-au/overdrive/pull/102,2019-06-07T03:33:27Z,2019-06-10T00:12:22Z,1,1,MERGED
overdrive,fix(Stepper): Uses useRef rather than useState to memoize previous value,https://github.com/autoguru-au/overdrive/pull/100,2019-06-06T01:25:55Z,2019-06-06T03:49:59Z,1,1,MERGED
overdrive, feat(Flyout): Initial impl of the Flyout component ,https://github.com/autoguru-au/overdrive/pull/93,2019-06-03T05:28:54Z,2019-06-04T01:18:10Z,1,1,MERGED
overdrive,feat(Positioner): Initial impl of the positioning ulitiy component ,https://github.com/autoguru-au/overdrive/pull/92,2019-06-03T05:23:45Z,2019-06-04T00:37:43Z,4,8,MERGED
