repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
cos-ui,Add i18n support,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/2,2021-05-24T07:40:51Z,2021-06-09T18:08:47Z,12,5,MERGED
cos-ui,Adding the React.Suspense for handing i18next with useSuspense enable,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/1,2021-05-11T10:00:38Z,2021-05-25T10:51:01Z,3,1,MERGED
cos-ui,fix: make the footer of the wizard sticky,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/73,2021-07-21T11:51:15Z,2021-07-21T12:23:28Z,0,1,MERGED
cos-ui,chore: add more e2e tests,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/51,2021-07-15T16:59:43Z,2021-07-16T10:33:13Z,0,1,MERGED
cos-ui,chore: add e2e tests,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/50,2021-07-15T11:09:22Z,2021-07-15T15:02:34Z,1,1,MERGED
cos-ui,feat: add a facade in front of the connector types API,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/48,2021-07-08T16:58:13Z,2021-07-08T18:33:37Z,1,1,MERGED
cos-ui,chore: wizard layout fixes,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/46,2021-07-08T08:44:45Z,2021-07-08T16:16:45Z,1,3,MERGED
cos-ui,[DRAFT] Use the SDK for the Kafka's APIs and the GraphQL endpoint fo the connector's APIs,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/44,2021-07-07T13:05:58Z,2022-05-18T11:28:38Z,2,2,CLOSED
cos-ui,chore: fix wizard body height,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/41,2021-07-06T09:48:52Z,2021-07-06T11:26:06Z,1,1,MERGED
cos-ui,chore: fix layout issues,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/38,2021-07-02T16:48:08Z,2021-07-02T16:54:32Z,1,1,MERGED
cos-ui,Adding notification component and calling sucsess alert on connector …,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/36,2021-07-01T10:30:07Z,2021-07-01T10:32:06Z,3,1,CLOSED
cos-ui,Refactor app code and add support for toast notifications,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/35,2021-07-01T09:10:57Z,2021-07-01T10:33:05Z,1,2,MERGED
cos-ui,fix: stop spawned connector machines before creating new ones,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/34,2021-06-29T08:16:34Z,2021-06-29T08:16:41Z,1,1,MERGED
cos-ui,feat: add polling capabilities to the PaginatedApiMachine; poll for the connectors,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/33,2021-06-28T09:38:35Z,2021-06-28T12:30:06Z,1,1,MERGED
cos-ui,Filtering capabilities of the select kafka instances,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/31,2021-06-28T08:36:27Z,2021-07-02T10:54:17Z,8,4,MERGED
cos-ui,Make cos-ui compatible with application-services-ui,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/30,2021-06-24T15:05:27Z,2021-06-24T15:10:29Z,2,1,MERGED
cos-ui,Add delete connector confirmation,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/28,2021-06-23T21:15:21Z,2021-06-24T08:01:07Z,3,1,MERGED
cos-ui,Fix the actions and refresh the data after calling them,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/27,2021-06-23T17:07:39Z,2021-06-23T18:21:07Z,1,1,MERGED
cos-ui,Active row selection display for table with drawer open,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/26,2021-06-23T14:47:31Z,2021-06-23T17:41:19Z,3,1,MERGED
cos-ui,Add and wire connectors' actions,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/25,2021-06-22T11:57:01Z,2021-06-23T07:01:43Z,1,3,MERGED
cos-ui,Connector drawer,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/24,2021-06-21T11:13:27Z,2021-06-22T08:53:57Z,8,3,MERGED
cos-ui,Save the connector,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/23,2021-06-16T18:00:48Z,2021-06-16T18:03:47Z,1,1,MERGED
cos-ui,i18n: Fix translation file loading path in case of Module Federation,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/22,2021-06-14T13:47:05Z,2021-06-14T14:25:07Z,2,1,MERGED
cos-ui,Show the DBZ configurator properties on the review step,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/20,2021-06-11T12:14:43Z,2021-06-17T10:29:14Z,3,1,MERGED
cos-ui,Make select connector as first step,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/17,2021-06-10T10:05:29Z,2021-06-10T13:00:33Z,2,1,MERGED
cos-ui,Updates to make the project embeddable in cloud.redhat.com,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/7,2021-06-08T07:34:41Z,2021-06-08T07:44:38Z,0,12,MERGED
cos-ui,fix: update the openapi schema to the latest version,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/6,2021-06-04T16:58:13Z,2021-06-08T07:36:11Z,7,1,CLOSED
cos-ui,[chore] add build action,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/5,2021-06-01T18:34:26Z,2021-06-01T19:33:56Z,1,1,MERGED
cos-ui,chore: use npm instead of yarn to align to other MAS projects,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/231,2021-10-20T18:55:47Z,2021-10-20T19:38:52Z,0,1,MERGED
cos-ui,feat: allow for automatic creation of a service account when creating a connector,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/223,2021-10-18T16:06:51Z,2021-10-20T19:39:45Z,1,1,MERGED
cos-ui,chore: improve cypress reliability,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/219,2021-10-18T08:09:01Z,2021-10-18T08:21:41Z,0,1,MERGED
cos-ui,feat: improved UX,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/214,2021-10-14T14:12:42Z,2021-10-14T16:26:39Z,0,1,MERGED
cos-ui,chore: remove monaco from the deps and optimize the build,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/202,2021-10-05T16:15:14Z,2021-10-12T17:15:57Z,0,1,MERGED
cos-ui,chore: more stories,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/162,2021-09-16T13:20:10Z,2021-09-16T14:22:17Z,0,1,MERGED
cos-ui,chore: update stories,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/125,2021-08-31T15:06:29Z,2021-08-31T16:25:04Z,0,1,MERGED
cos-ui,chore: update stories,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/124,2021-08-31T09:37:15Z,2021-08-31T09:50:03Z,0,1,MERGED
cos-ui,chore: update stories,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/120,2021-08-30T15:29:08Z,2021-08-31T07:29:05Z,0,1,MERGED
cos-ui,chore: add storybook-xstate addon,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/119,2021-08-30T13:14:56Z,2021-08-30T13:53:41Z,0,1,MERGED
cos-ui,chore: improved Storybook's stories,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/113,2021-08-28T07:53:30Z,2021-08-30T12:52:07Z,0,1,MERGED
cos-ui,feat: deploy Storybook on Chromatic,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/111,2021-08-27T19:07:48Z,2021-08-27T19:33:33Z,0,1,MERGED
cos-ui,chore: more refactoring,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/101,2021-08-26T09:25:48Z,2021-08-26T16:11:37Z,0,1,MERGED
cos-ui,chore: reorganize code for legibility,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/97,2021-08-25T08:35:25Z,2021-08-25T16:22:35Z,0,1,MERGED
cos-ui,chore: dump the monorepo in favour of a simpler setup,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/92,2021-08-24T13:29:42Z,2021-08-24T16:10:42Z,0,2,MERGED
cos-ui,MGDSTRM-6965: Added show/hide action for secrets and keys,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/325,2021-12-29T10:05:32Z,2022-01-05T09:17:23Z,0,1,MERGED
cos-ui,MGDSTRM-6496 fix Cypress failed,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/323,2021-12-22T05:49:17Z,2021-12-22T06:07:08Z,0,1,MERGED
cos-ui,MGDSTRM-6496 Create a basic substep and improve review step,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/320,2021-12-16T10:46:38Z,2021-12-22T05:35:22Z,3,4,MERGED
cos-ui,fix: i18next version fix,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/314,2021-12-09T06:54:45Z,2021-12-15T12:35:18Z,0,1,MERGED
cos-ui,chore: make webpack compile with strict typescript checks,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/249,2021-11-04T18:00:11Z,2021-11-05T10:22:49Z,0,1,MERGED
cos-ui,MGDCTRS-592: feat: Prepare the UI for namespace related backend changes,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/431,2022-03-31T06:27:12Z,2022-04-04T18:00:25Z,9,5,MERGED
cos-ui,MGDCTRS-603: Duplicate a connector configuration,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/430,2022-03-30T04:59:21Z,2022-03-30T17:57:01Z,6,8,MERGED
cos-ui,MGDCTRS-486: chore: remove the search widget,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/428,2022-03-28T18:31:02Z,2022-03-30T05:37:03Z,1,1,MERGED
cos-ui,MGDCTRS-574: feat: update the api call and regex,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/425,2022-03-25T10:20:55Z,2022-03-26T10:05:45Z,1,1,MERGED
cos-ui,Mgdctrs 574 b,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/424,2022-03-24T11:40:05Z,2022-03-24T11:43:09Z,0,8,CLOSED
cos-ui,MGDCTRS-603: Duplicate a connector configuration,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/423,2022-03-24T07:23:46Z,2022-03-30T05:45:00Z,7,4,CLOSED
cos-ui,MGDCTRS-574: update the service account creation flow in connectors,https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/420,2022-03-22T14:16:21Z,2022-03-24T09:21:58Z,1,6,MERGED
cos-ui,"Revert ""chore: Check the repo owner in job, fixes #417""",https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/419,2022-03-22T13:22:06Z,2022-03-24T13:39:33Z,0,1,MERGED
cos-ui,"chore: Check the repo owner in job, fixes #417",https://github.com/bf2fc6cc711aee1a0c2a/cos-ui/pull/418,2022-03-21T18:04:03Z,2022-03-22T13:18:10Z,1,1,MERGED
