repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
momokji-frontend,feat: 메인페이지 생성,https://github.com/cancook/momokji-frontend/pull/27,2023-05-30T14:33:46Z,2023-06-08T13:05:50Z,9,16,MERGED
momokji-frontend,Feature/card carousel detail,https://github.com/cancook/momokji-frontend/pull/25,2023-05-14T12:49:55Z,2023-05-15T07:45:17Z,11,11,MERGED
momokji-frontend,"test: date, views util함수 생성",https://github.com/cancook/momokji-frontend/pull/23,2023-05-09T14:01:08Z,2023-05-14T01:12:00Z,2,3,MERGED
momokji-frontend,feat: 이미지 carousel 디자인 수정,https://github.com/cancook/momokji-frontend/pull/20,2023-05-04T16:24:23Z,2023-05-13T06:55:52Z,10,17,MERGED
momokji-frontend,feat: 이미지 carousel 디자인 수정,https://github.com/cancook/momokji-frontend/pull/19,2023-05-04T14:17:42Z,2023-05-04T16:23:48Z,0,6,CLOSED
momokji-frontend,feat: 디자인 시스템 적용,https://github.com/cancook/momokji-frontend/pull/16,2023-04-29T03:35:43Z,2023-05-01T04:14:14Z,3,3,MERGED
momokji-frontend,ci 테스트용 PR입니다,https://github.com/cancook/momokji-frontend/pull/15,2023-04-28T14:41:04Z,2023-04-28T14:41:10Z,0,3,CLOSED
momokji-frontend,feat: 디자인 시스템 적용,https://github.com/cancook/momokji-frontend/pull/14,2023-04-28T13:51:46Z,2023-04-29T03:35:14Z,4,3,CLOSED
momokji-frontend,style: 디자인 시스템 theme에 적용,https://github.com/cancook/momokji-frontend/pull/11,2023-04-28T11:50:44Z,2023-04-28T13:50:31Z,0,3,CLOSED
momokji-frontend,Feature/test PR입니다,https://github.com/cancook/momokji-frontend/pull/10,2023-04-25T06:53:28Z,2023-04-25T07:49:50Z,0,2,CLOSED
momokji-frontend,feat: 기본적인 레이아웃 설정,https://github.com/cancook/momokji-frontend/pull/9,2023-04-24T15:40:16Z,2023-05-01T04:30:37Z,10,10,MERGED
momokji-frontend,chore: chromatic ci 파일 생성,https://github.com/cancook/momokji-frontend/pull/6,2023-04-23T01:46:01Z,2023-04-25T06:34:54Z,1,2,MERGED
momokji-frontend,feat: Accordion Divider 컴포넌트 생성,https://github.com/cancook/momokji-frontend/pull/59,2023-07-22T15:27:50Z,2023-08-08T13:58:40Z,9,5,MERGED
momokji-frontend,feat: search modal을 위한 기본 컴포넌트 제작,https://github.com/cancook/momokji-frontend/pull/56,2023-07-22T04:28:28Z,2023-07-25T11:01:36Z,12,11,MERGED
momokji-frontend,Feat/splash search page,https://github.com/cancook/momokji-frontend/pull/55,2023-07-22T04:22:04Z,2023-07-23T06:33:25Z,8,6,MERGED
momokji-frontend,fix: 디자인 QA,https://github.com/cancook/momokji-frontend/pull/50,2023-07-05T16:56:46Z,2023-07-08T03:22:31Z,8,13,MERGED
momokji-frontend,fix: 컴포넌트 변경에 따른 스토리북 빌드 변경 수정,https://github.com/cancook/momokji-frontend/pull/49,2023-07-03T04:15:55Z,2023-07-03T12:04:11Z,1,1,MERGED
momokji-frontend,feat: 검색 페이지 UI 생성,https://github.com/cancook/momokji-frontend/pull/48,2023-07-02T06:13:51Z,2023-07-03T03:00:10Z,1,13,MERGED
momokji-frontend,fix: 1440px 이상 banner image style,https://github.com/cancook/momokji-frontend/pull/46,2023-07-02T05:38:46Z,2023-07-02T05:40:43Z,0,1,MERGED
momokji-frontend,feat: 자동완성 컴포넌트 UI 생성,https://github.com/cancook/momokji-frontend/pull/45,2023-07-01T03:47:29Z,2023-07-01T07:48:16Z,1,1,MERGED
momokji-frontend,fix: #43 food card responsive,https://github.com/cancook/momokji-frontend/pull/44,2023-07-01T01:54:53Z,2023-07-01T13:31:20Z,3,4,MERGED
momokji-frontend,feat: 바뀐 Header 생성,https://github.com/cancook/momokji-frontend/pull/42,2023-06-30T12:39:29Z,2023-06-30T14:34:13Z,3,3,MERGED
momokji-frontend,feat: loading component,https://github.com/cancook/momokji-frontend/pull/41,2023-06-28T15:47:13Z,2023-06-30T14:18:40Z,1,1,MERGED
momokji-frontend,feat: 배너 컴포넌트,https://github.com/cancook/momokji-frontend/pull/39,2023-06-28T14:53:06Z,2023-07-02T05:04:47Z,7,14,MERGED
momokji-frontend,feat: 검색 재료 태그(chip) UI 생성,https://github.com/cancook/momokji-frontend/pull/38,2023-06-27T07:44:53Z,2023-06-30T03:57:19Z,2,3,MERGED
momokji-frontend,feat: 빈 검색 결과 컴포넌트 생성,https://github.com/cancook/momokji-frontend/pull/37,2023-06-27T06:23:12Z,2023-06-30T03:57:32Z,4,4,MERGED
momokji-frontend,chore: theme 변경 및 스토리북 설정 추가,https://github.com/cancook/momokji-frontend/pull/36,2023-06-27T06:00:42Z,2023-06-27T06:01:44Z,0,4,MERGED
momokji-frontend,feat: NavigationSearchInput 컴포넌트 생성,https://github.com/cancook/momokji-frontend/pull/30,2023-06-26T15:52:41Z,2023-06-30T03:57:42Z,6,6,MERGED
momokji-frontend,Release v0.1,https://github.com/cancook/momokji-frontend/pull/28,2023-06-10T03:19:57Z,2023-06-10T03:20:20Z,2,13,MERGED
momokji-frontend,fix: 마지막 영끌 디자인 QA...,https://github.com/cancook/momokji-frontend/pull/89,2023-08-24T11:50:43Z,2023-08-25T12:56:38Z,6,13,MERGED
momokji-frontend,fix: 도메인 오류 해결,https://github.com/cancook/momokji-frontend/pull/87,2023-08-22T02:39:59Z,2023-08-22T02:40:04Z,1,1,MERGED
momokji-frontend,Feat/meta data,https://github.com/cancook/momokji-frontend/pull/86,2023-08-21T13:58:51Z,2023-08-21T13:59:35Z,1,4,MERGED
momokji-frontend,Fix/result mock data,https://github.com/cancook/momokji-frontend/pull/85,2023-08-21T10:15:36Z,2023-08-21T10:58:03Z,1,12,MERGED
momokji-frontend,feat: 공유하기 기능 추가,https://github.com/cancook/momokji-frontend/pull/84,2023-08-17T04:35:31Z,2023-08-17T14:51:06Z,2,1,MERGED
momokji-frontend,fix: 디자인 QA,https://github.com/cancook/momokji-frontend/pull/82,2023-08-17T01:36:22Z,2023-08-21T12:45:49Z,8,18,MERGED
momokji-frontend,feat: main header and favicon,https://github.com/cancook/momokji-frontend/pull/81,2023-08-16T14:35:39Z,2023-08-17T11:38:29Z,2,2,MERGED
momokji-frontend,fix: temporal dummy data for result page & blur header,https://github.com/cancook/momokji-frontend/pull/80,2023-08-16T14:25:21Z,2023-08-19T08:44:32Z,6,5,MERGED
momokji-frontend,feat: 유튜브 상세 페이지를 생성한다.,https://github.com/cancook/momokji-frontend/pull/79,2023-08-16T13:33:50Z,2023-08-16T15:20:12Z,3,5,MERGED
momokji-frontend,feat: 메인 페이지 api 연결,https://github.com/cancook/momokji-frontend/pull/77,2023-08-16T02:57:56Z,2023-08-16T12:59:21Z,2,17,MERGED
momokji-frontend,fix: 빌드가 되지 않는 스토리북 제거,https://github.com/cancook/momokji-frontend/pull/75,2023-08-15T10:34:24Z,2023-08-15T10:34:42Z,0,1,MERGED
momokji-frontend,feat: 검색 완료 페이지,https://github.com/cancook/momokji-frontend/pull/74,2023-08-14T16:16:15Z,2023-08-16T12:32:51Z,6,8,MERGED
momokji-frontend,chore: GA연결,https://github.com/cancook/momokji-frontend/pull/69,2023-08-14T04:50:08Z,2023-08-14T14:35:47Z,0,3,MERGED
momokji-frontend,feat: youtubeModal api 연결,https://github.com/cancook/momokji-frontend/pull/67,2023-08-13T14:37:06Z,2023-08-15T09:24:34Z,4,7,MERGED
momokji-frontend,style: 파일 구조 변경,https://github.com/cancook/momokji-frontend/pull/65,2023-08-11T13:57:49Z,2023-08-12T04:56:22Z,2,4,MERGED
momokji-frontend,feat: YouTube Modal 컴포넌트 생성,https://github.com/cancook/momokji-frontend/pull/64,2023-08-10T05:52:16Z,2023-08-11T10:52:39Z,8,15,MERGED
momokji-frontend,feat: search modal,https://github.com/cancook/momokji-frontend/pull/61,2023-08-08T13:59:05Z,2023-08-11T11:06:32Z,12,19,MERGED
momokji-frontend,feat: 메인 페이지 스크롤 (서치 페이지 ↔️ 카테고리 페이지),https://github.com/cancook/momokji-frontend/pull/60,2023-08-08T13:37:08Z,2023-08-11T11:12:18Z,2,4,MERGED
