repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ui,[FEAT] - Buttons / Icons,https://github.com/cap-collectif/ui/pull/2,2021-06-17T12:16:54Z,2021-06-17T14:52:48Z,1,5,MERGED
ui,[FEAT] - Layout components,https://github.com/cap-collectif/ui/pull/1,2021-06-16T14:10:05Z,2021-06-16T14:57:06Z,1,1,MERGED
ui,[36] Component DateRange Picker,https://github.com/cap-collectif/ui/pull/113,2021-10-29T10:12:03Z,2021-11-22T13:23:44Z,34,9,MERGED
ui,Fix base px storybook,https://github.com/cap-collectif/ui/pull/111,2021-10-28T12:47:55Z,2021-10-28T12:58:02Z,1,1,MERGED
ui,v0.2.0,https://github.com/cap-collectif/ui/pull/109,2021-10-28T08:56:30Z,2021-10-28T11:42:26Z,1,2,MERGED
ui,[75] Improve github config,https://github.com/cap-collectif/ui/pull/103,2021-10-26T14:31:28Z,2021-10-26T14:45:15Z,1,3,MERGED
ui,Fix components,https://github.com/cap-collectif/ui/pull/102,2021-10-26T13:32:19Z,2021-10-26T15:38:46Z,1,7,MERGED
ui,[14] Update fonts,https://github.com/cap-collectif/ui/pull/101,2021-10-26T13:27:46Z,2021-10-28T09:23:47Z,1,3,MERGED
ui,Component Link,https://github.com/cap-collectif/ui/pull/100,2021-10-26T12:40:20Z,2021-10-26T15:13:28Z,1,2,MERGED
ui,Select [28] et Combobox [32],https://github.com/cap-collectif/ui/pull/98,2021-10-25T11:32:40Z,2021-10-26T09:41:25Z,2,4,MERGED
ui,Update base px ,https://github.com/cap-collectif/ui/pull/97,2021-10-25T10:01:28Z,2021-10-26T09:35:56Z,2,2,MERGED
ui,Update storybook dependencies,https://github.com/cap-collectif/ui/pull/96,2021-10-25T09:06:08Z,2021-10-25T12:26:17Z,1,2,MERGED
ui,v0.1.1,https://github.com/cap-collectif/ui/pull/95,2021-10-22T09:04:45Z,2021-10-22T09:15:33Z,1,1,MERGED
ui,Fix dependencies,https://github.com/cap-collectif/ui/pull/94,2021-10-22T08:27:09Z,2021-10-22T08:58:59Z,1,1,MERGED
ui,v0.1.0,https://github.com/cap-collectif/ui/pull/93,2021-10-21T10:15:40Z,2021-10-21T12:29:40Z,1,2,MERGED
ui,Fix components,https://github.com/cap-collectif/ui/pull/92,2021-10-20T14:59:39Z,2021-10-20T15:29:59Z,1,6,MERGED
ui,[17] Icons update,https://github.com/cap-collectif/ui/pull/91,2021-10-20T13:49:11Z,2021-10-20T15:25:01Z,1,5,MERGED
ui,[13] Colors update,https://github.com/cap-collectif/ui/pull/90,2021-10-20T09:14:53Z,2021-10-20T15:10:47Z,1,3,MERGED
ui,[82] Component Table,https://github.com/cap-collectif/ui/pull/89,2021-10-19T08:27:03Z,2021-10-21T08:18:12Z,3,9,MERGED
ui,[25] Component Menu,https://github.com/cap-collectif/ui/pull/87,2021-10-14T14:13:32Z,2021-10-14T14:40:53Z,1,1,MERGED
ui,[29] - TextArea,https://github.com/cap-collectif/ui/pull/86,2021-10-11T15:45:40Z,2021-10-11T16:16:12Z,2,3,MERGED
ui,[84] Component Skeleton,https://github.com/cap-collectif/ui/pull/85,2021-10-11T14:32:29Z,2021-10-14T12:53:23Z,3,2,MERGED
ui,[31] Number input,https://github.com/cap-collectif/ui/pull/81,2021-10-08T13:52:28Z,2021-10-11T08:27:23Z,11,5,MERGED
ui,[64] Component ButtonQuickAction,https://github.com/cap-collectif/ui/pull/80,2021-10-08T09:16:35Z,2021-10-15T08:16:59Z,2,3,MERGED
ui,[FIX] Fix some components,https://github.com/cap-collectif/ui/pull/73,2021-10-07T12:39:01Z,2021-10-07T12:47:12Z,1,6,MERGED
ui,[60] Component InlineSelect,https://github.com/cap-collectif/ui/pull/72,2021-10-06T14:29:29Z,2021-10-14T15:00:21Z,2,3,MERGED
ui,[14] Add font files,https://github.com/cap-collectif/ui/pull/71,2021-10-06T10:11:45Z,2021-10-14T14:09:37Z,2,2,MERGED
ui,[15] Component Tooltip,https://github.com/cap-collectif/ui/pull/70,2021-10-05T11:44:50Z,2021-10-06T15:14:32Z,2,2,MERGED
ui,[30] Input - Ainsi que de la logique formulaire | Nice ->,https://github.com/cap-collectif/ui/pull/69,2021-10-04T16:41:57Z,2021-10-07T13:45:13Z,6,10,MERGED
ui,[20] Button as link,https://github.com/cap-collectif/ui/pull/68,2021-09-30T15:53:55Z,2021-10-07T13:04:05Z,1,1,MERGED
