repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
single-cell-explorer,remove h5ad & user annotations code,https://github.com/chanzuckerberg/single-cell-explorer/pull/180,2021-10-31T14:58:22Z,2022-01-21T19:01:31Z,23,25,MERGED
single-cell-explorer,fix: e2e base url,https://github.com/chanzuckerberg/single-cell-explorer/pull/179,2021-10-28T23:17:34Z,2021-10-28T23:23:09Z,2,1,MERGED
single-cell-explorer,fix: dont cache dataset metadata,https://github.com/chanzuckerberg/single-cell-explorer/pull/177,2021-10-28T18:17:43Z,2021-11-03T19:35:18Z,2,3,MERGED
single-cell-explorer,feat: api v3 uses s3_uri ,https://github.com/chanzuckerberg/single-cell-explorer/pull/175,2021-10-28T18:03:24Z,2021-11-22T18:38:52Z,6,49,CLOSED
single-cell-explorer,[WIP] Dunitz/166 dataset metadata cache,https://github.com/chanzuckerberg/single-cell-explorer/pull/174,2021-10-27T21:41:16Z,2021-10-28T19:19:18Z,1,19,CLOSED
single-cell-explorer,Always show scrollbar on dataset menu if scrollable. (#138),https://github.com/chanzuckerberg/single-cell-explorer/pull/173,2021-10-27T02:56:55Z,2021-10-29T03:23:30Z,2,3,MERGED
single-cell-explorer,Update requirements,https://github.com/chanzuckerberg/single-cell-explorer/pull/172,2021-10-26T02:53:35Z,2021-10-26T03:22:57Z,1,1,MERGED
single-cell-explorer,Updated load indicator to match skeleton. (#139),https://github.com/chanzuckerberg/single-cell-explorer/pull/171,2021-10-22T05:44:01Z,2021-11-01T17:03:12Z,2,4,MERGED
single-cell-explorer,Prevented toast for 404's from /dataset-metadata. (#161),https://github.com/chanzuckerberg/single-cell-explorer/pull/170,2021-10-21T22:32:08Z,2021-10-22T04:16:59Z,2,1,MERGED
single-cell-explorer,Updated truncating breadcrumbs overflow. (#153),https://github.com/chanzuckerberg/single-cell-explorer/pull/169,2021-10-20T20:10:45Z,2021-10-21T17:27:16Z,1,3,MERGED
