repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
chromatic-cli,Allow use of Intl without new operator,https://github.com/chromaui/chromatic-cli/pull/53,2019-10-25T08:26:52Z,2019-10-28T13:02:47Z,1,2,MERGED
chromatic-cli,ADD svg polyfills,https://github.com/chromaui/chromatic-cli/pull/52,2019-10-24T13:33:48Z,2019-10-25T11:57:46Z,1,4,MERGED
chromatic-cli,"ADD unfetch as a fetch polyfill, as it's not in JSDom by default?",https://github.com/chromaui/chromatic-cli/pull/51,2019-10-24T12:56:00Z,2019-10-28T13:41:03Z,6,7,MERGED
chromatic-cli,ADD storybookOptions to the input for chromatic,https://github.com/chromaui/chromatic-cli/pull/50,2019-10-24T12:37:23Z,2019-11-11T10:56:15Z,1,5,CLOSED
chromatic-cli,v3.0.3,https://github.com/chromaui/chromatic-cli/pull/46,2019-10-15T15:29:07Z,2019-10-15T15:53:15Z,0,22,MERGED
chromatic-cli,Fix/GitHub actions,https://github.com/chromaui/chromatic-cli/pull/43,2019-10-09T13:22:43Z,2019-10-15T13:35:03Z,7,18,MERGED
chromatic-cli,Tech/add test for GitHub action,https://github.com/chromaui/chromatic-cli/pull/42,2019-10-09T13:13:30Z,2019-10-09T14:42:44Z,0,4,MERGED
chromatic-cli,ADD a github action on push,https://github.com/chromaui/chromatic-cli/pull/40,2019-10-09T12:25:38Z,2019-10-09T13:14:21Z,0,4,CLOSED
chromatic-cli,Add LICENSE file,https://github.com/chromaui/chromatic-cli/pull/39,2019-10-09T10:19:26Z,2019-10-09T10:23:32Z,1,9,MERGED
chromatic-cli,Release 3.0.2,https://github.com/chromaui/chromatic-cli/pull/38,2019-10-09T10:00:53Z,2019-10-09T10:25:41Z,0,4,MERGED
chromatic-cli,FIX missing addons info in debug,https://github.com/chromaui/chromatic-cli/pull/37,2019-10-09T09:30:40Z,2019-10-09T09:47:20Z,1,3,MERGED
chromatic-cli,FIX 34 - respect the CHROMA_* env variables,https://github.com/chromaui/chromatic-cli/pull/36,2019-10-09T09:25:34Z,2019-10-09T10:17:55Z,1,3,MERGED
chromatic-cli,Log upload success,https://github.com/chromaui/chromatic-cli/pull/35,2019-10-09T05:28:19Z,2019-10-09T09:48:10Z,0,4,MERGED
chromatic-cli,ADD chroma bin,https://github.com/chromaui/chromatic-cli/pull/33,2019-10-07T07:38:10Z,2019-10-07T22:18:46Z,4,1,MERGED
chromatic-cli,v3.0.0,https://github.com/chromaui/chromatic-cli/pull/29,2019-10-03T21:48:27Z,2019-10-03T21:53:18Z,0,39,MERGED
chromatic-cli,Fix/paths,https://github.com/chromaui/chromatic-cli/pull/28,2019-10-03T14:40:31Z,2019-10-03T16:30:41Z,0,4,MERGED
chromatic-cli,Fix/24 correct warn logging,https://github.com/chromaui/chromatic-cli/pull/25,2019-10-01T09:02:25Z,2019-10-01T09:03:58Z,0,1,MERGED
chromatic-cli,Add support for running in a github action,https://github.com/chromaui/chromatic-cli/pull/23,2019-10-01T08:16:44Z,2019-10-01T08:18:09Z,0,1,MERGED
chromatic-cli,Fix/indent,https://github.com/chromaui/chromatic-cli/pull/20,2019-09-27T12:25:52Z,2019-09-27T12:28:18Z,0,1,MERGED
chromatic-cli,"Exit hard after success, do not wait for bulky logs",https://github.com/chromaui/chromatic-cli/pull/19,2019-09-25T11:59:13Z,2019-09-26T22:42:09Z,3,2,MERGED
chromatic-cli,CHANGE default loglevel to 'error' and make it configurable,https://github.com/chromaui/chromatic-cli/pull/18,2019-09-25T10:57:19Z,2019-09-26T02:25:36Z,0,2,MERGED
chromatic-cli,Fix/10 stop logging logconfig,https://github.com/chromaui/chromatic-cli/pull/17,2019-09-25T10:41:33Z,2019-09-26T02:25:28Z,0,1,MERGED
chromatic-cli,Fix/4 incorrect url still,https://github.com/chromaui/chromatic-cli/pull/16,2019-09-25T10:37:43Z,2019-09-26T02:25:18Z,0,1,MERGED
chromatic-cli,"Manually retry uploads, recreating streams each time",https://github.com/chromaui/chromatic-cli/pull/12,2019-09-16T05:55:23Z,2019-10-01T08:17:50Z,0,1,MERGED
chromatic-cli,Fix/3 force exit again,https://github.com/chromaui/chromatic-cli/pull/7,2019-09-12T12:15:33Z,2019-09-13T00:36:30Z,1,2,MERGED
chromatic-cli,Fix/4 incorrect url,https://github.com/chromaui/chromatic-cli/pull/6,2019-09-12T10:02:13Z,2019-09-13T00:14:13Z,1,5,MERGED
chromatic-cli,Fix/2 cannot use tunnel,https://github.com/chromaui/chromatic-cli/pull/5,2019-09-12T08:16:15Z,2019-09-13T00:10:53Z,0,2,MERGED
chromatic-cli,PR to review new OS version,https://github.com/chromaui/chromatic-cli/pull/1,2019-08-28T11:15:26Z,2019-09-13T02:22:15Z,34,28,CLOSED
chromatic-cli,Next release,https://github.com/chromaui/chromatic-cli/pull/74,2019-12-06T11:56:57Z,2020-01-28T10:28:18Z,7,51,MERGED
chromatic-cli,ADD extra information about build to github action,https://github.com/chromaui/chromatic-cli/pull/72,2019-12-05T14:33:39Z,2019-12-06T11:14:58Z,2,6,MERGED
chromatic-cli,Fix/url shims should be writable,https://github.com/chromaui/chromatic-cli/pull/71,2019-12-03T14:48:01Z,2019-12-03T14:53:14Z,1,1,MERGED
chromatic-cli,CHANGE URL.createObjectURL to writable: true,https://github.com/chromaui/chromatic-cli/pull/70,2019-12-03T14:44:43Z,2019-12-05T11:32:43Z,0,1,MERGED
chromatic-cli,REMOVE references to options that would use the tunnel,https://github.com/chromaui/chromatic-cli/pull/69,2019-12-03T11:23:29Z,2019-12-06T11:56:31Z,1,5,MERGED
chromatic-cli,REMOVE implementation,https://github.com/chromaui/chromatic-cli/pull/67,2019-11-29T11:56:53Z,2019-12-02T23:25:46Z,1,2,MERGED
chromatic-cli,Add --exit-once-sent-to-chromatic flag,https://github.com/chromaui/chromatic-cli/pull/63,2019-11-20T14:48:29Z,2019-11-22T12:10:50Z,5,4,MERGED
chromatic-cli,Release review PR,https://github.com/chromaui/chromatic-cli/pull/61,2019-11-19T16:25:43Z,2019-11-25T11:22:50Z,6,32,MERGED
chromatic-cli,Use prBranch when available,https://github.com/chromaui/chromatic-cli/pull/60,2019-11-17T21:01:55Z,2019-11-20T04:06:49Z,1,2,MERGED
chromatic-cli,Add/whitespace test,https://github.com/chromaui/chromatic-cli/pull/57,2019-11-14T13:09:32Z,2019-11-15T01:21:53Z,2,15,CLOSED
chromatic-cli,ADD a workflow that runs on windows,https://github.com/chromaui/chromatic-cli/pull/56,2019-11-13T15:11:23Z,2019-11-15T01:21:13Z,3,14,MERGED
chromatic-cli,IMPROVE logging when git fails,https://github.com/chromaui/chromatic-cli/pull/55,2019-11-12T08:33:30Z,2019-11-17T23:22:13Z,4,4,MERGED
chromatic-cli,v3.1.0,https://github.com/chromaui/chromatic-cli/pull/54,2019-11-04T17:40:10Z,2019-11-04T18:21:53Z,0,15,MERGED
chromatic-cli,RENAME appCode to projectToken,https://github.com/chromaui/chromatic-cli/pull/109,2020-03-31T08:49:22Z,2020-04-06T10:48:27Z,2,8,MERGED
chromatic-cli,Tech/add log to promote exitflag,https://github.com/chromaui/chromatic-cli/pull/108,2020-03-27T08:14:29Z,2020-03-30T12:38:36Z,1,2,MERGED
chromatic-cli,ADD extra parameters,https://github.com/chromaui/chromatic-cli/pull/107,2020-03-25T16:14:12Z,2020-04-08T05:45:10Z,0,2,MERGED
chromatic-cli,Upgrades,https://github.com/chromaui/chromatic-cli/pull/106,2020-03-25T15:03:56Z,2020-03-26T08:45:17Z,0,2,MERGED
chromatic-cli,Fix/94 needs crossenv,https://github.com/chromaui/chromatic-cli/pull/105,2020-03-25T13:13:22Z,2020-04-06T10:43:21Z,3,6,MERGED
chromatic-cli,Update 'Storybook was not build' language,https://github.com/chromaui/chromatic-cli/pull/102,2020-02-28T16:58:08Z,2020-02-29T11:24:08Z,0,1,MERGED
chromatic-cli,Update 'Storybook was not build' language,https://github.com/chromaui/chromatic-cli/pull/101,2020-02-28T16:55:17Z,2020-02-28T16:56:29Z,1,1,CLOSED
chromatic-cli,Update language on getRuntimeSpecs console output when hasErrors,https://github.com/chromaui/chromatic-cli/pull/99,2020-02-24T10:27:26Z,2020-02-24T10:27:42Z,0,1,MERGED
chromatic-cli,"Revert ""Update language on getRuntimeSpecs console output when hasErrors""",https://github.com/chromaui/chromatic-cli/pull/98,2020-02-24T10:22:44Z,2020-02-24T10:22:50Z,0,1,CLOSED
chromatic-cli,Update language on getRuntimeSpecs console output when hasErrors,https://github.com/chromaui/chromatic-cli/pull/97,2020-02-21T20:59:41Z,2020-02-24T10:21:59Z,0,1,MERGED
chromatic-cli,Fix issue with `jsdom@16.2`,https://github.com/chromaui/chromatic-cli/pull/96,2020-02-17T23:46:56Z,2020-02-17T23:57:50Z,0,1,MERGED
chromatic-cli,Next,https://github.com/chromaui/chromatic-cli/pull/93,2020-02-05T12:57:52Z,2020-02-05T14:05:32Z,0,4,MERGED
chromatic-cli,FIX chromaui/action/issues/14,https://github.com/chromaui/chromatic-cli/pull/92,2020-02-04T09:33:58Z,2020-02-05T12:57:14Z,3,4,MERGED
chromatic-cli,Upgrades,https://github.com/chromaui/chromatic-cli/pull/89,2020-01-28T10:16:34Z,2020-01-28T10:24:15Z,0,5,MERGED
chromatic-cli,Merge pull request #87 from chromaui/fix/fix-on-error,https://github.com/chromaui/chromatic-cli/pull/87,2020-01-25T10:21:15Z,2020-01-27T10:26:53Z,2,4,MERGED
chromatic-cli,FIX loglevel,https://github.com/chromaui/chromatic-cli/pull/86,2020-01-23T22:01:00Z,2020-01-24T10:53:43Z,0,1,MERGED
chromatic-cli,Fix/better error reporting,https://github.com/chromaui/chromatic-cli/pull/85,2020-01-16T14:27:37Z,2020-01-20T08:27:33Z,4,9,MERGED
chromatic-cli,FIX alwaysFn by copying static properties unto fn,https://github.com/chromaui/chromatic-cli/pull/84,2020-01-16T13:37:47Z,2020-01-17T02:07:15Z,0,1,MERGED
chromatic-cli,ADD web-components as valid storybook app package name,https://github.com/chromaui/chromatic-cli/pull/83,2020-01-16T12:50:25Z,2020-01-17T02:06:36Z,0,1,MERGED
chromatic-cli,ADD throw on runtime errors,https://github.com/chromaui/chromatic-cli/pull/82,2020-01-14T10:32:14Z,2020-01-18T00:14:28Z,4,3,MERGED
chromatic-cli,REMOVE nodeenv development,https://github.com/chromaui/chromatic-cli/pull/81,2020-01-14T10:20:27Z,2020-04-08T05:52:08Z,14,7,MERGED
chromatic-cli,New UI based on Listr,https://github.com/chromaui/chromatic-cli/pull/140,2020-05-08T15:33:38Z,2020-05-25T11:23:20Z,3,38,MERGED
chromatic-cli,ADD mock for execCommand,https://github.com/chromaui/chromatic-cli/pull/139,2020-05-06T13:49:52Z,2020-05-15T06:15:13Z,0,1,MERGED
chromatic-cli,Better cross platform compatibility for --patch-build,https://github.com/chromaui/chromatic-cli/pull/138,2020-05-04T19:15:42Z,2020-05-06T07:58:36Z,1,7,MERGED
chromatic-cli,Fix typo,https://github.com/chromaui/chromatic-cli/pull/135,2020-04-29T12:11:46Z,2020-04-29T23:02:08Z,1,1,MERGED
chromatic-cli,Some README updates,https://github.com/chromaui/chromatic-cli/pull/132,2020-04-27T12:04:13Z,2020-04-30T13:26:07Z,0,1,MERGED
chromatic-cli,Update support emails,https://github.com/chromaui/chromatic-cli/pull/130,2020-04-24T15:35:13Z,2020-04-25T06:36:04Z,1,2,MERGED
chromatic-cli,ADD ignored regions test with new data-attribute method & css-class,https://github.com/chromaui/chromatic-cli/pull/129,2020-04-21T11:32:43Z,2020-04-21T11:48:46Z,0,2,MERGED
chromatic-cli,Fix crash when code uses random generators (eg. uuid),https://github.com/chromaui/chromatic-cli/pull/128,2020-04-21T06:57:45Z,2020-04-21T09:59:30Z,0,2,MERGED
chromatic-cli,Fix crash when code uses random generators (eg. uuid),https://github.com/chromaui/chromatic-cli/pull/127,2020-04-21T06:54:26Z,2020-04-21T06:58:24Z,1,1,CLOSED
chromatic-cli,Fix crash when code uses random generators (uuid),https://github.com/chromaui/chromatic-cli/pull/126,2020-04-21T04:56:02Z,2020-04-21T06:55:15Z,2,1,CLOSED
chromatic-cli,Set cache-control header on uploaded builds,https://github.com/chromaui/chromatic-cli/pull/124,2020-04-19T12:31:03Z,2020-04-19T13:53:18Z,0,1,MERGED
chromatic-cli,"Show ""Continue setup at ..."" link after running the very first build",https://github.com/chromaui/chromatic-cli/pull/123,2020-04-15T12:42:23Z,2020-04-16T20:25:40Z,2,6,MERGED
