repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
chromatic-docs,Two Point Oh,https://github.com/chromaui/chromatic-docs/pull/1,2020-03-11T06:03:09Z,2020-04-25T02:16:07Z,0,58,MERGED
chromatic-docs,Document iframe viewport issue,https://github.com/chromaui/chromatic-docs/pull/11,2020-05-29T23:18:57Z,2020-05-30T02:54:30Z,0,2,MERGED
chromatic-docs,Fixes redirect for #9,https://github.com/chromaui/chromatic-docs/pull/10,2020-05-22T00:28:40Z,2020-05-22T23:27:20Z,4,1,MERGED
chromatic-docs,Add note to the review docs about linked project reqs,https://github.com/chromaui/chromatic-docs/pull/8,2020-05-21T22:08:26Z,2020-05-29T17:48:18Z,0,1,MERGED
chromatic-docs,Update docs to use changeset,https://github.com/chromaui/chromatic-docs/pull/7,2020-05-16T13:37:44Z,2020-05-29T14:07:21Z,2,1,MERGED
chromatic-docs,Add some explanation about patch builds + merge-base,https://github.com/chromaui/chromatic-docs/pull/6,2020-05-14T03:38:12Z,2020-05-19T09:46:57Z,9,3,MERGED
chromatic-docs,More copy edits,https://github.com/chromaui/chromatic-docs/pull/4,2020-04-25T14:28:24Z,2020-04-25T14:28:47Z,0,2,MERGED
chromatic-docs,Relative links and /docs path,https://github.com/chromaui/chromatic-docs/pull/3,2020-04-24T19:16:11Z,2020-04-25T02:16:06Z,0,51,MERGED
chromatic-docs,New docs ,https://github.com/chromaui/chromatic-docs/pull/2,2020-04-24T14:24:08Z,2020-04-24T14:25:04Z,0,38,MERGED
chromatic-docs,FIX 2 typos && ADD a section about font loading and solutions,https://github.com/chromaui/chromatic-docs/pull/16,2020-07-22T13:07:27Z,2020-07-22T14:45:51Z,4,6,MERGED
chromatic-docs,Add CLI video to cli page and update some styling,https://github.com/chromaui/chromatic-docs/pull/15,2020-06-22T15:16:14Z,2020-06-22T15:16:39Z,0,1,MERGED
chromatic-docs,Update docs for external forks,https://github.com/chromaui/chromatic-docs/pull/14,2020-06-15T16:48:07Z,2020-06-15T16:59:06Z,0,1,MERGED
chromatic-docs,Add building & uploading page,https://github.com/chromaui/chromatic-docs/pull/13,2020-06-12T19:02:07Z,2020-06-12T20:06:34Z,1,3,MERGED
chromatic-docs,Update docs for the new CLI,https://github.com/chromaui/chromatic-docs/pull/12,2020-06-10T15:48:59Z,2020-06-15T08:18:39Z,2,7,MERGED
chromatic-docs,Preconnect to google CDN to speed up font loading,https://github.com/chromaui/chromatic-docs/pull/30,2020-10-16T19:55:51Z,2020-10-16T19:57:16Z,0,1,MERGED
chromatic-docs,Add a Bitbucket Pipelines section to the CI page,https://github.com/chromaui/chromatic-docs/pull/29,2020-10-07T21:39:04Z,2020-10-08T15:32:11Z,0,1,MERGED
chromatic-docs,update the chromatic command in the CircleCI section,https://github.com/chromaui/chromatic-docs/pull/28,2020-10-07T21:27:29Z,2020-10-08T21:54:33Z,1,2,MERGED
chromatic-docs,Chore: Add composition documentation,https://github.com/chromaui/chromatic-docs/pull/27,2020-09-28T20:32:04Z,2020-10-05T20:08:53Z,20,18,MERGED
chromatic-docs,ADD link to component-driven-org,https://github.com/chromaui/chromatic-docs/pull/26,2020-09-25T11:11:54Z,2020-09-25T14:18:07Z,0,1,MERGED
chromatic-docs,"Add CCPA copy to privacy policy, link to open Intercom",https://github.com/chromaui/chromatic-docs/pull/25,2020-09-18T20:22:14Z,2020-09-18T21:08:33Z,1,1,MERGED
chromatic-docs,Chore: Updates for the code snippets used in the docs,https://github.com/chromaui/chromatic-docs/pull/24,2020-09-14T22:26:50Z,2020-09-15T15:28:59Z,8,5,MERGED
chromatic-docs,ADD integrations section,https://github.com/chromaui/chromatic-docs/pull/22,2020-09-02T08:37:56Z,2020-09-14T02:18:42Z,8,6,MERGED
chromatic-docs,Docs for CLI v5,https://github.com/chromaui/chromatic-docs/pull/21,2020-09-01T10:26:32Z,2020-09-01T10:34:06Z,0,3,MERGED
chromatic-docs,Update access docs for clarity,https://github.com/chromaui/chromatic-docs/pull/19,2020-08-27T22:59:16Z,2020-08-27T23:03:17Z,0,1,MERGED
chromatic-docs,Fix misleading message,https://github.com/chromaui/chromatic-docs/pull/18,2020-08-27T04:29:06Z,2020-09-04T19:04:47Z,0,1,MERGED
chromatic-docs,Documentation about squash merges,https://github.com/chromaui/chromatic-docs/pull/17,2020-08-07T02:45:46Z,2020-09-14T17:07:26Z,2,2,MERGED
