repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
storybook-addon-pseudo-states,Setup auto,https://github.com/chromaui/storybook-addon-pseudo-states/pull/7,2021-02-27T18:08:49Z,2021-02-27T22:48:00Z,1,1,MERGED
storybook-addon-pseudo-states,Add support for Canvas docs block,https://github.com/chromaui/storybook-addon-pseudo-states/pull/20,2021-07-16T15:52:25Z,2022-03-11T16:11:12Z,5,2,MERGED
storybook-addon-pseudo-states,Add support for custom elements using `:host(:hover)` like styling.,https://github.com/chromaui/storybook-addon-pseudo-states/pull/17,2021-06-04T08:20:44Z,2022-03-11T15:41:23Z,8,13,MERGED
storybook-addon-pseudo-states,Add support for targeting specific elements,https://github.com/chromaui/storybook-addon-pseudo-states/pull/25,2022-03-31T14:08:15Z,2022-06-16T13:30:09Z,28,10,MERGED
storybook-addon-pseudo-states,Fix CSS selector splitting,https://github.com/chromaui/storybook-addon-pseudo-states/pull/24,2022-03-30T11:47:31Z,2022-04-06T14:42:48Z,1,4,MERGED
storybook-addon-pseudo-states,Add support for slotted lit elements,https://github.com/chromaui/storybook-addon-pseudo-states/pull/23,2022-03-28T13:04:39Z,2022-04-06T14:28:01Z,1,1,MERGED
storybook-addon-pseudo-states,Add support for ESM,https://github.com/chromaui/storybook-addon-pseudo-states/pull/21,2022-02-28T15:39:08Z,2022-03-11T13:54:28Z,2,1,MERGED
storybook-addon-pseudo-states,fix: only generate pseudo selector when the selector has a match,https://github.com/chromaui/storybook-addon-pseudo-states/pull/30,2022-05-10T07:12:18Z,2022-05-24T13:07:52Z,2,3,MERGED
storybook-addon-pseudo-states,fix: Resolve crash for stories that use internal State,https://github.com/chromaui/storybook-addon-pseudo-states/pull/28,2022-04-27T02:43:34Z,2022-05-23T14:33:52Z,1,1,MERGED
storybook-addon-pseudo-states,Update react and react-dom peer dependencies level,https://github.com/chromaui/storybook-addon-pseudo-states/pull/35,2022-06-16T19:00:16Z,2022-06-22T12:06:42Z,1,1,MERGED
storybook-addon-pseudo-states,Convert to TypeScript and upgrade to Storybook 7,https://github.com/chromaui/storybook-addon-pseudo-states/pull/47,2022-12-14T14:57:40Z,2022-12-15T10:46:34Z,2,8,MERGED
storybook-addon-pseudo-states,Add support for Storybook 7.0 root element,https://github.com/chromaui/storybook-addon-pseudo-states/pull/46,2022-12-12T15:45:41Z,2022-12-14T14:11:55Z,2,6,MERGED
storybook-addon-pseudo-states,"Fixes an issue with particular pseudo classes, which has classes applied on them",https://github.com/chromaui/storybook-addon-pseudo-states/pull/45,2022-12-12T11:17:57Z,2022-12-13T07:46:18Z,3,5,MERGED
storybook-addon-pseudo-states,Release v2 stable for Storybook v7,https://github.com/chromaui/storybook-addon-pseudo-states/pull/69,2023-03-31T21:43:18Z,2023-04-12T06:47:39Z,2,16,MERGED
storybook-addon-pseudo-states,Set Storybook deps to v7,https://github.com/chromaui/storybook-addon-pseudo-states/pull/68,2023-03-31T21:39:42Z,2023-03-31T21:42:14Z,2,1,MERGED
storybook-addon-pseudo-states,Remove redundant Regex negative lookbehind,https://github.com/chromaui/storybook-addon-pseudo-states/pull/67,2023-03-28T14:52:26Z,2023-04-12T06:47:42Z,5,2,CLOSED
storybook-addon-pseudo-states,Add support for custom root element,https://github.com/chromaui/storybook-addon-pseudo-states/pull/65,2023-03-21T14:14:42Z,2023-06-22T13:11:18Z,6,4,MERGED
