repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
composer,Add cross-fetch for non-Next applications,https://github.com/cmpsr/composer/pull/100,2020-07-31T13:59:27Z,2020-07-31T15:23:48Z,2,2,MERGED
composer,Media message,https://github.com/cmpsr/composer/pull/99,2020-07-31T03:43:55Z,2020-08-05T12:25:04Z,12,8,CLOSED
composer,[WIP] Feature: Build Pipeline,https://github.com/cmpsr/composer/pull/98,2020-07-29T20:30:33Z,2023-07-03T08:27:00Z,2,218,CLOSED
composer,Set main as main branch for node-setup action,https://github.com/cmpsr/composer/pull/97,2020-07-29T12:55:16Z,2020-07-29T13:09:56Z,2,1,MERGED
composer,Add babel plugin to compile class properties,https://github.com/cmpsr/composer/pull/95,2020-07-29T10:48:12Z,2020-07-29T12:47:46Z,2,3,MERGED
composer,Analytics lib folder,https://github.com/cmpsr/composer/pull/93,2020-07-28T14:56:37Z,2020-07-28T15:06:06Z,2,2,MERGED
composer,Add lib files to cloud-kms,https://github.com/cmpsr/composer/pull/91,2020-07-28T12:21:05Z,2020-07-28T12:31:21Z,2,2,MERGED
composer,Use appropriate main branch for actions/checkout,https://github.com/cmpsr/composer/pull/90,2020-07-28T10:32:26Z,2020-07-28T17:45:45Z,2,1,MERGED
composer,Add auth google cloud kms integration,https://github.com/cmpsr/composer/pull/88,2020-07-28T08:57:34Z,2020-07-28T10:22:27Z,2,6,MERGED
composer,add readme for analytics package,https://github.com/cmpsr/composer/pull/86,2020-07-25T19:20:58Z,2020-07-27T15:19:01Z,3,1,MERGED
composer,Adds ComponentRendererWithQuery and ComponentRendererWithContext,https://github.com/cmpsr/composer/pull/85,2020-07-24T21:56:32Z,2020-07-27T17:36:59Z,3,1,MERGED
composer,New Snackbar implementation,https://github.com/cmpsr/composer/pull/83,2020-07-22T10:35:23Z,2020-07-22T11:09:54Z,2,3,MERGED
composer,Conversation summary fix,https://github.com/cmpsr/composer/pull/81,2020-07-16T20:41:13Z,2020-07-17T10:06:53Z,2,2,MERGED
composer,Snackbar fix styles,https://github.com/cmpsr/composer/pull/79,2020-07-16T12:02:06Z,2020-07-16T15:11:20Z,2,7,MERGED
composer,Feature: ComponentRenderer  componentMap overrides,https://github.com/cmpsr/composer/pull/77,2020-07-15T20:24:26Z,2020-07-15T21:48:00Z,2,3,MERGED
composer,Modal - overlayClassName,https://github.com/cmpsr/composer/pull/75,2020-07-15T13:40:30Z,2020-07-15T15:25:16Z,2,3,MERGED
composer,Modal and Dropdownshift,https://github.com/cmpsr/composer/pull/74,2020-07-15T11:20:23Z,2020-07-15T13:39:00Z,4,4,CLOSED
composer,Snackbar fix state,https://github.com/cmpsr/composer/pull/73,2020-07-13T21:51:55Z,2020-07-15T11:03:28Z,2,2,CLOSED
composer,Snackbar - onClose callback,https://github.com/cmpsr/composer/pull/71,2020-07-13T11:05:34Z,2020-07-13T12:55:16Z,2,3,MERGED
composer,Chore: Add myself to CODEOWNERS list (@ryanhefner),https://github.com/cmpsr/composer/pull/70,2020-07-10T16:37:50Z,2020-07-13T12:31:47Z,2,2,MERGED
composer,contentful-core: ComponentRenderer,https://github.com/cmpsr/composer/pull/68,2020-07-09T04:10:56Z,2020-07-10T00:19:17Z,2,15,MERGED
composer,Snackbar,https://github.com/cmpsr/composer/pull/67,2020-07-08T09:20:08Z,2020-07-08T09:28:20Z,2,3,MERGED
composer,"[Success, Warning, Error] Snackbars",https://github.com/cmpsr/composer/pull/66,2020-07-08T08:39:28Z,2020-07-08T09:12:27Z,2,3,CLOSED
composer,"[Success, Warning, Error] Snackbars",https://github.com/cmpsr/composer/pull/64,2020-07-07T14:52:30Z,2020-07-08T08:40:57Z,2,19,CLOSED
composer,Snackbar,https://github.com/cmpsr/composer/pull/63,2020-07-07T09:25:29Z,2020-07-08T07:25:29Z,9,16,MERGED
composer,Content copy icon,https://github.com/cmpsr/composer/pull/62,2020-07-07T03:40:37Z,2020-07-08T07:27:27Z,3,6,MERGED
composer,Publish fixes,https://github.com/cmpsr/composer/pull/61,2020-07-07T01:09:08Z,2020-07-07T01:13:16Z,2,7,MERGED
composer,Snackbar,https://github.com/cmpsr/composer/pull/60,2020-07-06T10:46:57Z,2020-07-06T19:21:46Z,8,5,CLOSED
composer,Snackbar,https://github.com/cmpsr/composer/pull/59,2020-07-06T10:34:14Z,2020-07-06T10:40:43Z,2,4,CLOSED
composer,Bump contentful-core version,https://github.com/cmpsr/composer/pull/57,2020-07-03T20:13:50Z,2020-07-03T20:53:33Z,2,3,MERGED
composer,Removes old lib files,https://github.com/cmpsr/composer/pull/56,2020-07-03T19:40:18Z,2020-07-03T19:40:58Z,1,1,MERGED
composer,Package: Contentful Core,https://github.com/cmpsr/composer/pull/52,2020-07-03T14:52:09Z,2020-07-03T18:57:59Z,6,11,MERGED
composer,Tooltip fix implementation,https://github.com/cmpsr/composer/pull/51,2020-07-02T19:11:54Z,2020-07-03T19:29:52Z,3,4,MERGED
composer,Tooltip fix,https://github.com/cmpsr/composer/pull/50,2020-07-02T06:47:32Z,2020-07-02T19:00:26Z,8,5,CLOSED
composer,Adds Storybook Badge to README - COM-6,https://github.com/cmpsr/composer/pull/49,2020-07-01T00:40:12Z,2020-07-01T06:28:23Z,3,1,MERGED
composer,Adds exclusion for changeset branch name - COM-7,https://github.com/cmpsr/composer/pull/47,2020-06-30T23:03:02Z,2020-07-01T06:27:34Z,3,1,MERGED
composer,Dummy change to test chromatic,https://github.com/cmpsr/composer/pull/45,2020-06-30T21:26:00Z,2020-06-30T21:34:17Z,1,1,CLOSED
composer,"Run Chromatic on changes to ""packages/components""",https://github.com/cmpsr/composer/pull/44,2020-06-30T16:49:43Z,2020-06-30T21:11:40Z,2,2,MERGED
composer,Typography Intensity,https://github.com/cmpsr/composer/pull/41,2020-06-30T12:27:08Z,2020-06-30T14:02:08Z,5,10,MERGED
composer,Dropdown fix,https://github.com/cmpsr/composer/pull/39,2020-06-29T12:24:52Z,2020-06-29T15:45:37Z,3,5,MERGED
composer,Single select native,https://github.com/cmpsr/composer/pull/38,2020-06-25T08:05:24Z,2020-06-26T13:05:52Z,24,9,MERGED
composer,Dummy changeset,https://github.com/cmpsr/composer/pull/35,2020-06-23T15:49:51Z,2020-06-23T15:49:57Z,1,1,MERGED
composer,Removed unnecessary copy from Contentful readme,https://github.com/cmpsr/composer/pull/33,2020-06-23T15:39:37Z,2020-06-23T15:41:06Z,1,2,MERGED
composer,TextFieldWithLabel Input Mode,https://github.com/cmpsr/composer/pull/31,2020-06-23T14:52:27Z,2020-06-23T15:04:42Z,2,3,MERGED
composer,Move publish build step to publish-ci script,https://github.com/cmpsr/composer/pull/30,2020-06-23T13:38:54Z,2020-06-23T13:45:51Z,2,1,MERGED
composer,Input Mode (build),https://github.com/cmpsr/composer/pull/28,2020-06-23T13:11:43Z,2020-06-23T13:18:18Z,2,2,MERGED
composer,Add InputMode,https://github.com/cmpsr/composer/pull/26,2020-06-23T09:42:27Z,2020-06-23T12:23:24Z,2,4,MERGED
composer,Add storybook deploy,https://github.com/cmpsr/composer/pull/25,2020-06-23T02:07:01Z,2020-06-23T02:07:09Z,2,21,MERGED
composer,Removes Known Vulnerabilities badge,https://github.com/cmpsr/composer/pull/24,2020-06-22T18:44:53Z,2020-06-22T23:49:55Z,3,1,MERGED
composer,Adds Storybook deploy,https://github.com/cmpsr/composer/pull/22,2020-06-22T17:51:31Z,2020-06-22T23:49:26Z,3,1,CLOSED
composer,Add build step to workflow,https://github.com/cmpsr/composer/pull/20,2020-06-22T15:32:30Z,2020-06-22T15:43:06Z,3,1,MERGED
composer,Updated Contentful README,https://github.com/cmpsr/composer/pull/18,2020-06-22T15:21:58Z,2020-06-22T15:23:27Z,1,2,MERGED
composer,[Snyk] Fix for 1 vulnerabilities,https://github.com/cmpsr/composer/pull/17,2020-06-21T23:53:52Z,2020-06-21T23:54:14Z,1,1,CLOSED
composer,Cleanup Tasks,https://github.com/cmpsr/composer/pull/16,2020-06-21T20:32:45Z,2020-06-21T20:35:36Z,2,2,MERGED
composer,Testing bot + pr flow,https://github.com/cmpsr/composer/pull/14,2020-06-21T16:43:49Z,2020-06-21T16:45:45Z,1,2,MERGED
composer,Updates Bot Publisher,https://github.com/cmpsr/composer/pull/9,2020-06-21T01:28:44Z,2020-06-21T01:28:51Z,0,3,MERGED
composer,Adds Contentful Readme,https://github.com/cmpsr/composer/pull/8,2020-06-21T01:03:30Z,2020-06-21T01:03:38Z,0,2,MERGED
composer,v0.0.16,https://github.com/cmpsr/composer/pull/7,2020-06-21T00:58:50Z,2020-06-21T00:59:02Z,0,1,MERGED
composer,Update publish.yml,https://github.com/cmpsr/composer/pull/6,2020-06-20T20:58:57Z,2020-06-20T20:59:12Z,0,1,MERGED
composer,Adds Publish workflow (#4),https://github.com/cmpsr/composer/pull/5,2020-06-20T20:08:18Z,2020-06-20T20:08:25Z,0,1,MERGED
composer,Adds Publish workflow,https://github.com/cmpsr/composer/pull/4,2020-06-20T20:04:04Z,2020-06-20T20:07:58Z,1,1,MERGED
composer,Publish Updates,https://github.com/cmpsr/composer/pull/3,2020-06-20T19:33:40Z,2020-06-20T19:40:06Z,1,6,MERGED
composer,Add compiled files,https://github.com/cmpsr/composer/pull/2,2020-06-20T14:23:36Z,2020-06-20T14:26:23Z,1,1,MERGED
composer,Add missing files,https://github.com/cmpsr/composer/pull/1,2020-06-20T14:04:25Z,2020-06-20T14:10:16Z,1,1,MERGED
composer,Styled CurrencyField,https://github.com/cmpsr/composer/pull/190,2020-10-30T14:42:33Z,2020-11-03T16:32:41Z,7,14,MERGED
composer,Styled ExpandableTextfieldIcon,https://github.com/cmpsr/composer/pull/189,2020-10-30T10:30:54Z,2020-11-03T15:00:17Z,2,11,MERGED
composer,Styled ExpandableTextField,https://github.com/cmpsr/composer/pull/188,2020-10-30T08:26:47Z,2020-11-03T15:16:45Z,2,5,CLOSED
composer,Wrap customCss call,https://github.com/cmpsr/composer/pull/187,2020-10-29T22:03:25Z,2020-10-30T10:41:16Z,2,4,MERGED
composer,Image customCss Implementation,https://github.com/cmpsr/composer/pull/186,2020-10-29T14:22:52Z,2020-10-30T12:47:32Z,9,5,MERGED
composer,Styled TextField,https://github.com/cmpsr/composer/pull/185,2020-10-29T12:27:42Z,2020-10-30T12:43:37Z,2,5,MERGED
composer,Styled TextArea,https://github.com/cmpsr/composer/pull/184,2020-10-29T10:57:44Z,2020-10-30T07:53:02Z,3,4,MERGED
composer,Styled chat message,https://github.com/cmpsr/composer/pull/183,2020-10-28T18:15:34Z,2020-11-04T11:54:51Z,15,39,MERGED
composer,Styled use types,https://github.com/cmpsr/composer/pull/182,2020-10-28T17:18:21Z,2020-10-29T08:31:22Z,2,22,MERGED
composer,Styled radio button,https://github.com/cmpsr/composer/pull/181,2020-10-28T16:08:29Z,2020-10-28T17:21:19Z,2,6,MERGED
composer,Styled ErrorField,https://github.com/cmpsr/composer/pull/180,2020-10-28T15:30:00Z,2020-10-28T16:26:51Z,3,4,MERGED
composer,Styled SectionChild,https://github.com/cmpsr/composer/pull/179,2020-10-28T11:52:18Z,2020-10-28T15:06:21Z,2,5,MERGED
composer,Styled Section,https://github.com/cmpsr/composer/pull/178,2020-10-28T11:26:52Z,2020-10-28T15:48:46Z,3,7,MERGED
