repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,Separação dos componentespor página e organização da página de cores,https://github.com/comexio/design-system/pull/10,2020-03-10T18:14:55Z,2020-03-25T12:08:40Z,0,4,MERGED
design-system,"Separado em páginas componentes de tipografia, icones e cores",https://github.com/comexio/design-system/pull/9,2020-02-11T14:08:20Z,2020-02-11T17:16:38Z,9,7,MERGED
design-system,N lembro se era essa branch kkkkk ou se tinha tarefa,https://github.com/comexio/design-system/pull/8,2020-02-11T13:02:29Z,2020-02-12T14:00:42Z,2,14,MERGED
design-system,Adicionado labeledChip ao design system,https://github.com/comexio/design-system/pull/7,2020-02-10T13:37:07Z,2020-02-11T13:03:43Z,1,2,MERGED
design-system,LOG-3968 | Added dropdowns to demo,https://github.com/comexio/design-system/pull/6,2020-01-23T17:12:32Z,2020-01-23T17:27:56Z,0,4,MERGED
design-system,Adicionado inputs baseado no vuetify,https://github.com/comexio/design-system/pull/5,2020-01-23T14:01:49Z,2020-01-23T16:09:35Z,0,3,MERGED
design-system,added release logic,https://github.com/comexio/design-system/pull/4,2020-01-23T12:12:11Z,2020-01-23T13:10:55Z,0,10,MERGED
design-system,Removido vue do package.json,https://github.com/comexio/design-system/pull/3,2020-01-22T18:48:56Z,2020-01-23T13:08:50Z,0,1,MERGED
design-system,Arquivos de Build + vuetify,https://github.com/comexio/design-system/pull/2,2020-01-22T17:01:54Z,2020-01-22T18:29:39Z,0,2,MERGED
design-system,Adicionado itens de error e validação,https://github.com/comexio/design-system/pull/1,2020-01-21T12:21:08Z,2020-01-23T13:08:21Z,1,3,CLOSED
design-system,(LOG-7219) - Add two number year,https://github.com/comexio/design-system/pull/17,2020-07-30T17:26:47Z,2020-07-30T17:49:50Z,0,5,MERGED
design-system,Add link to readme,https://github.com/comexio/design-system/pull/16,2020-07-29T16:43:18Z,2020-07-29T16:57:51Z,0,3,MERGED
design-system,using actions,https://github.com/comexio/design-system/pull/15,2020-07-29T14:50:43Z,2020-07-29T16:23:26Z,0,3,MERGED
design-system,(LOG-7214) - Add daily datepicker,https://github.com/comexio/design-system/pull/14,2020-07-24T19:55:25Z,2020-07-24T20:18:57Z,0,1,MERGED
design-system,(LOG-7212) - Add generic components,https://github.com/comexio/design-system/pull/13,2020-07-23T12:51:17Z,2020-07-23T19:09:00Z,3,3,MERGED
design-system,Adicionado card padrão do sistema,https://github.com/comexio/design-system/pull/12,2020-06-04T21:41:47Z,2020-06-05T13:18:09Z,0,3,MERGED
design-system,(LOG-10801) - Tratado ordenação de retorno,https://github.com/comexio/design-system/pull/70,2020-10-30T17:27:01Z,2020-10-30T17:39:40Z,0,1,MERGED
design-system,(LOG-10675) - Removido periodos do datepicker,https://github.com/comexio/design-system/pull/69,2020-10-28T15:10:53Z,2020-10-28T17:29:51Z,1,1,MERGED
design-system,(LOG-10117) - Adicionado bind pra atributos,https://github.com/comexio/design-system/pull/68,2020-10-28T11:58:03Z,2020-10-28T12:08:39Z,0,1,MERGED
design-system,(LOG-8949) - Realizar o ajuste para o texto não ultrapassar o limite da área visível.,https://github.com/comexio/design-system/pull/67,2020-10-26T20:43:45Z,2020-10-27T13:14:14Z,0,1,MERGED
design-system,(LOG-10115) - Removido seta e quebra de linha,https://github.com/comexio/design-system/pull/66,2020-10-26T14:15:43Z,2020-10-26T20:21:33Z,0,5,MERGED
design-system,(LOG-10011) - Adicionado itens recebidos para as colunas,https://github.com/comexio/design-system/pull/65,2020-10-22T19:59:29Z,2020-10-22T20:26:28Z,1,5,MERGED
design-system,(LOG-10001) - Corrigido cores da divisão da tabela,https://github.com/comexio/design-system/pull/64,2020-10-21T14:34:27Z,2020-10-22T20:25:17Z,0,1,MERGED
design-system,(LOG-10001) - diminuido header,https://github.com/comexio/design-system/pull/63,2020-10-21T12:34:51Z,2020-10-21T12:52:14Z,0,1,MERGED
design-system,(LOG-9849) - Adicionado opção de array de objetos,https://github.com/comexio/design-system/pull/62,2020-10-19T19:49:21Z,2020-10-19T20:13:09Z,0,1,MERGED
design-system,(LOG-9786) - Ajustado tamanho dos icones,https://github.com/comexio/design-system/pull/61,2020-10-15T14:43:11Z,2020-10-15T15:30:15Z,0,2,MERGED
design-system,(LOG-9786) - Corrigido items não aparecendo,https://github.com/comexio/design-system/pull/60,2020-10-14T19:44:27Z,2020-10-14T19:59:10Z,0,2,MERGED
design-system,(LOG-9850) - Adicionado important no box-shadow,https://github.com/comexio/design-system/pull/59,2020-10-09T16:24:00Z,2020-10-14T20:16:48Z,0,3,MERGED
design-system,(LOG-9779) - Adicionado size para os circulos,https://github.com/comexio/design-system/pull/58,2020-10-07T20:35:19Z,2020-10-14T20:21:27Z,0,4,MERGED
design-system,(LOG-9599) - Removido texto após filtrar,https://github.com/comexio/design-system/pull/57,2020-10-06T19:02:15Z,2020-10-14T20:12:01Z,0,3,MERGED
design-system,(LOG-9558) - Componentizado itens do fieldmanager,https://github.com/comexio/design-system/pull/56,2020-10-06T12:30:36Z,2020-10-06T13:21:31Z,0,3,MERGED
design-system,(LOG-9554) - Implementado tradução no design system,https://github.com/comexio/design-system/pull/55,2020-09-30T20:08:01Z,2020-10-05T19:26:20Z,0,2,MERGED
design-system,(LOG-9555) - Externalizado componente generalData e adicionado tipo de valor,https://github.com/comexio/design-system/pull/54,2020-09-29T20:13:57Z,2020-10-05T19:21:14Z,0,1,MERGED
design-system,(LOG-9616) - Corrigido validação para tooltip,https://github.com/comexio/design-system/pull/53,2020-09-29T17:30:20Z,2020-09-29T17:39:56Z,0,1,MERGED
design-system,(LOG-9467) - Adicionado tooltip para os itens truncados,https://github.com/comexio/design-system/pull/52,2020-09-28T17:18:13Z,2020-09-28T17:37:30Z,0,3,MERGED
design-system,(LOG-9467) - Ajuste largura da tabela e não ter quebra de linhas,https://github.com/comexio/design-system/pull/51,2020-09-25T20:32:30Z,2020-09-25T20:42:53Z,0,1,MERGED
design-system,(LOG-9254) - Definindo dependencias para serem instaladas,https://github.com/comexio/design-system/pull/50,2020-09-25T14:27:27Z,2020-09-25T18:04:24Z,0,3,MERGED
design-system,(LOG-9255) - Adicionado botão padrao do sistema,https://github.com/comexio/design-system/pull/49,2020-09-23T16:28:23Z,2020-09-25T14:26:31Z,0,2,MERGED
design-system,(LOG-8595) - Corrigido altura das linhas e ajustes nas labels,https://github.com/comexio/design-system/pull/48,2020-09-22T20:00:10Z,2020-09-22T20:09:46Z,0,1,MERGED
design-system,(LOG-9158) - Ajuste para o gráfico de tags,https://github.com/comexio/design-system/pull/47,2020-09-21T12:10:56Z,2020-09-21T13:24:46Z,0,6,MERGED
design-system,(LOG-8865) - Adicionado grafico circular de porcentagem,https://github.com/comexio/design-system/pull/46,2020-09-18T15:17:14Z,2020-09-21T12:31:14Z,0,1,MERGED
design-system,(LOG-8905) - Expandir Lista NCM,https://github.com/comexio/design-system/pull/45,2020-09-17T17:22:20Z,2020-09-17T18:21:22Z,0,2,MERGED
design-system,(LOG-8916) - Adicionado dropdown de checkbox,https://github.com/comexio/design-system/pull/44,2020-09-16T21:28:23Z,2020-09-17T14:51:50Z,0,3,MERGED
design-system,(LOG-8899) - Ajuste de css,https://github.com/comexio/design-system/pull/43,2020-09-11T21:13:09Z,2020-09-11T21:16:48Z,0,1,MERGED
design-system,(LOG-7220) - Adicionado com carregamento de items,https://github.com/comexio/design-system/pull/42,2020-09-11T20:51:17Z,2020-09-17T14:36:08Z,0,2,MERGED
