repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
aybolit,"feat(cxl-ui): cxl-vaadin-accordion theme=""cxl-archive""",https://github.com/conversionxl/aybolit/pull/34,2019-12-30T14:45:02Z,2020-01-01T18:17:28Z,1,1,CLOSED
aybolit,feat(cxl-ui): cxl-institute-pricing-table,https://github.com/conversionxl/aybolit/pull/33,2019-12-14T12:45:21Z,2023-07-26T07:00:36Z,5,1,CLOSED
aybolit,utilize cxl-headroom LitElement component,https://github.com/conversionxl/aybolit/pull/32,2019-12-09T15:07:53Z,2019-12-15T13:02:06Z,7,2,CLOSED
aybolit, feature sticky menu,https://github.com/conversionxl/aybolit/pull/28,2019-11-28T07:42:00Z,2019-12-15T13:02:05Z,11,4,CLOSED
aybolit,cxl-marketing-nav vaadin context menu items nested links styling issue,https://github.com/conversionxl/aybolit/pull/23,2019-11-12T18:07:54Z,2019-12-05T09:09:18Z,1,1,CLOSED
aybolit,"feat(cxl-ui): cxl-vaadin-accordion theme=""cxl-faq"", fix #37",https://github.com/conversionxl/aybolit/pull/38,2020-02-06T19:12:13Z,2020-02-06T19:38:45Z,0,6,MERGED
aybolit,feat(cxl-ui): align course cards horizontally,https://github.com/conversionxl/aybolit/pull/57,2020-05-27T11:56:30Z,2023-03-22T10:02:48Z,6,1,CLOSED
aybolit,style: Improve font size responsiveness (issue #55),https://github.com/conversionxl/aybolit/pull/56,2020-05-20T02:54:09Z,2020-06-18T15:29:44Z,8,1,CLOSED
aybolit,refactor:  `vaadin-accordion[theme~=cxl-accordion-card] as grid,https://github.com/conversionxl/aybolit/pull/53,2020-04-20T20:08:39Z,2023-04-02T21:00:48Z,6,2,CLOSED
aybolit,Changed cxl-marketing-nav.js,https://github.com/conversionxl/aybolit/pull/52,2020-04-16T11:01:21Z,2020-06-20T13:41:42Z,7,1,CLOSED
aybolit,style: blockquote style and added mixin-icon,https://github.com/conversionxl/aybolit/pull/50,2020-04-10T15:57:20Z,2020-06-17T20:11:17Z,10,7,CLOSED
aybolit,fix: set vaadin-tab.current-menu-item[selected] for active tab,https://github.com/conversionxl/aybolit/pull/45,2020-04-09T18:49:59Z,2020-04-12T19:19:13Z,6,1,CLOSED
aybolit,fix: set vaadin-tab.current-menu-item[selected] for active tab with context menus,https://github.com/conversionxl/aybolit/pull/44,2020-04-09T17:43:54Z,2020-04-09T18:47:21Z,1,0,CLOSED
aybolit,Issue #39 - Accordion title span width for double digits,https://github.com/conversionxl/aybolit/pull/40,2020-04-08T13:35:10Z,2020-04-09T09:16:28Z,8,1,CLOSED
aybolit,feat(cxl-institute-layout): remove entry padding on WooCommerce My Account pages,https://github.com/conversionxl/aybolit/pull/65,2020-07-29T10:09:15Z,2020-07-29T11:09:17Z,1,1,CLOSED
aybolit,style(cxl-lumo-styles): vaadin-tabs[theme=cxl-horizontal-slider],https://github.com/conversionxl/aybolit/pull/63,2020-07-09T12:48:05Z,2021-05-05T11:39:31Z,4,1,CLOSED
aybolit,"feat(cxl-ui): cxl-app-layout element, theme=cxl-institute",https://github.com/conversionxl/aybolit/pull/62,2020-06-29T01:11:25Z,2021-01-29T08:21:07Z,5,2,CLOSED
aybolit,feat(cxl-ui): cxl-app-layout element,https://github.com/conversionxl/aybolit/pull/61,2020-06-26T01:58:04Z,2020-06-29T01:07:06Z,4,1,CLOSED
aybolit,pull changes from master onto syed/cxl/jobs/microsite,https://github.com/conversionxl/aybolit/pull/60,2020-06-24T09:59:39Z,2020-06-24T10:00:01Z,0,55,MERGED
aybolit,"feat(cxl-ui): jobs basic layout, using cxl-app-layout",https://github.com/conversionxl/aybolit/pull/59,2020-06-16T03:11:50Z,2021-04-26T12:24:14Z,4,32,CLOSED
aybolit,"feat(cxl-ui): implemented cxl-featured-card, with [theme=""cxl-testimonial""…",https://github.com/conversionxl/aybolit/pull/58,2020-06-15T14:25:52Z,2021-05-05T11:39:31Z,7,1,CLOSED
aybolit,jwplayer setup and basic funcionality,https://github.com/conversionxl/aybolit/pull/69,2020-08-20T02:21:20Z,2020-08-24T17:50:11Z,0,2,CLOSED
aybolit,jwplayer setup and basic funcionality,https://github.com/conversionxl/aybolit/pull/68,2020-08-20T02:17:28Z,2020-08-20T02:18:40Z,0,2,CLOSED
aybolit,"cxl-jwplayer initial commit, project scaffold",https://github.com/conversionxl/aybolit/pull/67,2020-08-20T02:05:22Z,2022-01-24T15:59:48Z,23,3,CLOSED
aybolit,Lerna package code splitting using Laravel Mix,https://github.com/conversionxl/aybolit/pull/66,2020-08-12T06:11:24Z,2022-01-24T16:00:10Z,20,1,CLOSED
aybolit,refactor(storybook): cxl-institute-layout update app reference screen,https://github.com/conversionxl/aybolit/pull/70,2020-11-30T13:15:02Z,2023-07-26T07:00:58Z,2,1,CLOSED
aybolit,CXL Jobs changes...,https://github.com/conversionxl/aybolit/pull/111,2021-03-29T12:54:55Z,2022-07-05T05:26:01Z,0,5,CLOSED
aybolit,CXL Dashboard,https://github.com/conversionxl/aybolit/pull/109,2021-03-22T15:31:58Z,2023-07-26T07:02:58Z,19,37,CLOSED
aybolit,fix(scss): fix fouc loader,https://github.com/conversionxl/aybolit/pull/107,2021-03-12T15:25:00Z,2023-07-26T07:02:36Z,10,1,CLOSED
aybolit,Hub page complete draft,https://github.com/conversionxl/aybolit/pull/106,2021-03-08T13:33:41Z,2023-07-26T07:02:25Z,4,14,CLOSED
aybolit,cxl-paywall,https://github.com/conversionxl/aybolit/pull/103,2021-03-05T00:58:37Z,2021-03-05T00:58:59Z,2,4,CLOSED
aybolit,feat(cxl-ui): vaadin-notification integration,https://github.com/conversionxl/aybolit/pull/102,2021-03-02T13:25:48Z,2021-03-03T15:20:09Z,8,1,CLOSED
aybolit,cxl-paywall,https://github.com/conversionxl/aybolit/pull/101,2021-03-01T22:08:33Z,2021-09-15T07:17:42Z,11,12,MERGED
aybolit,Hub Page Draft: simpler css grid + sidebar,https://github.com/conversionxl/aybolit/pull/100,2021-02-25T11:26:58Z,2021-03-08T12:53:53Z,0,9,CLOSED
aybolit,"feat: create hubs page draft for initial check, introduce masonry layout webcomponent",https://github.com/conversionxl/aybolit/pull/99,2021-02-23T10:55:43Z,2021-03-08T12:54:09Z,10,5,CLOSED
aybolit,Playbooks main PR,https://github.com/conversionxl/aybolit/pull/93,2021-02-17T16:09:43Z,2021-10-29T10:47:03Z,1,104,MERGED
aybolit,Dominik: sass compilation using mix,https://github.com/conversionxl/aybolit/pull/91,2021-02-17T13:04:13Z,2023-07-26T07:01:55Z,1,7,CLOSED
aybolit,sass-render ignores partial SCSS files - fix applied,https://github.com/conversionxl/aybolit/pull/90,2021-02-15T12:59:15Z,2023-07-26T07:01:42Z,5,11,CLOSED
aybolit,Nav description v2,https://github.com/conversionxl/aybolit/pull/89,2021-02-11T03:59:29Z,2022-09-06T13:49:36Z,13,5,CLOSED
aybolit,cxl-star-rating - clean component without additional commits,https://github.com/conversionxl/aybolit/pull/88,2021-02-08T15:03:01Z,2021-02-17T15:57:15Z,9,9,CLOSED
aybolit,cxl-playbook-accordion - clean component,https://github.com/conversionxl/aybolit/pull/87,2021-02-08T13:27:55Z,2021-02-26T15:34:06Z,36,12,CLOSED
aybolit,cxl-inline-comment-context-menu - clean component,https://github.com/conversionxl/aybolit/pull/86,2021-02-08T13:03:43Z,2021-04-27T13:51:31Z,11,5,CLOSED
aybolit,Dominik adeft playbook viewer layout with a few Greg's additions,https://github.com/conversionxl/aybolit/pull/85,2021-02-04T13:29:37Z,2021-04-27T13:03:31Z,2,205,CLOSED
aybolit,HMR,https://github.com/conversionxl/aybolit/pull/82,2021-01-28T13:40:41Z,2021-01-29T08:34:44Z,1,1,CLOSED
aybolit,Dominik: cxl-adeft-accordion component,https://github.com/conversionxl/aybolit/pull/81,2021-01-22T15:27:19Z,2021-02-08T13:12:31Z,14,126,CLOSED
aybolit,cxl-vaadin-text-field,https://github.com/conversionxl/aybolit/pull/80,2021-01-21T15:25:42Z,2023-07-26T07:01:22Z,1,7,CLOSED
aybolit,Sample element: Icon with text,https://github.com/conversionxl/aybolit/pull/79,2021-01-18T15:25:33Z,2021-10-27T13:52:18Z,2,7,CLOSED
aybolit,chore(dev): upgrade storybook,https://github.com/conversionxl/aybolit/pull/78,2021-01-15T16:37:17Z,2021-01-16T15:26:23Z,6,3,CLOSED
aybolit,add menu item description,https://github.com/conversionxl/aybolit/pull/76,2021-01-14T18:50:29Z,2022-09-06T13:49:36Z,12,1,CLOSED
aybolit,Inline comment context menu,https://github.com/conversionxl/aybolit/pull/75,2021-01-14T15:05:50Z,2021-02-08T12:21:35Z,5,61,CLOSED
aybolit,Add iron-star-rating,https://github.com/conversionxl/aybolit/pull/74,2021-01-14T14:41:06Z,2021-02-12T09:21:15Z,2,4,CLOSED
aybolit,cxl-inline-comment-context-menu component with demo usage in theme=cxl-faq.stories.js & Greg star rating demo,https://github.com/conversionxl/aybolit/pull/73,2021-01-14T13:34:42Z,2021-02-08T12:15:28Z,4,0,CLOSED
aybolit,add star rating demo,https://github.com/conversionxl/aybolit/pull/72,2021-01-14T13:31:38Z,2021-01-14T13:37:39Z,2,2,CLOSED
aybolit,build(cli deploy): bump storybook-deployer to 2.8.8,https://github.com/conversionxl/aybolit/pull/145,2021-05-13T08:02:58Z,2021-05-13T13:18:36Z,5,1,MERGED
aybolit,feat(cxl-marketing-nav): show search declaratively,https://github.com/conversionxl/aybolit/pull/135,2021-05-07T11:13:36Z,2023-07-26T07:05:44Z,4,1,CLOSED
aybolit,fix(cxl-tabs-slider): fix scrollbar on Firefox,https://github.com/conversionxl/aybolit/pull/134,2021-05-05T19:03:57Z,2023-07-26T07:05:04Z,3,4,CLOSED
aybolit,feat(cxl-ui): add cxl-playbook-progress-bar,https://github.com/conversionxl/aybolit/pull/133,2021-05-04T08:07:29Z,2021-05-05T10:57:23Z,3,3,MERGED
aybolit,vaadin-tabs[theme=cxl-tabs-slider] + cxl-card,https://github.com/conversionxl/aybolit/pull/132,2021-05-03T02:26:06Z,2021-05-05T11:39:31Z,9,31,MERGED
aybolit,Playbooks: `cxl-playbook-accordion` header styles,https://github.com/conversionxl/aybolit/pull/128,2021-04-30T08:57:10Z,2021-04-30T09:20:09Z,0,1,MERGED
aybolit,Playbook Viewer: comment hover icon,https://github.com/conversionxl/aybolit/pull/126,2021-04-27T14:02:48Z,2021-05-03T15:17:39Z,16,2,MERGED
aybolit,Add comment icon,https://github.com/conversionxl/aybolit/pull/125,2021-04-26T11:53:20Z,2021-04-27T17:08:27Z,6,2,CLOSED
aybolit,fix(cxl-app-layout): fix anchor scrolling,https://github.com/conversionxl/aybolit/pull/118,2021-04-15T19:31:32Z,2023-07-26T07:04:32Z,2,1,CLOSED
aybolit,refactor(cxl-ui): lighter accordion thumbnail,https://github.com/conversionxl/aybolit/pull/117,2021-04-14T09:20:50Z,2021-04-14T10:05:35Z,0,1,MERGED
aybolit,QA Playbook Viewer,https://github.com/conversionxl/aybolit/pull/115,2021-04-13T11:25:45Z,2021-08-13T11:08:35Z,4,14,CLOSED
aybolit,CXL Search,https://github.com/conversionxl/aybolit/pull/113,2021-04-07T14:20:15Z,2023-07-26T07:03:06Z,5,14,CLOSED
aybolit,feat(cxl-ui): migrate to lit,https://github.com/conversionxl/aybolit/pull/160,2021-06-10T17:10:13Z,2022-06-03T12:20:47Z,5,2,CLOSED
aybolit,fix(cxl-ui): check if cxl_get_extended_main exists,https://github.com/conversionxl/aybolit/pull/159,2021-06-10T12:46:22Z,2021-06-14T13:09:46Z,2,1,CLOSED
aybolit,CXL Save Playbooks component,https://github.com/conversionxl/aybolit/pull/157,2021-06-09T09:52:10Z,2021-08-09T06:07:45Z,14,25,MERGED
