repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
NotGovUK,Build on top of govuk-frontend SCSS,https://github.com/daniel-ac-martin/NotGovUK/pull/10,2020-03-09T17:28:12Z,2020-03-09T17:32:47Z,0,30,MERGED
NotGovUK,FormField: Fix: Allow falsy values in dates,https://github.com/daniel-ac-martin/NotGovUK/pull/9,2020-02-23T09:40:53Z,2020-02-23T09:41:09Z,0,1,MERGED
NotGovUK,DateInput: Fix: Use text inputs not numbers,https://github.com/daniel-ac-martin/NotGovUK/pull/8,2020-02-22T20:20:34Z,2020-02-22T20:22:09Z,0,2,MERGED
NotGovUK,Add support for forms,https://github.com/daniel-ac-martin/NotGovUK/pull/7,2020-02-22T18:56:46Z,2020-02-22T18:58:48Z,1,28,MERGED
NotGovUK,Migrate old JS files to TypeScript,https://github.com/daniel-ac-martin/NotGovUK/pull/6,2020-01-15T19:14:56Z,2020-01-15T19:15:02Z,0,1,MERGED
NotGovUK,Re-factor app into separate pages,https://github.com/daniel-ac-martin/NotGovUK/pull/5,2020-01-15T15:28:34Z,2020-01-15T15:30:31Z,0,2,MERGED
NotGovUK,Add Site component,https://github.com/daniel-ac-martin/NotGovUK/pull/4,2020-01-14T18:23:07Z,2020-01-14T18:31:02Z,0,5,MERGED
NotGovUK,Add React Router support,https://github.com/daniel-ac-martin/NotGovUK/pull/3,2020-01-13T21:13:22Z,2020-01-13T21:14:07Z,0,4,MERGED
NotGovUK,Header: Move coloured line into Header component,https://github.com/daniel-ac-martin/NotGovUK/pull/2,2020-01-09T17:16:40Z,2020-01-09T17:18:15Z,0,2,MERGED
NotGovUK,Migrate to React.js and Storybook,https://github.com/daniel-ac-martin/NotGovUK/pull/1,2020-01-09T16:47:04Z,2020-01-09T16:48:34Z,0,146,MERGED
NotGovUK,Convert to a monorepo,https://github.com/daniel-ac-martin/NotGovUK/pull/11,2020-04-30T13:55:32Z,2020-07-17T23:33:23Z,3,313,MERGED
NotGovUK,Fix typography page,https://github.com/daniel-ac-martin/NotGovUK/pull/46,2020-07-21T22:51:54Z,2020-07-21T22:53:56Z,0,3,MERGED
NotGovUK,Netlify: Remove defunct files,https://github.com/daniel-ac-martin/NotGovUK/pull/43,2020-07-21T21:53:23Z,2020-07-21T22:00:20Z,0,1,MERGED
NotGovUK,CI: Add workflow for deploying documentation site,https://github.com/daniel-ac-martin/NotGovUK/pull/42,2020-07-21T21:21:43Z,2020-07-21T21:31:52Z,1,2,MERGED
NotGovUK,docs-components: Use PrismJS for all highlighting,https://github.com/daniel-ac-martin/NotGovUK/pull/40,2020-07-21T16:14:02Z,2020-07-21T16:24:44Z,1,1,MERGED
NotGovUK,webpack-config: Simplify pipeline for CSS,https://github.com/daniel-ac-martin/NotGovUK/pull/39,2020-07-21T15:53:32Z,2020-07-21T16:13:27Z,0,1,MERGED
NotGovUK,Form: Better error messages with prettyName,https://github.com/daniel-ac-martin/NotGovUK/pull/38,2020-07-21T15:46:33Z,2020-07-21T15:49:15Z,1,1,MERGED
NotGovUK,Further improve code snippets,https://github.com/daniel-ac-martin/NotGovUK/pull/37,2020-07-21T15:34:55Z,2020-07-21T15:40:51Z,1,2,MERGED
NotGovUK,Use PrismJS's JSX language,https://github.com/daniel-ac-martin/NotGovUK/pull/36,2020-07-20T23:19:44Z,2020-07-20T23:21:03Z,0,1,MERGED
NotGovUK,Improve code snippets,https://github.com/daniel-ac-martin/NotGovUK/pull/34,2020-07-20T21:48:32Z,2020-07-20T22:04:47Z,0,2,MERGED
NotGovUK,CI: Add Chromatic,https://github.com/daniel-ac-martin/NotGovUK/pull/32,2020-07-19T18:00:05Z,2020-07-20T12:33:41Z,2,13,MERGED
NotGovUK,Add basic Continuous Integration (GitHub Actions),https://github.com/daniel-ac-martin/NotGovUK/pull/31,2020-07-19T14:29:10Z,2020-07-19T14:31:14Z,1,3,MERGED
NotGovUK,webpack-config: Output to cache dir when possible,https://github.com/daniel-ac-martin/NotGovUK/pull/29,2020-07-18T00:27:39Z,2020-07-18T00:27:58Z,0,1,CLOSED
NotGovUK,Make webpack less noisy,https://github.com/daniel-ac-martin/NotGovUK/pull/28,2020-07-18T00:26:49Z,2020-08-19T23:07:31Z,1,1,CLOSED
NotGovUK,Minor content updates,https://github.com/daniel-ac-martin/NotGovUK/pull/12,2020-06-16T13:38:18Z,2020-07-17T23:36:41Z,2,2,MERGED
NotGovUK,Remove PageFooter component,https://github.com/daniel-ac-martin/NotGovUK/pull/148,2020-10-29T13:41:31Z,2020-10-29T14:02:13Z,0,2,MERGED
NotGovUK,Header: Re-work and migrate to own package,https://github.com/daniel-ac-martin/NotGovUK/pull/147,2020-10-29T13:13:55Z,2020-10-29T13:29:29Z,0,5,MERGED
NotGovUK,Add Width container component,https://github.com/daniel-ac-martin/NotGovUK/pull/146,2020-10-26T14:41:49Z,2020-10-26T15:24:37Z,0,3,MERGED
NotGovUK,Footer: Migrate to own package and re-work,https://github.com/daniel-ac-martin/NotGovUK/pull/145,2020-10-26T12:26:53Z,2020-10-26T12:39:03Z,0,4,MERGED
NotGovUK,Version 0.1.27,https://github.com/daniel-ac-martin/NotGovUK/pull/144,2020-10-19T22:51:52Z,2020-10-19T22:52:03Z,0,1,MERGED
NotGovUK,Add Warning text component,https://github.com/daniel-ac-martin/NotGovUK/pull/143,2020-10-19T22:35:18Z,2020-10-19T22:44:26Z,0,2,MERGED
NotGovUK,Add Inset text component,https://github.com/daniel-ac-martin/NotGovUK/pull/142,2020-10-19T22:03:11Z,2020-10-19T22:21:47Z,0,2,MERGED
NotGovUK,Add Panel component,https://github.com/daniel-ac-martin/NotGovUK/pull/141,2020-10-19T21:30:01Z,2020-10-19T21:41:24Z,0,3,MERGED
NotGovUK,create: Combine tsconfigs for prototypes,https://github.com/daniel-ac-martin/NotGovUK/pull/140,2020-10-19T20:47:56Z,2020-10-19T21:03:03Z,0,1,MERGED
NotGovUK,docs: Emphasise the word project,https://github.com/daniel-ac-martin/NotGovUK/pull/132,2020-09-22T15:15:37Z,2020-09-22T15:15:48Z,0,1,MERGED
NotGovUK,docs: Add info on installing pnpm,https://github.com/daniel-ac-martin/NotGovUK/pull/129,2020-09-22T13:43:51Z,2020-09-22T13:52:34Z,0,3,MERGED
NotGovUK,Update component skeleton readme,https://github.com/daniel-ac-martin/NotGovUK/pull/127,2020-09-09T19:41:01Z,2021-06-06T17:59:58Z,7,7,MERGED
NotGovUK,Version 0.1.26,https://github.com/daniel-ac-martin/NotGovUK/pull/123,2020-09-07T13:20:31Z,2020-09-07T13:20:40Z,0,1,MERGED
NotGovUK,Anchor: Apply stricter matching,https://github.com/daniel-ac-martin/NotGovUK/pull/122,2020-09-07T12:50:35Z,2020-09-07T12:59:21Z,0,1,MERGED
NotGovUK,docs-components: Fix: Add missing roles,https://github.com/daniel-ac-martin/NotGovUK/pull/121,2020-09-07T10:20:39Z,2020-09-07T10:49:02Z,0,2,MERGED
NotGovUK,Version 0.1.25,https://github.com/daniel-ac-martin/NotGovUK/pull/119,2020-09-02T12:13:46Z,2020-09-02T12:13:53Z,0,1,MERGED
NotGovUK,Fix errors on OSX,https://github.com/daniel-ac-martin/NotGovUK/pull/117,2020-09-01T16:15:47Z,2020-09-02T12:00:41Z,0,2,MERGED
NotGovUK,Version 0.1.24,https://github.com/daniel-ac-martin/NotGovUK/pull/115,2020-08-31T17:15:43Z,2020-08-31T17:16:00Z,0,1,MERGED
NotGovUK,Miscellaneous fixes,https://github.com/daniel-ac-martin/NotGovUK/pull/114,2020-08-31T16:52:11Z,2020-08-31T17:03:21Z,0,3,MERGED
NotGovUK,Version 0.1.23,https://github.com/daniel-ac-martin/NotGovUK/pull/112,2020-08-26T11:46:55Z,2020-08-26T11:47:11Z,0,1,MERGED
NotGovUK,Fix CI/CD in child projects,https://github.com/daniel-ac-martin/NotGovUK/pull/110,2020-08-25T15:27:55Z,2020-08-26T11:29:45Z,0,9,MERGED
NotGovUK,Version 0.1.22,https://github.com/daniel-ac-martin/NotGovUK/pull/109,2020-08-25T15:15:37Z,2020-08-25T15:15:49Z,0,1,MERGED
NotGovUK,Better advice after create,https://github.com/daniel-ac-martin/NotGovUK/pull/108,2020-08-25T15:07:45Z,2020-08-25T15:08:08Z,0,2,MERGED
NotGovUK,Version 0.1.21,https://github.com/daniel-ac-martin/NotGovUK/pull/107,2020-08-25T15:06:46Z,2020-08-25T15:06:53Z,0,1,MERGED
NotGovUK,Fix: Correct advice given at end of generators,https://github.com/daniel-ac-martin/NotGovUK/pull/106,2020-08-25T14:13:59Z,2020-08-25T14:14:12Z,0,1,MERGED
NotGovUK,Version 0.1.20,https://github.com/daniel-ac-martin/NotGovUK/pull/105,2020-08-25T13:51:17Z,2020-08-25T14:06:34Z,0,1,MERGED
NotGovUK,storybook-preset: Fix: Handle webpack configs array,https://github.com/daniel-ac-martin/NotGovUK/pull/104,2020-08-25T11:31:43Z,2020-08-25T13:29:33Z,0,1,MERGED
NotGovUK,Fix: Correct advice for creating initial commit,https://github.com/daniel-ac-martin/NotGovUK/pull/103,2020-08-25T09:54:24Z,2020-08-25T10:10:10Z,0,1,MERGED
NotGovUK,Version 0.1.19,https://github.com/daniel-ac-martin/NotGovUK/pull/102,2020-08-24T22:43:53Z,2020-08-24T22:44:01Z,0,1,MERGED
NotGovUK,Combine webpack configs & chunk CSS,https://github.com/daniel-ac-martin/NotGovUK/pull/101,2020-08-24T22:19:58Z,2020-08-24T22:36:35Z,0,12,MERGED
NotGovUK,Version 0.1.18,https://github.com/daniel-ac-martin/NotGovUK/pull/100,2020-08-24T19:50:12Z,2020-08-24T19:50:20Z,0,1,MERGED
