repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
udata-front,Old UI kit review,https://github.com/datagouv/udata-front/pull/33,2021-10-28T14:41:10Z,2021-12-06T13:43:08Z,2,4,MERGED
udata-front,Set an explicit color for each thread,https://github.com/datagouv/udata-front/pull/32,2021-10-28T11:10:28Z,2021-11-03T09:43:21Z,1,1,CLOSED
udata-front,Standardize reuse page similar to dataset page,https://github.com/datagouv/udata-front/pull/31,2021-10-28T09:32:33Z,2021-11-05T16:02:03Z,2,5,MERGED
udata-front,Add resources pagination on dataset page,https://github.com/datagouv/udata-front/pull/30,2021-10-26T14:57:41Z,2021-11-09T19:00:32Z,20,37,MERGED
udata-front,Add theme and content hooks (udata-front),https://github.com/datagouv/udata-front/pull/29,2021-10-26T13:29:58Z,2021-11-03T10:23:53Z,4,13,MERGED
udata-front,Override oauth route to serve udata-front template,https://github.com/datagouv/udata-front/pull/28,2021-10-21T16:07:08Z,2021-11-03T10:25:35Z,4,3,CLOSED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/27,2021-10-21T13:33:29Z,2021-10-22T13:35:06Z,0,3,MERGED
udata-front,Fix feedback on dataset quickfixes,https://github.com/datagouv/udata-front/pull/26,2021-10-21T09:42:47Z,2021-10-21T13:27:26Z,2,12,MERGED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/25,2021-10-18T14:07:40Z,2021-10-18T14:38:15Z,0,6,MERGED
udata-front,Add Participate banner in footer,https://github.com/datagouv/udata-front/pull/24,2021-10-18T09:21:02Z,2021-10-18T11:15:25Z,0,7,MERGED
udata-front,Fix min-heigth used in posts images to center them,https://github.com/datagouv/udata-front/pull/23,2021-10-15T14:55:39Z,2021-10-18T15:02:03Z,0,4,MERGED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/22,2021-10-07T10:22:43Z,2021-10-11T07:20:01Z,0,5,MERGED
udata-front,feat: add roles to block of content,https://github.com/datagouv/udata-front/pull/21,2021-10-06T08:59:43Z,2021-10-08T14:28:50Z,7,8,MERGED
udata-front,Remove PDF link to LOv2 and link to GitHub markdown,https://github.com/datagouv/udata-front/pull/20,2021-10-05T16:07:44Z,2021-10-07T10:16:27Z,1,3,MERGED
udata-front,fix: Modals now properly trigger,https://github.com/datagouv/udata-front/pull/19,2021-10-05T12:35:33Z,2021-10-07T09:17:37Z,0,4,MERGED
udata-front,Feat: improve datasets navigation,https://github.com/datagouv/udata-front/pull/18,2021-10-04T15:09:09Z,2021-10-18T14:05:46Z,25,56,MERGED
udata-front,"WIP: RFC: Update README with emojis, mainly 🙈	",https://github.com/datagouv/udata-front/pull/17,2021-09-30T13:37:21Z,2021-10-18T09:42:13Z,10,9,MERGED
udata-front,Feature/vuejs xss,https://github.com/datagouv/udata-front/pull/16,2021-09-29T13:25:48Z,2021-09-29T13:38:04Z,0,9,MERGED
udata-front,"VueJS multiple mount points, `mitt` event bus",https://github.com/datagouv/udata-front/pull/15,2021-09-24T14:29:11Z,2021-09-29T13:05:41Z,4,7,MERGED
udata-front,Fix temporal coverage order,https://github.com/datagouv/udata-front/pull/14,2021-09-24T13:59:06Z,2021-09-24T14:35:01Z,0,2,MERGED
udata-front,Fix RGAA criterion 1.2 Ignore decoration image,https://github.com/datagouv/udata-front/pull/13,2021-09-23T08:22:50Z,2021-09-28T11:28:26Z,10,25,MERGED
udata-front,Add a Request Membership action on organization page,https://github.com/datagouv/udata-front/pull/12,2021-09-21T16:27:48Z,2021-09-23T08:28:26Z,3,7,MERGED
udata-front,Unset vue delimiters,https://github.com/datagouv/udata-front/pull/11,2021-09-21T14:59:00Z,2021-09-24T08:02:34Z,2,4,MERGED
udata-front,Add read only banner,https://github.com/datagouv/udata-front/pull/10,2021-09-16T13:00:55Z,2021-09-21T11:30:44Z,2,5,MERGED
udata-front,Tests incoming !,https://github.com/datagouv/udata-front/pull/9,2021-09-16T12:21:33Z,2021-09-23T11:20:53Z,7,18,MERGED
udata-front,Remove request context on test_security,https://github.com/datagouv/udata-front/pull/8,2021-09-16T07:32:31Z,2021-09-16T08:20:58Z,0,2,MERGED
udata-front,Update changelog for udata-front,https://github.com/datagouv/udata-front/pull/7,2021-09-15T15:20:37Z,2021-09-16T07:10:09Z,2,4,MERGED
udata-front,Update dependencies,https://github.com/datagouv/udata-front/pull/6,2021-09-09T13:49:56Z,2021-09-10T13:15:09Z,1,6,MERGED
udata-front,Pin setuptools==53.0.0,https://github.com/datagouv/udata-front/pull/5,2021-09-09T07:59:55Z,2021-09-14T13:53:10Z,1,2,CLOSED
udata-front,Use url_for instead of request.url in security next param,https://github.com/datagouv/udata-front/pull/4,2021-09-08T10:21:41Z,2021-09-14T15:07:38Z,4,7,MERGED
udata-front,Fix homepage reuses,https://github.com/datagouv/udata-front/pull/3,2021-09-06T10:11:41Z,2021-09-14T15:14:29Z,0,7,MERGED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/2,2021-09-01T15:54:36Z,2021-09-24T09:33:18Z,0,22,MERGED
udata-front,Front renaming,https://github.com/datagouv/udata-front/pull/1,2021-09-01T14:46:09Z,2021-09-01T15:23:07Z,0,13,MERGED
udata-front,Feat/update colors to fix accessibility issues,https://github.com/datagouv/udata-front/pull/56,2021-12-21T12:39:37Z,2022-01-12T16:06:08Z,6,53,MERGED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/55,2021-12-14T13:05:25Z,2021-12-14T13:07:39Z,0,1,MERGED
udata-front,Change wording in participez,https://github.com/datagouv/udata-front/pull/54,2021-12-14T12:57:10Z,2021-12-14T13:06:05Z,0,1,CLOSED
udata-front,Change link to redirect to guides,https://github.com/datagouv/udata-front/pull/53,2021-12-14T12:53:58Z,2021-12-15T09:08:45Z,0,2,MERGED
udata-front,Feat/update reuses style,https://github.com/datagouv/udata-front/pull/52,2021-12-13T08:19:02Z,2022-02-08T13:03:24Z,18,39,MERGED
udata-front,Add copy to clipboard action on discussion permalink,https://github.com/datagouv/udata-front/pull/51,2021-12-08T13:15:15Z,2021-12-08T13:29:45Z,0,3,MERGED
udata-front,Add topic in reuse search filter and meta information,https://github.com/datagouv/udata-front/pull/50,2021-12-07T17:46:43Z,2022-01-10T15:12:04Z,5,8,MERGED
udata-front,New Crowdin updates,https://github.com/datagouv/udata-front/pull/49,2021-12-06T15:43:34Z,2021-12-07T10:04:52Z,0,11,MERGED
udata-front,Redirect about to ressources,https://github.com/datagouv/udata-front/pull/48,2021-12-06T15:34:33Z,2021-12-06T16:52:59Z,0,3,MERGED
udata-front,WIP : switch API suggest calls to APIV2,https://github.com/datagouv/udata-front/pull/47,2021-12-06T10:42:15Z,2022-02-28T10:30:13Z,1,2,CLOSED
udata-front,fix RGAA criterion Presentation 10.7,https://github.com/datagouv/udata-front/pull/46,2021-12-03T10:44:06Z,2021-12-06T08:40:07Z,0,2,MERGED
udata-front,Update dsfr,https://github.com/datagouv/udata-front/pull/45,2021-12-03T10:10:00Z,2021-12-20T13:45:42Z,5,15,MERGED
udata-front,fix: add catch to avoid cancellation error,https://github.com/datagouv/udata-front/pull/44,2021-12-02T14:44:48Z,2021-12-07T09:20:20Z,1,5,MERGED
udata-front,Add poc recherche banner,https://github.com/datagouv/udata-front/pull/43,2021-11-29T13:13:41Z,2021-11-29T17:33:26Z,0,7,MERGED
udata-front,Remove issues logic,https://github.com/datagouv/udata-front/pull/42,2021-11-26T15:11:31Z,2021-11-29T12:43:51Z,0,9,MERGED
udata-front,Standardize article discussions,https://github.com/datagouv/udata-front/pull/41,2021-11-19T15:43:34Z,2021-12-06T15:38:27Z,12,28,MERGED
udata-front,Standardize organization page,https://github.com/datagouv/udata-front/pull/40,2021-11-18T08:27:50Z,2021-12-02T14:19:06Z,2,5,MERGED
