repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
embla-carousel,CodeSandbox examples for events,https://github.com/davidjerleke/embla-carousel/pull/52,2020-03-18T02:45:14Z,2020-03-25T14:36:31Z,3,2,MERGED
embla-carousel,Fix syntax in example page that is incompatible with IE11,https://github.com/davidjerleke/embla-carousel/pull/41,2020-01-03T02:55:30Z,2020-01-03T12:54:44Z,1,2,MERGED
embla-carousel,Check className has a truthy value before trying anything else,https://github.com/davidjerleke/embla-carousel/pull/108,2020-09-28T17:17:13Z,2020-09-30T08:16:48Z,3,4,MERGED
embla-carousel,Mark package as side effects free,https://github.com/davidjerleke/embla-carousel/pull/93,2020-08-21T23:56:29Z,2020-08-22T18:04:00Z,4,3,MERGED
embla-carousel,Fix errors when embedding on Pastel (usepastel.com),https://github.com/davidjerleke/embla-carousel/pull/85,2020-08-17T18:52:04Z,2020-08-19T17:27:05Z,3,1,MERGED
embla-carousel,Remove node engine from package.json,https://github.com/davidjerleke/embla-carousel/pull/83,2020-08-13T10:58:12Z,2020-08-13T12:59:34Z,0,1,MERGED
embla-carousel,Add CI & CD Github actions,https://github.com/davidjerleke/embla-carousel/pull/123,2020-11-21T08:44:52Z,2020-11-25T11:28:04Z,2,10,MERGED
embla-carousel,RTL support,https://github.com/davidjerleke/embla-carousel/pull/115,2020-11-09T11:49:48Z,2020-11-11T11:34:53Z,0,7,MERGED
embla-carousel,Options Pseudo,https://github.com/davidjerleke/embla-carousel/pull/158,2021-03-21T21:16:44Z,2021-03-21T21:22:30Z,0,3,MERGED
embla-carousel,Auto resize option,https://github.com/davidjerleke/embla-carousel/pull/155,2021-03-10T19:46:28Z,2021-03-10T19:51:02Z,0,1,MERGED
embla-carousel,Auto spacing detection,https://github.com/davidjerleke/embla-carousel/pull/154,2021-03-10T11:46:21Z,2021-03-10T11:58:05Z,0,8,MERGED
embla-carousel,Create monorepo and add documentation website,https://github.com/davidjerleke/embla-carousel/pull/190,2021-05-22T21:13:55Z,2021-05-23T10:47:02Z,0,3,MERGED
embla-carousel,Skip Snaps Option,https://github.com/davidjerleke/embla-carousel/pull/180,2021-04-22T11:00:33Z,2021-04-22T12:50:23Z,0,3,MERGED
embla-carousel,"Add jump parameter to scrollTo, scrollPrev and scrollNext",https://github.com/davidjerleke/embla-carousel/pull/177,2021-04-11T18:29:26Z,2021-04-11T18:30:21Z,0,1,MERGED
embla-carousel,Don't remove offset from target when `loop:false`. ,https://github.com/davidjerleke/embla-carousel/pull/173,2021-04-05T11:00:54Z,2021-04-05T11:02:50Z,0,1,MERGED
embla-carousel,Patch fix for issue #164,https://github.com/davidjerleke/embla-carousel/pull/165,2021-04-01T18:49:07Z,2021-04-01T18:50:24Z,0,1,MERGED
embla-carousel,Fix className attribute in React example section,https://github.com/davidjerleke/embla-carousel/pull/236,2021-10-20T18:16:50Z,2021-10-22T12:16:41Z,1,2,MERGED
embla-carousel,v6,https://github.com/davidjerleke/embla-carousel/pull/229,2021-10-04T12:57:54Z,2021-11-05T13:41:34Z,0,17,MERGED
embla-carousel,Allow to assign slide nodes as slots within a web component using shadow DOM,https://github.com/davidjerleke/embla-carousel/pull/222,2021-09-23T08:27:32Z,2021-10-07T13:35:12Z,13,2,CLOSED
embla-carousel,Yarn 2 migration,https://github.com/davidjerleke/embla-carousel/pull/220,2021-09-22T20:38:37Z,2021-09-26T11:16:34Z,0,12,MERGED
embla-carousel,Break the dragging animation if the slide index is equal to 0 or {max},https://github.com/davidjerleke/embla-carousel/pull/206,2021-08-08T19:10:10Z,2021-08-10T13:48:05Z,7,3,CLOSED
embla-carousel,fix typo on line 82 'pliugin' to 'plugin',https://github.com/davidjerleke/embla-carousel/pull/261,2021-12-26T12:10:18Z,2021-12-26T21:37:35Z,1,1,MERGED
embla-carousel,Migrate from Algolia DocSearch v2 --> v3,https://github.com/davidjerleke/embla-carousel/pull/253,2021-12-10T13:58:26Z,2021-12-10T14:01:11Z,0,1,MERGED
embla-carousel,WheelGestures Plugin: Add CDN / UMD info to install section,https://github.com/davidjerleke/embla-carousel/pull/246,2021-11-25T20:35:11Z,2021-11-26T13:29:41Z,1,1,MERGED
