repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ddal-kkak,FEAT: 라스트 commit,https://github.com/ddal-kkak/ddal-kkak/pull/76,2024-05-17T21:25:55Z,2024-05-17T21:27:36Z,0,1,MERGED
ddal-kkak,FEAT: create page,https://github.com/ddal-kkak/ddal-kkak/pull/75,2024-05-17T19:20:38Z,2024-05-17T19:22:37Z,0,1,MERGED
ddal-kkak,Input 에러 나는거 수정,https://github.com/ddal-kkak/ddal-kkak/pull/74,2024-05-17T16:54:55Z,2024-05-17T17:02:55Z,0,4,MERGED
ddal-kkak,field 추가 했습니다. (video 제외),https://github.com/ddal-kkak/ddal-kkak/pull/73,2024-05-17T15:24:01Z,2024-05-17T15:25:28Z,0,6,MERGED
ddal-kkak,FEAT: render block,https://github.com/ddal-kkak/ddal-kkak/pull/72,2024-05-17T14:43:24Z,2024-05-17T15:05:10Z,0,1,MERGED
ddal-kkak,FEAT: generate page metadata,https://github.com/ddal-kkak/ddal-kkak/pull/71,2024-05-17T12:42:01Z,2024-05-17T12:45:40Z,0,1,MERGED
ddal-kkak,video block schema 추가,https://github.com/ddal-kkak/ddal-kkak/pull/70,2024-05-17T06:35:25Z,2024-05-17T07:27:40Z,0,4,MERGED
ddal-kkak,Image Schema 추가,https://github.com/ddal-kkak/ddal-kkak/pull/69,2024-05-17T05:45:29Z,2024-05-17T05:47:50Z,0,3,MERGED
ddal-kkak,FEAT: 유틸함수로 사용할 수 있도록 코드 변경,https://github.com/ddal-kkak/ddal-kkak/pull/68,2024-05-17T05:22:56Z,2024-05-17T05:29:49Z,0,1,MERGED
ddal-kkak,video block style 수정,https://github.com/ddal-kkak/ddal-kkak/pull/67,2024-05-17T05:10:45Z,2024-05-17T05:19:43Z,0,1,MERGED
ddal-kkak,Text block Schema 추가 했어요,https://github.com/ddal-kkak/ddal-kkak/pull/66,2024-05-17T05:09:14Z,2024-05-17T05:19:28Z,0,4,MERGED
ddal-kkak,transformStringToNumber 함수 share util 로 변경,https://github.com/ddal-kkak/ddal-kkak/pull/65,2024-05-16T16:25:51Z,2024-05-17T05:14:15Z,0,1,MERGED
ddal-kkak,FEAT: page status 변경하기,https://github.com/ddal-kkak/ddal-kkak/pull/64,2024-05-16T16:11:52Z,2024-05-16T16:13:23Z,0,1,MERGED
ddal-kkak,Spacer block Schema 추가,https://github.com/ddal-kkak/ddal-kkak/pull/63,2024-05-16T15:55:30Z,2024-05-16T15:57:10Z,0,6,MERGED
ddal-kkak,공통 패키지인 share 경로 변경,https://github.com/ddal-kkak/ddal-kkak/pull/62,2024-05-16T15:49:08Z,2024-05-16T15:50:33Z,0,3,MERGED
ddal-kkak,video block 에 Key 지정 경고 수정,https://github.com/ddal-kkak/ddal-kkak/pull/61,2024-05-16T13:57:04Z,2024-05-16T14:00:10Z,0,1,MERGED
ddal-kkak,FEAT: 페이지 별 데이터 전달,https://github.com/ddal-kkak/ddal-kkak/pull/60,2024-05-16T13:48:29Z,2024-05-16T13:50:18Z,0,1,MERGED
ddal-kkak,Video block 추가,https://github.com/ddal-kkak/ddal-kkak/pull/59,2024-05-16T13:43:26Z,2024-05-16T13:50:53Z,0,4,MERGED
ddal-kkak,이미지 블럭 추가,https://github.com/ddal-kkak/ddal-kkak/pull/58,2024-05-16T13:03:01Z,2024-05-16T13:04:45Z,0,4,MERGED
ddal-kkak,FIX: layout fixed,https://github.com/ddal-kkak/ddal-kkak/pull/57,2024-05-16T13:00:53Z,2024-05-16T13:03:52Z,0,1,MERGED
ddal-kkak,spacer block 추가,https://github.com/ddal-kkak/ddal-kkak/pull/56,2024-05-16T12:45:41Z,2024-05-16T13:00:32Z,0,1,MERGED
ddal-kkak,text block 추가,https://github.com/ddal-kkak/ddal-kkak/pull/55,2024-05-16T12:39:22Z,2024-05-16T12:40:52Z,0,3,MERGED
ddal-kkak,FIX: customFetch handling response fixed,https://github.com/ddal-kkak/ddal-kkak/pull/54,2024-05-16T12:08:41Z,2024-05-16T12:10:18Z,0,1,MERGED
ddal-kkak,Feature/dashboard api,https://github.com/ddal-kkak/ddal-kkak/pull/53,2024-05-14T00:14:04Z,2024-05-14T15:43:41Z,0,19,MERGED
ddal-kkak,Feature/react query,https://github.com/ddal-kkak/ddal-kkak/pull/52,2024-05-14T00:13:13Z,2024-05-14T14:01:56Z,0,17,MERGED
ddal-kkak,Feature/list layout,https://github.com/ddal-kkak/ddal-kkak/pull/51,2024-05-13T14:45:09Z,2024-05-14T13:54:36Z,0,15,MERGED
ddal-kkak,FEAT: 절대경로에 schemas 로 등록해둬서 schema 폴더 schemas 로 변경,https://github.com/ddal-kkak/ddal-kkak/pull/50,2024-05-04T09:03:46Z,2024-05-04T09:12:00Z,0,1,MERGED
ddal-kkak,FEAT: share package ddal-kkak 에 추가,https://github.com/ddal-kkak/ddal-kkak/pull/49,2024-05-04T08:54:26Z,2024-05-04T08:58:30Z,0,1,MERGED
ddal-kkak,"FEAT: 헤더 , 에디터페이지 레이아웃",https://github.com/ddal-kkak/ddal-kkak/pull/48,2024-05-03T00:10:13Z,2024-05-13T13:18:30Z,21,13,MERGED
ddal-kkak,FEAT: 컴포넌트 폴더 경로에 추가,https://github.com/ddal-kkak/ddal-kkak/pull/47,2024-05-02T16:01:22Z,2024-05-02T16:02:53Z,0,1,MERGED
ddal-kkak,ddal-kkak 프로젝트 상대경로로 되어있는거 절대 경로로 수정,https://github.com/ddal-kkak/ddal-kkak/pull/46,2024-05-02T15:53:33Z,2024-05-04T08:51:23Z,1,3,MERGED
ddal-kkak,페이지 정보 기본 스키마 예시 코드 추가,https://github.com/ddal-kkak/ddal-kkak/pull/45,2024-05-02T14:09:00Z,2024-05-04T08:50:56Z,2,4,MERGED
ddal-kkak,FEAT: precommit 시 prettier 동작 추가,https://github.com/ddal-kkak/ddal-kkak/pull/44,2024-05-02T12:30:28Z,2024-05-02T12:45:40Z,0,5,MERGED
ddal-kkak,FEAT: 페이지 라우팅 설정,https://github.com/ddal-kkak/ddal-kkak/pull/43,2024-04-30T15:32:58Z,2024-05-01T18:03:49Z,2,2,MERGED
ddal-kkak,FIX: Storybook danger 컬러 옛날 이름으로 되어있어서 수정,https://github.com/ddal-kkak/ddal-kkak/pull/42,2024-04-29T14:54:09Z,2024-05-01T11:09:23Z,0,1,MERGED
ddal-kkak,FEAT: Button control 할 수 있도록 수정,https://github.com/ddal-kkak/ddal-kkak/pull/41,2024-04-28T08:05:43Z,2024-05-02T12:17:22Z,0,2,MERGED
ddal-kkak,FEAT: 토스트 컴포넌트 추가,https://github.com/ddal-kkak/ddal-kkak/pull/40,2024-04-25T05:07:27Z,2024-05-01T11:08:40Z,6,10,MERGED
ddal-kkak,FEAT: 스토리북 테스팅 환경 세팅,https://github.com/ddal-kkak/ddal-kkak/pull/39,2024-04-24T16:14:34Z,2024-04-25T04:24:48Z,3,2,MERGED
ddal-kkak,FEAT: Zustand 추가,https://github.com/ddal-kkak/ddal-kkak/pull/38,2024-04-22T11:02:15Z,2024-04-30T12:49:28Z,2,11,CLOSED
ddal-kkak,FEAT: input 컴포넌트 개발,https://github.com/ddal-kkak/ddal-kkak/pull/37,2024-04-21T12:54:12Z,2024-04-30T15:23:19Z,0,4,MERGED
ddal-kkak,#34 버튼 컴포넌트 개발,https://github.com/ddal-kkak/ddal-kkak/pull/35,2024-04-21T07:28:28Z,2024-04-21T12:50:02Z,1,9,MERGED
ddal-kkak,"FEAT: 스토리북이랑, 딸깍에 공통 컴포넌트 스타일링 적용 되도록 수정",https://github.com/ddal-kkak/ddal-kkak/pull/33,2024-04-17T13:39:17Z,2024-04-21T04:26:32Z,1,7,MERGED
ddal-kkak,"FEAT: install zustand, tsconfig 수정",https://github.com/ddal-kkak/ddal-kkak/pull/32,2024-04-16T15:46:48Z,2024-04-21T07:21:22Z,5,6,CLOSED
ddal-kkak,"FEAT: pre-commit 시 prettier 동작 추가, prettier-config 추가 및 ui 파일에 extends",https://github.com/ddal-kkak/ddal-kkak/pull/31,2024-04-16T15:24:33Z,2024-04-25T12:59:16Z,5,4,MERGED
ddal-kkak,FEAT:  유틸 패키지 추가,https://github.com/ddal-kkak/ddal-kkak/pull/28,2024-04-16T04:24:41Z,2024-04-16T13:43:51Z,1,5,MERGED
ddal-kkak,FEAT: 테일윈드 공통 스타일 세팅 추가,https://github.com/ddal-kkak/ddal-kkak/pull/26,2024-04-15T16:24:07Z,2024-04-16T13:31:31Z,7,14,MERGED
ddal-kkak,FEAT: 스토리북 CI 추가,https://github.com/ddal-kkak/ddal-kkak/pull/25,2024-04-15T13:57:56Z,2024-04-16T12:18:36Z,0,3,MERGED
ddal-kkak,FEAT: ddal-kkak 프로젝트 기본 세팅 및 불필요한 프로젝트 삭제,https://github.com/ddal-kkak/ddal-kkak/pull/19,2024-04-15T11:46:18Z,2024-04-15T13:18:50Z,0,3,MERGED
ddal-kkak,DOCS: PR 템플릿 작성,https://github.com/ddal-kkak/ddal-kkak/pull/18,2024-04-15T04:26:24Z,2024-04-15T13:18:33Z,2,1,MERGED
ddal-kkak,TEST: codeowners,https://github.com/ddal-kkak/ddal-kkak/pull/17,2024-04-13T08:26:21Z,2024-04-13T08:27:11Z,0,1,CLOSED
ddal-kkak,Fix: CODEOWNERS,https://github.com/ddal-kkak/ddal-kkak/pull/16,2024-04-13T08:19:14Z,2024-04-13T08:21:07Z,0,1,MERGED
ddal-kkak,FEAT: develop 브랜치 머지되면 배포되도록 github action 추가,https://github.com/ddal-kkak/ddal-kkak/pull/14,2024-04-11T15:48:44Z,2024-04-12T01:04:24Z,0,2,MERGED
ddal-kkak,#FEAT: README.md,https://github.com/ddal-kkak/ddal-kkak/pull/13,2024-04-11T00:24:44Z,2024-04-11T12:42:40Z,0,1,MERGED
ddal-kkak,FEAT: Test 환경 세팅 및 ci 추가,https://github.com/ddal-kkak/ddal-kkak/pull/12,2024-04-10T16:15:26Z,2024-04-11T15:36:53Z,1,11,MERGED
ddal-kkak,#FEAT: README.md,https://github.com/ddal-kkak/ddal-kkak/pull/11,2024-04-10T14:17:39Z,2024-04-10T14:19:53Z,0,8,CLOSED
ddal-kkak,#FEAT: README.md,https://github.com/ddal-kkak/ddal-kkak/pull/10,2024-04-10T13:48:18Z,2024-04-10T13:49:40Z,0,7,CLOSED
ddal-kkak,FEAT: 리뷰어 추가,https://github.com/ddal-kkak/ddal-kkak/pull/9,2024-04-10T12:57:13Z,2024-04-11T09:27:32Z,0,2,MERGED
ddal-kkak,FEAT: 허스키 세팅,https://github.com/ddal-kkak/ddal-kkak/pull/8,2024-04-10T12:48:52Z,2024-04-11T09:23:41Z,0,2,MERGED
ddal-kkak,FEAT: 레포 이름 변경,https://github.com/ddal-kkak/ddal-kkak/pull/7,2024-04-09T05:55:07Z,2024-04-09T05:59:37Z,0,3,MERGED
ddal-kkak,DOCS: README 수정,https://github.com/ddal-kkak/ddal-kkak/pull/6,2024-04-09T05:54:13Z,2024-04-09T05:59:26Z,0,2,MERGED
ddal-kkak,FEAT: Storybook init,https://github.com/ddal-kkak/ddal-kkak/pull/5,2024-04-09T05:52:34Z,2024-04-09T05:55:22Z,0,1,MERGED
ddal-kkak,#FEAT: Create pull_request_template.md,https://github.com/ddal-kkak/ddal-kkak/pull/4,2024-04-08T16:42:24Z,2024-04-10T13:06:06Z,2,6,CLOSED
ddal-kkak,FEAT: 레포 이름 변경,https://github.com/ddal-kkak/ddal-kkak/pull/3,2024-04-08T15:14:40Z,2024-04-08T17:48:31Z,1,3,MERGED
ddal-kkak,DOCS: README 수정,https://github.com/ddal-kkak/ddal-kkak/pull/2,2024-04-08T14:44:21Z,2024-04-08T15:21:34Z,0,1,MERGED
ddal-kkak,FEAT: Storybook init,https://github.com/ddal-kkak/ddal-kkak/pull/1,2024-04-08T14:22:43Z,2024-04-08T15:22:24Z,1,1,MERGED
