repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
component-library,Update formation-react name,https://github.com/department-of-veterans-affairs/component-library/pull/1,2020-10-19T19:15:42Z,2020-12-10T23:37:50Z,0,1,CLOSED
component-library,Prepare for publishing,https://github.com/department-of-veterans-affairs/component-library/pull/4,2020-12-12T00:18:55Z,2021-01-12T21:20:51Z,0,8,MERGED
component-library,Create the new package,https://github.com/department-of-veterans-affairs/component-library/pull/3,2020-12-10T22:55:53Z,2020-12-11T23:42:37Z,6,16,MERGED
component-library,Add .circleci/config.yml,https://github.com/department-of-veterans-affairs/component-library/pull/2,2020-12-09T22:39:13Z,2021-01-12T21:38:40Z,3,10,MERGED
component-library,fix typo in accordion story,https://github.com/department-of-veterans-affairs/component-library/pull/70,2021-03-31T18:18:29Z,2021-04-01T13:47:48Z,0,1,MERGED
component-library,Add disableAnalytics flag to PromoBanner analytics,https://github.com/department-of-veterans-affairs/component-library/pull/69,2021-03-30T21:40:10Z,2021-04-01T16:16:59Z,0,2,MERGED
component-library,Adding analytics to multiple form input components,https://github.com/department-of-veterans-affairs/component-library/pull/68,2021-03-30T14:46:15Z,2021-05-06T23:38:16Z,9,19,MERGED
component-library,fix typo in va-accordion,https://github.com/department-of-veterans-affairs/component-library/pull/67,2021-03-26T13:00:59Z,2021-03-31T16:36:34Z,0,1,MERGED
component-library,refactor: use react-focus-on to manage focus trap for modals,https://github.com/department-of-veterans-affairs/component-library/pull/66,2021-03-22T15:14:40Z,2021-03-23T17:13:17Z,9,2,MERGED
component-library,Add on-this-page component to Storybook,https://github.com/department-of-veterans-affairs/component-library/pull/65,2021-03-17T00:01:48Z,2021-04-05T17:35:05Z,0,8,MERGED
component-library,Update CODEOWNERS,https://github.com/department-of-veterans-affairs/component-library/pull/64,2021-03-16T16:41:32Z,2021-03-16T17:07:13Z,0,1,CLOSED
component-library,Add analytics to Breadcrumbs component,https://github.com/department-of-veterans-affairs/component-library/pull/63,2021-03-16T14:20:02Z,2021-04-09T23:12:49Z,1,6,MERGED
component-library,Add analytics event to ProgressBar and SegmentedProgressBar components,https://github.com/department-of-veterans-affairs/component-library/pull/62,2021-03-16T01:16:30Z,2021-04-16T00:47:37Z,9,13,MERGED
component-library,Add analytics events to LoadingIndicator component,https://github.com/department-of-veterans-affairs/component-library/pull/61,2021-03-16T00:42:34Z,2021-04-09T23:06:15Z,3,7,MERGED
component-library,Add analytics events to PromoBanner component,https://github.com/department-of-veterans-affairs/component-library/pull/60,2021-03-15T22:40:39Z,2021-03-30T15:19:28Z,0,5,MERGED
component-library,"Add ""On this page"" component",https://github.com/department-of-veterans-affairs/component-library/pull/59,2021-03-15T21:42:55Z,2021-04-02T19:17:32Z,4,28,MERGED
component-library,Apply same CSS fix to :hover state,https://github.com/department-of-veterans-affairs/component-library/pull/58,2021-03-13T00:06:33Z,2021-03-13T00:22:00Z,0,2,MERGED
component-library,Telephone doc fixes,https://github.com/department-of-veterans-affairs/component-library/pull/55,2021-03-09T17:51:29Z,2021-03-10T14:43:45Z,4,5,MERGED
component-library,Add full month names to date select,https://github.com/department-of-veterans-affairs/component-library/pull/54,2021-03-09T15:48:51Z,2021-03-09T19:49:04Z,1,2,MERGED
component-library,Build for es5 by default & fix IE issues,https://github.com/department-of-veterans-affairs/component-library/pull/53,2021-03-05T18:09:31Z,2021-03-09T17:17:49Z,1,9,MERGED
component-library,Upgrade storybook,https://github.com/department-of-veterans-affairs/component-library/pull/52,2021-03-03T17:19:28Z,2021-03-03T19:23:02Z,0,2,MERGED
component-library,Add action link story,https://github.com/department-of-veterans-affairs/component-library/pull/51,2021-03-03T00:07:35Z,2021-03-04T23:52:03Z,1,5,MERGED
component-library,Fix accordion after staging review,https://github.com/department-of-veterans-affairs/component-library/pull/50,2021-02-25T23:26:42Z,2021-03-01T17:49:41Z,6,6,MERGED
component-library,Exclude files in testing folder from build,https://github.com/department-of-veterans-affairs/component-library/pull/49,2021-02-24T23:38:45Z,2021-02-24T23:46:45Z,0,1,MERGED
