repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
16th-team1-FE,[#59] - 기본 폰트 및 타이포그래피 설정,https://github.com/depromeet/16th-team1-FE/pull/61,2025-02-24T06:30:38Z,2025-02-25T02:40:50Z,2,5,MERGED
16th-team1-FE,[#52] - 업로드 API 연동,https://github.com/depromeet/16th-team1-FE/pull/58,2025-02-21T14:10:34Z,2025-02-23T07:07:50Z,7,6,MERGED
16th-team1-FE,[#56] - 사이드바 세부 디자인 인터렉션 수정,https://github.com/depromeet/16th-team1-FE/pull/57,2025-02-21T06:11:05Z,2025-02-21T07:32:57Z,1,9,MERGED
16th-team1-FE,[#53] - import 경로 alias 설정,https://github.com/depromeet/16th-team1-FE/pull/54,2025-02-20T07:09:49Z,2025-02-20T07:14:54Z,2,2,MERGED
16th-team1-FE,"[#43] - 업로드 페이지 퍼블리싱, 업로드 컴포넌트 스타일 적용, 라우팅 기본 적용",https://github.com/depromeet/16th-team1-FE/pull/51,2025-02-19T15:48:56Z,2025-02-20T03:53:23Z,1,5,MERGED
16th-team1-FE,[#45] - 논리적 비약 섹션 퍼블리싱,https://github.com/depromeet/16th-team1-FE/pull/50,2025-02-19T10:45:57Z,2025-02-19T11:07:32Z,1,3,MERGED
16th-team1-FE,[#40] - 사이드바 로직 개선 및 세부 마크업 진행,https://github.com/depromeet/16th-team1-FE/pull/49,2025-02-19T09:24:57Z,2025-02-19T11:30:28Z,6,13,MERGED
16th-team1-FE,[#41] - 포트폴리오 피드백 항목별 설명 리스트 퍼블리싱,https://github.com/depromeet/16th-team1-FE/pull/48,2025-02-19T06:59:27Z,2025-02-19T07:26:07Z,2,6,MERGED
16th-team1-FE,[#46] - global style 수정,https://github.com/depromeet/16th-team1-FE/pull/47,2025-02-19T04:49:30Z,2025-02-19T05:06:50Z,1,1,MERGED
16th-team1-FE,[#25] - 문장 개선 섹션 퍼블리싱,https://github.com/depromeet/16th-team1-FE/pull/44,2025-02-18T13:19:21Z,2025-02-19T05:17:41Z,1,5,MERGED
16th-team1-FE,[#33] - FileUpload 컴포넌트 기본 구현,https://github.com/depromeet/16th-team1-FE/pull/42,2025-02-18T12:14:51Z,2025-02-19T04:54:47Z,6,6,MERGED
16th-team1-FE,[#35] - 포트폴리오 피드백 강점 분석 및 해결방안 섹션 퍼블리싱,https://github.com/depromeet/16th-team1-FE/pull/39,2025-02-18T03:22:29Z,2025-02-18T10:56:45Z,3,4,MERGED
16th-team1-FE,[#34] - 사이드바 초기 마크업 생성 및 기존 파일 컨벤션 수정,https://github.com/depromeet/16th-team1-FE/pull/38,2025-02-17T13:29:24Z,2025-02-18T03:27:42Z,3,8,MERGED
16th-team1-FE,[#36] - 파일명 Kebab case 규칙 적용,https://github.com/depromeet/16th-team1-FE/pull/37,2025-02-17T03:29:46Z,2025-02-17T04:05:41Z,3,1,MERGED
16th-team1-FE,[#31] - Reset CSS 적용 및 기본 단위 rem으로 설정,https://github.com/depromeet/16th-team1-FE/pull/32,2025-02-16T06:04:11Z,2025-02-16T12:43:27Z,1,1,MERGED
16th-team1-FE,[#29] - 포트폴리오 피드백 전체 평가 섹션 퍼블리싱,https://github.com/depromeet/16th-team1-FE/pull/30,2025-02-16T02:12:42Z,2025-02-16T12:41:55Z,4,5,MERGED
16th-team1-FE,[#27] - Storybook CI/CD 트리거 조건 수정,https://github.com/depromeet/16th-team1-FE/pull/28,2025-02-15T05:30:55Z,2025-02-15T06:21:03Z,3,4,MERGED
16th-team1-FE,[#24] - Button 공통 컴포넌트 생성,https://github.com/depromeet/16th-team1-FE/pull/26,2025-02-14T15:51:41Z,2025-02-15T05:47:27Z,5,10,MERGED
16th-team1-FE,[#20] - Vitest 및 Testing Library 기본 설정,https://github.com/depromeet/16th-team1-FE/pull/21,2025-02-10T14:22:12Z,2025-02-12T22:55:07Z,1,3,MERGED
16th-team1-FE,[#18] - Emotion관련 eslint rule추가 및 스타일 기본 파일명 변경,https://github.com/depromeet/16th-team1-FE/pull/19,2025-02-08T13:16:21Z,2025-02-09T09:04:42Z,1,3,MERGED
16th-team1-FE,[#16] - PR 머지 시 관련 이슈 자동 종료되도록 템플릿 수정,https://github.com/depromeet/16th-team1-FE/pull/17,2025-02-08T11:04:03Z,2025-02-08T12:43:52Z,1,1,MERGED
16th-team1-FE,[브랜치 재정립을 위한 임시 PR],https://github.com/depromeet/16th-team1-FE/pull/15,2025-02-08T07:32:52Z,2025-02-08T07:33:02Z,1,7,MERGED
16th-team1-FE,chore #5 : CI 세팅 fix,https://github.com/depromeet/16th-team1-FE/pull/14,2025-02-08T06:57:02Z,2025-02-08T06:57:10Z,0,6,MERGED
16th-team1-FE,chore #5 : CI 세팅 fix,https://github.com/depromeet/16th-team1-FE/pull/13,2025-02-08T06:52:01Z,2025-02-08T06:52:10Z,1,1,MERGED
16th-team1-FE,chore #5 : CI 세팅 fix,https://github.com/depromeet/16th-team1-FE/pull/12,2025-02-08T06:42:51Z,2025-02-08T06:42:58Z,1,1,MERGED
16th-team1-FE,chore #5 : CI 세팅 fix,https://github.com/depromeet/16th-team1-FE/pull/11,2025-02-08T06:40:44Z,2025-02-08T06:40:52Z,1,1,MERGED
16th-team1-FE,chore #5 : CI 세팅 fix,https://github.com/depromeet/16th-team1-FE/pull/10,2025-02-08T06:37:34Z,2025-02-08T06:37:43Z,1,1,MERGED
16th-team1-FE,chore #5 : CI 세팅,https://github.com/depromeet/16th-team1-FE/pull/9,2025-02-08T06:32:24Z,2025-02-08T06:32:52Z,1,1,MERGED
16th-team1-FE,chore #5 : CI 세팅,https://github.com/depromeet/16th-team1-FE/pull/8,2025-02-08T06:21:17Z,2025-02-08T06:23:17Z,1,1,MERGED
