repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
amazing3-fe,bug: 생년월일 입력시 닉네임이 undefined로 보이는 현상,https://github.com/depromeet/amazing3-fe/pull/87,2023-12-31T14:14:53Z,2024-01-03T06:09:45Z,1,2,MERGED
amazing3-fe,bug: 모바일 환경 safari에서 생년월일 입력폼 깨짐 수정,https://github.com/depromeet/amazing3-fe/pull/86,2023-12-31T06:15:12Z,2024-01-04T06:11:02Z,11,11,MERGED
amazing3-fe,feat: 현재 페이지 이미지 다운로드 -> 전체 페이지 이미지 다운로드로 변경,https://github.com/depromeet/amazing3-fe/pull/85,2023-12-30T16:32:53Z,2024-01-12T12:48:18Z,2,1,MERGED
amazing3-fe,feat: 공유 bottom sheet 구현,https://github.com/depromeet/amazing3-fe/pull/84,2023-12-30T14:02:52Z,2024-01-03T13:12:49Z,5,12,MERGED
amazing3-fe,bug: 사용자 상태에 따른 onboarding 시작하기 기능 분리 및 metadata 수정,https://github.com/depromeet/amazing3-fe/pull/83,2023-12-29T18:45:59Z,2024-01-02T15:24:31Z,6,4,MERGED
amazing3-fe,"bug: tag, sticker 돌아오면 선택 안되어 있는 문제 해결",https://github.com/depromeet/amazing3-fe/pull/82,2023-12-29T17:22:07Z,2024-01-02T12:25:37Z,2,1,MERGED
amazing3-fe,bug: icon 파일 충돌 문제로 500 에러 발생하는 이슈 해결 ,https://github.com/depromeet/amazing3-fe/pull/81,2023-12-29T16:25:57Z,2023-12-30T04:00:53Z,3,3,MERGED
amazing3-fe,chore: sentry 추가,https://github.com/depromeet/amazing3-fe/pull/80,2023-12-29T13:33:23Z,2023-12-30T08:23:01Z,1,3,MERGED
amazing3-fe,"bug: SEO를 위한 sitemap.xml, robots.txt 추가",https://github.com/depromeet/amazing3-fe/pull/79,2023-12-28T16:24:09Z,2023-12-29T03:18:29Z,1,2,MERGED
amazing3-fe,refactor: font optimization 적용,https://github.com/depromeet/amazing3-fe/pull/78,2023-12-28T16:11:12Z,2023-12-29T15:47:56Z,1,1,MERGED
amazing3-fe,bug: invalidQueries 적용 이슈 해결,https://github.com/depromeet/amazing3-fe/pull/77,2023-12-28T15:07:03Z,2024-01-04T08:28:58Z,5,1,MERGED
amazing3-fe,fix: 다운로드 이미지 상단에 여백 추가,https://github.com/depromeet/amazing3-fe/pull/76,2023-12-28T13:37:51Z,2023-12-29T11:55:28Z,1,1,MERGED
amazing3-fe,bug: favicon 사이즈 축소 (→48x48),https://github.com/depromeet/amazing3-fe/pull/75,2023-12-28T13:19:50Z,2023-12-28T14:00:24Z,2,1,MERGED
amazing3-fe,"fix: 카카오톡 인앱 브라우저로 접근 시, 외부 브라우저로 이동하도록 수정",https://github.com/depromeet/amazing3-fe/pull/74,2023-12-28T13:02:22Z,2023-12-28T13:41:16Z,1,3,MERGED
amazing3-fe,fix: ios에서 이미지 다운로드가 제대로 되지 않는 버그 해결,https://github.com/depromeet/amazing3-fe/pull/73,2023-12-28T06:29:43Z,2023-12-28T13:05:31Z,1,6,MERGED
amazing3-fe,bug: og tag에서 불필요한 부분 제거 및 ogImage 명시,https://github.com/depromeet/amazing3-fe/pull/72,2023-12-27T07:42:11Z,2023-12-28T12:42:20Z,4,13,MERGED
amazing3-fe,bug: 버튼 클릭 시 응답받기 전까지 스피너 출력,https://github.com/depromeet/amazing3-fe/pull/71,2023-12-23T03:48:04Z,2023-12-23T03:50:04Z,1,1,MERGED
amazing3-fe,bug: 배경색 auto,https://github.com/depromeet/amazing3-fe/pull/70,2023-12-22T16:48:14Z,2023-12-22T16:49:18Z,1,1,MERGED
amazing3-fe,bug: 홈화면 레이아웃 조정,https://github.com/depromeet/amazing3-fe/pull/69,2023-12-22T16:45:41Z,2023-12-22T17:01:48Z,1,4,MERGED
amazing3-fe,bug: dvh 적용,https://github.com/depromeet/amazing3-fe/pull/68,2023-12-22T16:17:25Z,2023-12-22T16:33:32Z,1,3,MERGED
amazing3-fe,bug: 홈화면 edge 이슈 해결,https://github.com/depromeet/amazing3-fe/pull/67,2023-12-22T15:48:04Z,2023-12-22T15:55:31Z,1,3,MERGED
amazing3-fe,bug: invalidQueries 동작 관련 이슈 해결,https://github.com/depromeet/amazing3-fe/pull/66,2023-12-22T14:40:56Z,2023-12-22T14:47:26Z,1,5,MERGED
amazing3-fe,bug: 홈화면에서 닉네임 없을 경우 레이아웃에 br 추가 (임시),https://github.com/depromeet/amazing3-fe/pull/65,2023-12-22T14:13:51Z,2023-12-22T14:14:19Z,1,1,MERGED
amazing3-fe,bug: 홈화면 MapCard 제대로 렌더링되지 못한 이슈 해결,https://github.com/depromeet/amazing3-fe/pull/64,2023-12-22T14:01:17Z,2023-12-22T14:01:59Z,1,1,MERGED
amazing3-fe,bug: 페이지 리프레시를 위한 코드 수정,https://github.com/depromeet/amazing3-fe/pull/63,2023-12-22T13:54:30Z,2023-12-22T14:00:16Z,1,1,MERGED
amazing3-fe,bug: og tag 버그 수정,https://github.com/depromeet/amazing3-fe/pull/62,2023-12-22T13:21:25Z,2023-12-22T13:21:47Z,1,1,MERGED
amazing3-fe,feat: speed insights 적용,https://github.com/depromeet/amazing3-fe/pull/61,2023-12-22T13:10:59Z,2023-12-22T13:11:39Z,1,2,MERGED
amazing3-fe,feat: metadata 및 favicon 추가,https://github.com/depromeet/amazing3-fe/pull/60,2023-12-22T12:45:06Z,2023-12-22T12:47:01Z,1,1,MERGED
amazing3-fe,bug: goal 생성 시 goals 업데이트,https://github.com/depromeet/amazing3-fe/pull/59,2023-12-22T11:28:27Z,2023-12-22T12:57:25Z,1,6,MERGED
amazing3-fe,Bug: new member로 등록 시 발생하는 버그 수정,https://github.com/depromeet/amazing3-fe/pull/58,2023-12-22T11:05:45Z,2023-12-22T11:08:53Z,1,2,MERGED
