repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
sulsul-FE,feat: 맥주 요청 완료 페이지 추가,https://github.com/depromeet/sulsul-FE/pull/81,2022-05-31T07:30:26Z,2022-06-01T05:33:49Z,2,2,MERGED
sulsul-FE,refactor: Icon 컴포넌트 리팩토링,https://github.com/depromeet/sulsul-FE/pull/80,2022-05-31T00:50:34Z,2022-05-31T01:02:24Z,3,5,MERGED
sulsul-FE,feat: :sparkles: 공유하기 기능 추가,https://github.com/depromeet/sulsul-FE/pull/79,2022-05-30T16:53:26Z,2022-06-01T17:07:02Z,4,3,MERGED
sulsul-FE,feat: 맥주 요청 수하물 티켓 레이아웃 추가,https://github.com/depromeet/sulsul-FE/pull/78,2022-05-30T16:11:38Z,2022-05-31T01:12:20Z,2,4,MERGED
sulsul-FE,feat: MultiImageUploadField 추가 (맥주 요청 페이지 컴포넌트),https://github.com/depromeet/sulsul-FE/pull/77,2022-05-30T15:21:43Z,2022-06-15T17:06:31Z,6,7,MERGED
sulsul-FE,feat: 로그인 페이지 UI 구현,https://github.com/depromeet/sulsul-FE/pull/76,2022-05-29T03:56:05Z,2022-05-29T10:49:32Z,1,8,MERGED
sulsul-FE,feat: :sparkles: 닉네임 수정쪽 모달 구현,https://github.com/depromeet/sulsul-FE/pull/75,2022-05-28T17:03:53Z,2022-05-30T05:16:18Z,0,4,MERGED
sulsul-FE,feature: BeerTicket 컴포넌트에 stamp type 추가,https://github.com/depromeet/sulsul-FE/pull/74,2022-05-28T16:58:09Z,2022-05-30T13:45:31Z,4,3,MERGED
sulsul-FE,"awesome: ⚡️브라우저 열었을때, 서버켰을때 이쁜 글씨 출력하기^^",https://github.com/depromeet/sulsul-FE/pull/73,2022-05-28T16:03:28Z,2022-05-28T17:02:48Z,1,1,MERGED
sulsul-FE,feat: 맥주 목록 조회 페이지 추가,https://github.com/depromeet/sulsul-FE/pull/69,2022-05-28T10:29:07Z,2022-05-30T06:34:35Z,9,38,MERGED
sulsul-FE,feature: BeerTicket 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/68,2022-05-27T19:59:20Z,2022-05-28T09:13:37Z,3,6,MERGED
sulsul-FE,feat: Profile 페이지 구현,https://github.com/depromeet/sulsul-FE/pull/67,2022-05-26T11:52:33Z,2022-05-28T11:52:29Z,8,14,MERGED
sulsul-FE,feat: CreateRecordPage api 연동 제외한 모든 기능 구현,https://github.com/depromeet/sulsul-FE/pull/66,2022-05-23T15:55:22Z,2022-05-27T15:19:45Z,5,9,MERGED
sulsul-FE,feature: CreateRecordPage 내부 stepContainer 페이지 연결,https://github.com/depromeet/sulsul-FE/pull/59,2022-05-21T13:35:40Z,2022-05-23T12:33:38Z,3,10,MERGED
sulsul-FE,feat: ✨ Record 기록 세번째 페이지 section 구현,https://github.com/depromeet/sulsul-FE/pull/58,2022-05-19T16:03:03Z,2022-05-20T12:49:04Z,1,5,MERGED
sulsul-FE,fix:🐛 MultiSelector value 선택 시 잘못 선택되는 버그 수정,https://github.com/depromeet/sulsul-FE/pull/57,2022-05-19T14:51:45Z,2022-05-19T15:06:02Z,0,2,MERGED
sulsul-FE,feat: ✨ Record 기록 두번째 페이지 section 구현,https://github.com/depromeet/sulsul-FE/pull/56,2022-05-19T14:39:31Z,2022-05-19T14:53:00Z,0,1,MERGED
sulsul-FE,feat: ✨ Record 기록 첫 페이지 section 구현,https://github.com/depromeet/sulsul-FE/pull/55,2022-05-19T14:17:10Z,2022-05-19T14:52:40Z,0,1,MERGED
sulsul-FE,refactor:♻️ emoji transition viewer 애니메이션 수정,https://github.com/depromeet/sulsul-FE/pull/54,2022-05-19T14:00:01Z,2022-05-19T14:52:26Z,1,1,MERGED
sulsul-FE,feat: ✨ ListButtonBox 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/53,2022-05-18T19:34:50Z,2022-05-19T16:43:45Z,1,3,MERGED
sulsul-FE,feat: :sparkles: Modal 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/52,2022-05-18T18:59:01Z,2022-05-19T16:44:43Z,4,3,MERGED
sulsul-FE,feat: 맥주 목록 페이지 헤더 추가,https://github.com/depromeet/sulsul-FE/pull/50,2022-05-18T02:12:24Z,2022-05-18T05:49:14Z,0,3,MERGED
sulsul-FE,feat: ✨ EmojiRadioField 구현,https://github.com/depromeet/sulsul-FE/pull/49,2022-05-17T15:16:52Z,2022-05-18T14:14:03Z,5,9,MERGED
sulsul-FE,feat: :sparkles: BottomFloatingButtonArea 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/48,2022-05-16T19:08:34Z,2022-05-18T13:11:50Z,6,5,MERGED
sulsul-FE,feat: 시작하기 화면 추가,https://github.com/depromeet/sulsul-FE/pull/47,2022-05-16T18:38:00Z,2022-05-17T17:17:20Z,8,11,MERGED
sulsul-FE,feature: 💄 BeerDetail 페이지 마크업,https://github.com/depromeet/sulsul-FE/pull/45,2022-05-15T17:55:17Z,2022-05-18T13:43:21Z,8,27,MERGED
sulsul-FE,"fix: ♻️ Icon 컴포넌트 활용하는 것으로 수정, Bookmark 아이콘 Heart로 변경",https://github.com/depromeet/sulsul-FE/pull/44,2022-05-15T10:40:19Z,2022-05-16T19:10:22Z,2,3,MERGED
sulsul-FE,fix: 💄 디자인시스템 폰트 최종 반영,https://github.com/depromeet/sulsul-FE/pull/43,2022-05-14T14:21:58Z,2022-05-15T09:01:22Z,2,8,MERGED
sulsul-FE,feat: ✨MultiSelect error message 제거,https://github.com/depromeet/sulsul-FE/pull/42,2022-05-14T14:06:56Z,2022-05-15T08:58:00Z,1,1,MERGED
sulsul-FE,feat: ✨ SwiperLayout 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/41,2022-05-14T13:12:29Z,2022-05-15T08:57:15Z,3,3,MERGED
sulsul-FE,feat: :sparkles: BottomNavigation 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/40,2022-05-14T12:15:48Z,2022-05-14T16:13:22Z,4,6,MERGED
sulsul-FE,feat: 맥주 리스트 필터 마크업,https://github.com/depromeet/sulsul-FE/pull/39,2022-05-14T10:37:34Z,2022-05-14T17:34:39Z,4,15,MERGED
sulsul-FE,feat: 맥주 필터 바텀시트 추가,https://github.com/depromeet/sulsul-FE/pull/38,2022-05-14T07:49:24Z,2022-05-14T09:52:55Z,2,8,MERGED
sulsul-FE,refactor: ♻️ common button 변경된 디자인 적용,https://github.com/depromeet/sulsul-FE/pull/37,2022-05-14T07:10:23Z,2022-05-14T07:45:00Z,5,6,MERGED
sulsul-FE,refactor: ♻️ switch 폴더 위치 변경,https://github.com/depromeet/sulsul-FE/pull/36,2022-05-14T07:03:56Z,2022-05-14T07:12:53Z,0,1,MERGED
sulsul-FE,feat: 헤더 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/35,2022-05-13T19:58:28Z,2022-05-14T09:39:00Z,11,7,MERGED
sulsul-FE,feat: 🍻 BeerTicketTitle 영역 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/34,2022-05-13T17:08:44Z,2022-05-14T06:05:14Z,3,7,MERGED
sulsul-FE,feature: ImageUploadField 구현,https://github.com/depromeet/sulsul-FE/pull/33,2022-05-10T13:16:15Z,2022-05-13T15:30:46Z,5,3,MERGED
sulsul-FE,feat: ✨TextAreaField 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/32,2022-05-08T03:54:29Z,2022-05-08T08:03:44Z,1,1,MERGED
sulsul-FE,feature: MultiSelect 및 field 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/31,2022-05-07T16:22:48Z,2022-05-08T08:43:05Z,10,11,MERGED
sulsul-FE,feature: Tab 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/30,2022-05-07T09:41:00Z,2022-05-08T12:23:17Z,1,10,MERGED
sulsul-FE,"feat: ✨ BeerList 컴포넌트 추가, BeerImageMasking 컴포넌트 추가",https://github.com/depromeet/sulsul-FE/pull/25,2022-05-06T13:42:34Z,2022-05-08T16:48:53Z,1,7,MERGED
sulsul-FE,feat: :sparkles: Icon 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/24,2022-05-05T15:22:23Z,2022-05-09T16:53:14Z,6,11,MERGED
sulsul-FE,feat: ✨ Review 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/23,2022-05-04T17:38:12Z,2022-05-05T08:18:23Z,1,17,MERGED
sulsul-FE,feat: ✨ Switch 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/22,2022-05-04T16:55:49Z,2022-05-06T20:53:11Z,4,3,MERGED
sulsul-FE,feature: filter footer 추가,https://github.com/depromeet/sulsul-FE/pull/21,2022-05-04T14:35:48Z,2022-05-04T15:04:09Z,3,3,MERGED
sulsul-FE,"feature: Badge 컴포넌트, TasteBox 컴포넌트 추가",https://github.com/depromeet/sulsul-FE/pull/20,2022-05-04T14:24:50Z,2022-05-05T08:10:57Z,5,11,MERGED
sulsul-FE,feat: ✨Default form 구조 정의,https://github.com/depromeet/sulsul-FE/pull/19,2022-05-04T13:17:13Z,2022-05-05T08:15:20Z,3,3,MERGED
sulsul-FE,feat: :sparkles: BeerCountryFilterItem 추가,https://github.com/depromeet/sulsul-FE/pull/18,2022-05-03T17:07:37Z,2022-05-04T15:04:51Z,2,1,MERGED
sulsul-FE,feature: airport 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/17,2022-05-03T15:31:33Z,2022-05-03T17:41:32Z,0,28,MERGED
sulsul-FE,feature: beer detail 컴포넌트 추가,https://github.com/depromeet/sulsul-FE/pull/16,2022-05-03T15:29:18Z,2022-05-03T17:38:14Z,3,30,MERGED
sulsul-FE,feat: :sparkles: BeerStyleFilterItem 추가,https://github.com/depromeet/sulsul-FE/pull/15,2022-05-02T16:39:27Z,2022-05-03T16:56:14Z,2,5,MERGED
sulsul-FE,💡 버튼 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/14,2022-04-30T11:44:01Z,2022-05-01T05:47:58Z,4,10,MERGED
sulsul-FE,feat: :sparkles: 폰트 시스템 추가,https://github.com/depromeet/sulsul-FE/pull/12,2022-04-30T05:53:49Z,2022-05-01T05:40:48Z,3,6,MERGED
sulsul-FE,feature: bottom sheet 추가,https://github.com/depromeet/sulsul-FE/pull/11,2022-04-26T15:14:33Z,2022-05-01T13:44:18Z,9,13,MERGED
sulsul-FE,refactor: ♻️ ColorList에 object entries 적용,https://github.com/depromeet/sulsul-FE/pull/10,2022-04-25T13:58:59Z,2022-04-26T12:22:10Z,2,1,MERGED
sulsul-FE,"feature: SearchItem, SearchList 컴포넌트 구현",https://github.com/depromeet/sulsul-FE/pull/9,2022-04-25T13:34:55Z,2022-04-30T03:29:29Z,5,9,MERGED
sulsul-FE,feature: 디자인 시스템 색상 추가,https://github.com/depromeet/sulsul-FE/pull/8,2022-04-24T14:58:11Z,2022-04-26T14:14:51Z,2,4,MERGED
sulsul-FE,"feature: BeerListItem, BeerGridItem 추가",https://github.com/depromeet/sulsul-FE/pull/4,2022-04-24T09:31:00Z,2022-05-03T17:05:55Z,13,26,MERGED
sulsul-FE,chore: PR 템플릿 생성,https://github.com/depromeet/sulsul-FE/pull/3,2022-04-03T08:54:56Z,2022-04-05T06:59:07Z,4,3,MERGED
sulsul-FE,Feature: github action CI 추가,https://github.com/depromeet/sulsul-FE/pull/2,2022-04-02T09:08:53Z,2022-04-05T06:29:48Z,4,4,MERGED
sulsul-FE,feat: :lipstick: 기록 완료 페이지 react-rewards 적용,https://github.com/depromeet/sulsul-FE/pull/228,2022-07-01T12:25:06Z,2022-07-01T12:28:38Z,0,1,MERGED
sulsul-FE,"fix: 🐛 맥주 목록 버벅이는 문제, 맥주 목록 뒤로가기 버튼 제거",https://github.com/depromeet/sulsul-FE/pull/227,2022-07-01T06:28:15Z,2022-07-01T11:59:35Z,2,3,MERGED
sulsul-FE,"fix: :bug: 맥주 좋아요 시 맥주 목록, 맥주 좋아요 목록 캐시 업데이트 안되는 버그 수정",https://github.com/depromeet/sulsul-FE/pull/226,2022-07-01T06:02:55Z,2022-07-01T15:50:06Z,0,4,MERGED
sulsul-FE,fix: 💄 빈 이모지 제거,https://github.com/depromeet/sulsul-FE/pull/224,2022-07-01T03:04:08Z,2022-07-01T04:20:27Z,0,2,MERGED
sulsul-FE,feat: :beers: 팀원 소개 페이지 꾸미기,https://github.com/depromeet/sulsul-FE/pull/222,2022-06-30T18:02:27Z,2022-07-02T00:08:15Z,0,2,MERGED
sulsul-FE,"fix: :beers: 공개여부 true default로 변경, 다음 -> 완료 수정",https://github.com/depromeet/sulsul-FE/pull/218,2022-06-30T16:53:04Z,2022-07-01T04:20:36Z,0,1,MERGED
sulsul-FE,docs: :beers: awsome android 다운로드 버튼 추가^^,https://github.com/depromeet/sulsul-FE/pull/217,2022-06-30T16:50:17Z,2022-07-01T04:20:44Z,0,1,MERGED
sulsul-FE,fix: :bug: responseToken 오타 수정,https://github.com/depromeet/sulsul-FE/pull/216,2022-06-30T16:22:29Z,2022-06-30T16:25:43Z,0,1,MERGED
sulsul-FE,fix: :bug: HomeSearchBar align-items: center css 추가,https://github.com/depromeet/sulsul-FE/pull/210,2022-06-28T18:51:22Z,2022-06-28T19:12:30Z,0,1,MERGED
sulsul-FE,fix: 🐛 refresh api memory leak 수정 및 client side 적용,https://github.com/depromeet/sulsul-FE/pull/209,2022-06-28T16:23:40Z,2022-06-30T10:42:20Z,4,3,MERGED
sulsul-FE,docs: :memo: README.md 초안 작성,https://github.com/depromeet/sulsul-FE/pull/204,2022-06-27T17:15:46Z,2022-06-28T04:04:18Z,0,1,MERGED
sulsul-FE,fix: 🐛 createRecord 페이지 하단 버튼 반응형 대응,https://github.com/depromeet/sulsul-FE/pull/203,2022-06-27T15:14:49Z,2022-06-27T16:32:18Z,1,1,MERGED
sulsul-FE,"fix: 맥주 상세정보 페이지에 맥주 설명 가운데 정렬, 맥주 상세정보 페이지 og 이미지 추가,본인의 리뷰에만 Me뱃지 표시,share 로직 수정",https://github.com/depromeet/sulsul-FE/pull/199,2022-06-27T06:17:28Z,2022-06-27T16:34:22Z,0,6,MERGED
sulsul-FE,style: :lipstick: search page에 placeholder 추가,https://github.com/depromeet/sulsul-FE/pull/198,2022-06-26T15:12:54Z,2022-06-27T16:20:47Z,0,1,MERGED
sulsul-FE,feat: 게스트용 홈 UI 추가,https://github.com/depromeet/sulsul-FE/pull/196,2022-06-26T05:59:02Z,2022-06-26T13:28:52Z,0,4,MERGED
sulsul-FE,fix: :bug: maxLength 체크 시 상태값을 사용하지 않고 event 값 사용,https://github.com/depromeet/sulsul-FE/pull/194,2022-06-26T05:37:59Z,2022-06-26T05:43:07Z,0,1,MERGED
sulsul-FE,fix: :bug: 링크 공유 로직 변경,https://github.com/depromeet/sulsul-FE/pull/192,2022-06-25T18:26:18Z,2022-06-25T19:13:06Z,0,1,MERGED
sulsul-FE,fix: :bug: 사용하지 않는 BeerImageMask 컴포넌트 삭제,https://github.com/depromeet/sulsul-FE/pull/190,2022-06-25T17:46:03Z,2022-06-25T17:55:59Z,0,1,MERGED
sulsul-FE,feat: refresh token 으로 access token 갱신,https://github.com/depromeet/sulsul-FE/pull/189,2022-06-25T17:45:52Z,2022-06-27T16:20:34Z,2,7,MERGED
sulsul-FE,fix: ui 버그 일괄 수정,https://github.com/depromeet/sulsul-FE/pull/188,2022-06-25T17:34:48Z,2022-06-25T18:16:27Z,0,1,MERGED
sulsul-FE,fix: 자잘한 ui 버그 수정,https://github.com/depromeet/sulsul-FE/pull/185,2022-06-25T06:37:44Z,2022-06-25T06:55:13Z,0,3,MERGED
sulsul-FE,feat: :sparkles: ticket footer 고정,https://github.com/depromeet/sulsul-FE/pull/182,2022-06-25T03:12:56Z,2022-06-25T03:14:01Z,0,1,MERGED
sulsul-FE,fix: :bug: outilne에 border-radius 적용안되는 문제 수정 (outline -> box-shadow),https://github.com/depromeet/sulsul-FE/pull/180,2022-06-24T20:30:15Z,2022-06-25T03:01:20Z,1,1,MERGED
sulsul-FE,fix: :bug: BottomFloatingButtonArea로 인한 컨텐츠 가림 문제 수정,https://github.com/depromeet/sulsul-FE/pull/179,2022-06-24T20:09:38Z,2022-06-25T03:00:43Z,0,1,MERGED
sulsul-FE,fix: :bug: 맥주 상세페이지 댓글 무한스크롤 getNextPagePararm 수정,https://github.com/depromeet/sulsul-FE/pull/178,2022-06-24T19:54:28Z,2022-06-25T03:00:28Z,0,1,MERGED
sulsul-FE,fix: :bug: 티켓 등록할 때 긴 텍스트 UI로 수정,https://github.com/depromeet/sulsul-FE/pull/177,2022-06-24T19:45:13Z,2022-06-25T03:00:13Z,0,1,MERGED
sulsul-FE,fix: :bug: 저장하기 버튼 두번째 이상 눌렀을 때 저장 모달이 발생하지 않는 이슈 수정,https://github.com/depromeet/sulsul-FE/pull/175,2022-06-24T18:58:20Z,2022-06-25T03:00:02Z,0,1,MERGED
sulsul-FE,"feat: 무한스크롤 모듈화, 버그 수정, 요청현황 & 찜 무한스크롤 구현",https://github.com/depromeet/sulsul-FE/pull/172,2022-06-24T18:14:21Z,2022-06-24T18:31:06Z,2,10,MERGED
sulsul-FE,feat: :sparkles: ErrorBoundary 컴포넌트 구현,https://github.com/depromeet/sulsul-FE/pull/157,2022-06-22T15:19:28Z,2022-06-23T13:12:26Z,3,2,MERGED
sulsul-FE,feat: :sparkles: userSession 연동,https://github.com/depromeet/sulsul-FE/pull/156,2022-06-22T14:35:38Z,2022-06-23T13:21:53Z,0,4,MERGED
sulsul-FE,feat: ✨records 비어있을 때 empty 표시 적용,https://github.com/depromeet/sulsul-FE/pull/155,2022-06-22T14:11:12Z,2022-06-22T15:19:17Z,2,2,MERGED
sulsul-FE,feat: ✨최근 검색어 클릭 시 검색기능 적용,https://github.com/depromeet/sulsul-FE/pull/154,2022-06-22T12:24:31Z,2022-06-22T12:36:18Z,0,1,MERGED
sulsul-FE,feat: :sparkles: 맥주별 리뷰에서 현재 시간과의 차이 계산하여 날짜 포맷팅,https://github.com/depromeet/sulsul-FE/pull/153,2022-06-22T11:49:12Z,2022-06-22T12:30:02Z,0,2,MERGED
sulsul-FE,feat: :sparkles: 업로드한 이미지 흑백처리,https://github.com/depromeet/sulsul-FE/pull/152,2022-06-22T11:31:01Z,2022-06-22T12:27:50Z,0,1,MERGED
sulsul-FE,feat: ✨ 맥주 찜 api 연동,https://github.com/depromeet/sulsul-FE/pull/145,2022-06-22T10:02:35Z,2022-06-23T13:13:21Z,11,14,MERGED
sulsul-FE,feat: ✨record 수정 기능 구현,https://github.com/depromeet/sulsul-FE/pull/144,2022-06-21T14:34:16Z,2022-06-22T12:08:24Z,2,7,MERGED
sulsul-FE,feat: 맥주 요청 목록 api 연동,https://github.com/depromeet/sulsul-FE/pull/137,2022-06-21T01:12:41Z,2022-06-21T13:02:18Z,0,5,MERGED
sulsul-FE,feat: ✨flavor api 연동,https://github.com/depromeet/sulsul-FE/pull/135,2022-06-20T14:43:46Z,2022-06-20T15:01:58Z,0,3,MERGED
sulsul-FE,"feat: :lipstick: record ticket 이모지 추가, 첫번째 기록 비행기 추가",https://github.com/depromeet/sulsul-FE/pull/134,2022-06-20T14:03:18Z,2022-06-20T15:01:39Z,0,4,MERGED
sulsul-FE,feat: ✨유저 로그인 판별 기능 구현,https://github.com/depromeet/sulsul-FE/pull/133,2022-06-20T08:57:28Z,2022-06-20T13:37:33Z,6,6,MERGED
sulsul-FE,feat: ✨ 맥주기록 삭제 api 연동 및 빈 티켓 UI 구현,https://github.com/depromeet/sulsul-FE/pull/132,2022-06-19T18:04:57Z,2022-06-20T16:09:32Z,6,16,MERGED
sulsul-FE,feat: :sparkles: 기록하기 버튼에 링크 걸기,https://github.com/depromeet/sulsul-FE/pull/131,2022-06-19T15:15:16Z,2022-06-19T18:24:20Z,2,7,MERGED
sulsul-FE,fix: 💄 axios cookie 버그로 인한 default config 방식 수정,https://github.com/depromeet/sulsul-FE/pull/130,2022-06-19T14:44:02Z,2022-06-19T14:54:03Z,0,1,MERGED
sulsul-FE,fix: :lipstick: axios cookie 버그로 인한 nextjs 버전 업데이트,https://github.com/depromeet/sulsul-FE/pull/129,2022-06-19T12:25:59Z,2022-06-19T12:54:21Z,0,2,MERGED
sulsul-FE,feat: :alien: 닉네임 업데이트 api 수정 대응,https://github.com/depromeet/sulsul-FE/pull/128,2022-06-19T09:07:22Z,2022-06-20T15:39:50Z,2,7,MERGED
sulsul-FE,"feat: :sparkles: Profile 페이지 count api 연동, 전체 level 조회 api 연동, 유저 level api 연동",https://github.com/depromeet/sulsul-FE/pull/127,2022-06-18T08:56:15Z,2022-06-18T13:58:06Z,5,13,MERGED
sulsul-FE,feat: 미등록 맥주 요청 페이지 추가,https://github.com/depromeet/sulsul-FE/pull/118,2022-06-18T04:34:31Z,2022-06-18T07:59:03Z,1,5,MERGED
sulsul-FE,"feat: 로그인, 로그아웃, 회원탈퇴 api 연동",https://github.com/depromeet/sulsul-FE/pull/117,2022-06-17T19:14:45Z,2022-06-18T07:58:38Z,1,11,MERGED
sulsul-FE,"feat: :sparkles: 이용약관, 개인정보 처리방침 내용 추가",https://github.com/depromeet/sulsul-FE/pull/116,2022-06-17T18:32:08Z,2022-06-18T11:42:09Z,3,9,MERGED
sulsul-FE,chore: 🚧sentry 설정 추가,https://github.com/depromeet/sulsul-FE/pull/115,2022-06-17T02:02:47Z,2022-06-17T03:16:53Z,1,2,MERGED
sulsul-FE,feat: ✨ 맥주리스트 Infinite Scroll 구현 및 구조 리팩토링,https://github.com/depromeet/sulsul-FE/pull/114,2022-06-16T17:14:44Z,2022-06-16T17:26:20Z,5,9,MERGED
sulsul-FE,feat: 🍻 Search 페이지 구현,https://github.com/depromeet/sulsul-FE/pull/113,2022-06-16T16:42:56Z,2022-06-16T17:13:38Z,0,4,MERGED
sulsul-FE,feat: 맥주 상세페이지 리뷰 Infinite scroll 구현 및 구조 리팩토링,https://github.com/depromeet/sulsul-FE/pull/112,2022-06-16T07:00:57Z,2022-06-18T05:07:22Z,5,10,MERGED
sulsul-FE,"feat: :sparkles: og title, description, image 설정, 맥주 상세정보 페이지 share 시 나오는 description 수정",https://github.com/depromeet/sulsul-FE/pull/111,2022-06-15T17:29:45Z,2022-06-16T13:28:02Z,0,1,MERGED
sulsul-FE,"chore: :beers: 문의하기 메일 변경, 프로필 페이지 구조 변경",https://github.com/depromeet/sulsul-FE/pull/110,2022-06-15T15:17:15Z,2022-06-15T17:30:44Z,0,1,MERGED
sulsul-FE,feat: ✨Home 페이지 마크업,https://github.com/depromeet/sulsul-FE/pull/109,2022-06-15T13:55:04Z,2022-06-16T17:13:52Z,0,12,MERGED
