repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
site,Greenkeeper/netlify cli 2.11.31,https://github.com/dsmjs/site/pull/418,2019-07-25T05:12:16Z,2019-07-25T05:15:59Z,0,2,MERGED
site,Greenkeeper/netlify cli 2.11.29,https://github.com/dsmjs/site/pull/411,2019-07-20T04:46:13Z,2019-07-20T04:48:23Z,0,2,MERGED
site,Greenkeeper/netlify cli 2.11.27,https://github.com/dsmjs/site/pull/404,2019-07-19T03:47:40Z,2019-07-19T03:51:09Z,0,3,MERGED
site,docs(data-structures): add readme and image to content folder,https://github.com/dsmjs/site/pull/485,2019-10-30T01:03:17Z,2019-10-30T02:14:23Z,1,1,MERGED
site,Greenkeeper/@dsmjs/components 3.4.1,https://github.com/dsmjs/site/pull/479,2019-10-28T02:58:45Z,2019-10-28T03:02:02Z,0,2,MERGED
site,docs(contributing): mentioned org-level guide,https://github.com/dsmjs/site/pull/477,2019-10-26T04:03:16Z,2019-10-28T14:34:40Z,0,1,MERGED
site,Greenkeeper/netlify cli 2.19.2,https://github.com/dsmjs/site/pull/461,2019-10-23T03:40:02Z,2019-10-23T03:44:06Z,0,2,MERGED
site,WIP - Get dates to format in graphql,https://github.com/dsmjs/site/pull/458,2019-10-23T01:56:05Z,2019-10-23T02:40:43Z,2,1,CLOSED
site,feat(update-dependency): use `@dsmjs/components` beta version,https://github.com/dsmjs/site/pull/454,2019-10-16T03:05:23Z,2019-10-16T03:17:33Z,1,1,MERGED
site,feat: added xilution as a sponsor,https://github.com/dsmjs/site/pull/452,2019-10-15T00:45:09Z,2019-10-15T00:48:51Z,1,1,MERGED
site,Percy,https://github.com/dsmjs/site/pull/435,2019-09-15T03:21:13Z,2019-09-15T03:24:33Z,0,2,MERGED
site,docs(contributor): add Michael Leners as contributor,https://github.com/dsmjs/site/pull/492,2019-11-02T20:49:29Z,2019-11-04T03:09:58Z,0,1,MERGED
site,Fix date in meeting,https://github.com/dsmjs/site/pull/490,2019-11-01T22:43:28Z,2019-11-04T03:06:13Z,0,3,MERGED
site,Greenkeeper/netlify cli 2.27.0,https://github.com/dsmjs/site/pull/505,2020-01-08T16:13:38Z,2020-01-08T16:22:25Z,0,2,MERGED
site,Greenkeeper/@dsmjs/remark preset lint 1.0.6,https://github.com/dsmjs/site/pull/551,2020-04-05T18:16:12Z,2020-04-05T18:19:24Z,0,2,MERGED
site,ci(hacktoberfest-topic): Adds hacktoberfest topic to settings.yml file,https://github.com/dsmjs/site/pull/975,2020-10-20T12:45:28Z,2020-10-20T13:33:35Z,0,1,MERGED
site,ci: switched from travis to actions,https://github.com/dsmjs/site/pull/1092,2020-12-15T02:59:31Z,2020-12-15T03:21:07Z,0,4,MERGED
