repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
EisBuk,Use local emulators in development,https://github.com/eisbuk/EisBuk/pull/10,2020-10-23T15:17:55Z,2020-10-23T17:57:53Z,0,14,MERGED
EisBuk,Add firestore index category/date for slots,https://github.com/eisbuk/EisBuk/pull/7,2020-09-16T21:39:00Z,2020-10-07T13:02:28Z,0,1,MERGED
EisBuk,Feature/app status notifications,https://github.com/eisbuk/EisBuk/pull/6,2020-09-14T22:44:45Z,2020-09-16T21:12:45Z,0,13,MERGED
EisBuk,Feature/ui for customers,https://github.com/eisbuk/EisBuk/pull/5,2020-09-14T01:02:11Z,2020-09-16T21:11:15Z,4,13,MERGED
EisBuk,Beppe/redux,https://github.com/eisbuk/EisBuk/pull/4,2020-08-29T15:55:04Z,2020-08-31T07:55:05Z,1,7,MERGED
EisBuk,Prepare development with local emulators,https://github.com/eisbuk/EisBuk/pull/3,2020-08-18T10:52:01Z,2020-08-19T11:56:34Z,0,28,MERGED
EisBuk,Deploy script,https://github.com/eisbuk/EisBuk/pull/2,2020-08-06T08:20:42Z,2020-08-08T18:48:43Z,0,3,MERGED
EisBuk,Feature/bookings UI,https://github.com/eisbuk/EisBuk/pull/12,2020-12-20T10:29:19Z,2021-01-14T21:39:45Z,7,50,MERGED
EisBuk,Feature/UI consolidation,https://github.com/eisbuk/EisBuk/pull/11,2020-12-16T21:04:25Z,2020-12-16T21:05:18Z,0,4,MERGED
EisBuk,Version upgrade,https://github.com/eisbuk/EisBuk/pull/97,2021-03-29T15:18:52Z,2021-03-29T15:41:06Z,0,3,MERGED
EisBuk,Add 'Adulti' category,https://github.com/eisbuk/EisBuk/pull/96,2021-03-29T15:11:25Z,2021-03-29T15:20:41Z,0,1,MERGED
EisBuk,Make the CAPTCHA on phone login invisible and fix slot delete,https://github.com/eisbuk/EisBuk/pull/95,2021-03-08T17:12:27Z,2021-03-08T17:21:02Z,0,2,MERGED
EisBuk,Delete week worth of slots and other fixes,https://github.com/eisbuk/EisBuk/pull/83,2021-03-05T17:37:05Z,2021-03-05T17:43:17Z,0,4,MERGED
EisBuk,Fix bug resulting in data corruption,https://github.com/eisbuk/EisBuk/pull/82,2021-03-05T15:51:34Z,2021-03-05T15:55:11Z,0,1,MERGED
EisBuk,Fix PrivateRoute,https://github.com/eisbuk/EisBuk/pull/81,2021-03-05T15:31:43Z,2021-03-05T15:34:13Z,0,1,MERGED
EisBuk,Do not query amIAdmin endpoint until we have an auth,https://github.com/eisbuk/EisBuk/pull/80,2021-03-05T12:43:41Z,2021-03-05T15:21:04Z,0,1,MERGED
EisBuk,Feature/65 slot edit form,https://github.com/eisbuk/EisBuk/pull/79,2021-03-05T01:59:19Z,2021-03-05T15:22:22Z,0,5,MERGED
EisBuk,"Fix erroneous ""unauthorized"" page while loading",https://github.com/eisbuk/EisBuk/pull/78,2021-03-04T18:24:27Z,2021-03-04T18:29:31Z,0,2,MERGED
EisBuk,Allow login with phone and specifying admins by phone number,https://github.com/eisbuk/EisBuk/pull/77,2021-03-03T22:10:03Z,2021-03-03T22:46:33Z,0,16,MERGED
EisBuk,Feature/47 new slots UI,https://github.com/eisbuk/EisBuk/pull/76,2021-02-27T17:19:18Z,2021-02-27T23:47:19Z,0,7,MERGED
EisBuk,Various improvements,https://github.com/eisbuk/EisBuk/pull/75,2021-02-25T14:46:39Z,2021-02-25T14:51:44Z,0,4,MERGED
EisBuk,Various improvements,https://github.com/eisbuk/EisBuk/pull/74,2021-02-25T08:12:25Z,2021-02-25T11:17:08Z,0,11,MERGED
EisBuk,Loading screen when application is still loading,https://github.com/eisbuk/EisBuk/pull/73,2021-02-24T16:57:31Z,2021-02-24T17:04:53Z,0,4,MERGED
EisBuk,Deploy to production when merged to master,https://github.com/eisbuk/EisBuk/pull/68,2021-02-24T12:54:43Z,2021-02-24T12:57:19Z,0,1,MERGED
EisBuk,Include Affero license,https://github.com/eisbuk/EisBuk/pull/67,2021-02-24T11:21:14Z,2021-02-24T12:20:39Z,0,1,MERGED
EisBuk,Fix login/redirect/unauthorized URL dance,https://github.com/eisbuk/EisBuk/pull/66,2021-02-24T10:33:10Z,2021-02-24T10:36:12Z,0,1,MERGED
EisBuk,Login with google + various,https://github.com/eisbuk/EisBuk/pull/64,2021-02-23T18:15:32Z,2021-02-23T18:19:36Z,0,8,MERGED
EisBuk,Small fixes and improvements,https://github.com/eisbuk/EisBuk/pull/63,2021-02-23T13:47:18Z,2021-02-23T13:54:21Z,0,7,MERGED
EisBuk,Feature/42 47 51 tasks,https://github.com/eisbuk/EisBuk/pull/62,2021-02-20T11:57:58Z,2021-02-20T23:09:34Z,0,13,MERGED
EisBuk,Customers can change bookings only from next month on. Admins always can,https://github.com/eisbuk/EisBuk/pull/59,2021-02-19T23:06:14Z,2021-02-20T10:42:02Z,0,2,MERGED
EisBuk,Use customer category to filter slots they can book,https://github.com/eisbuk/EisBuk/pull/58,2021-02-19T21:53:59Z,2021-02-19T22:04:06Z,0,5,MERGED
EisBuk,Slot create/delete improvements,https://github.com/eisbuk/EisBuk/pull/57,2021-02-19T18:21:09Z,2021-02-19T18:23:30Z,0,2,MERGED
EisBuk,category → categories - Fixes #43,https://github.com/eisbuk/EisBuk/pull/56,2021-02-19T18:01:15Z,2021-02-19T18:03:45Z,0,1,MERGED
EisBuk,Copy/paste functionality for weeks. Fixes #48,https://github.com/eisbuk/EisBuk/pull/54,2021-02-19T16:19:49Z,2021-02-19T16:30:15Z,0,1,MERGED
EisBuk,Red error messages and colors for categories,https://github.com/eisbuk/EisBuk/pull/53,2021-02-18T18:24:02Z,2021-02-18T18:26:56Z,0,4,MERGED
EisBuk,Small fixes,https://github.com/eisbuk/EisBuk/pull/40,2021-02-17T14:23:20Z,2021-02-17T18:20:14Z,0,7,MERGED
EisBuk,Bookings by duration - UI improvements everywhere,https://github.com/eisbuk/EisBuk/pull/39,2021-02-17T09:36:40Z,2021-02-17T11:42:23Z,0,19,MERGED
EisBuk,Confirm dialogs and radio buttons,https://github.com/eisbuk/EisBuk/pull/38,2021-02-15T11:56:50Z,2021-02-15T14:56:49Z,1,21,MERGED
EisBuk,Customer edit + various,https://github.com/eisbuk/EisBuk/pull/36,2021-02-09T16:00:31Z,2021-02-12T20:46:14Z,0,20,MERGED
EisBuk,Improve customer list view,https://github.com/eisbuk/EisBuk/pull/35,2021-02-05T17:52:01Z,2021-02-05T19:29:47Z,0,6,MERGED
EisBuk,Remove `material-table`,https://github.com/eisbuk/EisBuk/pull/34,2021-02-05T15:24:11Z,2021-02-05T15:31:08Z,1,3,MERGED
EisBuk,"Multiple, per-site themes, with preview in the storybook",https://github.com/eisbuk/EisBuk/pull/33,2021-02-04T14:01:09Z,2021-02-04T14:05:31Z,0,4,MERGED
EisBuk,Merge Master into production,https://github.com/eisbuk/EisBuk/pull/32,2021-02-04T11:29:22Z,2021-02-04T11:32:26Z,1,2,CLOSED
EisBuk,Fix bug where an object was expected instead of an undefined value,https://github.com/eisbuk/EisBuk/pull/31,2021-02-04T11:28:31Z,2021-02-04T11:28:39Z,0,1,MERGED
EisBuk,Prod upgrade,https://github.com/eisbuk/EisBuk/pull/30,2021-02-03T18:41:35Z,2021-02-03T20:25:55Z,0,0,MERGED
EisBuk,Feature/absentee mark,https://github.com/eisbuk/EisBuk/pull/29,2021-02-03T18:22:36Z,2021-02-03T18:41:04Z,0,3,MERGED
EisBuk,Deploy to production,https://github.com/eisbuk/EisBuk/pull/28,2021-02-03T16:13:06Z,2021-02-03T16:13:32Z,0,3,MERGED
EisBuk,Use reselect and fix a bug,https://github.com/eisbuk/EisBuk/pull/27,2021-02-03T16:11:47Z,2021-02-03T16:11:55Z,0,2,MERGED
EisBuk,Show overview of bookings by day,https://github.com/eisbuk/EisBuk/pull/26,2021-02-03T14:13:30Z,2021-02-03T14:16:21Z,0,26,MERGED
EisBuk,Show how many elements one's about to paste as a badge on the paste button,https://github.com/eisbuk/EisBuk/pull/25,2021-02-01T15:45:15Z,2021-02-01T15:48:29Z,0,1,MERGED
EisBuk,Change organizations based on the site name,https://github.com/eisbuk/EisBuk/pull/24,2021-01-29T17:02:31Z,2021-02-01T14:49:40Z,0,10,MERGED
EisBuk,Fixes/production trigger,https://github.com/eisbuk/EisBuk/pull/23,2021-01-28T18:21:41Z,2021-01-28T18:22:13Z,0,2,MERGED
EisBuk,Hide edit buttons on the slots by day list with a switch,https://github.com/eisbuk/EisBuk/pull/22,2021-01-28T16:54:01Z,2021-01-28T17:09:45Z,0,6,MERGED
EisBuk,Fix firebase functions,https://github.com/eisbuk/EisBuk/pull/21,2021-01-28T15:35:16Z,2021-01-28T16:05:40Z,0,4,MERGED
EisBuk,"Revert ""Upgrade Jest""",https://github.com/eisbuk/EisBuk/pull/20,2021-01-28T08:29:01Z,2021-01-28T10:08:54Z,0,2,MERGED
EisBuk,Improve app bar,https://github.com/eisbuk/EisBuk/pull/19,2021-01-27T17:39:18Z,2021-01-27T17:42:56Z,0,3,MERGED
EisBuk,Implement slot day copy/paste,https://github.com/eisbuk/EisBuk/pull/18,2021-01-27T16:17:49Z,2021-01-27T16:32:45Z,0,13,MERGED
EisBuk,Add storybook,https://github.com/eisbuk/EisBuk/pull/15,2021-01-13T22:59:13Z,2021-01-27T09:36:29Z,2,61,MERGED
EisBuk,Provide aggregates for slots and support organizations,https://github.com/eisbuk/EisBuk/pull/14,2021-01-11T16:59:13Z,2021-01-11T17:28:14Z,0,31,MERGED
EisBuk,Fix/cloud functions build,https://github.com/eisbuk/EisBuk/pull/140,2021-07-29T15:00:36Z,2021-07-29T15:08:06Z,0,4,MERGED
EisBuk,Fixes #125 : localizing dates,https://github.com/eisbuk/EisBuk/pull/139,2021-07-28T23:09:04Z,2021-07-29T19:13:08Z,3,9,MERGED
EisBuk,Feature/shared types,https://github.com/eisbuk/EisBuk/pull/135,2021-07-27T10:48:09Z,2021-07-27T15:23:13Z,4,13,MERGED
EisBuk,Fixes #126 : internationalize enums,https://github.com/eisbuk/EisBuk/pull/134,2021-07-26T14:25:07Z,2021-07-27T10:46:47Z,2,7,MERGED
EisBuk,Simplify dev config,https://github.com/eisbuk/EisBuk/pull/132,2021-07-26T09:48:31Z,2021-07-26T12:10:52Z,0,2,MERGED
EisBuk,Fix/remove hacks,https://github.com/eisbuk/EisBuk/pull/131,2021-07-23T08:47:02Z,2021-07-24T20:56:42Z,1,23,MERGED
EisBuk,Fixes #105 : implement internationalization,https://github.com/eisbuk/EisBuk/pull/123,2021-07-20T19:53:38Z,2021-07-23T08:21:01Z,12,15,MERGED
EisBuk,Feature/ts all,https://github.com/eisbuk/EisBuk/pull/114,2021-07-18T13:01:32Z,2021-07-21T13:17:17Z,1,27,MERGED
EisBuk,Fixes #91 : User can select a subset of slots from copied week,https://github.com/eisbuk/EisBuk/pull/111,2021-07-07T08:46:16Z,2021-07-14T10:20:41Z,3,5,MERGED
EisBuk,Fix production deployment: install firebase function dependencies too,https://github.com/eisbuk/EisBuk/pull/109,2021-07-05T20:04:40Z,2021-07-05T21:43:31Z,1,2,MERGED
EisBuk,Ts functions,https://github.com/eisbuk/EisBuk/pull/108,2021-07-05T00:16:59Z,2021-07-05T16:26:31Z,0,18,MERGED
EisBuk,slots are highlighted when week is copied,https://github.com/eisbuk/EisBuk/pull/107,2021-07-04T21:54:27Z,2021-07-04T23:28:04Z,0,1,MERGED
EisBuk,Remove pagination from athletes view - Fixes #87,https://github.com/eisbuk/EisBuk/pull/98,2021-06-30T16:44:58Z,2021-06-30T17:04:14Z,0,2,MERGED
EisBuk,Fix/customer area trap,https://github.com/eisbuk/EisBuk/pull/225,2021-10-30T20:23:39Z,2021-11-01T11:45:45Z,4,3,MERGED
EisBuk,Cleanup/test data,https://github.com/eisbuk/EisBuk/pull/224,2021-10-30T19:59:03Z,2021-11-02T09:28:46Z,1,6,MERGED
EisBuk,Feature/separate lint job,https://github.com/eisbuk/EisBuk/pull/221,2021-10-28T17:55:33Z,2021-11-01T11:55:04Z,2,3,MERGED
EisBuk,Feature/attendance booked interval,https://github.com/eisbuk/EisBuk/pull/220,2021-10-28T12:55:31Z,2021-11-01T11:50:09Z,5,8,MERGED
EisBuk,Feature/universal customer list,https://github.com/eisbuk/EisBuk/pull/217,2021-10-27T07:58:20Z,2021-10-27T12:42:10Z,1,3,MERGED
EisBuk,Feature/customer delete,https://github.com/eisbuk/EisBuk/pull/216,2021-10-24T20:04:56Z,2021-10-27T08:08:55Z,2,10,MERGED
EisBuk,Fix/general fixes 1,https://github.com/eisbuk/EisBuk/pull/214,2021-10-22T11:21:02Z,2021-10-27T07:50:02Z,1,3,CLOSED
EisBuk,Feature/separate athletes,https://github.com/eisbuk/EisBuk/pull/213,2021-10-21T00:51:47Z,2021-10-27T08:00:17Z,1,8,MERGED
EisBuk,Date input: digest user input on blur instead of on change,https://github.com/eisbuk/EisBuk/pull/212,2021-10-20T08:46:10Z,2021-10-21T12:23:35Z,1,1,MERGED
EisBuk,Amend the eisbuk-install.sh script to disable IPV6 when on codespaces,https://github.com/eisbuk/EisBuk/pull/211,2021-10-19T08:55:54Z,2021-10-19T13:34:17Z,1,1,MERGED
EisBuk,Fix/modal close,https://github.com/eisbuk/EisBuk/pull/210,2021-10-18T23:50:32Z,2021-10-19T07:22:47Z,1,2,MERGED
EisBuk,Feature/date input,https://github.com/eisbuk/EisBuk/pull/209,2021-10-18T18:04:37Z,2021-10-19T22:59:08Z,2,18,MERGED
EisBuk,"Migrate all 'Timestamp' dates to dateISO, update luxon to latest (2.0.2)",https://github.com/eisbuk/EisBuk/pull/204,2021-10-11T12:25:55Z,2021-10-15T09:53:46Z,1,5,MERGED
EisBuk,Temp fix booking operations issue,https://github.com/eisbuk/EisBuk/pull/203,2021-10-07T13:48:42Z,2021-10-07T18:58:45Z,2,2,MERGED
EisBuk,Temp/new data model without tar,https://github.com/eisbuk/EisBuk/pull/201,2021-10-01T11:43:50Z,2021-10-03T10:30:16Z,2,65,CLOSED
EisBuk,Update/new data model,https://github.com/eisbuk/EisBuk/pull/198,2021-09-26T14:38:30Z,2021-10-04T15:12:58Z,10,68,MERGED
EisBuk,initial AttendanceSheet component,https://github.com/eisbuk/EisBuk/pull/197,2021-09-24T22:04:14Z,2021-10-18T08:46:33Z,53,39,MERGED
EisBuk,Feature/booking card group,https://github.com/eisbuk/EisBuk/pull/194,2021-09-20T00:29:01Z,2021-09-22T11:53:02Z,1,9,MERGED
EisBuk,intervalCard tasks,https://github.com/eisbuk/EisBuk/pull/193,2021-09-18T12:29:24Z,2021-09-19T16:12:46Z,14,7,MERGED
EisBuk,Feature/booking card 1,https://github.com/eisbuk/EisBuk/pull/192,2021-09-17T22:20:19Z,2021-09-19T08:08:33Z,0,10,CLOSED
EisBuk,Feature/attendance,https://github.com/eisbuk/EisBuk/pull/191,2021-09-15T17:53:49Z,2021-09-22T13:15:45Z,3,81,MERGED
EisBuk,Feature/attendance functions,https://github.com/eisbuk/EisBuk/pull/187,2021-09-10T18:35:36Z,2021-09-11T10:46:29Z,1,3,MERGED
EisBuk,Feature/attendance 4,https://github.com/eisbuk/EisBuk/pull/186,2021-09-09T12:46:50Z,2021-09-14T13:21:25Z,16,25,MERGED
EisBuk,Feature/covid certificate,https://github.com/eisbuk/EisBuk/pull/184,2021-09-06T06:45:48Z,2021-09-06T19:36:40Z,1,7,MERGED
EisBuk,Feature/customer views,https://github.com/eisbuk/EisBuk/pull/181,2021-08-31T18:21:23Z,2021-09-02T20:24:31Z,4,53,MERGED
EisBuk,attendanceCard UI,https://github.com/eisbuk/EisBuk/pull/178,2021-08-30T20:55:46Z,2021-09-04T11:50:46Z,26,18,MERGED
EisBuk,Upgrade dependencies,https://github.com/eisbuk/EisBuk/pull/177,2021-08-30T20:33:36Z,2021-08-31T11:25:10Z,2,10,MERGED
EisBuk,Update all packages to latest versions,https://github.com/eisbuk/EisBuk/pull/176,2021-08-30T14:02:17Z,2021-08-30T14:20:10Z,2,4,CLOSED
EisBuk,TDD: dispatch markAttendance with the correct args,https://github.com/eisbuk/EisBuk/pull/175,2021-08-29T12:04:50Z,2021-08-30T13:26:39Z,9,10,MERGED
EisBuk,Try and fix tests,https://github.com/eisbuk/EisBuk/pull/174,2021-08-28T12:59:20Z,2021-08-28T13:24:49Z,2,1,MERGED
EisBuk,Feature/attendance 1,https://github.com/eisbuk/EisBuk/pull/173,2021-08-26T16:31:40Z,2021-08-28T12:55:10Z,25,8,MERGED
EisBuk,Feature/slots rehaul feedback,https://github.com/eisbuk/EisBuk/pull/168,2021-08-23T20:56:08Z,2021-08-24T06:40:23Z,0,6,MERGED
EisBuk,Feature/atomic slots,https://github.com/eisbuk/EisBuk/pull/166,2021-08-18T11:09:37Z,2021-08-25T13:24:33Z,8,32,MERGED
EisBuk,Remove the amIAdmin cloud function,https://github.com/eisbuk/EisBuk/pull/165,2021-08-17T19:20:11Z,2021-08-18T20:04:19Z,2,3,MERGED
EisBuk,Improve separation between node/jsdom tests,https://github.com/eisbuk/EisBuk/pull/164,2021-08-17T09:32:46Z,2021-08-17T16:57:43Z,2,14,MERGED
EisBuk,Run tests that require firebase emulators separately from jsdom tests,https://github.com/eisbuk/EisBuk/pull/163,2021-08-16T13:41:14Z,2021-08-16T13:56:27Z,1,2,MERGED
EisBuk,Add Test Report Github action,https://github.com/eisbuk/EisBuk/pull/162,2021-08-16T12:17:11Z,2021-08-16T14:03:10Z,1,3,MERGED
EisBuk,Enhancement/mark all categories off ice,https://github.com/eisbuk/EisBuk/pull/161,2021-08-16T08:10:21Z,2021-08-16T09:01:53Z,1,4,MERGED
EisBuk,fix: snackbars unclickable and have no spaces in between,https://github.com/eisbuk/EisBuk/pull/159,2021-08-12T21:05:46Z,2021-08-14T10:32:25Z,3,3,MERGED
EisBuk,Deploy preview via github actions,https://github.com/eisbuk/EisBuk/pull/155,2021-08-11T10:12:28Z,2021-08-11T13:36:27Z,1,20,MERGED
EisBuk,Fix/collection of fixes 1,https://github.com/eisbuk/EisBuk/pull/154,2021-08-09T09:59:20Z,2021-08-09T14:49:51Z,0,9,MERGED
EisBuk,Fix/i18n fixes,https://github.com/eisbuk/EisBuk/pull/152,2021-08-06T15:48:44Z,2021-08-06T22:44:28Z,0,5,MERGED
EisBuk,Fix/customer view fixes,https://github.com/eisbuk/EisBuk/pull/150,2021-08-06T12:06:14Z,2021-08-06T23:34:39Z,5,2,MERGED
EisBuk,Feature/same day calendar view,https://github.com/eisbuk/EisBuk/pull/149,2021-08-05T22:10:36Z,2021-09-02T09:08:00Z,14,37,CLOSED
EisBuk,Rebase/redux,https://github.com/eisbuk/EisBuk/pull/147,2021-08-04T21:25:27Z,2021-08-06T15:27:45Z,1,14,MERGED
EisBuk,Add suggested updates for rebase/polish_functions branch,https://github.com/eisbuk/EisBuk/pull/145,2021-08-03T11:21:29Z,2021-08-03T11:44:05Z,0,1,MERGED
EisBuk,Polish Functions Fixes: #117,https://github.com/eisbuk/EisBuk/pull/144,2021-08-03T08:24:39Z,2021-08-03T11:53:35Z,1,12,MERGED
EisBuk,Temporarily remove the phone auth,https://github.com/eisbuk/EisBuk/pull/283,2021-12-31T00:55:49Z,2021-12-31T16:04:50Z,1,1,MERGED
EisBuk,Fix athletes not showing in attendance_printable,https://github.com/eisbuk/EisBuk/pull/282,2021-12-31T00:34:00Z,2022-01-04T17:03:41Z,1,1,MERGED
EisBuk,Feature/birthday notifications UI,https://github.com/eisbuk/EisBuk/pull/272,2021-12-23T13:10:28Z,2021-12-28T16:32:07Z,5,49,MERGED
EisBuk,Fixes EISBUK-7,https://github.com/eisbuk/EisBuk/pull/271,2021-12-22T15:45:42Z,2021-12-22T15:45:50Z,1,1,MERGED
