repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
fdk-kit,Feat/az/units,https://github.com/fellesdatakatalog/fdk-kit/pull/4,2020-06-18T07:45:38Z,2020-06-18T07:59:13Z,0,2,MERGED
fdk-kit,chore(project): update dependencies,https://github.com/fellesdatakatalog/fdk-kit/pull/3,2020-06-09T12:39:15Z,2020-06-09T13:04:52Z,0,1,MERGED
fdk-kit,feat(tabs): add tabs component,https://github.com/fellesdatakatalog/fdk-kit/pull/2,2020-06-09T12:31:23Z,2020-06-09T13:05:06Z,0,1,MERGED
fdk-kit,Feat/ois/theme globalstyles,https://github.com/fellesdatakatalog/fdk-kit/pull/1,2020-06-04T13:35:04Z,2020-06-05T05:37:51Z,0,3,MERGED
fdk-kit,style(internal-header): position and width,https://github.com/fellesdatakatalog/fdk-kit/pull/9,2020-10-28T19:22:36Z,2020-10-28T19:38:21Z,0,1,MERGED
fdk-kit,feat(internal-header): add internal-header,https://github.com/fellesdatakatalog/fdk-kit/pull/8,2020-10-27T06:44:14Z,2020-10-28T07:38:06Z,10,1,MERGED
fdk-kit,feat(theme): add and export enum ThemeProfile,https://github.com/fellesdatakatalog/fdk-kit/pull/7,2020-10-22T19:20:54Z,2020-10-23T05:18:24Z,0,1,MERGED
fdk-kit,feat: add Ske component wrapper to internal footer,https://github.com/fellesdatakatalog/fdk-kit/pull/6,2020-10-22T12:27:38Z,2020-10-23T08:40:04Z,9,3,MERGED
fdk-kit,refactor(internal-footer): export footer content,https://github.com/fellesdatakatalog/fdk-kit/pull/5,2020-10-22T10:02:28Z,2020-10-22T12:34:50Z,1,1,CLOSED
fdk-kit,Feat/ois/new header,https://github.com/fellesdatakatalog/fdk-kit/pull/12,2020-12-01T11:13:21Z,2020-12-01T11:34:54Z,0,4,MERGED
fdk-kit,feat(dropdown-menu): add component,https://github.com/fellesdatakatalog/fdk-kit/pull/11,2020-11-30T08:00:58Z,2020-12-01T06:46:14Z,17,1,MERGED
fdk-kit,feat(internal-header): add prop homeUrl,https://github.com/fellesdatakatalog/fdk-kit/pull/10,2020-11-19T10:42:33Z,2020-11-19T11:42:00Z,0,1,MERGED
fdk-kit,Style/az/breadcrumb styles,https://github.com/fellesdatakatalog/fdk-kit/pull/22,2021-03-24T09:40:31Z,2021-03-24T13:44:41Z,0,2,MERGED
