repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
forkfacts-v2,Cu #860pbqzjb create storybook mobile components for search results nutrition facts ayo,https://github.com/forkfacts/forkfacts-v2/pull/13,2022-12-24T10:23:12Z,2023-02-21T19:24:12Z,37,44,CLOSED
forkfacts-v2,CU-#860pb026e feature: task ready for review,https://github.com/forkfacts/forkfacts-v2/pull/12,2022-12-21T18:17:30Z,2022-12-29T23:51:53Z,48,10,MERGED
forkfacts-v2,Cu 3ewa0rf create storybook components for search ayo,https://github.com/forkfacts/forkfacts-v2/pull/11,2022-12-20T22:36:34Z,2022-12-21T21:40:27Z,1,49,MERGED
forkfacts-v2,Cu #860pb026e create a json for a selected food,https://github.com/forkfacts/forkfacts-v2/pull/10,2022-12-20T21:31:33Z,2022-12-20T21:34:05Z,1,2,MERGED
forkfacts-v2,Cu #860pb026e create a json for a selected food,https://github.com/forkfacts/forkfacts-v2/pull/9,2022-12-20T17:46:55Z,2022-12-21T17:43:48Z,1,42,CLOSED
forkfacts-v2,Cu 3ewa0rf create storybook components for search ayomiku,https://github.com/forkfacts/forkfacts-v2/pull/8,2022-12-14T17:54:49Z,2022-12-20T22:36:06Z,12,43,CLOSED
forkfacts-v2,Ayo #3bv0tej create  storybook components for  search screens,https://github.com/forkfacts/forkfacts-v2/pull/7,2022-11-29T22:52:21Z,2022-12-11T05:55:19Z,44,140,MERGED
forkfacts-v2,feat(#3bv750c):adds github action file for chromatic setup (#5),https://github.com/forkfacts/forkfacts-v2/pull/6,2022-11-24T22:09:24Z,2022-11-24T22:10:03Z,4,1,MERGED
forkfacts-v2,feat(#3bv750c):adds github action file for chromatic setup,https://github.com/forkfacts/forkfacts-v2/pull/5,2022-11-24T20:55:22Z,2022-11-24T21:54:36Z,2,12,MERGED
forkfacts-v2,Cu 3bngw9h set up prettier and es lint for the project deeksha sharma,https://github.com/forkfacts/forkfacts-v2/pull/4,2022-11-23T05:34:48Z,2022-11-23T05:46:48Z,2,5,MERGED
forkfacts-v2,merge main branch to  ayo_#3bfhet3_spin_gatsby_typescript_boilerplate,https://github.com/forkfacts/forkfacts-v2/pull/3,2022-11-23T02:59:36Z,2022-11-28T20:13:39Z,4,9,CLOSED
forkfacts-v2,feat(#3bngwaj): Make Storybook Setup,https://github.com/forkfacts/forkfacts-v2/pull/2,2022-11-23T00:44:27Z,2022-11-23T01:35:54Z,2,3,MERGED
forkfacts-v2,Ayo #3bfhet3 spin gatsby typescript boilerplate,https://github.com/forkfacts/forkfacts-v2/pull/1,2022-11-23T00:00:42Z,2022-11-23T00:17:21Z,2,15,MERGED
forkfacts-v2,Ayomiku cu #860q8w6dk recently viewed main,https://github.com/forkfacts/forkfacts-v2/pull/25,2023-03-31T23:55:52Z,2023-04-01T02:43:02Z,2,124,MERGED
forkfacts-v2,Ayomiku cu #860q8w6dk recently viewed,https://github.com/forkfacts/forkfacts-v2/pull/24,2023-03-30T18:21:10Z,2023-03-31T23:55:43Z,1,121,CLOSED
forkfacts-v2,H2/nutrient grouping,https://github.com/forkfacts/forkfacts-v2/pull/23,2023-03-23T17:39:22Z,2023-03-24T00:17:19Z,1,13,MERGED
forkfacts-v2,Ayomiku cu #860q6d3gu migrate the build process to generate food pages,https://github.com/forkfacts/forkfacts-v2/pull/22,2023-03-21T01:01:01Z,2023-03-31T23:40:51Z,16,110,MERGED
forkfacts-v2,feat(#8669rk7pr): fix issue related to nutrient selection on filter,https://github.com/forkfacts/forkfacts-v2/pull/21,2023-03-16T16:55:30Z,2023-03-16T17:05:45Z,1,1,MERGED
forkfacts-v2,CU_#860q6d11w added script to download data files,https://github.com/forkfacts/forkfacts-v2/pull/20,2023-03-16T16:52:08Z,2023-03-16T21:12:24Z,7,17,MERGED
forkfacts-v2,CU_#8669rk7pr Fixed search nutrient count bug,https://github.com/forkfacts/forkfacts-v2/pull/19,2023-03-16T11:59:20Z,2023-03-16T17:06:39Z,2,1,CLOSED
forkfacts-v2,Ayomiku cu #860pxhar3 nutrition components for facts for a given food,https://github.com/forkfacts/forkfacts-v2/pull/18,2023-03-10T22:45:32Z,2023-03-16T00:30:20Z,2,137,MERGED
forkfacts-v2,Ayomiku cu #860pxhar3 nutrition facts for a given food,https://github.com/forkfacts/forkfacts-v2/pull/17,2023-02-16T22:08:07Z,2023-03-10T22:45:56Z,1,96,CLOSED
forkfacts-v2,Ayomiku cu #860pvhgcd comparing detail page,https://github.com/forkfacts/forkfacts-v2/pull/16,2023-02-15T09:18:32Z,2023-03-10T20:40:54Z,2,72,MERGED
forkfacts-v2,Ayomiku cu #860purrxf create components for search on mobile,https://github.com/forkfacts/forkfacts-v2/pull/15,2023-02-07T19:34:02Z,2023-02-24T19:16:47Z,25,38,MERGED
forkfacts-v2,CU_#860purrmq done with theme palette,https://github.com/forkfacts/forkfacts-v2/pull/14,2023-02-06T18:21:16Z,2023-02-06T18:49:23Z,1,1,MERGED
forkfacts-v2,search implemented,https://github.com/forkfacts/forkfacts-v2/pull/50,2023-05-31T18:51:49Z,2023-06-01T15:52:14Z,1,2,MERGED
forkfacts-v2,Ayomiku #860qytw3k create detail page with hardcoded data,https://github.com/forkfacts/forkfacts-v2/pull/49,2023-05-26T23:24:25Z,2023-05-31T05:52:36Z,7,46,MERGED
forkfacts-v2,project setup implemented,https://github.com/forkfacts/forkfacts-v2/pull/48,2023-05-25T21:50:54Z,2023-05-26T20:09:18Z,4,3,MERGED
forkfacts-v2,Update README.md,https://github.com/forkfacts/forkfacts-v2/pull/47,2023-05-04T21:20:26Z,2023-05-05T05:58:53Z,1,1,MERGED
forkfacts-v2,Create LICENSE,https://github.com/forkfacts/forkfacts-v2/pull/46,2023-05-04T21:16:49Z,2023-05-04T21:22:17Z,1,1,MERGED
forkfacts-v2,New Main Release,https://github.com/forkfacts/forkfacts-v2/pull/45,2023-05-04T00:17:02Z,2023-05-04T00:18:00Z,1,33,MERGED
forkfacts-v2,feat(): update dependencies,https://github.com/forkfacts/forkfacts-v2/pull/44,2023-05-03T23:57:35Z,2023-05-04T21:15:49Z,1,1,CLOSED
forkfacts-v2,Use enriched names for Foundation Foods,https://github.com/forkfacts/forkfacts-v2/pull/43,2023-05-03T13:56:56Z,2023-05-03T23:39:44Z,1,4,MERGED
forkfacts-v2,Ayomiku cu #866a5dn77 there should not be recipes in the url of a single food details,https://github.com/forkfacts/forkfacts-v2/pull/42,2023-04-24T23:02:28Z,2023-04-24T23:20:46Z,1,2,MERGED
forkfacts-v2,feat(): update banner filename,https://github.com/forkfacts/forkfacts-v2/pull/41,2023-04-14T20:37:31Z,2023-04-14T20:50:37Z,1,1,MERGED
