repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
forent,User can post rental listing,https://github.com/franthormel/forent/pull/20,2023-11-16T12:06:34Z,2024-02-04T08:55:47Z,1,39,MERGED
forent,Add Cypress,https://github.com/franthormel/forent/pull/19,2023-11-10T13:02:34Z,2023-11-16T11:51:01Z,1,26,MERGED
forent,Organize project files,https://github.com/franthormel/forent/pull/17,2023-11-10T11:45:43Z,2023-11-10T12:39:16Z,1,1,MERGED
forent,Add continuous integration,https://github.com/franthormel/forent/pull/15,2023-11-09T02:12:26Z,2023-11-10T10:55:43Z,1,20,MERGED
forent,Design theme,https://github.com/franthormel/forent/pull/13,2023-11-08T08:01:57Z,2023-11-08T11:18:35Z,0,2,MERGED
forent,Improve metadata for homepage,https://github.com/franthormel/forent/pull/11,2023-11-08T01:16:34Z,2023-11-08T06:50:07Z,0,6,MERGED
forent,Update PR template,https://github.com/franthormel/forent/pull/10,2023-11-07T12:45:48Z,2023-11-07T12:46:27Z,0,1,MERGED
forent,Authentication for users,https://github.com/franthormel/forent/pull/7,2023-11-05T10:50:29Z,2023-11-07T12:33:24Z,0,21,MERGED
forent,Add Storybook,https://github.com/franthormel/forent/pull/6,2023-11-03T06:57:07Z,2023-11-03T06:57:23Z,0,2,MERGED
forent,Add Issue Templates,https://github.com/franthormel/forent/pull/3,2023-11-03T04:29:24Z,2023-11-03T04:29:58Z,0,1,MERGED
forent,Redesign homepage to be more responsive,https://github.com/franthormel/forent/pull/56,2024-03-20T12:42:08Z,2024-03-31T08:07:27Z,1,17,MERGED
forent,Make DB seed listing data more realistic,https://github.com/franthormel/forent/pull/55,2024-03-18T10:49:31Z,2024-03-18T11:23:43Z,2,2,CLOSED
forent,Github Actions cache,https://github.com/franthormel/forent/pull/44,2024-03-17T05:10:35Z,2024-03-17T05:56:23Z,1,1,MERGED
forent,Flatten all Storybook stories,https://github.com/franthormel/forent/pull/38,2024-02-26T12:47:16Z,2024-02-26T13:02:10Z,1,1,MERGED
forent,Correct components directory structure,https://github.com/franthormel/forent/pull/36,2024-02-26T11:46:04Z,2024-02-26T11:55:36Z,1,5,MERGED
forent,Correct components directory structure,https://github.com/franthormel/forent/pull/35,2024-02-26T11:45:13Z,2024-02-26T11:46:29Z,2,7,CLOSED
forent,Home page implementation,https://github.com/franthormel/forent/pull/33,2024-02-25T05:22:13Z,2024-03-16T10:45:15Z,1,42,MERGED
forent,Homepage Design,https://github.com/franthormel/forent/pull/30,2024-02-22T11:17:13Z,2024-02-22T11:17:39Z,1,1,MERGED
forent,Move listing values to env file closes #26,https://github.com/franthormel/forent/pull/29,2024-02-10T07:23:48Z,2024-02-10T07:25:54Z,1,1,MERGED
forent,Use number type for map coordinates closes #27,https://github.com/franthormel/forent/pull/28,2024-02-10T04:53:49Z,2024-02-10T04:56:47Z,1,1,MERGED
forent,Set listing rating range values,https://github.com/franthormel/forent/pull/25,2024-02-10T04:33:39Z,2024-02-10T04:36:45Z,1,1,MERGED
forent,Seed DB with initial data,https://github.com/franthormel/forent/pull/23,2024-02-09T12:31:16Z,2024-02-10T04:08:57Z,1,5,MERGED
forent,Preview create listing,https://github.com/franthormel/forent/pull/115,2024-05-22T08:52:34Z,2024-06-15T06:05:47Z,0,9,MERGED
forent,Change session strategy to JWT,https://github.com/franthormel/forent/pull/114,2024-05-21T07:36:44Z,2024-05-21T07:56:58Z,2,1,CLOSED
forent,Add setup on README.md,https://github.com/franthormel/forent/pull/113,2024-05-21T07:27:29Z,2024-05-21T07:29:15Z,1,1,MERGED
forent,Hide search bar in homepage,https://github.com/franthormel/forent/pull/112,2024-05-21T02:25:22Z,2024-05-21T02:27:41Z,1,1,MERGED
forent,Map re-renders for every user input client validation,https://github.com/franthormel/forent/pull/111,2024-05-20T08:23:33Z,2024-05-20T08:25:15Z,1,1,MERGED
forent,Create listing form reverse geocoding,https://github.com/franthormel/forent/pull/109,2024-05-20T03:20:27Z,2024-05-20T08:08:40Z,1,6,MERGED
