repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
c0d3-app,Lesson url,https://github.com/garageScript/c0d3-app/pull/91,2020-03-30T09:02:14Z,2020-03-30T23:07:22Z,2,3,MERGED
c0d3-app,Close #74 - render curriculum if logged in,https://github.com/garageScript/c0d3-app/pull/90,2020-03-29T19:09:43Z,2020-04-01T17:12:26Z,9,8,MERGED
c0d3-app,Close #83 - isEnrolled to isPassed,https://github.com/garageScript/c0d3-app/pull/84,2020-03-29T04:06:18Z,2020-03-29T04:08:37Z,2,1,MERGED
c0d3-app,Step 1: Setup StoryBoard for SubmissionCards,https://github.com/garageScript/c0d3-app/pull/79,2020-03-27T03:59:39Z,2020-03-30T23:07:58Z,3,7,MERGED
c0d3-app,Lesson in progress,https://github.com/garageScript/c0d3-app/pull/78,2020-03-26T09:01:47Z,2020-03-27T04:42:48Z,4,3,MERGED
c0d3-app,Lesson Card Edits,https://github.com/garageScript/c0d3-app/pull/77,2020-03-25T23:34:43Z,2020-03-27T03:22:52Z,2,2,MERGED
c0d3-app,Added documentation for ApolloClient Cache,https://github.com/garageScript/c0d3-app/pull/73,2020-03-24T05:14:02Z,2020-03-26T04:44:48Z,3,2,MERGED
c0d3-app,"Addition of credentials in login fetch, update of packages",https://github.com/garageScript/c0d3-app/pull/70,2020-03-24T04:23:22Z,2020-03-24T04:53:25Z,2,3,MERGED
c0d3-app,Curriculum Stats,https://github.com/garageScript/c0d3-app/pull/69,2020-03-21T09:09:46Z,2020-03-21T17:39:03Z,2,5,MERGED
c0d3-app,Login Validation,https://github.com/garageScript/c0d3-app/pull/67,2020-03-14T03:01:37Z,2020-03-17T16:12:26Z,7,7,MERGED
c0d3-app,"Added login handler, form validation",https://github.com/garageScript/c0d3-app/pull/66,2020-03-10T20:06:13Z,2020-03-13T04:10:38Z,7,7,MERGED
c0d3-app,Fixing Card Borders,https://github.com/garageScript/c0d3-app/pull/65,2020-03-09T03:02:18Z,2020-03-10T04:49:22Z,4,3,MERGED
c0d3-app,Challenge Material Setup,https://github.com/garageScript/c0d3-app/pull/64,2020-03-08T08:48:27Z,2020-03-09T14:45:23Z,7,4,MERGED
c0d3-app,First Draft of LessonTitleCard for Challenges Page,https://github.com/garageScript/c0d3-app/pull/61,2020-03-06T08:16:16Z,2020-03-07T05:31:03Z,8,6,MERGED
c0d3-app,Lesson card completed state,https://github.com/garageScript/c0d3-app/pull/60,2020-03-05T04:03:52Z,2020-03-06T03:23:19Z,11,12,MERGED
c0d3-app,Lesson Card In Progess State,https://github.com/garageScript/c0d3-app/pull/59,2020-03-04T20:52:31Z,2020-03-05T15:07:32Z,4,8,MERGED
c0d3-app,Curriculum links,https://github.com/garageScript/c0d3-app/pull/58,2020-03-04T10:20:13Z,2020-03-04T20:19:13Z,2,6,MERGED
c0d3-app,Curriculum announcements,https://github.com/garageScript/c0d3-app/pull/57,2020-03-02T08:31:32Z,2020-03-04T18:59:34Z,7,6,MERGED
c0d3-app,First draft of ProgressCard,https://github.com/garageScript/c0d3-app/pull/56,2020-03-01T02:15:28Z,2020-03-03T22:23:37Z,14,5,MERGED
c0d3-app,Refactored by creating LessonCard component,https://github.com/garageScript/c0d3-app/pull/55,2020-02-26T22:11:20Z,2020-02-29T21:11:27Z,22,6,MERGED
c0d3-app,Add Type-Check with CI,https://github.com/garageScript/c0d3-app/pull/54,2020-02-26T04:33:09Z,2020-02-26T16:56:07Z,1,1,MERGED
c0d3-app,Rough draft of lesson card before styling and semantic refactor,https://github.com/garageScript/c0d3-app/pull/53,2020-02-25T20:56:20Z,2020-02-26T17:16:13Z,2,1,MERGED
c0d3-app,Added title & challenge num to lesson cards and sorted using order,https://github.com/garageScript/c0d3-app/pull/48,2020-02-24T09:04:34Z,2020-02-25T06:54:02Z,9,3,MERGED
c0d3-app, add form validation to login page,https://github.com/garageScript/c0d3-app/pull/46,2020-02-23T19:42:30Z,2020-02-26T17:15:44Z,2,8,MERGED
c0d3-app,[Setup] PR to setup Apollo Client with NextJS,https://github.com/garageScript/c0d3-app/pull/45,2020-02-22T23:07:19Z,2020-02-24T06:47:35Z,2,6,MERGED
c0d3-app,Added Development Setup docs,https://github.com/garageScript/c0d3-app/pull/44,2020-02-22T07:40:24Z,2020-02-23T01:46:34Z,8,2,MERGED
c0d3-app,[SAMPLE] - graphql query,https://github.com/garageScript/c0d3-app/pull/41,2020-02-21T06:33:08Z,2020-02-28T05:01:22Z,2,1,CLOSED
c0d3-app,Add success page and refactor stories,https://github.com/garageScript/c0d3-app/pull/40,2020-02-20T09:38:13Z,2020-02-21T01:00:47Z,2,1,MERGED
c0d3-app,[TEST] Setting Up ApolloClient with Curriculum Page as Demo,https://github.com/garageScript/c0d3-app/pull/38,2020-02-20T06:05:18Z,2020-02-21T22:08:16Z,2,4,CLOSED
c0d3-app,💯 Full coverage,https://github.com/garageScript/c0d3-app/pull/37,2020-02-18T08:41:53Z,2020-02-19T05:35:51Z,1,3,MERGED
c0d3-app,Fixed login button bug and get 100% code coverage for AppNav,https://github.com/garageScript/c0d3-app/pull/36,2020-02-18T06:24:55Z,2020-02-18T06:33:13Z,1,1,MERGED
c0d3-app,[DEMO] - Implementing backend on Next.JS that sets cookies and a mini GraphQL server,https://github.com/garageScript/c0d3-app/pull/35,2020-02-18T04:51:11Z,2020-02-22T23:04:55Z,1,5,CLOSED
c0d3-app,✅ Tests for signup 100%,https://github.com/garageScript/c0d3-app/pull/34,2020-02-17T01:22:04Z,2020-02-18T05:04:53Z,4,15,MERGED
c0d3-app,Signup Validation with Formik,https://github.com/garageScript/c0d3-app/pull/32,2020-02-14T09:33:06Z,2020-02-15T23:07:13Z,5,14,MERGED
c0d3-app,Finished NavBar for Curriculum,https://github.com/garageScript/c0d3-app/pull/31,2020-02-13T02:26:50Z,2020-02-18T05:37:22Z,6,7,MERGED
c0d3-app,updated LandinNav with <Link> for Learning Process and Journey ,https://github.com/garageScript/c0d3-app/pull/30,2020-02-12T19:39:40Z,2020-02-15T23:43:48Z,2,1,CLOSED
c0d3-app,Login page,https://github.com/garageScript/c0d3-app/pull/27,2020-02-12T17:48:06Z,2020-02-15T03:12:47Z,2,10,MERGED
c0d3-app,Signup Page,https://github.com/garageScript/c0d3-app/pull/26,2020-02-11T08:27:55Z,2020-02-12T06:08:02Z,1,2,MERGED
c0d3-app,Update engineering.md,https://github.com/garageScript/c0d3-app/pull/25,2020-02-10T21:36:46Z,2020-02-10T23:00:20Z,1,1,MERGED
c0d3-app,Add StoryShots addon,https://github.com/garageScript/c0d3-app/pull/24,2020-02-10T08:10:52Z,2020-02-11T04:29:38Z,1,5,MERGED
c0d3-app,(Fix) - Add Default Color for Button,https://github.com/garageScript/c0d3-app/pull/23,2020-02-10T06:13:51Z,2020-02-11T06:30:11Z,2,10,MERGED
c0d3-app,Layout component,https://github.com/garageScript/c0d3-app/pull/22,2020-02-10T03:18:53Z,2020-02-10T06:08:00Z,3,13,MERGED
c0d3-app,Signup - Card Layout,https://github.com/garageScript/c0d3-app/pull/21,2020-02-09T02:42:13Z,2020-02-10T03:36:11Z,6,12,MERGED
c0d3-app,Added Husky for code checking prior to commits / push,https://github.com/garageScript/c0d3-app/pull/20,2020-02-09T00:45:26Z,2020-02-09T03:07:44Z,1,5,MERGED
c0d3-app,Landing Page - Part 3,https://github.com/garageScript/c0d3-app/pull/19,2020-02-08T07:58:40Z,2020-02-09T00:40:34Z,5,17,MERGED
c0d3-app,Landing Page Updates - Part 2 ,https://github.com/garageScript/c0d3-app/pull/16,2020-02-07T03:49:31Z,2020-02-08T07:07:19Z,5,18,MERGED
c0d3-app,Storybook CI + README,https://github.com/garageScript/c0d3-app/pull/15,2020-02-06T15:41:52Z,2020-02-06T21:07:01Z,1,4,MERGED
c0d3-app,Input group,https://github.com/garageScript/c0d3-app/pull/14,2020-02-05T07:29:02Z,2020-02-06T06:12:00Z,2,5,MERGED
c0d3-app,Landing Page Demo with Bootstrap,https://github.com/garageScript/c0d3-app/pull/12,2020-02-04T05:25:55Z,2020-02-04T06:21:30Z,1,4,MERGED
c0d3-app,Grid Layout,https://github.com/garageScript/c0d3-app/pull/11,2020-02-02T10:02:27Z,2020-02-04T06:02:06Z,1,1,CLOSED
c0d3-app,[WIP] Landing Page Part 1 - Navbar,https://github.com/garageScript/c0d3-app/pull/10,2020-01-30T07:58:03Z,2020-02-04T06:21:55Z,1,8,CLOSED
c0d3-app,Add TailwindCSS,https://github.com/garageScript/c0d3-app/pull/8,2020-01-28T07:41:27Z,2020-01-28T08:42:30Z,0,3,MERGED
c0d3-app,Setup Jest for TypeScript,https://github.com/garageScript/c0d3-app/pull/7,2020-01-27T06:36:22Z,2020-01-28T05:42:55Z,1,3,MERGED
c0d3-app,Eslint Update,https://github.com/garageScript/c0d3-app/pull/6,2020-01-26T00:01:01Z,2020-01-27T02:17:02Z,0,1,MERGED
c0d3-app,Updated readme for storybook and reorganized repo,https://github.com/garageScript/c0d3-app/pull/5,2020-01-24T03:38:56Z,2020-01-24T07:05:48Z,0,1,MERGED
c0d3-app,Setup Storybook,https://github.com/garageScript/c0d3-app/pull/4,2020-01-23T07:28:35Z,2020-01-23T19:21:47Z,0,1,MERGED
c0d3-app,Initial Template Setup,https://github.com/garageScript/c0d3-app/pull/2,2020-01-23T05:30:52Z,2020-01-23T06:47:17Z,1,7,MERGED
c0d3-app,Closes #226 - Implementation of Contributors Page,https://github.com/garageScript/c0d3-app/pull/227,2020-05-31T10:09:33Z,2020-06-06T03:45:38Z,3,10,MERGED
c0d3-app,[3 / 3] - Implementing Reset Password Functionality on the Front End,https://github.com/garageScript/c0d3-app/pull/225,2020-05-31T00:48:23Z,2020-06-01T03:56:47Z,3,11,MERGED
c0d3-app,[2 / 3] - Update User Model to add Expiration for Reset Password,https://github.com/garageScript/c0d3-app/pull/224,2020-05-28T16:49:13Z,2020-05-31T21:41:16Z,2,25,MERGED
c0d3-app,[1 / 3] - Backend Functionality for Reset Password,https://github.com/garageScript/c0d3-app/pull/223,2020-05-28T04:07:35Z,2020-05-31T21:41:14Z,5,28,MERGED
c0d3-app,Update Dev mattermost token + add encoding helper function,https://github.com/garageScript/c0d3-app/pull/221,2020-05-27T04:25:39Z,2020-05-27T22:58:20Z,2,2,MERGED
c0d3-app,Fix index page test,https://github.com/garageScript/c0d3-app/pull/220,2020-05-25T04:01:42Z,2020-05-27T04:39:52Z,2,3,MERGED
