repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
chomp,add unanswered questions to home feed,https://github.com/gator-labs/chomp/pull/53,2024-03-30T17:30:36Z,2024-03-30T17:30:47Z,1,1,MERGED
chomp,fix decks form,https://github.com/gator-labs/chomp/pull/52,2024-03-29T21:08:33Z,2024-03-29T21:16:19Z,1,5,MERGED
chomp,"Patch deck save, refactor and add answer question",https://github.com/gator-labs/chomp/pull/51,2024-03-29T20:28:53Z,2024-03-29T20:40:28Z,1,1,MERGED
chomp,pwa support wip,https://github.com/gator-labs/chomp/pull/50,2024-03-29T17:50:48Z,2024-04-01T13:23:40Z,1,1,CLOSED
chomp,fix profile/home page nav,https://github.com/gator-labs/chomp/pull/49,2024-03-29T15:57:31Z,2024-03-29T15:59:28Z,1,1,MERGED
chomp,fix redirect loop,https://github.com/gator-labs/chomp/pull/48,2024-03-29T15:19:06Z,2024-03-29T15:19:58Z,1,1,MERGED
chomp,Add title to daily deck page,https://github.com/gator-labs/chomp/pull/47,2024-03-28T22:49:26Z,2024-03-29T13:52:58Z,1,1,MERGED
chomp,Feat/answer deck,https://github.com/gator-labs/chomp/pull/46,2024-03-27T15:11:59Z,2024-03-27T21:43:31Z,1,3,MERGED
chomp,deck/question admin,https://github.com/gator-labs/chomp/pull/45,2024-03-26T16:23:38Z,2024-03-28T14:28:50Z,1,9,MERGED
chomp,Feat/answer deck,https://github.com/gator-labs/chomp/pull/44,2024-03-25T19:40:53Z,2024-03-25T19:43:51Z,1,2,MERGED
chomp,refactor question admin and change schema,https://github.com/gator-labs/chomp/pull/43,2024-03-25T19:20:55Z,2024-03-25T19:39:30Z,1,4,MERGED
chomp,Rfc/layouts,https://github.com/gator-labs/chomp/pull/42,2024-03-22T18:24:49Z,2024-03-25T12:09:36Z,1,2,MERGED
chomp,setup admin subpages,https://github.com/gator-labs/chomp/pull/41,2024-03-22T17:28:50Z,2024-03-22T17:29:00Z,1,1,MERGED
chomp,Add question deck,https://github.com/gator-labs/chomp/pull/40,2024-03-22T17:15:45Z,2024-03-22T17:15:51Z,1,1,MERGED
chomp,Feat/question accordian,https://github.com/gator-labs/chomp/pull/39,2024-03-22T16:46:43Z,2024-03-22T16:46:50Z,1,2,MERGED
chomp,add question decks,https://github.com/gator-labs/chomp/pull/38,2024-03-22T16:07:08Z,2024-03-22T16:07:22Z,1,1,MERGED
chomp,upgrade dynamic packages,https://github.com/gator-labs/chomp/pull/37,2024-03-22T10:35:37Z,2024-03-22T10:35:42Z,1,1,MERGED
chomp,Add answer result,https://github.com/gator-labs/chomp/pull/36,2024-03-21T19:09:01Z,2024-03-21T19:09:11Z,1,1,MERGED
chomp,"Introduce graphic, add no questions card and patch text sizes",https://github.com/gator-labs/chomp/pull/35,2024-03-21T18:36:22Z,2024-03-21T18:36:28Z,1,1,MERGED
chomp,Add ranking,https://github.com/gator-labs/chomp/pull/34,2024-03-21T17:26:19Z,2024-03-21T17:26:30Z,1,1,MERGED
chomp,Add question card,https://github.com/gator-labs/chomp/pull/33,2024-03-21T17:04:17Z,2024-03-21T17:04:24Z,1,1,MERGED
chomp,fix build,https://github.com/gator-labs/chomp/pull/32,2024-03-21T14:52:12Z,2024-03-21T14:52:18Z,1,1,MERGED
chomp,admin page,https://github.com/gator-labs/chomp/pull/31,2024-03-21T14:46:16Z,2024-03-21T14:46:29Z,1,1,MERGED
chomp,wrap token balance in suspense,https://github.com/gator-labs/chomp/pull/30,2024-03-21T11:13:01Z,2024-03-21T11:13:23Z,1,1,MERGED
chomp,home switch navigation,https://github.com/gator-labs/chomp/pull/29,2024-03-21T11:07:46Z,2024-03-21T11:07:52Z,1,1,MERGED
chomp,Add profile,https://github.com/gator-labs/chomp/pull/28,2024-03-20T19:07:32Z,2024-03-20T19:35:53Z,1,1,MERGED
chomp,Add home indicator,https://github.com/gator-labs/chomp/pull/27,2024-03-20T18:48:00Z,2024-03-20T19:35:42Z,1,1,MERGED
chomp,Add true false scale,https://github.com/gator-labs/chomp/pull/26,2024-03-20T18:18:28Z,2024-03-20T19:35:30Z,1,1,MERGED
chomp,Add tag,https://github.com/gator-labs/chomp/pull/25,2024-03-20T17:45:36Z,2024-03-20T19:35:20Z,1,1,MERGED
chomp,Add level progress,https://github.com/gator-labs/chomp/pull/24,2024-03-20T17:32:11Z,2024-03-20T19:35:09Z,1,1,MERGED
chomp,Add navbar,https://github.com/gator-labs/chomp/pull/23,2024-03-20T17:21:50Z,2024-03-20T19:34:58Z,1,1,MERGED
