repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
tab-homepage,Update ads.txt,https://github.com/gladly-team/tab-homepage/pull/50,2019-07-01T18:04:31Z,2019-07-01T18:04:36Z,0,2,MERGED
tab-homepage,Update ads.txt,https://github.com/gladly-team/tab-homepage/pull/49,2019-06-27T21:16:31Z,2019-06-27T21:16:37Z,0,2,MERGED
tab-homepage,Update Sovrn's ads.txt,https://github.com/gladly-team/tab-homepage/pull/48,2019-06-26T17:03:53Z,2019-06-26T17:16:13Z,1,1,MERGED
tab-homepage,Update ads.txt for Amazon,https://github.com/gladly-team/tab-homepage/pull/47,2019-06-18T19:47:57Z,2019-06-18T19:53:33Z,2,1,MERGED
tab-homepage,Update referrers.yml,https://github.com/gladly-team/tab-homepage/pull/55,2019-10-03T17:56:45Z,2019-10-03T18:04:59Z,0,1,MERGED
tab-homepage,Create a redirect page to the appropriate search extension,https://github.com/gladly-team/tab-homepage/pull/54,2019-09-20T17:15:52Z,2019-09-20T17:23:05Z,1,1,MERGED
tab-homepage,Create a helper page that redirects to the appropriate extension store based on the browser,https://github.com/gladly-team/tab-homepage/pull/53,2019-08-23T00:54:06Z,2019-08-23T01:28:40Z,2,5,MERGED
tab-homepage,Add Q2 2019 financial report,https://github.com/gladly-team/tab-homepage/pull/52,2019-08-22T20:50:29Z,2019-08-22T20:50:34Z,0,1,MERGED
tab-homepage,Add Search for a Cause branding to shared pages,https://github.com/gladly-team/tab-homepage/pull/51,2019-08-22T20:29:17Z,2019-08-22T20:29:26Z,0,19,MERGED
tab-homepage,Add Q3 2019 financials,https://github.com/gladly-team/tab-homepage/pull/61,2019-12-17T00:49:26Z,2019-12-17T00:49:32Z,0,1,MERGED
tab-homepage,Create page for tree planting campaign,https://github.com/gladly-team/tab-homepage/pull/58,2019-11-14T22:09:59Z,2019-11-14T22:16:17Z,1,13,MERGED
tab-homepage,Update referrers.yml,https://github.com/gladly-team/tab-homepage/pull/57,2019-11-08T18:57:34Z,2019-11-08T19:06:10Z,0,1,MERGED
tab-homepage,Add a notification about COVID-19 relief,https://github.com/gladly-team/tab-homepage/pull/65,2020-03-18T22:07:17Z,2020-03-18T22:17:03Z,1,1,MERGED
tab-homepage,Add Q4 2019 financials,https://github.com/gladly-team/tab-homepage/pull/74,2020-05-29T23:00:45Z,2020-05-29T23:03:39Z,0,2,MERGED
tab-homepage,Update money raised,https://github.com/gladly-team/tab-homepage/pull/73,2020-05-13T00:02:32Z,2020-05-13T00:48:44Z,1,1,MERGED
tab-homepage,Add a Tab v4 beta page,https://github.com/gladly-team/tab-homepage/pull/72,2020-05-11T23:44:38Z,2020-05-11T23:54:14Z,1,3,MERGED
tab-homepage,Update No Kid Hungry impact on COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/71,2020-05-01T17:40:02Z,2020-05-01T17:43:46Z,1,1,MERGED
tab-homepage,Update COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/70,2020-04-27T23:29:11Z,2020-04-27T23:45:57Z,1,1,MERGED
tab-homepage,Update the COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/69,2020-04-17T18:41:38Z,2020-04-17T21:24:16Z,1,4,MERGED
tab-homepage,Add an FAQ about COVID-19 campaigns,https://github.com/gladly-team/tab-homepage/pull/68,2020-04-09T21:55:31Z,2020-04-09T21:59:21Z,1,1,MERGED
tab-homepage,Update COVID-19 relief efforts,https://github.com/gladly-team/tab-homepage/pull/67,2020-04-09T00:11:49Z,2020-04-09T00:12:35Z,0,5,MERGED
tab-homepage,COVID-19 page,https://github.com/gladly-team/tab-homepage/pull/66,2020-04-01T18:35:18Z,2020-04-01T18:57:13Z,1,12,MERGED
tab-homepage,Add Cool Earth campaign to COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/81,2020-07-17T18:56:22Z,2020-07-17T19:11:28Z,0,1,MERGED
tab-homepage,Add Q1 2020 financials,https://github.com/gladly-team/tab-homepage/pull/79,2020-07-14T23:25:53Z,2020-07-14T23:25:59Z,0,1,MERGED
tab-homepage,Add CodeFuel info to privacy policy,https://github.com/gladly-team/tab-homepage/pull/78,2020-06-23T22:15:02Z,2020-06-23T22:26:26Z,0,2,MERGED
tab-homepage,Add Edge extension,https://github.com/gladly-team/tab-homepage/pull/76,2020-06-05T18:00:21Z,2020-06-05T22:39:37Z,0,9,MERGED
tab-homepage,Update COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/75,2020-06-02T22:30:48Z,2020-06-02T22:30:54Z,0,2,MERGED
tab-homepage,Upgrade dependencies,https://github.com/gladly-team/tab-homepage/pull/98,2020-10-20T19:23:20Z,2020-10-20T20:22:48Z,1,4,MERGED
tab-homepage,Update money raised,https://github.com/gladly-team/tab-homepage/pull/96,2020-09-28T21:51:31Z,2020-09-28T22:16:46Z,0,1,MERGED
tab-homepage,Update eng job contact email,https://github.com/gladly-team/tab-homepage/pull/95,2020-09-22T23:11:09Z,2020-09-22T23:25:13Z,0,2,MERGED
tab-homepage,Update COVID-19 info page,https://github.com/gladly-team/tab-homepage/pull/94,2020-09-22T23:02:30Z,2020-09-22T23:08:39Z,0,1,MERGED
tab-homepage,Add Miranda to team page,https://github.com/gladly-team/tab-homepage/pull/92,2020-09-17T20:40:32Z,2020-09-17T20:40:37Z,0,1,MERGED
tab-homepage,Tweak eng job description,https://github.com/gladly-team/tab-homepage/pull/91,2020-09-17T18:01:04Z,2020-09-17T18:05:37Z,0,1,MERGED
tab-homepage,Update jobs page,https://github.com/gladly-team/tab-homepage/pull/90,2020-09-11T17:13:28Z,2020-09-11T17:13:36Z,0,3,MERGED
tab-homepage,Update ads.txt,https://github.com/gladly-team/tab-homepage/pull/88,2020-09-01T18:04:10Z,2020-09-01T18:06:26Z,0,2,MERGED
tab-homepage,Update privacy policy,https://github.com/gladly-team/tab-homepage/pull/87,2020-09-01T17:37:52Z,2020-09-01T17:43:07Z,0,1,MERGED
tab-homepage,Remove advertisers link from footer,https://github.com/gladly-team/tab-homepage/pull/86,2020-09-01T17:19:54Z,2020-09-01T17:26:10Z,0,1,MERGED
tab-homepage,Update jobs page,https://github.com/gladly-team/tab-homepage/pull/85,2020-08-19T18:19:59Z,2020-08-19T18:33:36Z,0,9,MERGED
tab-homepage,Update ads.txt,https://github.com/gladly-team/tab-homepage/pull/84,2020-08-06T22:23:10Z,2020-08-06T22:23:15Z,0,1,MERGED
tab-homepage,Update tree planting info page,https://github.com/gladly-team/tab-homepage/pull/104,2020-12-01T15:51:41Z,2020-12-01T15:51:48Z,0,3,MERGED
tab-homepage,Add financials,https://github.com/gladly-team/tab-homepage/pull/103,2020-11-17T18:54:58Z,2020-11-17T18:55:32Z,0,1,MERGED
tab-homepage,Add a millionaire matching subpage to $1M celebration,https://github.com/gladly-team/tab-homepage/pull/102,2020-11-06T00:46:38Z,2020-11-06T18:14:43Z,1,1,MERGED
tab-homepage,Enable the $1M raised page on production,https://github.com/gladly-team/tab-homepage/pull/101,2020-11-04T06:16:47Z,2020-11-04T16:04:25Z,1,1,MERGED
tab-homepage,Update share copy and images for $1M raised page,https://github.com/gladly-team/tab-homepage/pull/100,2020-11-03T22:09:23Z,2020-11-04T06:14:50Z,1,13,MERGED
tab-homepage,Create $1M raised info page,https://github.com/gladly-team/tab-homepage/pull/99,2020-11-03T19:12:29Z,2020-11-03T21:18:30Z,1,93,MERGED
tab-homepage,Update cats FAQ copy,https://github.com/gladly-team/tab-homepage/pull/138,2021-03-30T00:50:09Z,2021-03-30T00:58:25Z,1,2,MERGED
tab-homepage,add favicon to cats page,https://github.com/gladly-team/tab-homepage/pull/137,2021-03-29T23:59:37Z,2021-03-30T00:27:16Z,1,1,MERGED
tab-homepage,Alec/tfac 300,https://github.com/gladly-team/tab-homepage/pull/136,2021-03-29T18:36:06Z,2021-03-30T00:20:03Z,2,11,MERGED
tab-homepage,add error dialog to cats page,https://github.com/gladly-team/tab-homepage/pull/135,2021-03-25T21:36:48Z,2021-03-25T22:34:50Z,1,1,MERGED
tab-homepage,disable firefox support,https://github.com/gladly-team/tab-homepage/pull/134,2021-03-25T19:18:18Z,2021-03-25T20:23:46Z,1,2,MERGED
tab-homepage,setting a user property,https://github.com/gladly-team/tab-homepage/pull/133,2021-03-25T18:54:24Z,2021-03-25T18:54:36Z,0,1,MERGED
tab-homepage,try one more thing,https://github.com/gladly-team/tab-homepage/pull/132,2021-03-25T18:34:19Z,2021-03-25T18:34:26Z,0,1,MERGED
tab-homepage,add debug mode,https://github.com/gladly-team/tab-homepage/pull/131,2021-03-25T18:05:01Z,2021-03-25T18:05:09Z,0,1,MERGED
tab-homepage,Alec/tfac 300,https://github.com/gladly-team/tab-homepage/pull/130,2021-03-25T16:58:07Z,2021-03-25T16:58:33Z,0,2,MERGED
