repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
govuk-react,[Snyk] Fix for 1 vulnerable dependencies,https://github.com/govuk-react/govuk-react/pull/698,2019-07-05T05:15:27Z,2021-02-19T10:51:19Z,2,1,CLOSED
govuk-react,v0.7.2,https://github.com/govuk-react/govuk-react/pull/696,2019-07-04T12:28:16Z,2019-07-04T13:04:45Z,2,1,MERGED
govuk-react,Deduplicate yarn.lock,https://github.com/govuk-react/govuk-react/pull/695,2019-07-04T10:25:11Z,2019-07-04T12:13:57Z,2,1,MERGED
govuk-react,Update react-transition-group,https://github.com/govuk-react/govuk-react/pull/694,2019-07-04T08:25:18Z,2019-07-04T10:22:23Z,12,3,MERGED
govuk-react,[Snyk] Fix for 1 vulnerable dependencies,https://github.com/govuk-react/govuk-react/pull/693,2019-07-04T07:42:00Z,2021-02-19T10:51:18Z,2,1,CLOSED
govuk-react,Update flow-bin to the latest version,https://github.com/govuk-react/govuk-react/pull/692,2019-07-04T06:57:49Z,2019-07-04T08:01:38Z,8,2,MERGED
govuk-react,[Snyk] Fix for 1 vulnerable dependencies,https://github.com/govuk-react/govuk-react/pull/691,2019-07-04T02:44:54Z,2021-02-19T10:51:18Z,2,1,CLOSED
govuk-react,[Snyk] Fix for 1 vulnerable dependencies,https://github.com/govuk-react/govuk-react/pull/690,2019-07-04T01:16:55Z,2021-02-19T10:51:18Z,2,1,CLOSED
govuk-react,[Snyk] Fix for 1 vulnerable dependencies,https://github.com/govuk-react/govuk-react/pull/689,2019-07-03T21:45:00Z,2021-02-19T10:51:47Z,2,1,CLOSED
govuk-react,Update yarn.lock after greenkeeper react-testing-library update,https://github.com/govuk-react/govuk-react/pull/688,2019-07-03T15:10:36Z,2019-07-04T06:46:17Z,2,1,MERGED
govuk-react,v0.7.2,https://github.com/govuk-react/govuk-react/pull/687,2019-07-03T14:35:12Z,2019-07-03T15:04:49Z,3,1,CLOSED
govuk-react,Trollololol,https://github.com/govuk-react/govuk-react/pull/709,2019-10-30T15:56:07Z,2019-10-30T19:24:47Z,1,1,CLOSED
