repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
hmis-frontend,"Use warehouse backend, set up routes for dashboard, Enrollments tab",https://github.com/greenriver/hmis-frontend/pull/10,2022-07-29T21:03:09Z,2022-08-03T16:10:33Z,1,9,MERGED
hmis-frontend,Use warehouse client query,https://github.com/greenriver/hmis-frontend/pull/9,2022-07-29T21:03:03Z,2022-08-02T13:48:46Z,1,2,CLOSED
hmis-frontend,Fix config,https://github.com/greenriver/hmis-frontend/pull/8,2022-07-27T22:30:24Z,2022-07-28T12:22:14Z,1,1,MERGED
hmis-frontend,"Implement client dashboard, HMIS util fns, and more",https://github.com/greenriver/hmis-frontend/pull/7,2022-07-27T20:24:58Z,2022-07-29T15:22:15Z,0,9,MERGED
hmis-frontend,Use gqlTypes,https://github.com/greenriver/hmis-frontend/pull/6,2022-07-27T12:59:45Z,2022-07-29T15:18:07Z,0,7,MERGED
hmis-frontend,Add codegen,https://github.com/greenriver/hmis-frontend/pull/5,2022-07-22T21:38:35Z,2022-07-27T12:27:35Z,2,1,MERGED
hmis-frontend,"WIP implementation of dynamic forms, used for Search and Intake",https://github.com/greenriver/hmis-frontend/pull/4,2022-07-22T19:31:32Z,2022-07-25T13:18:46Z,4,1,MERGED
hmis-frontend,"Show devise error message if login failed, add hmis error type",https://github.com/greenriver/hmis-frontend/pull/3,2022-07-20T18:19:06Z,2022-07-20T19:32:21Z,0,1,MERGED
hmis-frontend,Update Client search and and use mock data,https://github.com/greenriver/hmis-frontend/pull/2,2022-07-19T17:15:57Z,2022-07-19T17:16:18Z,0,10,MERGED
hmis-frontend,Fix github action case sensitivity issue,https://github.com/greenriver/hmis-frontend/pull/1,2022-07-12T10:12:12Z,2022-07-12T10:28:38Z,0,5,MERGED
hmis-frontend,Make click to show keyboard navigable,https://github.com/greenriver/hmis-frontend/pull/67,2022-10-31T15:13:14Z,2022-10-31T15:26:48Z,0,1,MERGED
hmis-frontend,Edit client details screen,https://github.com/greenriver/hmis-frontend/pull/66,2022-10-31T14:39:36Z,2022-11-01T12:59:30Z,0,9,MERGED
hmis-frontend,"EnableWhen tests, support Enable-When-Enabled, working PriorLivingSituation",https://github.com/greenriver/hmis-frontend/pull/65,2022-10-26T21:00:55Z,2022-10-28T18:55:17Z,0,4,MERGED
hmis-frontend,Highlight empty relationship field after HoH is changed,https://github.com/greenriver/hmis-frontend/pull/64,2022-10-26T18:27:04Z,2022-10-26T18:40:13Z,0,1,MERGED
hmis-frontend,"Disable ripple, custom focus styles",https://github.com/greenriver/hmis-frontend/pull/63,2022-10-26T17:48:04Z,2022-10-26T17:54:44Z,0,2,MERGED
hmis-frontend,Some yarn upgrades,https://github.com/greenriver/hmis-frontend/pull/62,2022-10-26T15:36:15Z,2022-10-26T16:41:45Z,0,1,MERGED
hmis-frontend,Set up localization,https://github.com/greenriver/hmis-frontend/pull/61,2022-10-26T15:18:13Z,2022-10-26T15:28:51Z,0,3,MERGED
hmis-frontend,"More enums, expanded enableWhen logic",https://github.com/greenriver/hmis-frontend/pull/60,2022-10-25T17:13:37Z,2022-10-26T21:00:14Z,0,7,MERGED
hmis-frontend,"Use backend form types, fetch definitions from backend",https://github.com/greenriver/hmis-frontend/pull/59,2022-10-24T15:50:11Z,2022-10-25T17:19:44Z,0,7,MERGED
hmis-frontend,Assessments and paginated projects,https://github.com/greenriver/hmis-frontend/pull/58,2022-10-21T14:04:53Z,2022-10-21T17:04:25Z,0,2,MERGED
hmis-frontend,Adjusts proxy timeouts,https://github.com/greenriver/hmis-frontend/pull/57,2022-10-20T15:23:09Z,2022-10-20T15:46:09Z,1,1,MERGED
hmis-frontend,Create/edit inventory,https://github.com/greenriver/hmis-frontend/pull/56,2022-10-19T21:23:45Z,2022-10-20T13:27:18Z,0,5,MERGED
hmis-frontend,Refetch csrf token if expired on login,https://github.com/greenriver/hmis-frontend/pull/55,2022-10-17T13:00:22Z,2022-10-17T13:14:41Z,0,1,MERGED
hmis-frontend,"Fix datepicker bug and add date tests, show project inactive",https://github.com/greenriver/hmis-frontend/pull/54,2022-10-14T18:13:41Z,2022-10-14T18:22:09Z,0,1,MERGED
hmis-frontend,"Fix form grid system, scrollTo, project updates",https://github.com/greenriver/hmis-frontend/pull/53,2022-10-13T19:02:59Z,2022-10-13T19:56:58Z,0,4,MERGED
hmis-frontend,Form field validation and add back victimServiceProvider,https://github.com/greenriver/hmis-frontend/pull/52,2022-10-13T18:01:11Z,2022-10-13T18:27:28Z,0,2,MERGED
hmis-frontend,Pass null for victimServiceProvider,https://github.com/greenriver/hmis-frontend/pull/51,2022-10-13T12:24:23Z,2022-10-13T12:24:35Z,0,1,MERGED
hmis-frontend,Fetch new csrf token on logout,https://github.com/greenriver/hmis-frontend/pull/50,2022-10-12T19:55:56Z,2022-10-12T19:59:57Z,0,1,MERGED
hmis-frontend,Redirect on login; logout when session expires,https://github.com/greenriver/hmis-frontend/pull/49,2022-10-12T17:42:25Z,2022-10-12T18:22:22Z,0,2,MERGED
hmis-frontend,Update form rendering,https://github.com/greenriver/hmis-frontend/pull/48,2022-10-11T11:53:01Z,2022-10-11T12:12:49Z,0,1,MERGED
hmis-frontend,Use links for clickable table rows,https://github.com/greenriver/hmis-frontend/pull/47,2022-10-07T18:38:32Z,2022-10-07T18:39:13Z,0,2,MERGED
hmis-frontend,Bug fixes and updates,https://github.com/greenriver/hmis-frontend/pull/46,2022-10-06T20:11:54Z,2022-10-07T12:25:54Z,0,5,MERGED
hmis-frontend,"More household updates, RouterLink and ButtonLink components",https://github.com/greenriver/hmis-frontend/pull/45,2022-10-03T20:35:41Z,2022-10-03T20:48:10Z,0,5,MERGED
hmis-frontend,Remove codes from enum descriptions,https://github.com/greenriver/hmis-frontend/pull/44,2022-10-03T15:20:09Z,2022-10-03T15:23:50Z,0,2,MERGED
hmis-frontend,"Project and household updates, and better caching",https://github.com/greenriver/hmis-frontend/pull/43,2022-10-03T14:30:10Z,2022-10-03T14:38:45Z,0,2,MERGED
hmis-frontend,Household management updates,https://github.com/greenriver/hmis-frontend/pull/42,2022-10-02T17:33:54Z,2022-10-02T21:15:23Z,0,1,MERGED
hmis-frontend,Use EditRecord for client creation/editing,https://github.com/greenriver/hmis-frontend/pull/41,2022-09-30T21:02:56Z,2022-09-30T21:03:35Z,0,1,MERGED
hmis-frontend,"Add ability to create Projects/Orgs, style updates to household",https://github.com/greenriver/hmis-frontend/pull/40,2022-09-30T20:51:44Z,2022-09-30T20:59:22Z,0,5,MERGED
hmis-frontend,Editing Project/Orgs and enum valueSet generation,https://github.com/greenriver/hmis-frontend/pull/39,2022-09-29T23:06:18Z,2022-09-30T12:38:57Z,0,5,MERGED
hmis-frontend,Link to Warehouse and CAS,https://github.com/greenriver/hmis-frontend/pull/38,2022-09-29T14:31:08Z,2022-09-29T14:51:28Z,0,3,MERGED
hmis-frontend,Updates to household and styles,https://github.com/greenriver/hmis-frontend/pull/37,2022-09-28T20:24:43Z,2022-09-28T20:41:33Z,0,3,MERGED
hmis-frontend,WIP projects and organizations,https://github.com/greenriver/hmis-frontend/pull/36,2022-09-22T16:00:53Z,2022-09-22T17:03:52Z,0,6,MERGED
hmis-frontend,Reflect setHoH relationship changes; handle setHoH error,https://github.com/greenriver/hmis-frontend/pull/35,2022-09-19T13:46:57Z,2022-09-19T13:54:39Z,0,1,MERGED
hmis-frontend,"Household: change HoH, change entry date, change relationship, and remove members",https://github.com/greenriver/hmis-frontend/pull/34,2022-09-15T15:13:52Z,2022-09-15T15:18:41Z,0,3,MERGED
hmis-frontend,Fix bugs on household,https://github.com/greenriver/hmis-frontend/pull/33,2022-09-14T18:47:49Z,2022-09-14T19:10:41Z,0,3,MERGED
hmis-frontend,Connect edit household page to new mutation,https://github.com/greenriver/hmis-frontend/pull/32,2022-09-14T16:10:39Z,2022-09-14T18:11:21Z,0,4,MERGED
hmis-frontend,Update household management,https://github.com/greenriver/hmis-frontend/pull/31,2022-09-12T22:00:44Z,2022-09-12T22:03:25Z,0,3,MERGED
hmis-frontend,"Sort members on household member table, show relationship",https://github.com/greenriver/hmis-frontend/pull/30,2022-09-12T17:25:07Z,2022-09-12T17:25:29Z,0,1,MERGED
hmis-frontend,Render enrollment status,https://github.com/greenriver/hmis-frontend/pull/29,2022-09-12T12:29:50Z,2022-09-12T15:30:13Z,0,1,MERGED
hmis-frontend,Hit API to create new Enrollments,https://github.com/greenriver/hmis-frontend/pull/28,2022-09-02T21:15:27Z,2022-09-12T15:30:27Z,0,8,MERGED
hmis-frontend,Improvements to household management,https://github.com/greenriver/hmis-frontend/pull/27,2022-09-02T21:02:42Z,2022-09-02T21:13:03Z,0,1,MERGED
hmis-frontend,Add Household Member screen with embedded search and recent member table,https://github.com/greenriver/hmis-frontend/pull/26,2022-09-02T13:44:10Z,2022-09-02T13:49:02Z,0,2,MERGED
hmis-frontend,Recent household members table,https://github.com/greenriver/hmis-frontend/pull/25,2022-09-01T17:06:29Z,2022-09-01T17:12:21Z,0,2,MERGED
hmis-frontend,Add view assessment page and move readFragment into breadcrumb hook,https://github.com/greenriver/hmis-frontend/pull/24,2022-08-30T19:14:59Z,2022-09-01T13:01:53Z,0,1,MERGED
hmis-frontend,"Update client search, use URL search parameters",https://github.com/greenriver/hmis-frontend/pull/23,2022-08-25T20:34:42Z,2022-08-30T17:42:53Z,0,6,MERGED
hmis-frontend,Show current commit in staging environment,https://github.com/greenriver/hmis-frontend/pull/22,2022-08-23T15:15:18Z,2022-08-23T19:40:42Z,0,4,MERGED
hmis-frontend,Use proxy_pass instead of rewrite for /hmis routes,https://github.com/greenriver/hmis-frontend/pull/21,2022-08-22T20:41:07Z,2022-08-22T20:47:25Z,0,4,MERGED
hmis-frontend,Remove PUBLIC_HMIS_GRAPHQL_API var,https://github.com/greenriver/hmis-frontend/pull/20,2022-08-22T19:20:06Z,2022-08-22T19:23:47Z,0,1,MERGED
hmis-frontend,Only build container on pushes to stable,https://github.com/greenriver/hmis-frontend/pull/19,2022-08-19T13:06:13Z,2022-08-19T13:12:59Z,0,1,MERGED
hmis-frontend,Audit dependencies on ci,https://github.com/greenriver/hmis-frontend/pull/18,2022-08-19T13:02:42Z,2022-08-19T13:07:02Z,0,1,MERGED
hmis-frontend,"Paginate enrollments table, add Household member table, use readFragment to get enrollment name",https://github.com/greenriver/hmis-frontend/pull/17,2022-08-18T21:05:25Z,2022-08-30T17:47:53Z,1,31,MERGED
hmis-frontend,Codegen for apollo hooks operations,https://github.com/greenriver/hmis-frontend/pull/16,2022-08-12T20:05:07Z,2022-08-18T13:43:36Z,0,5,MERGED
hmis-frontend,Use client query,https://github.com/greenriver/hmis-frontend/pull/15,2022-08-12T18:25:24Z,2022-08-18T13:42:49Z,0,4,MERGED
hmis-frontend,Initial configuration for github actions and docker,https://github.com/greenriver/hmis-frontend/pull/14,2022-08-12T18:18:11Z,2022-08-12T18:46:01Z,0,16,MERGED
hmis-frontend,Add batch link,https://github.com/greenriver/hmis-frontend/pull/13,2022-08-11T21:36:22Z,2022-08-18T13:42:37Z,0,1,MERGED
hmis-frontend,Use Client mutation query; Enrollment tab breadcrumbs; more assessment,https://github.com/greenriver/hmis-frontend/pull/12,2022-08-11T18:56:06Z,2022-08-12T12:43:51Z,0,5,MERGED
hmis-frontend,Regenerate gql types,https://github.com/greenriver/hmis-frontend/pull/11,2022-08-09T17:13:51Z,2022-08-11T18:54:10Z,0,2,MERGED
hmis-frontend,"E2E test for Organization, Project, Funder, ProjectCoC, and Inventory",https://github.com/greenriver/hmis-frontend/pull/114,2022-12-23T17:37:41Z,2023-01-10T16:36:28Z,1,7,MERGED
hmis-frontend,184052669 ssn input,https://github.com/greenriver/hmis-frontend/pull/113,2022-12-23T16:21:57Z,2023-01-02T13:36:47Z,4,5,MERGED
hmis-frontend,"Validate min/max on blur, fix caching issues",https://github.com/greenriver/hmis-frontend/pull/112,2022-12-23T15:44:00Z,2022-12-23T16:12:08Z,0,2,MERGED
hmis-frontend,Gig/fetch user on load,https://github.com/greenriver/hmis-frontend/pull/111,2022-12-22T14:30:36Z,2022-12-22T14:39:06Z,0,2,MERGED
hmis-frontend,"Install sentry, add additional error details, show stack trace in development",https://github.com/greenriver/hmis-frontend/pull/110,2022-12-21T18:28:04Z,2022-12-21T21:15:47Z,0,2,MERGED
hmis-frontend,Bed/Unit management (not exposed),https://github.com/greenriver/hmis-frontend/pull/109,2022-12-20T21:20:36Z,2023-01-04T15:42:42Z,0,11,MERGED
hmis-frontend,Add project search,https://github.com/greenriver/hmis-frontend/pull/108,2022-12-20T19:00:45Z,2023-01-02T16:05:06Z,3,3,MERGED
hmis-frontend,Zparks/pr feedback 12 20 22,https://github.com/greenriver/hmis-frontend/pull/107,2022-12-20T16:11:06Z,2022-12-20T18:45:16Z,0,6,MERGED
hmis-frontend,E2E test for intake assessment,https://github.com/greenriver/hmis-frontend/pull/106,2022-12-20T13:59:40Z,2022-12-23T13:30:17Z,0,10,MERGED
hmis-frontend,"Limit CoC options, dont show autofill if unimplemented",https://github.com/greenriver/hmis-frontend/pull/105,2022-12-19T19:52:18Z,2022-12-20T13:23:16Z,0,1,MERGED
hmis-frontend,183561015 client omnisearch,https://github.com/greenriver/hmis-frontend/pull/104,2022-12-16T22:08:44Z,2022-12-19T17:05:23Z,4,5,MERGED
hmis-frontend,"Checkbox radio buttons, group refactor, 'brief text' support, placeholders",https://github.com/greenriver/hmis-frontend/pull/103,2022-12-16T21:50:27Z,2022-12-19T17:14:56Z,0,2,MERGED
hmis-frontend,"Fix project creation, update save order and banner",https://github.com/greenriver/hmis-frontend/pull/102,2022-12-16T20:59:14Z,2022-12-16T21:43:39Z,0,2,MERGED
hmis-frontend,Add client sort option input,https://github.com/greenriver/hmis-frontend/pull/101,2022-12-15T23:03:37Z,2022-12-16T18:12:47Z,2,2,MERGED
hmis-frontend,Add some documentation on how to enable the warehouse backend.,https://github.com/greenriver/hmis-frontend/pull/100,2022-12-15T21:06:32Z,2022-12-16T16:11:39Z,0,1,MERGED
hmis-frontend,"Update form styles, use sticky nav when >3 groups, move nav into EditRecord",https://github.com/greenriver/hmis-frontend/pull/99,2022-12-15T19:40:55Z,2022-12-16T16:12:49Z,0,6,MERGED
hmis-frontend,Set up Cypress and mock apollo server,https://github.com/greenriver/hmis-frontend/pull/98,2022-12-14T18:12:51Z,2022-12-15T14:39:54Z,0,17,MERGED
hmis-frontend,Add image to client card,https://github.com/greenriver/hmis-frontend/pull/97,2022-12-14T00:00:49Z,2023-01-02T16:03:03Z,1,2,MERGED
hmis-frontend,Add client pronouns logic,https://github.com/greenriver/hmis-frontend/pull/96,2022-12-13T21:22:58Z,2022-12-15T17:02:45Z,1,2,MERGED
hmis-frontend,Add validation logic,https://github.com/greenriver/hmis-frontend/pull/95,2022-12-12T22:56:39Z,2022-12-14T14:15:05Z,3,2,MERGED
hmis-frontend,Hide value from disabled elements,https://github.com/greenriver/hmis-frontend/pull/94,2022-12-12T19:21:29Z,2022-12-12T19:37:19Z,0,1,MERGED
hmis-frontend,Sticky form navigation,https://github.com/greenriver/hmis-frontend/pull/93,2022-12-12T16:56:42Z,2022-12-12T17:17:06Z,0,4,MERGED
hmis-frontend,Show entry/exit date on intake/exit assessments,https://github.com/greenriver/hmis-frontend/pull/92,2022-12-12T15:36:50Z,2022-12-12T15:46:46Z,0,1,MERGED
hmis-frontend,Debug log for form,https://github.com/greenriver/hmis-frontend/pull/91,2022-12-09T15:38:51Z,2022-12-09T16:39:50Z,0,1,MERGED
hmis-frontend,Update schema,https://github.com/greenriver/hmis-frontend/pull/89,2022-12-08T17:30:49Z,2022-12-09T15:37:17Z,0,1,MERGED
hmis-frontend,Add remaining income benefit fields and other fixes,https://github.com/greenriver/hmis-frontend/pull/88,2022-12-08T17:18:21Z,2022-12-09T15:03:59Z,0,5,MERGED
hmis-frontend,"Clean up assessment mutations, send hud values on submit",https://github.com/greenriver/hmis-frontend/pull/87,2022-12-07T22:45:33Z,2022-12-08T17:34:09Z,0,5,MERGED
hmis-frontend,Support confirmation dialog on form submit,https://github.com/greenriver/hmis-frontend/pull/86,2022-12-07T19:58:59Z,2022-12-07T20:19:41Z,0,3,MERGED
hmis-frontend,Add radio buttons; fix disability bugs; add clear option; default disallow negative numbers,https://github.com/greenriver/hmis-frontend/pull/85,2022-12-05T22:01:35Z,2022-12-07T19:38:50Z,0,5,MERGED
hmis-frontend,Add inventory and funder limits,https://github.com/greenriver/hmis-frontend/pull/84,2022-12-01T19:29:32Z,2022-12-01T21:23:35Z,0,5,MERGED
hmis-frontend,Autofill values and dompurify for display,https://github.com/greenriver/hmis-frontend/pull/83,2022-12-01T15:55:04Z,2022-12-01T19:19:31Z,0,1,MERGED
hmis-frontend,Support populating disability section of assessment,https://github.com/greenriver/hmis-frontend/pull/82,2022-11-29T21:40:43Z,2022-12-01T13:36:46Z,1,4,MERGED
hmis-frontend,Gig/record picker updates,https://github.com/greenriver/hmis-frontend/pull/81,2022-11-29T20:35:48Z,2022-11-29T20:36:20Z,0,3,MERGED
hmis-frontend,YesNoDisplay and RelativeDate display components,https://github.com/greenriver/hmis-frontend/pull/80,2022-11-28T17:02:32Z,2022-11-28T17:06:23Z,0,3,MERGED
hmis-frontend,Update record picker,https://github.com/greenriver/hmis-frontend/pull/79,2022-11-28T16:20:40Z,2022-11-28T16:25:58Z,0,1,MERGED
hmis-frontend,Form population by section,https://github.com/greenriver/hmis-frontend/pull/78,2022-11-18T19:34:49Z,2022-11-22T14:29:36Z,0,10,MERGED
hmis-frontend,Horizontal error msg,https://github.com/greenriver/hmis-frontend/pull/77,2022-11-17T16:52:05Z,2022-11-17T18:40:57Z,0,1,MERGED
hmis-frontend,Regenerate enums,https://github.com/greenriver/hmis-frontend/pull/75,2022-11-15T14:41:27Z,2022-11-17T20:12:56Z,0,3,MERGED
hmis-frontend,Dynamic input group components; horizontal form display; toggle input for y/n/dk/r,https://github.com/greenriver/hmis-frontend/pull/74,2022-11-11T21:08:25Z,2022-11-15T14:23:59Z,0,3,MERGED
hmis-frontend,Fix enum sorting issues for funder and length of stay,https://github.com/greenriver/hmis-frontend/pull/73,2022-11-11T15:34:29Z,2022-11-11T15:34:34Z,0,1,MERGED
hmis-frontend,Highlight relationship to hoh fields,https://github.com/greenriver/hmis-frontend/pull/71,2022-11-03T19:43:59Z,2022-11-03T19:52:51Z,0,1,MERGED
hmis-frontend,Save prompt banner on assessments,https://github.com/greenriver/hmis-frontend/pull/70,2022-11-02T20:43:10Z,2022-11-03T13:27:06Z,0,1,MERGED
hmis-frontend,Gig/yesnoinput,https://github.com/greenriver/hmis-frontend/pull/69,2022-11-02T17:03:53Z,2022-11-02T18:25:56Z,0,2,MERGED
hmis-frontend,"Forms: min/max values, custom enum sorting, initial selected option; optimizations",https://github.com/greenriver/hmis-frontend/pull/68,2022-11-01T21:09:03Z,2022-11-02T18:25:46Z,0,5,MERGED
