repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
grommet,Took out JSX and added Omit to Placeholder,https://github.com/grommet/grommet/pull/3233,2019-07-30T16:21:17Z,2019-07-31T18:13:30Z,4,7,MERGED
grommet,Addit omit for placeholder in Formfield to work with TS,https://github.com/grommet/grommet/pull/3232,2019-07-30T16:08:28Z,2019-08-02T18:19:49Z,1,4,CLOSED
grommet,[TS] Tab - omit the HTML attribute title type,https://github.com/grommet/grommet/pull/3231,2019-07-30T15:51:59Z,2019-07-31T16:49:09Z,2,2,MERGED
grommet,Button - adding active style docs to theme,https://github.com/grommet/grommet/pull/3230,2019-07-29T19:36:39Z,2019-07-30T02:55:55Z,3,1,MERGED
grommet,Button and icon with corresponding color logic,https://github.com/grommet/grommet/pull/3228,2019-07-26T21:17:19Z,2019-09-09T21:50:28Z,5,16,CLOSED
grommet,Update RadioButton documentation,https://github.com/grommet/grommet/pull/3227,2019-07-26T20:38:12Z,2019-07-26T21:04:20Z,0,1,MERGED
grommet,Radio button docs,https://github.com/grommet/grommet/pull/3226,2019-07-25T19:55:22Z,2019-07-26T17:22:07Z,16,23,MERGED
grommet,Use string method supported in ie11 (closes #3221),https://github.com/grommet/grommet/pull/3223,2019-07-25T11:39:09Z,2019-07-30T21:38:27Z,10,3,MERGED
grommet,Add missing prop type `plain` for MaskedInput.,https://github.com/grommet/grommet/pull/3219,2019-07-24T01:18:22Z,2019-07-24T01:26:30Z,1,3,MERGED
grommet,MaskedInput - Event propagation onEsc,https://github.com/grommet/grommet/pull/3217,2019-07-23T23:26:53Z,2019-07-24T15:02:41Z,0,1,MERGED
grommet,Refine Stories,https://github.com/grommet/grommet/pull/3215,2019-07-23T22:54:28Z,2019-07-24T15:03:27Z,0,1,MERGED
grommet,Fix type signature of MaskedInput,https://github.com/grommet/grommet/pull/3214,2019-07-23T22:27:46Z,2019-07-23T22:39:35Z,1,1,MERGED
grommet,"Changed MaskedInput to allow number value, like TextInput",https://github.com/grommet/grommet/pull/3211,2019-07-23T18:58:47Z,2019-07-23T21:15:40Z,0,1,MERGED
grommet,Diagram - Added animated story,https://github.com/grommet/grommet/pull/3208,2019-07-22T21:41:11Z,2019-07-24T15:04:19Z,4,5,MERGED
grommet,Added to title in tab to be able to accept a react node with TS,https://github.com/grommet/grommet/pull/3207,2019-07-22T17:20:48Z,2019-07-30T15:52:06Z,4,2,CLOSED
grommet,Created Custom FormField for required! Cleaned up stories,https://github.com/grommet/grommet/pull/3206,2019-07-18T22:47:46Z,2019-07-19T15:38:26Z,4,2,MERGED
grommet,Add initialChild to Carousel,https://github.com/grommet/grommet/pull/3204,2019-07-18T02:35:29Z,2019-07-22T21:30:12Z,5,2,MERGED
