repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
apps-rendering,Advert placeholders,https://github.com/guardian/apps-rendering/pull/68,2019-10-28T11:44:28Z,2019-10-30T10:50:19Z,10,17,MERGED
apps-rendering,Only images should be full width,https://github.com/guardian/apps-rendering/pull/67,2019-10-25T13:41:33Z,2019-10-28T11:13:28Z,0,1,MERGED
apps-rendering,Migrate to src-utilities,https://github.com/guardian/apps-rendering/pull/66,2019-10-25T10:00:00Z,2019-10-25T10:36:52Z,0,2,MERGED
apps-rendering,Remove padding on p tags,https://github.com/guardian/apps-rendering/pull/65,2019-10-24T16:33:12Z,2019-10-24T17:11:37Z,0,3,MERGED
apps-rendering,Remove extra bracket,https://github.com/guardian/apps-rendering/pull/64,2019-10-24T11:26:19Z,2019-10-24T14:40:17Z,0,1,MERGED
apps-rendering,Passing Config Down With The Reader Monad,https://github.com/guardian/apps-rendering/pull/63,2019-10-23T17:21:53Z,2019-11-01T15:58:33Z,6,9,CLOSED
apps-rendering,Initial native API,https://github.com/guardian/apps-rendering/pull/62,2019-10-23T16:01:29Z,2019-11-11T18:21:36Z,11,6,CLOSED
apps-rendering,Remove header image margins,https://github.com/guardian/apps-rendering/pull/61,2019-10-23T14:15:43Z,2019-10-23T16:34:24Z,0,1,MERGED
apps-rendering,Remove image formatting JavaScript,https://github.com/guardian/apps-rendering/pull/60,2019-10-23T14:04:40Z,2019-10-23T16:34:38Z,0,1,MERGED
apps-rendering,Render interactive blocks,https://github.com/guardian/apps-rendering/pull/59,2019-10-21T09:59:27Z,2019-10-25T12:51:45Z,10,9,MERGED
apps-rendering,keyline improvements,https://github.com/guardian/apps-rendering/pull/58,2019-10-18T11:24:55Z,2019-10-18T13:15:03Z,0,1,MERGED
apps-rendering,Retrieve Header Image From Blocks API,https://github.com/guardian/apps-rendering/pull/57,2019-10-17T15:26:43Z,2019-10-17T15:34:44Z,0,2,MERGED
apps-rendering,Add test script to github workflows,https://github.com/guardian/apps-rendering/pull/56,2019-10-16T16:35:10Z,2019-10-21T13:10:45Z,0,1,MERGED
apps-rendering,Refactor Breakpoint-Related Styles,https://github.com/guardian/apps-rendering/pull/55,2019-10-15T10:53:52Z,2019-10-16T17:17:16Z,1,3,MERGED
apps-rendering,Webpack Jest,https://github.com/guardian/apps-rendering/pull/54,2019-10-14T14:59:25Z,2019-10-16T09:59:56Z,0,1,MERGED
apps-rendering,initial Jest test,https://github.com/guardian/apps-rendering/pull/53,2019-10-10T17:09:54Z,2019-10-21T13:08:17Z,7,13,MERGED
apps-rendering,Breakpoints For Articles and Liveblogs,https://github.com/guardian/apps-rendering/pull/52,2019-10-10T16:31:04Z,2019-10-14T10:34:09Z,6,3,MERGED
apps-rendering,Thrift generated types,https://github.com/guardian/apps-rendering/pull/51,2019-10-07T16:05:34Z,2019-10-10T16:09:50Z,6,5,MERGED
apps-rendering,Fastly URLs,https://github.com/guardian/apps-rendering/pull/50,2019-10-07T09:40:18Z,2019-10-07T16:02:38Z,0,1,MERGED
apps-rendering,Add Compile Check To PR CI,https://github.com/guardian/apps-rendering/pull/49,2019-10-04T15:46:36Z,2019-10-07T10:17:38Z,0,1,MERGED
apps-rendering,Separate Watch and Build,https://github.com/guardian/apps-rendering/pull/48,2019-10-04T14:18:54Z,2019-10-04T15:11:41Z,0,1,MERGED
apps-rendering,liveblog imageSalt,https://github.com/guardian/apps-rendering/pull/47,2019-10-04T13:54:30Z,2019-10-04T14:06:21Z,0,3,MERGED
apps-rendering,Remove unused environment variable,https://github.com/guardian/apps-rendering/pull/46,2019-10-04T13:14:26Z,2019-10-04T13:24:48Z,0,1,MERGED
apps-rendering,Try to break the linter,https://github.com/guardian/apps-rendering/pull/45,2019-10-04T13:09:49Z,2019-10-04T13:11:00Z,0,1,CLOSED
apps-rendering,Linting With GitHub Actions,https://github.com/guardian/apps-rendering/pull/44,2019-10-04T12:50:25Z,2019-10-04T13:09:04Z,0,1,MERGED
apps-rendering,Tidy Up Server File,https://github.com/guardian/apps-rendering/pull/43,2019-10-04T12:33:50Z,2019-10-04T15:34:26Z,1,1,MERGED
apps-rendering,Image Resizer (Fastly) For Body Images,https://github.com/guardian/apps-rendering/pull/42,2019-10-03T13:20:53Z,2019-10-04T10:50:25Z,6,9,MERGED
apps-rendering,Liveblog capi content,https://github.com/guardian/apps-rendering/pull/41,2019-09-30T17:26:07Z,2019-10-04T10:55:02Z,20,12,MERGED
apps-rendering,Extract Components: Article and Follow,https://github.com/guardian/apps-rendering/pull/40,2019-09-30T14:17:41Z,2019-10-01T16:47:17Z,1,4,MERGED
apps-rendering,Max Line Length,https://github.com/guardian/apps-rendering/pull/39,2019-09-30T11:28:40Z,2019-09-30T13:37:24Z,1,1,MERGED
apps-rendering,key events dropdown,https://github.com/guardian/apps-rendering/pull/38,2019-09-30T10:00:54Z,2019-09-30T13:55:28Z,1,1,MERGED
apps-rendering,Cleaner Imports With Webpack,https://github.com/guardian/apps-rendering/pull/37,2019-09-27T17:02:07Z,2019-09-27T17:19:34Z,0,1,MERGED
apps-rendering,semantic tags,https://github.com/guardian/apps-rendering/pull/36,2019-09-27T16:34:31Z,2019-09-27T17:18:30Z,0,2,MERGED
apps-rendering,Render Body Using CAPI Blocks,https://github.com/guardian/apps-rendering/pull/35,2019-09-26T12:48:15Z,2019-09-26T16:46:25Z,1,5,MERGED
apps-rendering,Remove atom css,https://github.com/guardian/apps-rendering/pull/34,2019-09-26T11:44:42Z,2019-09-26T13:04:42Z,0,1,MERGED
apps-rendering,Liveblog components,https://github.com/guardian/apps-rendering/pull/33,2019-09-25T16:20:55Z,2019-09-27T14:59:50Z,9,11,MERGED
apps-rendering,Remove Unused Dependencies,https://github.com/guardian/apps-rendering/pull/32,2019-09-24T16:13:57Z,2019-09-24T16:34:55Z,0,1,MERGED
apps-rendering,Remove old scripts,https://github.com/guardian/apps-rendering/pull/31,2019-09-24T15:21:58Z,2019-09-24T15:56:08Z,0,1,MERGED
apps-rendering,serve json,https://github.com/guardian/apps-rendering/pull/30,2019-09-23T16:48:00Z,2019-09-24T10:20:00Z,1,1,CLOSED
apps-rendering,ESLint,https://github.com/guardian/apps-rendering/pull/29,2019-09-23T14:30:04Z,2019-09-24T15:58:46Z,7,9,MERGED
apps-rendering,Filter out master images,https://github.com/guardian/apps-rendering/pull/28,2019-09-20T16:57:29Z,2019-09-23T09:14:22Z,1,1,CLOSED
apps-rendering,Pillar keyline styles,https://github.com/guardian/apps-rendering/pull/27,2019-09-20T16:20:34Z,2019-09-23T13:22:51Z,2,2,MERGED
apps-rendering,Watch With Webpack,https://github.com/guardian/apps-rendering/pull/26,2019-09-19T17:17:19Z,2019-09-24T11:38:54Z,3,3,MERGED
apps-rendering,Fewer Try...Catches,https://github.com/guardian/apps-rendering/pull/25,2019-09-19T11:41:59Z,2019-09-19T13:04:51Z,0,1,MERGED
apps-rendering,Add fromTryCatch to Result,https://github.com/guardian/apps-rendering/pull/24,2019-09-18T17:03:22Z,2019-09-19T10:01:59Z,7,2,MERGED
apps-rendering,Render review articles,https://github.com/guardian/apps-rendering/pull/23,2019-09-18T16:24:50Z,2019-09-19T08:55:04Z,0,2,MERGED
apps-rendering,Bump TypeScript 3.5.3 -> 3.6.3,https://github.com/guardian/apps-rendering/pull/22,2019-09-18T13:00:22Z,2019-09-18T13:18:27Z,0,1,MERGED
apps-rendering,use ds dark mode colour,https://github.com/guardian/apps-rendering/pull/21,2019-09-18T12:36:00Z,2019-09-18T12:44:06Z,0,1,MERGED
apps-rendering,have a max media query,https://github.com/guardian/apps-rendering/pull/20,2019-09-17T17:03:21Z,2019-09-18T09:43:47Z,0,1,MERGED
